,name,desc,angel_url,location,employees,raised,website,angel_id
212,brightwheel,The first mobile platform for early education,https://angel.co/brightwheel,San Francisco,11-50,12800000.0,http://www.mybrightwheel.com,469402
213,Front,The easiest way to work with shared team inboxes,https://angel.co/front,San Francisco,51-200,79100000.0,http://www.frontapp.com,326222
214,OhmConnect,Replacing power plants with software,https://angel.co/ohmconnect,San Francisco,11-50,9900000.0,https://www.ohmconnect.com,300404
215,Her,"Social app for lesbian, bisexual and queer women",https://angel.co/her-1,San Francisco,1-10,2360000.0,http://www.weareher.com,77848
216,beaconhome,startup in stealth mode,https://angel.co/beaconhome,San Francisco,11-50,9900000.0,http://beaconhome.io,938959
217,Nima,trust your food ,https://angel.co/nimalabs,San Francisco,11-50,17200000.0,http://www.nimasensor.com,251158
218,Gravity Group (previously Dil Mil),Fastest growing high-affinity dating platform,https://angel.co/gravitygroup,San Francisco,1-10,3700000.0,http://dilmil.co,378595
219,Castle Global,Rethinking products with machine learning. ,https://angel.co/castleglobal,San Francisco,11-50,18100000.0,http://castleglobal.com,150892
307,Princeton Ventures,Princeton Ventures leads growth equity investments of $10 million to over $100 million.,https://angel.co/princeton-ventures,Princeton,1-10,9900000.0,http://www.princetonventures.com,3365754
309,SoundBetter,Music Services Marketplace,https://angel.co/soundbetter,New York City,1-10,9900000.0,https://soundbetter.com,250019
310,RevCascade,Marketplace automation for brands and retailers,https://angel.co/revcascade,New York City,1-10,9900000.0,http://www.revcascade.com,669329
311,Paintzen,Online Marketplace For Home and Office Painting,https://angel.co/paintzen,New York City,11-50,9220000.0,http://www.paintzen.com,208839
312,StockTwits,Social network for investors and stock traders,https://angel.co/stocktwits,New York City,11-50,10600000.0,http://stocktwits.com/,32462
313,CareDox,Care coordination platform for parents and schools,https://angel.co/caredox,New York City,11-50,6050000.0,http://caredox.com/,5084
314,Enchanted Diamonds,The modern luxury jeweler,https://angel.co/enchanted-diamonds,New York City,1-10,9900000.0,http://www.enchanteddiamonds.com,134149
315,Abacus,Real time expense reporting. Making expense reports ancient history. ,https://angel.co/abacus,New York City,11-50,3500000.0,http://abacus.com,187453
316,Goldbely,Marketplace for Artisan & Specialty Food ,https://angel.co/goldbely,New York City,11-50,13000000.0,https://www.goldbely.com,127378
317,Feather (YC S17),Modern-day furniture rentals for people on the move,https://angel.co/feather,New York City,11-50,3500000.0,http://rentfeather.com,3996376
318,FaithStreet,Outreach and giving platform for congregations,https://angel.co/faithstreet,New York City,11-50,1100000.0,http://www.faithstreet.com,25024
319,Spring,Creating the world's best mobile shopping experience.,https://angel.co/spring-3,New York City,51-200,32500000.0,https://www.shopspring.com/,274588
320,Triplemint,The refreshingly simple way to find your home,https://angel.co/triplemint,New York City,11-50,6500000.0,http://www.triplemint.com,68512
321,WayBetter,Bet on yourself!,https://angel.co/waybetter,New York City,11-50,4750000.0,http://www.waybetter.com,87270
322,Toymail,The mobile phone re-imagined for kids,https://angel.co/toymail-co,New York City,1-10,9900000.0,http://www.toymail.co,324450
323,CardFlight,Accept EMV chip card payments in any mobile app,https://angel.co/cardflight,New York City,11-50,5800000.0,https://CardFlight.com,187767
324,Pathgather,Next-generation learning for enterprise (Techstars '14),https://angel.co/pathgather,New York City,11-50,3618000.0,http://www.pathgather.com,171573
325,Latch,Smart access.,https://angel.co/latch-2,New York City,51-200,26000000.0,http://www.Latch.com,698264
326,B12,Human-assisted AI for web design,https://angel.co/b12,New York City,11-50,12400000.0,https://b12.io/,806019
327,x.ai,x.ai  is a personal assistant who schedules meetings for you.,https://angel.co/x-ai,New York City,51-200,34300000.0,http://x.ai,396021
328,Codecademy,The Easiest Way to Learn to Code,https://angel.co/codecademy,New York City,11-50,42500000.0,http://www.codecademy.com/,57028
329,Jukely,Get into a different concert every week from $25/mo,https://angel.co/jukely,New York City,11-50,11300000.0,http://jukely.com,111636
330,boldstart ventures,first check. enterprise founders. seed vc,https://angel.co/boldstart-ventures,New York City,1-10,47000000.0,http://www.boldstart.vc,104708
331,Hornet Networks,Gay Social Network,https://angel.co/hornet,New York City,51-200,8000000.0,http://www.gethornet.com,103002
332,StrikeAd,"StrikeAd Fusion, a proprietary technology platform for agencies and advertisers to plan, execute, and evaluate their mobile advertisements.",https://angel.co/strikead,New York City,51-200,7003898.0,http://www.strikead.com,103776
333,Aereo,Aereo was a technology company based in New York City that allowed subscribers to view live and time-shifted streams of over-the-air television on Internet-connected devices.,https://angel.co/aereo,New York City,11-50,97000000.0,http://aereo.com/home,104495
334,Clothes Horse,Clothes Horse solves the problem of buying clothes online that fit.,https://angel.co/clothes-horse,New York City,1-10,9900000.0,https://www.clotheshor.se,116874
335,Tiger Global,International private equity investor,https://angel.co/tiger-global,New York City,1-10,9900000.0,http://www.tiger-global.co.uk/,109357
336,Plated,Cook More. Live Better.,https://angel.co/plated,New York City,501-1000,56400000.0,https://www.plated.com/,152115
337,Cover,Dine without waiting for the check.,https://angel.co/cover,New York City,11-50,5500000.0,http://www.paywithcover.com/,151433
338,SevenFifty,Web platform for wholesale wine/spirits/beer industry,https://angel.co/sevenfifty,New York City,11-50,8500000.0,http://www.sevenfifty.com,148174
339,Citia,Revolutionary Content Operating System,https://angel.co/citia,New York City,11-50,2800000.0,http://www.citia.com,182776
340,BoxC,Cross-Border Shipping. Simply.,https://angel.co/boxc,New York City,1-10,1700000.0,https://www.boxc.com,175496
341,White Star Capital,White Star Capital invests in early-stage companies to help them scale internationally. ,https://angel.co/white-star-capital,New York City,1-10,9900000.0,http://www.whitestarvc.com,177466
342,Apprenda,Private PaaS Enablement,https://angel.co/apprenda-1,New York City,11-50,39000000.0,http://www.apprenda.com,179540
343,Blue Apron,We make cooking fun & easy.  We deliver recipes and all the ingredients you need.,https://angel.co/blue-apron,New York City,1001-5000,293000000.0,http://www.blueapron.com,125515
344,OKpanda,Helping the World Learn English,https://angel.co/okpanda,New York City,1-10,3000000.0,http://okpanda.com,125912
345,Nomi,Helping retailers bridge the gap between online and offline,https://angel.co/nomi,New York City,11-50,41000000.0,http://www.nomi.com,125432
346,Vocap Ventures,Early & Growth-stage VC,https://angel.co/vocap-ventures,New York City,1-10,9900000.0,http://www.vocapventures.com,124979
347,Artivest,A Higher Standard,https://angel.co/artivest,New York City,11-50,15000000.0,http://artivest.co,132880
348,meta,Most advanced computer glasses in the cosmos,https://angel.co/meta-1,New York City,1-10,23000000.0,http://www.meta-view.com,184657
349,Rearden Capital Management,Rearden Capital Management LLC is a trading and investment firm.,https://angel.co/rearden-capital-management-1,New York City,1-10,9900000.0,http://reardencapital.com/,159119
350,Voyat,guest retention platform for hotels,https://angel.co/voyat,New York City,11-50,1800000.0,http://voyat.com,175664
351,New York Angels,"New York Angels is an organization of seed capital angel investors that provides equity capital for early stage companies, primarily in the field of technology and new media",https://angel.co/new-york-angels,New York City,1-10,9900000.0,http://newyorkangels.com,167393
352,EVELO Electric Bicycles,Smart Electric Bicycles Delivered to Your Door,https://angel.co/evelo,New York City,11-50,750000.0,http://www.evelo.com,113751
353,Pilotworks,We help people start and scale quality food brands.,https://angel.co/pilotworks,New York City,11-50,15100000.0,https://www.thepilotworks.com,841426
354,Morty,Your smart home mortgage. We're hiring!,https://angel.co/morty,New York City,1-10,3000000.0,http://www.himorty.com,1450851
355,MakeSpace,Your Closet in the Cloud,https://angel.co/makespace,New York City,1-10,56800000.0,https://makespace.com,260840
356,Common,City living made better.,https://angel.co/common-living,New York City,51-200,63350000.0,https://www.common.com,906665
357,Bstow,Bstow is revolutionizing fundraising software for nonprofits and churches.,https://angel.co/bstow,New York City,11-50,285000.0,https://www.bstow.com,730774
358,Perch Interactive,Revolutionary Interactive Technology for Retail,https://angel.co/perch-interactive,New York City,11-50,1550000.0,http://www.perchinteractive.com,155959
359,Pilot,We’re rewriting the ABCs of ISPs.  ,https://angel.co/pilot-5,New York City,51-200,33075000.0,http://pilotfiber.com,398608
360,AdHawk,Your Digital Advertising Assistant (Techstars 2015),https://angel.co/adhawk,New York City,11-50,1400000.0,https://www.tryadhawk.com,629574
361,Managed by Q,The Platform for Office Management,https://angel.co/managed-by-q,New York City,51-200,72925000.0,http://www.managedbyq.com,348469
362,Teachable,Create and Sell Beautiful Online Courses,https://angel.co/teachable,New York City,51-200,8500000.0,https://teachable.com,353230
363,Zeel,Massage On Demand,https://angel.co/zeel,New York City,51-200,13200000.0,http://www.zeel.com,13071
364,Newsela,Daily news at 5 reading levels,https://angel.co/newsela,New York City,51-200,20300000.0,http://newsela.com/,238628
365,Oscar Insurance,"Leveraging technology and data to make insurance simple, intuitive, and human. ",https://angel.co/oscar-insurance,New York City,201-500,727500000.0,http://www.hioscar.com,399838
366,Stay Wanderful,Instant Gratification - Revolutionizing rewards programs (no more points fatigue) ,https://angel.co/staywanderful,New York City,11-50,9900000.0,http://www.staywanderful.com,668990
367,Fullstack Academy,Modern CS education,https://angel.co/fullstack-academy,New York City,11-50,9900000.0,http://www.fullstackacademy.com,238387
368,Enigma,Connecting the dots in the world of big data,https://angel.co/enigma-data,New York City,51-200,33800000.0,http://www.enigma.com,129914
397,Airtime,All Together Now,https://angel.co/airtime,Brooklyn,11-50,41750000.0,https://airtime.com/,71915
398,Paribus,"Get money when prices drop, effortlessly",https://angel.co/paribusco,Brooklyn,11-50,9900000.0,https://paribus.co/,681264
401,HackerRank,Match every developer to the right job!,https://angel.co/hackerrank,Palo Alto,51-200,19900000.0,https://hackerrank.com,411231
402,RealCrowd,Platform For Accredited Crowd Investing in Commercial Real Estate ,https://angel.co/realcrowd,Palo Alto,11-50,1600000.0,http://realcrowd.com,163519
403,HealthTap,"HealthTap is the first global virtual health practice, powered by more than 100,000 U.S. doctors, delivering fast, affordable, and quality care through our innovative H.O.P.E.S (Health Operating System).",https://angel.co/healthtap,Palo Alto,51-200,38250000.0,http://www.healthtap.com,34401
404,StartX,The @Stanford Startup Accelerator ,https://angel.co/startx,Palo Alto,11-50,9900000.0,http://startx.stanford.edu,42984
405,Base CRM,The next generation of CRM software. Made for people,https://angel.co/base-crm,Palo Alto,51-200,52900000.0,http://www.getbase.com,154
406,Arthena,Invest in Art Online (YC W17),https://angel.co/arthena,Palo Alto,1-10,9900000.0,https://arthena.com,377089
407,Konsus,On-Demand Business Support,https://angel.co/konsushq,Palo Alto,51-200,1500000.0,http://www.konsus.com,478147
408,Carta,Modern Equity Management,https://angel.co/eshares,Palo Alto,201-500,67550000.0,http://www.carta.com,115777
409,Alminder,"Mobile, smart, contextual Calendaring",https://angel.co/alminder,Palo Alto,1-10,1525000.0,http://mynd.me,104021
410,Arc,YCombinator robotics startup,https://angel.co/arc-1,Palo Alto,1-10,9900000.0,http://www.arccameras.com,106017
411,Version One Ventures,version one ventures is a seed fund investing in companies leveraging network effects,https://angel.co/version-one-ventures,Palo Alto,1-10,35000000.0,http://www.versionone.vc,106386
412,MicroEval,Modern Performance Reviews,https://angel.co/microeval,Palo Alto,1-10,9900000.0,http://microeval.com,114442
413,Meritech Capital,The brand name in late stage venture.,https://angel.co/meritech-capital,Palo Alto,1-10,9900000.0,http://www.meritechcapital.com/,112644
414,Cyphort,Cyber Security,https://angel.co/cyphort,Palo Alto,51-200,53700000.0,http://www.cyphort.com,152556
415,MixerBox,Universal music player,https://angel.co/mixerbox,Palo Alto,1-10,9900000.0,http://mixerbox.com,125553
416,Assembled,Connecting Professionals Around the World,https://angel.co/hx,Palo Alto,1-10,9900000.0,http://www.assembled.com,126579
417,Maven Ventures,The leading Seed venture fund for emerging consumer software startups,https://angel.co/maven-ventures,Palo Alto,1-10,9900000.0,http://mavenventures.com,167163
418,Palantir Technologies,Making products for human-driven analysis of real-world data,https://angel.co/palantir-technologies,Palo Alto,1-10,2505200000.0,http://www.palantir.com,33645
419,wikiHow,Teaching every person on the planet how to do anything,https://angel.co/wikihow,Palo Alto,11-50,9900000.0,http://www.wikihow.com,33313
420,HDS,Defining the next generation of ecommerce,https://angel.co/home-delivery-service,Palo Alto,1-10,9900000.0,http://www.hdsglobal.com/,66236
421,Qventus,Optimizing hospital operations,https://angel.co/qventus,Palo Alto,11-50,13000000.0,http://www.qventus.com,359662
422,Piazza,An online platform where students and instructors come together to learn and teach. ,https://angel.co/piazza,Palo Alto,11-50,15500000.0,http://www.piazza.com,43975
423,Spry Health,Continuous vital monitoring for improved chronic disease management,https://angel.co/spryhealth,Palo Alto,11-50,9900000.0,http://www.spryhealth.com,272247
424,Robinhood,Democratizing America’s financial system,https://angel.co/robinhood,Palo Alto,51-200,176000000.0,http://www.robinhood.com,227792
437,Freebird,Travel empowered,https://angel.co/getfreebird,Cambridge,11-50,8500000.0,http://www.getfreebird.com,881502
438,Formlabs,High resolution 3D printing. Designed for your desktop.,https://angel.co/formlabs,Cambridge,201-500,58600000.0,http://formlabs.com,25991
439,Bluetrain.io,Cloud CMS for Developers,https://angel.co/bluetrain-io,Cambridge,1-10,1530000.0,http://www.bluetrain.io,113802
440,Squadle,Automating operations workflow for the $4.5T mult-unit retail industry,https://angel.co/squadle,Cambridge,1-10,1000000.0,http://squadle.com,184201
441,Summer@Highland,Student entrepreneur program,https://angel.co/summer-highland,Cambridge,1-10,9900000.0,http://summer.hcp.com/,176305
445,Thunder,"Enable digital marketing creative agility, personalization, and optimization.",https://angel.co/thunder,Bellevue,51-200,9700000.0,http://makethunder.com/,32865
446,OfferUp,buy. sell. simple.  ,https://angel.co/offerup,Bellevue,51-200,119000000.0,http://www.offerupnow.com,31963
449,TRED,Where trusted car buyers and sellers connect,https://angel.co/tred,Seattle,11-50,9900000.0,https://www.tred.com,96232
450,Apptentive,We help companies communicate better with their mobile customers.,https://angel.co/apptentive,Seattle,11-50,10115000.0,http://www.apptentive.com,21073
451,Blue Box,Cloud Hosting and Managed Services For The Internet's Critical Apps,https://angel.co/blue-box,Seattle,51-200,31700000.0,http://blueboxcloud.com,106445
452,Shift Labs,Well-designed medical devices for fast-growing healthcare sectors,https://angel.co/shift-labs,Seattle,1-10,9900000.0,http://www.shiftlabs.com,115991
453,SpaceCurve,"SpaceCurve offers a parallel data platform for the Internet of Things that ingests, processes, and analyzes IoT data in real-time.",https://angel.co/spacecurve,Seattle,1-10,12300000.0,http://www.spacecurve.com,150512
454,SkyKick,Cloud Management for Partners,https://angel.co/skykick,Seattle,51-200,21700000.0,http://www.skykick.com,148325
455,Moment,"Photography gear, travel, and inspiration",https://angel.co/moment-2,Seattle,11-50,4700000.0,https://www.shopmoment.com/,372632
460,Ambassador,End-to-end platform for Relationship Marketing,https://angel.co/ambassador,Detroit,11-50,2350000.0,http://getambassador.com,12106
461,Lunar Wireless,Mobile without a monthly bill.,https://angel.co/lunar-labs,Detroit,1-10,4400000.0,https://lunarwireless.com/,497293
462,Mason,"Build, deploy, and scale connected mobile products. ",https://angel.co/masonamerica,Detroit,1-10,9900000.0,http://www.bymason.com,632912
463,Quikly,A digital marketing platform that motivates consumers to react...Quikly.,https://angel.co/quikly,Detroit,11-50,5613396.0,http://www.quikly.com,105593
464,LevelEleven,Enterprise gamification software,https://angel.co/leveleleven,Detroit,1-10,3500000.0,http://leveleleven.com,173614
469,Aella Credit,Instant Credit Solutions for Africans,https://angel.co/aella-credit,Mountain View,11-50,9900000.0,http://www.aellacredit.com,1816586
470,Pure Storage,Pure Storage was founded with the ambitious goal of revolutionizing the computing infrastructure industry. Today we are building the data platform for the cloud era and we’ve accomplished the first step towards that goal by bringing to market the simplest and most reliable all-flash storage array in history.,https://angel.co/pure-storage,Mountain View,1001-5000,534856500.0,http://www.purestorage.com/,68615
471,Kiwi Crate,Delivering hands-on creative fun & learning to young makers,https://angel.co/kiwi-crate,Mountain View,11-50,7000000.0,http://www.kiwicrate.com,46361
472,HighlightCam,Automatically edits videos and images on your phone,https://angel.co/highlightcam,Mountain View,11-50,3000000.0,http://highlightcam.com,103843
473,Tubular Labs,The Standard for Video Intelligence,https://angel.co/tubular-labs,Mountain View,11-50,20750000.0,http://www.tubularlabs.com,105740
474,dakwak,Effortless website translation and localization technology,https://angel.co/dakwak,Mountain View,1-10,600000.0,http://www.dakwak.com,116466
475,Swipp,Swipp Turns Social Media Into Leads and Sales.,https://angel.co/swipp,Mountain View,11-50,5500000.0,http://www.swipp.com,109504
476,Tindie,A community marketplace for hardware creators and enthusiasts,https://angel.co/tindie,Mountain View,1-10,500000.0,https://www.tindie.com/,127715
477,H/F Next Fund,One investment. Top 17 startups.,https://angel.co/h-f-next-fund,Mountain View,11-50,575000.0,http://hf.cx/invest,159466
478,Rockmelt,re-imagine the browser,https://angel.co/rockmelt,Mountain View,11-50,39875000.0,http://www.rockmelt.com,100623
479,CollegeFeed,The world's most efficient college recruiting platform,https://angel.co/collegefeed,Mountain View,11-50,1800000.0,http://www.collegefeed.com,165462
480,Hydrazine Capital,Early stage investments,https://angel.co/hydrazine-capital,Mountain View,1-10,9900000.0,-,166597
481,LogDNA,Easy beautiful logging in the cloud (YC W15),https://angel.co/logdna,Mountain View,1-10,8300000.0,https://www.logdna.com,242134
482,Datatron,Enterprise AI Platform,https://angel.co/datatron,Mountain View,11-50,9900000.0,http://datatron.com,944260
483,Diffbot,We structure the world's knowledge,https://angel.co/diffbot,Mountain View,1-10,10000000.0,http://www.diffbot.com,29586
484,Mashgin,Reinventing the checkout experience,https://angel.co/mashgin,Mountain View,11-50,9900000.0,http://www.mashgin.com,604691
485,Bitaccess,We make Bitcoin Simple,https://angel.co/bitaccess,Mountain View,11-50,9900000.0,http://www.bitaccess.ca,348401
486,500 Startups,500 Startups is a seed fund & a network of startup programs in Silicon Valley,https://angel.co/500startups,Mountain View,51-200,73900000.0,http://500.co,1124
494,Chegg,"Chegg is a website and mobile app for students – “The Student Hub.” Students on more than 7,000 campuses nationwide use Chegg for textbooks & eTextbooks, Chegg Study (Q&A and Texbook Solutions), tutoring, internships, student deals, scholarships and more.",https://angel.co/chegg,Santa Clara,201-500,221300002.0,http://www.chegg.com,32100
495,Chai,Democratizing Biotechnology,https://angel.co/chai,Santa Clara,11-50,2800000.0,https://www.chaibio.com,553044
497,Neoteny 3,"Neoteny Co., Ltd is a venture capital firm which specializes in growth capital and incubation investments. The firm considers investments in all stages with a preference for early stage. It seeks to invest in the information technology sector",https://angel.co/neoteny-3,Boston,1-10,9900000.0,https://www.neoteny.com/,1900230
498,Mendix,"The app platform company for the enterprise: build, integrate and deploy fast.",https://angel.co/mendix,Boston,51-200,38000000.0,http://www.mendix.com,45656
499,Sample6,Sample6′s mission is to improve the health and safety of global consumers by building integrated systems that quickly and easily detect harmful and unwanted bacteria.,https://angel.co/sample6,Boston,11-50,29450000.0,http://www.sample6.com,273565
500,Klaviyo,Changing how businesses send email.,https://angel.co/klaviyo,Boston,51-200,1500000.0,http://www.klaviyo.com,98145
501,BISON,Changing how you see private equity,https://angel.co/bison,Boston,11-50,1235000.0,http://www.bison.co,27212
502,Panorama Education,Helping schools improve through data analytics,https://angel.co/panorama-education,Boston,51-200,16000000.0,http://panoramaed.com,256206
503,Renoviso,Ecommerce for home renovation projects,https://angel.co/renoviso,Boston,11-50,11900000.0,https://renoviso.com,685058
504,Airfox,Access to financial services for the unbanked in emerging markets,https://angel.co/airfox,Boston,11-50,9900000.0,http://www.airfox.com,1026636
505,Raptor Ventures,"Raptor Ventures is the venture capital arm of Raptor Capital Management LP. We partner with and deploy capital to early-stage, market disrupting technology and media companies to build the next generation of market leaders.",https://angel.co/raptor-ventures,Boston,51-200,9900000.0,http://www.raptorventures.com,102596
506,Saverr Mobile,Consumers saving together,https://angel.co/saverr-mobile,Boston,1-10,795000.0,http://www.cartcrunch.com,117448
507,Bridge Boys,Building great companies with our friends,https://angel.co/bridge-boys,Boston,1-10,9900000.0,None,150517
508,CloudHealth Technologies,Policy Driven Cloud Management,https://angel.co/cloudhealth-technologies,Boston,11-50,85700000.0,http://www.cloudhealthtech.com,179614
509,BuysideFX,"FX Trading so Powerful, it's Simple.",https://angel.co/buysidefx,Boston,11-50,3500000.0,http://www.buysidefx.com,182541
510,Blank Label,When Custom Disrupts Off-the-Rack,https://angel.co/blank-label,Boston,11-50,500000.0,http://www.BlankLabel.com,125563
511,MachineShop,APIs for the Internet of Everything,https://angel.co/machineshop,Boston,1-10,9900000.0,http://www.machineshop.io,128151
512,Dragon Innovation,We make hardware look easy,https://angel.co/dragon-innovation,Boston,11-50,2600000.0,http://www.dragoninnovation.com/,174687
513,Slow Ventures,Never climb alone.,https://angel.co/slow-ventures,Boston,11-50,9900000.0,http://slow.co,167897
514,Vaxess Technologies,Using Silk To Create Heat Stable Vaccines,https://angel.co/vaxess-technologies,Boston,1-10,4750000.0,http://www.vaxess.com,98276
515,Care.com,The leading marketplace for caregivers,https://angel.co/care,Boston,501-1000,155650000.0,http://www.care.com/,33330
516,Lovepop,Unexpected. Every time.,https://angel.co/lovepop,Boston,11-50,21100000.0,https://lovepop.com,726119
517,Privy,"Capture more emails, improve site conversion, and grow online sales",https://angel.co/privy,Boston,11-50,1714775.0,https://www.privy.com,2787
518,Wellframe,Connecting people. Amplifying care.,https://angel.co/wellframe,Boston,11-50,25000000.0,http://www.wellframe.com/,30868
519,Crayon,"Track, analyze, and act on everything happening outside your company's four walls.",https://angel.co/crayon,Boston,11-50,4850000.0,https://www.crayon.co,543154
529,Silversheet,"Silversheet is revolutionizing how healthcare facilities manage their workforce, and how healthcare professionals manage their own careers.  We have started by tackling a complex and critical part of daily workflow – physician credentialing.",https://angel.co/silversheet,United States,11-50,5200000.0,http://www.silversheet.com,556857
531,WePay,Driving the future of ecommerce via integrated payments,https://angel.co/wepay,Redwood City,201-500,74150000.0,http://www.wepay.com,32771
532,Alation,Connecting people with the data they need,https://angel.co/alation,Redwood City,11-50,9000000.0,http://alation.com,266966
533,Synack,Crowd Security Intelligence,https://angel.co/synack,Redwood City,51-200,34000000.0,http://www.synack.com,177433
534,OpenGov,OpenGov is the leading provider of government performance solutions software,https://angel.co/opengov,Redwood City,51-200,47000000.0,https://opengov.com/,899732
535,Highfive,Video & web conferencing you can actually love,https://angel.co/highfive-1,Redwood City,51-200,49500000.0,http://highfive.com,108386
536,Kidaptive,"Kidaptive creates educational software and services. Our signature offering is our Adaptive Learning Platform, which we call ALP. (We are scientists, not marketers.) ALP combines the best of Silicon Valleys big-data expertise with world-class learning science to give meaning to learning-relevant data",https://angel.co/kidaptive,Redwood City,11-50,24650000.0,http://www.kidaptive.com,149285
537,Citrine Informatics,AI-powered data platform for faster materials development,https://angel.co/citrine-informatics,Redwood City,11-50,9900000.0,http://citrine.io,423320
538,Caspar.AI,Home automation as a service,https://angel.co/caspar-ai,Redwood City,11-50,9900000.0,http://caspar.ai,1062276
543,Jetlore,"Turn consumer behavior into structured, actionable data about your customers.",https://angel.co/jetlore,San Mateo,11-50,9900000.0,http://www.jetlore.com,15088
544,Freedom Financial Network,"Freedom Financial Network is a family of companies that takes a people-first approach to financial services, using technology to empower consumers to overcome debt and create a brighter financial future.",https://angel.co/freedom-financial-network,San Mateo,501-1000,100500000.0,http://www.freedomfinancialnetwork.com/,38359
545,Mode,Data collection from physical world,https://angel.co/mode-inc,San Mateo,1-10,2075000.0,http://www.tinkermode.com/,512277
546,Roam Analytics,Machine Intelligence for Human Health,https://angel.co/roam-analytics,San Mateo,11-50,11345000.0,http://roamanalytics.com,686236
547,Human API,Real-Time Health Data Network,https://angel.co/humanapi,San Mateo,11-50,9900000.0,http://humanapi.co,152635
548,Piqora,Make Your Photos Generate Business Results,https://angel.co/piqora-1,San Mateo,11-50,11200000.0,http://www.piqora.com,125529
549,Tylr Mobile,"Connected Mobile Work For the Enterprise, Starting with a Salesperson's Mobile Inbox",https://angel.co/tylr-mobile,San Mateo,1-10,1500000.0,http://www.tylrmobile.com,158596
550,Subdream Studios,Social VR Game,https://angel.co/subdream-studios,San Mateo,1-10,9900000.0,https://www.subdreamstudios.com/,3188097
551,Second Measure,See inside companies,https://angel.co/second-measure,San Mateo,11-50,2000000.0,http://www.secondmeasure.com,849594
556,Kairos,#1 Facial Rec company on AngelList. We love Enterprise. We love SaaS. We love Mobile. ,https://angel.co/kairos,Miami,11-50,2900000.0,https://www.kairos.com,81358
558,FullContact,Stay fully connected. Master your contacts. Be awesome with people.,https://angel.co/fullcontact,Denver,201-500,50868000.0,https://www.fullcontact.com,1748
559,Pana,Modern corporate travel platform,https://angel.co/pana,Denver,11-50,1550000.0,http://pana.com,503139
560,Galvanize Ventures,Investment Fund,https://angel.co/galvanize-ventures,Denver,1-10,9900000.0,http://www.galvanize.com/venture,126710
563,PowerReviews,"PowerReviews works with more than 1,000 global brands and retailers to increase conversion and improve products and the customer experience with ratings and reviews and Q&A software.",https://angel.co/powerreviews,Chicago,51-200,71180000.0,http://www.powerreviews.com/,47309
564,ParkWhiz,Helping build the future of mobility by making parking easy for all,https://angel.co/parkwhiz,Chicago,51-200,36000000.0,https://www.parkwhiz.com,25241
565,Procured Health,Making the medical device market efficient,https://angel.co/procured-health-1,Chicago,51-200,16375000.0,http://www.procuredhealth.com,104504
566,Kenna Security,Business Intelligence for Security,https://angel.co/risk-i-o,Chicago,51-200,10750000.0,https://www.kennasecurity.com,116823
567,SpotHero,On-Demand Parking  App,https://angel.co/spothero,Chicago,51-200,86960000.0,http://spothero.com,117264
568,Promus Ventures,Investing in early stage software companies that are changing the world.,https://angel.co/promus-ventures,Chicago,1-10,9900000.0,http://www.promusventures.com,112652
574,Bitfusion.io,Supercomputing for the masses,https://angel.co/bitfusion-io,Austin,1-10,9900000.0,http://bitfusion.io,659503
575,SubtleData,"API for all POS systems, enabling local commerce",https://angel.co/subtledata,Austin,11-50,500000.0,http://www.subtledata.com,113838
576,TrendKite,Media Dashboards and On-Demand Media Analysis Reporting,https://angel.co/trendkite,Austin,1-10,36400000.0,http://www.trendkite.com,124619
577,Postmaster,Stripe for Shipping,https://angel.co/postmaster,Austin,1-10,718000.0,https://www.postmaster.io,125519
578,Embrace,Authentic Customer Relationships,https://angel.co/embrace-1,Austin,1-10,250000.0,http://www.embracecustomers.com,126464
579,TrustRadius,Changing the way enterprise software is bought and sold through in-depth user reviews,https://angel.co/trustradius,Austin,1-10,5000000.0,http://www.trustradius.com,133091
580,Written,Proven content. Proven engagement,https://angel.co/written,Austin,1-10,1350000.0,http://written.com,174812
583,Occipital,Bringing spatial computing to everyday life,https://angel.co/occipital,Boulder,51-200,21515000.0,http://www.occipital.com/,49455
584,weeSpring,Trusted consumer reviews,https://angel.co/weespring,Boulder,1-10,9900000.0,http://www.weespring.com,156064
585,Conspire,Find the best path to any person or company without ever sending a connection request,https://angel.co/conspire,Boulder,1-10,3518000.0,http://goconspire.com,117515
586,STOWER,Mobile-Enabled Energy,https://angel.co/flamestower,Boulder,1-10,9900000.0,http://www.stowerenergy.com,149591
587,Seamless Toy Company,We enable kids to be makers.,https://angel.co/seamless-toy-company,Boulder,11-50,9900000.0,http://www.myATOMS.com/,178456
588,Pagedip (formerly Beneath the Ink),"Engaging, interactive, measurable digital documentation",https://angel.co/pagedip,Boulder,1-10,640000.0,http://www.Pagedip.com,125855
589,Stedi,Platform to automate billions of dollars in transactions between retailers and suppliers.,https://angel.co/stedi,Boulder,1-10,3700000.0,http://www.stedi.com,3244326
593,Trace,Video highlights and player performance automatically.,https://angel.co/traceup,Los Angeles,11-50,2600000.0,http://www.traceup.com/,235924
594,GOAT - Sneaker Marketplace,The safest way to buy and sell sneakers on mobile.,https://angel.co/goatapp,Los Angeles,201-500,97600000.0,http://www.goat.com,45495
595,CapLinked,Information Security Without Limits,https://angel.co/caplinked,Los Angeles,11-50,2970000.0,https://www.caplinked.com/,12650
596,FIGS,100% Awesome Medical Apparel,https://angel.co/figs,Los Angeles,1-10,10000000.0,http://www.wearfigs.com,103036
