,company_name,description,website,funding,industries,num_employees,headquarters,founded_date,industry_groups,full_description,filter
215,StoryMD,"StoryMD is a web and mobile application that track, understand, manage, and act on the health information in a single, unified platform.",https://storymd.com,1350000.0," Health Care, Health Diagnostics, Medical, Mobile Apps, Software",01 to 10 ," Brooklyn, New York, United States",2017," Apps, Health Care, Mobile, Software","StoryMD is a web and mobile application that track, understand, manage, and act on the health information in a single, unified platform. It collects and interprets medical data, turning the statistics into the story, and empowering patients to drive insights into action.",software_2017
216,Stir,At Stir we set out to create a product with the goal of transforming the way people go out.,http://stirapp.co,35000.0," Apps, Business Information Systems, Hospitality, Software",01 to 10 ," San Francisco, California, United States",2017," Apps, Information Technology, Software, Travel and Tourism","For users, we solve the never-ending problem of not knowing where to go. What beers are on tap around me? Is that bar crowded? For venues, we provide custom data analytics and customer outreach in order to maximize your potential.

The use cases for Stir are endless and the iterations continuous. We are thirsty and are looking for others that are too. We need people who are smart, creative, entrepreneurial and understand the pain points we are looking to solve from both a user and business perspective. We are making an app that pushes the boundaries on an international level. We strive to create a huge social impact and to transform the way people go out.",software_2017
217,SteadiPay,Making sure small businesses don't run out of cash,http://www.steadipay.com,750000.0," Accounting, Banking, Financial Services, FinTech, Payments, SaaS, Small and Medium Businesses, Software",01 to 10 ," Los Angeles, California, United States",2017," Financial Services, Lending and Investments, Other, Payments, Professional Services, Software","SteadiPay is a bank-agnostic platform that lets small businesses manage cash more efficiently. See current balances across all acccounts, automate forecasts, and identify the best ways to improve cash in your business.",software_2017
218,StartSure,"StartSure provide the most streamlined, easy-to-use insurance platform anywhere for small business insurance.",https://www.startsure.co/,100000.0," Commercial Insurance, FinTech, Insurance, InsurTech, Property Insurance, Small and Medium Businesses, Software",01 to 10 ," New York, New York, United States",2017," Financial Services, Other, Software","StartSure is a software platform that provides small business insurance. We have simplified the process for reviewing and purchasing affordable, comprehensive office insurance with just a few clicks. Customers instantly get quotes that are transparent and meet landlord requirements, and are then offered additional coverages to address any other needs.",software_2017
219,Starbutter AI,Starbutter AI is a voice and text chat agent company that helps consumers pick financial products.,http://starbutter.com,600000.0," Computer, Computer Vision, Finance, Financial Services, FinTech, Software",01 to 10 ," Berkeley, California, United States",2017," Consumer Electronics, Financial Services, Hardware, Software","Founded in 2016, Starbutter AI is a voice and chat conversational agent (chatbot) company that helps consumers pick financial products.  Starbutter gives consumers high quality information so that they can pick the best financial products.   They help financial companies match the right products to their customers, making marketing spend more efficient.
​
The Starbutter knowledge graph and machine learning, NLP algorithms rank companies and offers top-rated advice using sources like: 
JD Power, Consumer Reports, Federal Deposit Insurance Corporation reports, Consumer Financial Protection Bureau reports, billing disputes, a million consumer reviews, rewards quality, fine print in bank disclosures, and insights from an expert panel.",software_2017
220,Stability Health,"Stability Health uses proprietary tools, technology, and support services to help people with diabetes.",http://www.stabilityhealth.com/,2500000.0," Health Care, Information Technology",01 to 10 ," Worcester, Massachusetts, United States",2017," Health Care, Information Technology","Stability Health is a coordinated care management system that uses proprietary tools, technology, and support services to help people with diabetes and their providers achieve better diabetes management and improved quality of life. The company's mission is to improve health outcomes for individuals with diabetes by changing the way patients with diabetes receive their care through a proprietary clinically-based technology platform that enhances physician effectiveness and helps individuals better manage their own care.

Stability Health was founded in 2017 and is headquartered in Worcester, Massachusetts.",software_2017
221," Square One Technology, Inc. ","Square One Technology, Inc. provides a suite of services focused on utilizing the latest technology.",http://sqr1tech.com,400000.0," Information Services, Information Technology",01 to 10 ," Carlsbad, California, United States",2017,Information Technology,"Square One Technology, Inc. provides a suite of services focused on utilizing the latest technology to effectively service the recovery industry and bring them under the umbrella of regulatory compliance.",software_2017
222,SpIntellx,SpIntellx is a computational pathology company developing novel AI tools based on spatial analytics.,https://www.spintellx.com/,1448257.0," Artificial Intelligence, Biopharma, Biotechnology, Life Science, Machine Learning",01 to 10 ," Pittsburgh, Pennsylvania, United States",2017," Artificial Intelligence, Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software","SpIntellx is a computational pathology company developing novel AI tools based on spatial analytics. They are a computational pathology company applying its proprietary AI technologies to analyze whole slide images based on spatial analytics. 

The company's mission is to develop tools that will improve the accuracy and efficiency of pathologists and to generate predictive data to optimize patient outcomes. It was co-founded by a group of pathologists, computer scientists, and biotechnologists committed to generating real-world evidence based on spatial analytics for pathology and biopharma companies.",software_2017
223,Spherical Defense,Spherical Defense offers API Security powered by Deep Learning,http://sphericaldefense.com,2024983.0," Artificial Intelligence, Cyber Security, Security, Software",01 to 10 ," San Francisco, California, United States",2017," Artificial Intelligence, Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software","Spherical Defence Labs is a cyber security company. They provide penetration testing and vulnerability assessment for startups looking to safeguard their digital infrastructure from cyberattacks. It currently focusses on developing the next gen IDS using AI for banks to detect hackers trying to access and temper their systems. The company also offers auditing and consulting services.

Spherical Defence Labs was founded by Dishant Shah in 2015, and is headquartered in the United States.",software_2017
224,SpendGap,SpendGap is a mobile app,,25000.0," Apps, Mobile Apps",01 to 10 ," Pittsburgh, Pennsylvania, United States",2017," Apps, Mobile, Software","SpendGap is a mobile app that takes a whole self approach to personal finance focusing on positive daily habits and goal setting rather than budgets and historical data.

SpendGap is the developer of a financial management application designed to automate personal financial planning. The company's financial planning application creates financial behavior change through positive daily habits and goal setting rather than budgets and historical data, enabling consumers to work toward their financial goals and independence.",software_2017
225,Spectiv,Spectiv is a virtual reality streaming platform.,https://www.spectivvr.com/,1000000.0," Developer Platform, Media and Entertainment, Virtual Reality",01 to 10 ," Houston, Texas, United States",2017," Hardware, Media and Entertainment, Software","Spectiv is a virtual reality streaming platform.

Spectiv is a platform that enables users and organizations to stream their unique virtual reality experiences to the world. Viewers will be able to engage in these experiences from home, through virtual reality. The company's mission is to create truly immersive shared experiences with the power of VR.",software_2017
226,SparkSwap,SparkSwap is the first cryptocurrency exchange built on the Lightning Network.,https://sparkswap.com/,3500000.0," Blockchain, Cryptocurrency, Finance, Financial Exchanges, Financial Services",01 to 10 ," Atlanta, Georgia, United States",2017," Financial Services, Lending and Investments, Other, Payments, Software","SparkSwap is the first cryptocurrency exchange built on the Lightning Network. It reduces counterparty risk by combining the best of both centralized and decentralized exchanges.

The company was founded in 2017 and is based in Atlanta, Georgia.",software_2017
227,Sotero,Sotero is a comprehensive data protection company.,https://www.soterosoft.com/,5000000.0," Analytics, Data Integration, Information Technology, Software",01 to 10 ," Burlington, Massachusetts, United States",2017," Data and Analytics, Information Technology, Software","Sotero provides a data protection platform offering field-level encryption for data in use, data at rest, and data in motion across on-premise and cloud data stores. The company utilizes sophisticated encryption for data in use, including deterministic, random and format-preserving encryption and is also compatible with all on-prem, cloud and hybrid data stores, including Oracle, SQL Server, MySQL, Hadoop, Avalanche, Snowflake, Yellowbrick, Postgres, and MongoDB, and comes with pre-built integrations to leading access and key management solutions.",software_2017
228,Sonavi Labs,Sonavi Labs focuses on developing modern medical products that analyze body sounds for the diagnosis of diseases.,http://www.sonavilabs.com/,1000000.0," Artificial Intelligence, Health Care, Health Diagnostics, Home Health Care, Information Technology, Machine Learning, Medical, Medical Device, mHealth, Software",01 to 10 ," Baltimore, Maryland, United States",2017," Artificial Intelligence, Data and Analytics, Health Care, Information Technology, Mobile, Science and Engineering, Software","Sonavi Labs is an innovative device and software company that focuses on developing modern medical products that analyze body sounds for the diagnosis of diseases. The company creates technology rooted in artificial intelligence that will evolve the patient experience and enhance the capabilities of providers.

It was founded in 2017 and headquartered in Baltimore, Maryland.",software_2017
229,Software.com,"Software collects data to help developers and teams learn from their data, increase productivity, and code smarter.",https://software.com,7000000.0," Analytics, Developer Platform, Developer Tools, Information Technology, SaaS, Software, Software Engineering",01 to 10 ," San Francisco, California, United States",01-01-17 0:00," Data and Analytics, Information Technology, Science and Engineering, Software","Software is transforming the world. Our mission is to transform software development. We quantify the craft by collecting data across the stack to help developers and teams learn from their data, increase productivity, and code smarter.",software_2017
230,Snippet,Snippet provides a platform that allows users to communicate using small clips of music.,http://www.soundgifs.io/,360000.0," Apps, Audio, Music",01 to 10 ," Madison, Wisconsin, United States",2017," Apps, Media and Entertainment, Music and Audio, Software","Snippet provides a platform that allows users to communicate using small clips of music. For example, using Snippet you can send ""It's a Beautiful Day"" and U2 will sing it for you.

Currently, it comes packaged as an iOS application and a Facebook Messenger Extension.",software_2017
231,Snark,Explore and engage with the people and places around you instantly. Snark is the bridge between digital space and you.,https://www.snark.app,3000.0," Location Based Services, Mobile Apps, Social Network",01 to 10 ," Palo Alto, California, United States",01-01-17 0:00," Apps, Data and Analytics, Internet Services, Mobile, Navigation and Mapping, Software",,software_2017
232," SmileML, Inc. ",smileML is a Techstars Air Force company helping people be understood and understand others by taking the guesswork out of communication.,https://www.smile-ml.com,120000.0," Artificial Intelligence, Information Technology",01 to 10 ," Boston, Massachusetts, United States",2017," Artificial Intelligence, Data and Analytics, Information Technology, Science and Engineering, Software","smileML is a Techstars Air Force company focused on helping people be understood and understand others by taking the guesswork out of communication. We leverage emotion recognition to help individuals and teams communicate effectively during virtual meetings and face-to-face interactions. 
smileML specializes in computer vision and machine learning for sentiment analysis applications. Our company has developed an edge-based emotion recognition model capable of running on any camera. Analysis is performed on the device itself and is never sent to the cloud, making smileML safe and secure for even the most sensitive environments.",software_2017
233,Smile Identity,"Smile Identity solve identity for banks, telecoms, financial services and shared economy applications in Africa and beyond.",http://www.smileidentity.com/,4100000.0," Apps, Financial Services, Identity Management",01 to 10 ," Oakland, California, United States",2017," Apps, Financial Services, Information Technology, Privacy and Security, Software","At Smile Identity they believe anyone should be able to prove their identity easily, anywhere in the world. Their team is made up of American and African engineers and financial services professionals with experience across global markets in highly regulated environments. They have built encryption, authentication and security solutions.  They have developed image processing technology from the chip level up.  They have been part of security investigations and have pursued fraudsters.

Having worked with, or for, telecoms, lenders, banks and startups, they know the challenges of building world class technology and they understand the needs of the African consumer and enterprise customer. They are backed by leading Silicon Valley & African investors and they have pan-African reach, with representation in the United States, South Africa, Nigeria, Kenya, Ghana and Rwanda.",software_2017
234,Small Data Tech,"Small Data provides inexpensive and efficient small data transmissions for the Internet of Things (IoT) in rural and urban settings.
",https://smalldatatech.com,700000.0," Hardware, Information Technology",01 to 10 ," Waverly, Nebraska, United States",2017," Hardware, Information Technology",,software_2017
235,Skyways,Skyways is creating a new form of transportation to advance our civilization.,http://skyways.com,1120000.0," Aerospace, Drone Management, Drones, Software, Transportation",01 to 10 ," Austin, Texas, United States",2017," Consumer Electronics, Consumer Goods, Hardware, Science and Engineering, Software, Transportation","Skyways is creating a new form of transportation to advance our civilization.  The company's focus in the immediate future is on cargo transportation with the idea to then fund a new personal air transportation vehicle that will be operated as a service.  Skyways has a big focus on software to enable full autonomy and large scale fleet operations.

Skyways was founded in 2017, is YC-backed and is headquartered in Austin, Texas.",software_2017
236,Skydreamer,Mobile application for group travelling,https://www.skydreamer.io,60000.0," Leisure, Mobile Apps, Tourism, Travel",01 to 10 ," San Francisco, California, United States",2017," Apps, Community and Lifestyle, Mobile, Software, Travel and Tourism","Skydreamer suggest you buddies interested in the same destinations to travel with, Chat and invite them to your group!",software_2017
237,Skipper.io,"Skipper.io is a social learning platform that ceates courses, teach students, share resources, and collaborate with their social groups.",https://skipper.io/,1500000.0," Children, EdTech, Education, Family, Internet",01 to 10 ," Fort Worth, Texas, United States",2017," Community and Lifestyle, Education, Internet Services, Software","Skipper.io is a social learning platform that ceates courses, teach students, share resources, and collaborate with their social groups. It combines a user-friendly professional learning management system, a course builder for teacher entrepreneurs, and a family lifestyle planner, which enables parents and teachers to provide a personalized education for their children inside and outside the classroom. Children learn best when their education is based on their passions, interests, and is relevant to their world.

Skipper.io was founded in 2017 and is based in Fort Worth, TX, USA.",software_2017
238,Simple Ledger,"Simple Ledger builds applications to manage secure, immutable data utilizing the power of the Bitcoin blockchain.",https://simpleledger.io/,197187.0," Apps, Blockchain, Information Technology, Software",01 to 10 ," Independence, Ohio, United States",2017," Apps, Information Technology, Other, Software","Simple Ledger builds applications to manage secure, immutable data utilizing the power of the Bitcoin blockchain. It is one of the original creators of the Simple Ledger Protocol (SLP) and is active in its development. Simple Ledger strives to build valuable applications for blockchain. They are currently working on developing software for triple entry accounting systems.

It was founded in 2017 and is headquartered in Independence, Ohio.",software_2017
239,SignGlasses,SignGlasses offers technology that interprets and captions sign language for all deaf and hard-of-hearing students.,https://www.signglasses.com/,1000000.0," Communication Hardware, Information Technology, Language Learning, Software",01 to 10 ," Orem, Utah, United States",2017," Education, Hardware, Information Technology, Software","SignGlasses offers technology that interprets and captions sign language for all deaf and hard-of-hearing students. Its technology allows them to broadcast live sign language interpretation from a remote location to a student in the classroom via smart glasses. With the interpretation overlaid in real-time, these students no longer have to try to focus on two places at once. The platform makes it possible for deaf students to record and review all classroom material alongside its correlated interpretation, providing for a much-improved note-taking and studying experience. It also lets administrators manage students and interpreters. 

It was founded in 2017 and is headquartered in Orem, Utah.",software_2017
240,SideKick.Tools,"A powerful team-run tool that dramatically boosts customer growth, rescues lost revenue and leverages declining resources. 
",https://www.sidekick.tools/,60000.0," Developer Tools, InsurTech, Management Information Systems, Productivity Tools, Project Management, Software",01 to 10 ," Fort Worth, Texas, United States",2017," Administrative Services, Financial Services, Information Technology, Other, Software","The Sidekick Check-In™ is a powerful team-run tool that dramatically boosts customer growth, rescues lost revenue and leverages declining resources.

Critical responsibilities that drive growth stop slipping through the cracks when team members work together to coordinate the day’s priorities using our stand-alone Check-In™ app.  It’s Like Everyone Gets an Assistant.™


",software_2017
241,Shyft Auto,Shyft Auto is a B2B marketplace that connects consumers to service facilities and drivers for on demand vehicle service.,https://shyftauto.com/consumer,275000.0," Automotive, B2B, E-Commerce, SaaS, Software",01 to 10 ," Raleigh, North Carolina, United States",01-01-17 0:00," Commerce and Shopping, Other, Software, Transportation","Shyftauto is a SAAS solution for service facilities that allows them to offer, manage and communicate service appointments, pick-up and return service appointments, manage and fulfill those appointments, communicate with the consumer, and more. They have a consumer-facing application that is free for the consumer to download and use that connects the consumer to ""certified service facilities"" on our platform. They are B2B. They charge service facilities with a monthly subscription fee. Their solution helps service facilities and or dealerships increase retention, revenue, and customer service scores while providing convenience to the consumer and a true end to end solution. Its solution is contactless and will even give the consumer the ability to have their vehicle serviced without calling, visiting, or thinking about going into the service facility.",software_2017
242,Shone,Shone Automation develops autonomous retrofitted ships.,http://www.shone.com,4220000.0," Artificial Intelligence, Marine Transportation, Transportation",01 to 10 ," San Francisco, California, United States",2017," Artificial Intelligence, Data and Analytics, Science and Engineering, Software, Transportation",Shone makes existing cargo ships autonomous.,software_2017
243,Seva,Seva is a unified search platform that helps knowledge workers discover and organize the information they need at work.,https://www.hiseva.com/,2520000.0," Document Management, Internet, Semantic Search",01 to 10 ," New York, New York, United States",2017," Information Technology, Internet Services, Software","Seva is a hosted information discovery and collaboration platform that helps teams be smarter, work faster, and be more efficient.  

Integrated across a broad set of applications for email, messaging, document management, code management, and others, Seva gives knowledge workers a single source of truth across today's modern work stack, giving users frictionless access to the most important information they need to do their jobs.

Founded in late 2017 Seva is a venture backed company in New York City launching in mid-2018.

",software_2017
244,Seguno,Seguno is the only complete email solution fully embedded within Shopify.,https://www.seguno.com/,253145.0," Computer, Software",01 to 10 ," Durham, North Carolina, United States",2017," Consumer Electronics, Hardware, Software",,software_2017
245,SCRIPTS Asia,SCRIPTS Asia provides investor event coverage for the global institutional investment community.,https://scriptsasia.com/,2540000.0," Finance, Information Services, Information Technology",01 to 10 ," Seattle, Washington, United States",2017," Financial Services, Information Technology","SCRIPTS Asia provides Asia Pacific investor event coverage for the global institutional investment community. It works with hundreds of listed companies in the region to gain exclusive in-person attendance to their key investor events, including earnings announcements, shareholder meetings, analyst days, and special situations. From these events, SCRIPTS Asia produces local language and full English transcripts within 24 hours, in addition to event survey data for distribution to institutional investors worldwide.

The company was founded in 2017 and is headquartered in Seattle, Washington",software_2017
246,ScriptAssist Pharmacy,ScriptAssist Pharmacy is an on-line retail pharmacy company that provides medication management with vitamins and supplements.,https://scriptassistrx.com,500000.0," Health Care, Information Technology, Medical",01 to 10 ," Fort Lauderdale, Florida, United States",2017," Health Care, Information Technology","ScriptAssist Pharmacy provides a medication management and compliance platform, by providing patients and their caregivers the easiest, safest and most convenient way of managing prescriptions, vitamins and supplements, utilizing delivery methodology and mobile technology. We pre-pack and manage doses with our easy to use pouch management system, delivered directly to their home.",software_2017
247,ScrappyCito,ScrappyCito is a job search tool for veterans looking to transition to the civilian workforce.,http://www.scrappycito.com:9330/,14100.0," Computer, Search Engine, Web Browsers",01 to 10 ," Elgin, Texas, United States",2017," Consumer Electronics, Hardware, Internet Services, Software","ScrappyCito is a job search tool for veterans looking to transition to the civilian workforce. It was founded by Thomas P. O'Hara and it is headquartered in Elgin, Texas.",software_2017
248,Scout FM,Scout FM is a hand-curated podcast radio stations personalized with the power of data and artificial intelligence.,https://www.scout.fm/,1400000.0," Artificial Intelligence, Internet, Internet Radio, Machine Learning, Music, Music Streaming",01 to 10 ," San Francisco, California, United States",2017," Artificial Intelligence, Data and Analytics, Internet Services, Media and Entertainment, Music and Audio, Science and Engineering, Software","Scout FM is a hand-curated podcast radio stations personalized with the power of data and artificial intelligence. They create talk radio stations with the latest, highest quality radio shows, and podcasts, and then personalize these stations for each listener.

Headquartered in San Francisco, CA, the company was founded in 2017 by Cara Meverden, Saul Carlin, and Dan McCartney.",software_2017
249,ScoreMedia,ScoreMedia is a platform that measures and scores the things you have done in your life.,http://www.scoremediallc.com,350000.0," Apps, Personalization",01 to 10 ," Chicago, Illinois, United States",01-01-17 0:00," Apps, Commerce and Shopping, Software","ScoreMedia is obsessed with helping people live life to the fullest. Our platform creates applications that measure and score the things you have done in your life. After all, if you can't measure it, you can't improve it.

Our first application is ManScore, an app that contains the list of everything a man should strive to do in his life. Other applications in development include WomanScore, LifeScore, CollegeScore, and PrideScore.",software_2017
250,SceneThink,SceneThink connects event creators directly with the local influencers who drive attendance to their events.,http://www.scenethink.com,755000.0," Event Management, Event Promotion, Events, Internet, Local, Software",01 to 10 ," Charlottesville, Virginia, United States",01-01-17 0:00," Events, Internet Services, Media and Entertainment, Sales and Marketing, Software","SceneThink connects event creators directly with the local influencers who drive attendance to their events.
SceneThink's platform lets community influencers efficiently manage and curate events across all their channels and generate increased revenue, while event organizers can easily distribute and promote events directly through local influencers.",software_2017
251,Sarson Funds,"Transparent and risk-managed cryptocurrency investment funds, plus digital asset education for investors and financial advisors.",http://www.sarsonfunds.com,70000.0," Crowdfunding, Cryptocurrency, FinTech",01 to 10 ," Indianapolis, Indiana, United States",2017," Financial Services, Payments, Software","We invest in transparency, so that you can invest in the future. Providing risk managed exposure to cryptocurrency and blockchain technology investment strategies, Sarson Funds delivers digital asset clarity to investors and financial advisors.",software_2017
252,SaltyCloud,SaltyCloud provides access to workflow automation tools that help maximize the impact of security and risk teams.,https://www.saltycloud.com/,120000.0," Compliance, Cyber Security, Information Technology, Risk Management, SaaS, Security",01 to 10 ," Austin, Texas, United States",2017," Information Technology, Privacy and Security, Professional Services, Software","SaltyCloud is a public benefit corporation on a mission to cultivate cyber-secure ecosystems.

Our DNA is rooted in the philosphy that the best solutions derive from understanding the real and acute pain points affecting information security and risk teams today. This is why our initial core technology came direct from the trenches at The University of Texas at Austin and Georgia Institute of Technology. And as we continue our mission, we hope to also continue working with more security teams to grow our unique portfolio.

As a public benefit corporation, we believe business solutions can make a positive difference in society. We lead our mission with our social mandate which holds us accountable to make an impact in the information security space through partnerships and education.

To date we’ve began to fulfill our mission with over 1000 global institutions across the US, Canada, Europe, and Australia and we are ready to work with the next 1000.",software_2017
253,RxMapper,Every patient deserves safe and effective medications.,https://www.rxmapper.com/,1130000.0," Biotechnology, Employee Benefits, Health Care, Health Insurance, SaaS",01 to 10 ," Boston, Massachusetts, United States",2017," Administrative Services, Biotechnology, Financial Services, Health Care, Science and Engineering, Software","RxMapper is a DNA-guided, AI-driven drug transparency platform that keeps patients safe and reduces health care spend. Developed in collaboration with Mayo Clinic. Customers are employers, health plans, digital health platforms, PBMs, and members. Reduces healthcare costs, identifies drug issues before they happen. APIs for adding to existing tools.",software_2017
254,Rocket,Companies use Rocket to solve their recruiting needs,https://www.getrocket.com/#wwd,2000000.0," Artificial Intelligence, Information Technology, Internet, Recruiting",01 to 10 ," San Francisco, California, United States",2017," Artificial Intelligence, Data and Analytics, Information Technology, Internet Services, Professional Services, Science and Engineering, Software","Technology company that provides artificial intelligence-enabled recruiting services. Rocket solves recruiters’ needs by allowing them to evaluate the entire talent pool and find best matches instantly. By pairing its AI services with human intelligence, Rocket helps companies define their hiring needs and identify, engage and close on quality candidates.
",software_2017
255,Roam Research,Roam Research is a tool that offers services for notetaking and graph databases.,http://roamresearch.com,9000000.0," Apps, Internet of Things, Productivity Tools, Software",01 to 10 ," San Francisco, California, United States",2017," Apps, Internet Services, Software","Roam Research is a tool that offers services for notetaking and graph databases.

Roam Research believes that writing is a tool for thinking. If we can build a tool for helping people write and organize their ideas more effectively, we can help them have better thoughts and solve otherwise intractable problems.

The company was founded in 2017 and is based in San Francisco, California, United States.",software_2017
256,Riskcast Solutions,"Riskcast Solutions is a productivity and forecasting tool that provides a way for project managers to track labor, material, and equipment.",https://www.riskcast.com,700000.0," Construction, Project Management, Risk Management, Software",01 to 10 ," New York, New York, United States",2017," Administrative Services, Other, Professional Services, Real Estate, Software","Riskcast Solutions is a productivity and forecasting tool that provides a way for project managers to track labor, material, and equipment without maintaining multiple spreadsheets. The company's mission is to empower the construction industry by providing data to decrease risk in all areas of performance while putting project teams first in all that the company does.

The company uses a proprietary database to integrate key data such as labor productivity, in-place quantities, equipment usage, worker certifications, safety metrics, quality issues, and more. Users have nonstop visibility into the projects, to return predictable results every time. With Riskcast, users can track and submit everything from anywhere, with one easy-to-use application.

Riskcast Solutions was founded on 2017 and is headquartered in New York.",software_2017
257,Risk Labs,Risk Labs is an open source protocol for synthetic risk transfer.,https://risklabs.eu/,3900004.0," Information Services, Information Technology",01 to 10 ," New York, New York, United States",2017,Information Technology,Risk Labs is an open source protocol for synthetic risk transfer.,software_2017
258,RightAir,RightAir is developing noninvasive ventilators for COPD patients.,https://www.rightair.io/,100000.0," Health Care, Information Technology, Medical Device, Supply Chain Management, Therapeutics",01 to 10 ," Philadelphia, Pennsylvania, United States",2017," Health Care, Information Technology, Transportation","RightAir is developing noninvasive ventilators for COPD patients. They have developed AIR-AD (based on a proven respiratory assist technology called cuirass ventilators), which is a fully-mobile, non-invasive ventilator, integrated into a piece of clothing. It reduces dynamic hyperinflation. It adjusts the natural breathing pattern of the patient, during rest and exercise.",software_2017
259,RideAlong,RideAlong is a software tool that gives patrol officers key information about people with mental illness.,http://www.getridealong.com,395000.0," CivicTech, GovTech, Information Technology, Internet, Law Enforcement, Software",01 to 10 ," San Francisco, California, United States",2017," Government and Military, Information Technology, Internet Services, Privacy and Security, Software","RideAlong bridge the information gap between first responders and service providers. RideAlong is a software tool that gives patrol officers key information about people with mental illness at the scene—everything from tailored de-escalation techniques to personalized service referral options. Built for first responders, with first responders.",software_2017
260,Rhabit Analytics,"Rhabit's lightweight & easy-to-use platform transforms feedback into powerful performance insights for employees, managers, and leadership.",https://rhabitanalytics.com/,125000.0," Human Resources, Information Technology, SaaS, Software",01 to 10 ," Pittsburgh, Pennsylvania, United States",2017," Administrative Services, Information Technology, Software","Rhabit is a continuous employee feedback platform that is attractive, lightweight, and easy-to-use. There are no login credentials to maintain, no software to install, and the process takes around 60 secs/week. Because of these and other user-centric features, the platform enjoys high participation rates, meaning 30+ data points/employee are captured every week. From there, Rhabit transforms the data into powerful people analytics that feed all facets of talent management across the entire employee experience. Unlike many feedback platforms, Rhabit is not a standalone SaaS - the consulting arm of the service partners with clients to help them translate their data into a story for leadership. Learn more at rhabitanalytics.com.",software_2017
261,Reverie Labs,Reverie Labs is a machine learning-driven pharma company.,https://www.reverielabs.com,25000000.0," Artificial Intelligence, Bioinformatics, Biotechnology, Machine Learning, Pharmaceutical",01 to 10 ," Boston, Massachusetts, United States",2017," Artificial Intelligence, Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software","Reverie Labs (YC W18) is building a pharma company from scratch, using computation. Reverie Labs accelerates preclinical drug development by applying machine learning to lead generation & optimization.",software_2017
262,Reveal Why,"Reveal Why uses AI, advanced natural language processing, and advanced analytics to address the threats to brands and reputation.",https://revealwhy.com/,100000.0," Analytics, Artificial Intelligence, Brand Marketing, Natural Language Processing",01 to 10 ," Orem, Utah, United States",2017," Artificial Intelligence, Data and Analytics, Sales and Marketing, Science and Engineering, Software","Reveal Why uses AI, advanced natural language processing, and advanced analytics to address the threats to brands and reputation. 

The company brings better information, in real-time to solve these key issues and drive improved results. Reveal Why digs deeper to resolve problems and create engaging customer relationships that not only build your brand, they also improve your bottom line.

 Reveal Why was founded in 2017 and based in Orem, Utah.",software_2017
263,RETINA-AI,RETINA-AI Develop Artificial Intelligence Software for Diagnosing Retinal Diseases from Images of the Retina,https://www.retina-ai.com,5000000.0," Artificial Intelligence, Big Data, Health Care, Information Technology, Machine Learning, Software",01 to 10 ," Houston, Texas, United States",2017," Artificial Intelligence, Data and Analytics, Health Care, Information Technology, Science and Engineering, Software","Retinal diseases such as age-related macular degeneration, diabetic retinopathy, and retinal vascular occlusions are amongst the most common causes of blindness in the world. At RETINA-AI thay have assembled the most highly-trained and talented interdisciplinary team in the retina world. Their team is using the most cutting-edge artificial intelligence technology to discover better ways to diagnose and treat retinal diseases.",software_2017
264,Respirogen,Respirogen features a device technology provides oxygen independent from damaged lungs like Acute respiratory distress syndrome.,https://respirogen.com/,500000.0," Biotechnology, Computer, CRM, Electronics, Information Technology, Robotics",01 to 10 ," Boulder, Colorado, United States",2017," Biotechnology, Consumer Electronics, Hardware, Information Technology, Sales and Marketing, Science and Engineering, Software","Respirogen is a biotechnology company that features a device technology that provides oxygen-independent from damaged lungs like Acute respiratory distress syndrome. Its medical device is designed for several triggers, including pneumonia or trauma.

The company was founded in 2017 and headquartered in Boulder, Colorado.",software_2017
265,ReFirm Labs,ReFirm Labs is a group of IoT security experts that develops a new method for vetting and validating firmware.,https://www.refirmlabs.com,3500000.0," Computer, Cyber Security, Embedded Software, Network Security, Software",01 to 10 ," Fulton, Maryland, United States",2017," Consumer Electronics, Hardware, Information Technology, Privacy and Security, Software","ReFirm is an emerging leader in the IoT security space. With decades of experience securing devices for sensitive national security applications, its team has developed a new method for vetting and validating firmware that automates the process of detecting security flaws in connected devices and mitigating them.

Its Centrifuge Platform is at the forefront of this approach and is the first to deliver this capability to the commercial market. Also, its technology is already helping global companies secure their products by testing their firmware during and after the development process, and monitor for new vulnerabilities.

 ",software_2017
266,Red Mountain Scientific,Red Mountain Scientific provides the data needed to effectively manage wind turbine or cell tower assets.,http://www.redmountainscientific.com/,1200000.0," Analytics, Artificial Intelligence, Asset Management, Database, Information Technology, Software",01 to 10 ," Fort Collins, Colorado, United States",2017," Artificial Intelligence, Data and Analytics, Financial Services, Information Technology, Science and Engineering, Software","Red Mountain Scientific provides the data needed to effectively manage wind turbine or cell tower assets. Red Mountain Scientific provides an automated data collection, web-based asset management service intended to infer autonomous infrastructure inspection.

The company offers custom flight paths drones leveraging cloud computing and AI software to provide concise reporting and analytics, enabling wind turbine and cell tower operators to inspect their assets and gather all the metrics they need without a hassle.

Red Mountain Scientific was established in 2017 and based in Fort Collins, Colorado.",software_2017
