,company_name,description,website,industries,num_employees,headquarters,founded_date,industry_groups,full_description,filter
916,Rhabit Analytics,"Rhabit's lightweight & easy-to-use platform transforms feedback into powerful performance insights for employees, managers, and leadership.",https://rhabitanalytics.com/," Human Resources, Information Technology, SaaS, Software",01 to 10 ," Pittsburgh, Pennsylvania, United States",2017," Administrative Services, Information Technology, Software","Rhabit is a continuous employee feedback platform that is attractive, lightweight, and easy-to-use. There are no login credentials to maintain, no software to install, and the process takes around 60 secs/week. Because of these and other user-centric features, the platform enjoys high participation rates, meaning 30+ data points/employee are captured every week. From there, Rhabit transforms the data into powerful people analytics that feed all facets of talent management across the entire employee experience. Unlike many feedback platforms, Rhabit is not a standalone SaaS - the consulting arm of the service partners with clients to help them translate their data into a story for leadership. Learn more at rhabitanalytics.com.",software_2017
917,Rex Industrial,Streamlined procurement and distribution used to supply structures for access and egress by industrial companies.,http://www.rexindustrial.com/," Automotive, Industrial, Industrial Automation, Information Technology, Manufacturing, Oil and Gas, Software, Transportation",01 to 10 ," Baton Rouge, Louisiana, United States",01-01-17 0:00," Energy, Information Technology, Manufacturing, Natural Resources, Science and Engineering, Software, Transportation","Rex Industrial (Rex) was built to be the leading provider of fabricated structures and associated foundations. We work with clients to identify the products and services required and deliver an unbeatable price and schedule. By using the Engineering Commerce™ approach, we achieve that goal, plus add a level of convenience for clients across multiple sectors.",software_2017
918,Rewardzzz,Rewardzzz is a blockchain app.,https://rewardzzz.com/," Apps, Blockchain",01 to 10 ," Ithaca, New York, United States",01-01-17 0:00," Apps, Other, Software",,software_2017
919,REVOKIND,REVOKIND provides blockchain network solutions by developing artificially intelligent and autonomous communication system.,https://www.revokind.com/," Artificial Intelligence, Blockchain, Internet of Things",01 to 10 ," Denver, Colorado, United States",01-01-17 0:00," Artificial Intelligence, Data and Analytics, Internet Services, Other, Science and Engineering, Software",,software_2017
920,Review Maiden,Review Maiden is a creative tool for review management that allows local companies to receive feedback automatically from current customers.,https://www.reviewmaiden.com/," Information Technology, Internet, SEO",01 to 10 ," Miami, Florida, United States",01-01-17 0:00," Information Technology, Internet Services, Sales and Marketing",,software_2017
921,Reverie Labs,Reverie Labs is a machine learning-driven pharma company.,https://www.reverielabs.com," Artificial Intelligence, Bioinformatics, Biotechnology, Machine Learning, Pharmaceutical",01 to 10 ," Boston, Massachusetts, United States",2017," Artificial Intelligence, Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software","Reverie Labs (YC W18) is building a pharma company from scratch, using computation. Reverie Labs accelerates preclinical drug development by applying machine learning to lead generation & optimization.",software_2017
922,Reveal Why,"Reveal Why uses AI, advanced natural language processing, and advanced analytics to address the threats to brands and reputation.",https://revealwhy.com/," Analytics, Artificial Intelligence, Brand Marketing, Natural Language Processing",01 to 10 ," Orem, Utah, United States",2017," Artificial Intelligence, Data and Analytics, Sales and Marketing, Science and Engineering, Software","Reveal Why uses AI, advanced natural language processing, and advanced analytics to address the threats to brands and reputation. 

The company brings better information, in real-time to solve these key issues and drive improved results. Reveal Why digs deeper to resolve problems and create engaging customer relationships that not only build your brand, they also improve your bottom line.

 Reveal Why was founded in 2017 and based in Orem, Utah.",software_2017
923,RETINA-AI,RETINA-AI Develop Artificial Intelligence Software for Diagnosing Retinal Diseases from Images of the Retina,https://www.retina-ai.com," Artificial Intelligence, Big Data, Health Care, Information Technology, Machine Learning, Software",01 to 10 ," Houston, Texas, United States",2017," Artificial Intelligence, Data and Analytics, Health Care, Information Technology, Science and Engineering, Software","Retinal diseases such as age-related macular degeneration, diabetic retinopathy, and retinal vascular occlusions are amongst the most common causes of blindness in the world. At RETINA-AI thay have assembled the most highly-trained and talented interdisciplinary team in the retina world. Their team is using the most cutting-edge artificial intelligence technology to discover better ways to diagnose and treat retinal diseases.",software_2017
924,Respirogen,Respirogen features a device technology provides oxygen independent from damaged lungs like Acute respiratory distress syndrome.,https://respirogen.com/," Biotechnology, Computer, CRM, Electronics, Information Technology, Robotics",01 to 10 ," Boulder, Colorado, United States",2017," Biotechnology, Consumer Electronics, Hardware, Information Technology, Sales and Marketing, Science and Engineering, Software","Respirogen is a biotechnology company that features a device technology that provides oxygen-independent from damaged lungs like Acute respiratory distress syndrome. Its medical device is designed for several triggers, including pneumonia or trauma.

The company was founded in 2017 and headquartered in Boulder, Colorado.",software_2017
925,ResolvedCX,"Scale quality customer support with the most affordable, flexible service available",https://www.resolvedcx.com/," Information Technology, Robotics, Software",01 to 10 ," New York, New York, United States",2017," Hardware, Information Technology, Science and Engineering, Software",,software_2017
926,Resermine,Resermine is an AI-enabled platform for decision making about surveillance.,http://www.resermine.com/," Artificial Intelligence, Web Browsers",01 to 10 ," Austin, Texas, United States",01-01-17 0:00," Artificial Intelligence, Data and Analytics, Internet Services, Science and Engineering, Software",,software_2017
927,Repetere,Repetere generates automated sales and product mix forecasts with machine learning and artificial intelligence.,https://repetere.ai/," Analytics, Artificial Intelligence, B2B, Business Intelligence, Machine Learning, Predictive Analytics, SaaS",01 to 10 ," New York, New York, United States",2017," Artificial Intelligence, Data and Analytics, Other, Science and Engineering, Software","Repetere is a SaaS platform that makes forecasting for restaurant franchisees fast, easy, and accurate. To do this, we combine a business’ existing data (e.g. point-of-sale) with external data (e.g. weather) and run them through machine learning-trained models. The forecasts are auto-generated and forecasting tools can be used by managers, operators, and others in financial planning and analysis functions. We make the accuracy of machine learning-trained models and data science accessible to non-data scientists. 

These predictions help managers make better decisions about inventory ordering and labor scheduling. Finance and operations professionals have better projections to adjust pricing, plan promotions, and prepare expansions.

AngelPad 11 | Forbes/MIT Top-Ranked Accelerator: 2015, 2016, 2017.",software_2017
928,RenGen Labs,RenGen Labs is the easiest and most trusted place to connect with companies issuing private equity and security token offerings.,http://rengenlabs.com," Cannabis, Crowdfunding, Cryptocurrency, Finance, Information Technology, Security, Venture Capital",01 to 10 ," New City, New York, United States",2017," Community and Lifestyle, Financial Services, Food and Beverage, Health Care, Information Technology, Lending and Investments, Payments, Privacy and Security, Software","RenGen Labs is a market leader in hosting high growth private equity offering or security token offerings. We work closely with multiple registered broker-dealers across international borders who place the transaction and consult on the capital raise.

We currently support investor qualification and accreditation in a rapidly growing list of 45+ countries.",software_2017
929,Remeet,Remote meetings reinvented,https://www.remeet.com,Software,01 to 10 ," Chicago, Illinois, United States",2017,Software,"Quick, focused, distraction-free meets",software_2017
930,REMEDIA,REMEDIA is an advanced medical data analytics company.,https://www.rxemedia.com/," Analytics, Health Care, Information Services, Medical",01 to 10 ," Austin, Texas, United States",01-01-17 0:00," Data and Analytics, Health Care, Information Technology",,software_2017
931,Reliable Web Solutions,Reliable Web Solutions is a platform providing a wide spectrum of services that are related to creation of mobile responsive design and SEO.,http://www.rwsprof.com/," Internet, SEO, Web Development",01 to 10 ," Leesburg, Florida, United States",01-01-17 0:00," Internet Services, Sales and Marketing, Software",,software_2017
932,Relex,Relex is the world's first cryptocurrency based real estate developer opportunity.,https://relex.io/," Blockchain, Cryptocurrency, Real Estate",01 to 10 ," Cherry Hill, New Jersey, United States",2017," Financial Services, Other, Payments, Real Estate, Software","Relex is the world's first cryptocurrency based real estate developer opportunity. RLX holders have the opportunity to invest in projects during the development phase, which results in exciting opportunities such as proxy ownership of resorts, shopping malls, offices, and more. And gain more rights as a proxy developer, having your voice heard regarding design and implementation of the final master plan.",software_2017
933,Related Works,"Related Works is a research and product strategy firm that provides data, research, and product strategy to companies.",https://www.relatedworks.io," Database, Information Services, Information Technology, Product Research",01 to 10 ," New York, New York, United States",2017," Data and Analytics, Design, Information Technology, Software",,software_2017
934,ReFirm Labs,ReFirm Labs is a group of IoT security experts that develops a new method for vetting and validating firmware.,https://www.refirmlabs.com," Computer, Cyber Security, Embedded Software, Network Security, Software",01 to 10 ," Fulton, Maryland, United States",2017," Consumer Electronics, Hardware, Information Technology, Privacy and Security, Software","ReFirm is an emerging leader in the IoT security space. With decades of experience securing devices for sensitive national security applications, its team has developed a new method for vetting and validating firmware that automates the process of detecting security flaws in connected devices and mitigating them.

Its Centrifuge Platform is at the forefront of this approach and is the first to deliver this capability to the commercial market. Also, its technology is already helping global companies secure their products by testing their firmware during and after the development process, and monitor for new vulnerabilities.

 ",software_2017
935,Refermate,Earn Cash Back and Commission on thousands of stores and brands.,https://www.refermate.com," E-Commerce, Retail Technology",01 to 10 ," Los Angeles, California, United States",2017," Commerce and Shopping, Hardware, Software","Refermate allows users to earn cash back and commission by shopping and referring their favorite stores. Users are able to access thousands of coupons, products, and stores to shop and share.",software_2017
936,Redsip,A social platform that is bringing wine appreciation for everyone!,https://redsip.co/," E-Commerce, Food and Beverage, Retail, Software, Wine And Spirits",01 to 10 ," San Jose, California, United States",2017," Commerce and Shopping, Food and Beverage, Software","Redsip is a social platform with a focused theme on wine and related subjects and topics supporting appreciation of wine and bring about enjoyment for sharing by everyone globally. Redsip strives to take leading AI and AR technologies to revolutionize the ways in which people select, buy, store, enjoy and rate wines. ",software_2017
937,Redemption Technologies,"Redemption Technologies, an source e-commerce marketplace platform, anonymously allows subscribers to pay with a cryptocurrency anywhere.",https://www.Redemption.Cloud," Apps, Blockchain, E-Commerce, Financial Services, FinTech, Insurance, Internet, Marketplace, Mobile Apps, Software",01 to 10 ," Lake Worth, Florida, United States",2017," Apps, Commerce and Shopping, Financial Services, Internet Services, Mobile, Other, Software","Redemption Technologies is a worldwide open source e-commerce marketplace platform that anonymously allows subscribers to pay with a cryptocurrency anywhere, even when cryptocurrencies are not accepted.

The REDEEM Platform will be offered free to developers so that it will be available to the thousands of app developers around the world in need of the company's solution.",software_2017
938," Red Sunflower, Inc ","Red Sunflower specializes in websites, e-commerce, mobile apps, UX design and cybersecurity to help businesses improve their web presence.",https://theredsunflower.com/," Cyber Security, E-Commerce Platforms, UX Design, Web Development",01 to 10 ," Charleston, South Carolina, United States",2017," Commerce and Shopping, Design, Information Technology, Internet Services, Privacy and Security, Software",,software_2017
939,Red Mountain Scientific,Red Mountain Scientific provides the data needed to effectively manage wind turbine or cell tower assets.,http://www.redmountainscientific.com/," Analytics, Artificial Intelligence, Asset Management, Database, Information Technology, Software",01 to 10 ," Fort Collins, Colorado, United States",2017," Artificial Intelligence, Data and Analytics, Financial Services, Information Technology, Science and Engineering, Software","Red Mountain Scientific provides the data needed to effectively manage wind turbine or cell tower assets. Red Mountain Scientific provides an automated data collection, web-based asset management service intended to infer autonomous infrastructure inspection.

The company offers custom flight paths drones leveraging cloud computing and AI software to provide concise reporting and analytics, enabling wind turbine and cell tower operators to inspect their assets and gather all the metrics they need without a hassle.

Red Mountain Scientific was established in 2017 and based in Fort Collins, Colorado.",software_2017
940,RecurEvent,"AI based application that personalizes the gift purchasing experience for special life events, like birthdays and anniversaries",http://www.recurevent.com," Artificial Intelligence, E-Commerce, Mobile, Social Media",01 to 10 ," San Francisco, California, United States",01-01-17 0:00," Artificial Intelligence, Commerce and Shopping, Data and Analytics, Internet Services, Media and Entertainment, Mobile, Science and Engineering, Software","AI based mobile application that syncs online calendars, scrapes data from social media, and sweeps the internet for information to personalize the gift purchasing experience. Busy people will use the app to purchase gifts, on-demand, in advance of special life events, like birthdays and anniversaries.",software_2017
941,Recruitler,Professional Networking and SaaS,https://recruitler.com," Private Social Networking, Professional Networking, Social Media, Social Network, Software",01 to 10 ," Pawtucket, Rhode Island, United States",01-01-17 0:00," Community and Lifestyle, Internet Services, Media and Entertainment, Professional Services, Software",Reinventing Professional Networking,software_2017
942,RecruitChute,RecruitChute is a recruiting platform for college soccer.,https://www.info.recruitchute.io/," Information Technology, Recruiting, Software, Sports",01 to 10 ," Milwaukee, Wisconsin, United States",01-01-17 0:00," Information Technology, Professional Services, Software, Sports",,software_2017
943,RecruitBot,RecruitBot provides recruitment services using big data and machine learning technologies.,https://www.recruitbot.com/," Artificial Intelligence, Big Data, Machine Learning, Recruiting",01 to 10 ," San Francisco, California, United States",01-01-17 0:00," Artificial Intelligence, Data and Analytics, Professional Services, Science and Engineering, Software",,software_2017
944,RecordFixer,Web Application,https://recordfixer.com," Information Technology, Mobile Apps, Software",01 to 10 ," Newport Beach, California, United States",01-01-17 0:00," Apps, Information Technology, Mobile, Software","RecordFixer is the world's first automated criminal record privacy app.  Designed by lawyers and coders who want to help keep past arrests, charges, and convictions out of background checks legally and effectively.  The RecordFixer platform has been researched and field-tested to work within the criminal record ecosystem to avoid erroneous record reporting and exposure of obsolete cases that have negative effects on individuals' personal and professional lives.",software_2017
945,Realty Shine,Realty Shine is a Software for Real Estate integrated with Website for Property management and Marketing.,http://realtyshine.com/," Real Estate, Software",01 to 10 ," Yardley, Pennsylvania, United States",2017," Real Estate, Software",Realty Shine is a platform for Real Estate Brokers to manage their business and website where beautiful modern design is combined with simple online software.,software_2017
946,Realtime Digital Innovations,Realtime Digital Innovations is a software company.,http://www.realtimedi.com/," Business Intelligence, Software",01 to 10 ," Westchester, Illinois, United States",01-01-17 0:00," Data and Analytics, Software",,software_2017
947,RealityNext,RealityNext is an education technology for teens to make and share their own VR story-games.,http://realitynext.net/," E-Learning, Education, Virtual Reality",01 to 10 ," Seattle, Washington, United States",2017," Education, Hardware, Software","RealityNext is an education technology studio-lab where teens create and share immersive stories and games from inside the Virtual World by means of motion capture technologies and 3D tracking systems. Their vision is to blend education with maker spaces, storytelling, and theater while letting students generate content as an uninhibited curiosity stream, fueled by the magic of VR. Their mission is to transform learning from a passive practice of absorbing facts to learning through active, hands-on participation in making. If they succeed, the education of the future will provide mixed modes of interdisciplinary experiences that make kids eager to learn and have fun doing it.",software_2017
948,Read the Docs,Read the Docs focuses on writing high quality documentations in reStructuredText and Markdown specifications.,http://readthedocs.com,Open Source,01 to 10 ," Portland, Oregon, United States",01-01-17 0:00,Software,"Read the Docs is an online platform that offers a range of documentation services to its clients.

The platform’s range of services include open source development, support, platform integration, document process evaluation, and advice. Open source development consists of read the docs integration, sphinx, sphinx, extensions, and python development work. Platform integration consists of auto-generated API reference and render markdown.

Read the Docs was launched by Eric Holscher.",software_2017
949,Rare Bits,"Rare Bits is a zero-fee peer-to-peer marketplace to buy, sell, and discover crypto goods.",https://rarebits.io/," Blockchain, Cryptocurrency, Marketplace, Peer to Peer",01 to 10 ," San Francisco, California, United States",2017," Commerce and Shopping, Financial Services, Other, Payments, Software","Rare Bits is a peer-to-peer marketplace for crypto goods. Discover, buy, and sell over 500,000 unique items all available and probably unique on the blockchain.",software_2017
950,Rapid Imaging,Rapid Imaging provides innovative imaging solutions to significant problems.,http://www.rapidimaging.net/Home.html," 3D Technology, Aerospace, Software",01 to 10 ," Middleton, Wisconsin, United States",2017," Hardware, Science and Engineering, Software",,software_2017
951,Rapid Broker,Real Estate Admin Made Simple,https://rpdbroker.com," Real Estate, SaaS",01 to 10 ," Miami, Florida, United States",01-01-17 0:00," Real Estate, Software","Rapid Broker is an easy to use SaaS for Real Estate Brokers to centralize management, reporting, oversight and decision making for their entire brokerage.",software_2017
952,Rannko,"Rannko offers a full stack of software for review, reputation management, digital presence and social media.",https://rannko.com," Information Services, Internet, Marketing",01 to 10 ," Tampa, Florida, United States",01-01-17 0:00," Information Technology, Internet Services, Sales and Marketing",,software_2017
953,Rally Corp,We help nonprofits acquire and retain donors.,https://rallycorp.com/," Marketing, Messaging, Software",01 to 10 ," San Diego, California, United States",2017," Information Technology, Internet Services, Messaging and Telecommunications, Sales and Marketing, Software",Cultivate and Inspire Passionate Supporters with Rally. Use conversational text messaging to forge unbreakable relationships with donors and volunteers.,software_2017
954,Raise The Barr,Raise the Barr is a technology company that creates corporate diversity and inclusion training.,http://www.weraisethebarr.com," Computer, Information Technology, Software",01 to 10 ," Philadelphia, Pennsylvania, United States",01-01-17 0:00," Consumer Electronics, Hardware, Information Technology, Software",,software_2017
955,Radix Labs,Radix Labs aims to be the operating system for laboratories.,http://radix.bio/," Operating Systems, Software",01 to 10 ," Cambridge, Massachusetts, United States",2017," Platforms, Software","Radix Labs aims to be the operating system for laboratories. Radix works with your existing on premise hardware, and makes it easy to use hardware from many manufacturers.",software_2017
956,Racepass,One pass. 5000+ races worldwide.,http://racepass.com," PaaS, Subscription Service",01 to 10 ," Mountain View, California, United States",01-01-17 0:00," Other, Software",,software_2017
957,R3 Score,"R3 Score is a mobile responsive, collaborative application that enables governments to more efficiently enforce fair hiring legislation.",http://r3score.com/," Banking, Human Resources, Software",01 to 10 ," Baltimore, Maryland, United States",01-01-17 0:00," Administrative Services, Financial Services, Lending and Investments, Software","R3 Score is a more nuanced alternative to the traditional background check, providing businesses with a more accurate way to assess the potential riskiness of applicants with a criminal record and helping to remove barriers to economic opportunity for individuals with a criminal record.",software_2017
958,Quiltt,The data orchestration platform for consumer fintech,https://quiltt.io," Banking, Developer APIs, Financial Services, FinTech, Personal Finance, Software",01 to 10 ," Dallas, Texas, United States",2017," Financial Services, Lending and Investments, Software",Quiltt is the easiest way to add rich consumer fintech experiences into any app.,software_2017
959,Quickze,Quickze is a restaurant app.,http://www.quickze.com/," Apps, Restaurants",01 to 10 ," San Ramon, California, United States",01-01-17 0:00," Apps, Food and Beverage, Software",,software_2017
960,Quic,Use one service to explore and broadcast all social media. Currently in stealth mode. Launching soon.,http://www.quic.me," Broadcasting, Social Media, Social Media Management, Software",01 to 10 ," San Jose, California, United States",2017," Internet Services, Media and Entertainment, Sales and Marketing, Software, Video",Use one service to explore and broadcast all social media.,software_2017
961,Quantum Softech Group,Quantum Softech Group focuses on the development of ERP systems and accounting software solutions.,https://www.quantumsoftwarellc.com/," Accounting, Enterprise Resource Planning (ERP), Software",01 to 10 ," Wixom, Michigan, United States",2017," Financial Services, Professional Services, Software",,software_2017
962,Quantum Integration,The complete IoT platform for electronic hobby enthusiasts!,https://quantumintegrate.com/," Hardware, Internet of Things, Software",01 to 10 ," Santa Barbara, California, United States",2017," Hardware, Internet Services, Software","Quantum Integration delivers an IoT platform that empowers electronics enthusiasts and hobbyists, from novices and experts alike, to create anything from a simple button to home automation and robots! With the combination of Q-Client Builder Bases, Q-Servers and a straight-forward developer environment, you can write apps and create custom firmware without coding. That is the power of making!",software_2017
963,Quantum Insights,Quantum Insights finds hidden meaning in complex data using physics and quantum mechanics.,http://quantuminsights.io/," Big Data, Data Visualization, Software",01 to 10 ," Redwood City, California, United States",2017," Data and Analytics, Design, Information Technology, Software",Quantum Insights finds hidden meaning in complex data using physics and quantum mechanics. Its tool leverages techniques from theoretical physics and quantum mechanics into a hypothesis-free approach that shows you the hidden clusters and structures in your data. It also addresses data that is too complex or high-dimensional for most techniques.,software_2017
964,Quantiport,"Quantiport is an Innovative technology to more quickly, easily and accurately measure blood volume.",http://www.quantiport.com/," Health Care, Information Technology",01 to 10 ," Portland, Oregon, United States",2017," Health Care, Information Technology",,software_2017
965,Qolty,Utilizing new technologies to advance medical research.,https://qolty.com/," Health Care, mHealth, Software Engineering",01 to 10 ," Los Angeles, California, United States",2017," Health Care, Mobile, Science and Engineering, Software","At Qolty Sciences, we believe that the next generation of medical therapies will come from research that utilizes advanced technology to better understand our patients. While medical interventions have advanced significantly in the last 30 years, the ability to see how these therapies are helping on a day to day basis have not, and thus our overarching mission is to give a better insight into our patients. The Qolty platform empowers researchers to do their jobs better, more efficiently, and more cost-effectively in ways never before possible.",software_2017
966,qLogiX Entertainment,"qLogiX Entertainment is an edtech that engages children of all backgrounds to learn STEM through fun, interactive and innovative play.",http://qlogixentertainment.org/," EdTech, Education, STEM Education",01 to 10 ," New York, New York, United States",2017," Education, Science and Engineering, Software","qLogiX Entertainment is an edtech that engages children of all backgrounds to learn STEM through fun, interactive and innovative play.",software_2017
967,Qknow,"Qknow get employees engaged in learning, helps employees remember training, and automates the process to save time.",http://qknow.com," Corporate Training, Knowledge Management, Software",01 to 10 ," Seattle, Washington, United States",01-01-17 0:00," Administrative Services, Education, Other, Software",,software_2017
968,Q2i,"Q2i empowers healthcare teams with insightful, actionable data that drives improvements in patient engagement and treatment plan adherence.",https://q2i.com," Health Care, Mobile Apps, Software",01 to 10 ," Brighton, Massachusetts, United States",2017," Apps, Health Care, Mobile, Software","Q2i collaborates with multidisciplinary healthcare teams, providers and payers to understand and then realize unmet technology needs. They facilitate improvements in patient care by supporting patients with their treatment plans through better connection and information exchange with their healthcare teams.

Q2i develops technology that assists health care providers in achieving the IHI quadruple aim of improving the patient experience of care (including quality and satisfaction), improving the health of populations, reducing the per capita cost of health care and improved clinician experience.",software_2017
969,Pyrus Consulting Group,Pyrus Consulting Group offers enterprise resource planning solutions services.,https://www.pyruscg.com/," Enterprise Resource Planning (ERP), Information Services, Management Consulting",01 to 10 ," Jacksonville, Florida, United States",01-01-17 0:00," Information Technology, Professional Services, Software",,software_2017
970,Purple Go,Modern sales and operations platform for retail,https://www.purplego.co/," B2B, Mobile, Personalization, Retail Technology, SaaS",01 to 10 ," San Francisco, California, United States",2017," Commerce and Shopping, Hardware, Mobile, Other, Software","Retailers struggle with difficult, expensive, and fragmented software solutions while consumers are demanding more efficiency, transparency, and online convenience. Purple Go is an iPad-based platform that manages all operations in an intuitive and affordable package that connects seamlessly online. Today, it’s bringing a relentlessly consumer-centric focus to the eyewear industry, where complexity has made progress challenging.",software_2017
971,Purepost,PurePost is a Public-benefit corporation of Veterans and Veteran Champions.,https://www.purepost.co/," Computer, Software",01 to 10 ," San Francisco, California, United States",2017," Consumer Electronics, Hardware, Software","The only cloud based software that fully-translates a military service members experience into transferable civilian skills, job titles and descriptions. They’re here to advance Veterans careers, and help companies quickly and easily bring America’s best talent into their workforce.",software_2017
972,Pulse,Civic engagement platform connecting citizens to their elected representatives.,https://pulsevoter.com/," Internet, Robotics, Software",01 to 10 ," Stanford, California, United States",2017," Hardware, Internet Services, Science and Engineering, Software",,software_2017
973,Protosure,"Protosure is a cloud-based programming-free submit, underwrite, rate, quote and policy issuance system.",https://protosure.io/," Information Technology, Insurance, Software",01 to 10 ," New York, New York, United States",01-01-17 0:00," Financial Services, Information Technology, Software",,software_2017
974,PropFuel,PropFuel is a voice of the member platform built for associations.,https://www.propfuel.com/,Software,01 to 10 ," Marshfield Hills, Massachusetts, United States",01-01-17 0:00,Software,,software_2017
975,Property Guard,All In One Short-Term Rental Compliance,https://www.propertyguard.io," Artificial Intelligence, Internet, Property Management, Real Estate, Software, Vacation Rental",01 to 10 ," Dallas, Texas, United States",2017," Artificial Intelligence, Data and Analytics, Internet Services, Real Estate, Science and Engineering, Software, Travel and Tourism",Property Guard is the leading short-term rental monitoring solution built and designed specifically for property managers by property managers. Its AI-driven technology automates monitoring and compliance making it easier to track and identify non-registered short-term rentals helping management companies stay on top of short-term rental activity within their portfolio and eliminate the need to manually search through hundreds of listings on a daily basis.,software_2017
976,ProManage,"ProManage is the technology company working on IIoT, AR, AI technology areas for manufacturing operations management.",https://www.promanage.com/," Artificial Intelligence, Augmented Reality, Information Technology, Manufacturing, Software",01 to 10 ," Chicago, Illinois, United States",2017," Artificial Intelligence, Data and Analytics, Hardware, Information Technology, Manufacturing, Science and Engineering, Software",,software_2017
977,PrologMobile,PrologMobile is a mobile device analytics and transactions company.,https://prologmobile.com/," Analytics, Information Services, Mobile Devices, Transaction Processing, Wireless",01 to 10 ," Louisville, Colorado, United States",01-01-17 0:00," Consumer Electronics, Data and Analytics, Financial Services, Hardware, Information Technology, Mobile, Payments, Software",,software_2017
978,Projectric,Projectric combines resource management & project management into a single Project Portfolio Management software solution.,https://projectric.com/," Computer, Software",01 to 10 ," Ashburn, Virginia, United States",01-01-17 0:00," Consumer Electronics, Hardware, Software",,software_2017
979,Project Stark,Build Meaningful Relationships,https://www.projectstark.com/,Software,01 to 10 ," Dallas, Texas, United States",01-01-17 0:00,Software,Project Stark uses data-driven results to help people build meaningful relationships,software_2017
980,Project Phoenix,Project Phoenix is a software company that develops universal business web services and toolset that every developer will use.,https://www.pxdbproject.com/," CRM, Data Center, Information Technology, Software",01 to 10 ," Fargo, North Dakota, United States",2017," Hardware, Information Technology, Sales and Marketing, Software","Project Phoenix is a software company that develops universal business web services and toolset that every developer will use. It is the flexible CRM that a business needs and the affordable ERP every business deserves. Its platform, AegisFlow, is an online marketplace for commercial drone pilots to upload, share, stream, and sell their photos, videos, and 3D modeling content. AegisFlow is a place to contact pilots directly and contract them to fly. 

It was founded in 2017 and is headquartered in Fargo, North Dakota.",software_2017
981,Process Server Technology,Process Server Technology is a powerful web-based platform and mobile app that instantly connects law firms.,https://www.proofserve.com/," Information Technology, Legal, Software",01 to 10 ," Boulder, Colorado, United States",2017," Information Technology, Professional Services, Software",Process Server Technology is a powerful web-based platform and mobile app that instantly connects law firms with independent process servers.,software_2017
982,Probability and Statistics,"Probability and Statistics provides blockchain development, artificial intelligence, and software development services.",https://probabilityandstatistics.com/," Artificial Intelligence, Blockchain, Information Technology, Software",01 to 10 ," Palm Bay, Florida, United States",01-01-17 0:00," Artificial Intelligence, Data and Analytics, Information Technology, Other, Science and Engineering, Software",,software_2017
983,PrivOps,PrivOps offers digital transformation platforms to control data.,https://privops.com," Business Intelligence, Information Technology, Software",01 to 10 ," Alpharetta, Georgia, United States",2017," Data and Analytics, Information Technology, Software",,software_2017
984,Prime Foray,"Prime Foray offers cloud computing, consulting, information technology and marketing services.",https://primeforay.com/," Cloud Data Services, Consulting, Information Technology",01 to 10 ," Medina, Washington, United States",2017," Information Technology, Internet Services, Professional Services",,software_2017
985,Prescribe Fit,Prescribe FIT promotes the adaptation of a healthy lifestyle .,https://www.prescribefit.com/," Apps, Fitness, Health Care",01 to 10 ," Columbus, Ohio, United States",2017," Apps, Health Care, Software, Sports","Prescribe FIT promotes the adaptation of a healthy lifestyle that embraces daily physical activity and healthy nutrition choices designed to lower health care costs. They’re opening new communication channels between primary care physicians, qualified specialists and facilities to track and analyze the lifestyle data of patients to better understand and influence behaviors.",software_2017
986,PREPUBLISH,"app development, mobile development, AWS, iOS app development, Android app development, Backend development, Spring, Angular",https://www.prepublish.today,Software,01 to 10 ," Austin, Texas, United States",01-01-17 0:00,Software,"THE ONE STOP SOFTWARE COMPANY

Intuitive CMS that meet a wide range of digital publishing needs.

Manage your digital assets, deploy and test your content across responsive websites and native mobile apps.

The ""What you see is what you get"" editor integrates social media, images and custom embeds with ease. 

Contact us for more informations.",software_2017
987,Prepaid Program Management,Prepaid Program Management is a prepaid card program management firm that develops and manages payment processing solutions.,https://prepaidpm.com," Financial Services, Mobile Payments, Payments",01 to 10 ," Jacksonville, Florida, United States",2017," Financial Services, Mobile, Payments, Software",,software_2017
988,Prelude,Prelude is an autonomous red team tool packaged as a desktop application.,https://www.prelude.org," Desktop Apps, Information Technology",01 to 10 ," New York, New York, United States",2017," Information Technology, Other","Prelude is an autonomous red team tool packaged as a desktop application. It allows users to attack, defend, and train assets through continuous red teaming.

The company was founded in 2017 by Spencer Thompson and is based in New York, New York.",software_2017
989,Preferhired,"Online referral marketplace where the world goes to hire, refer a friend and find a job.",https://www.preferhired.com," Delivery, Human Resources, Information Technology, Internet, Marketplace, Recruiting, SaaS, Software",01 to 10 ," Tampa, Florida, United States",01-01-17 0:00," Administrative Services, Commerce and Shopping, Information Technology, Internet Services, Professional Services, Software","We started with the simple idea that everyone should be able to access amazing candidates and their dream jobs. And we don’t have plans on losing sight of this mission.
Recruiting and applying to jobs sound like a simple thing, and they should be. Preferhired, The World's Online Recruitment Referral Marketplace, is changing the way people search for jobs and how companies hire top talent. We’re proud to be the first referral software that empowers everyone to help their friends and colleagues find jobs while rewarding them at each stage of the recruitment process, earning unlimited dollars. We equip organizations with the tools, solutions and support they need to grow their teams and their businesses with the best possible candidates within their employees’ social and professional networks – doing so, at a fraction of the time and cost of other channels. At Preferhired, we measure our success by our customers'​ success. Our vision for recruiting is one that is enabled by people, powered by technology and accessible to everyone. For more information about the company visit https://www.preferhired.com.
We’re changing the recruitment process one referral at a time.",software_2017
