Category,Products,Activity Level,Company Description,Min Employees,Max Employees,Average Employees
biotech e commerce startups accounting and legal,service,high company activity detected,legal counsel serving clients in the areas of technology innovation competition and creativity,0,1,0
advertising,service,high company activity detected,studio city orthodontist,0,1,0
health,service,high company activity detected,dialysis 4 career school of hemodialysis is a licensed and registered,0,1,0
advertising,other,high company activity detected,we provide the top experience in the industry when it comes to private deep sea fishing charter,0,1,0
marketing,mobile app,high company activity detected,with over 20 years of electronics repair experience,0,1,0
health productivity messaging,service web app,no recent company activity detected,keep a journal in your favorite messaging app,0,2,1
iot social networks travel ai,web app,high company activity detected,checkins bookmarks and recommendations for travel destinations integrated with fitbit instagram facebook and more,11,50,30
other,service,high company activity detected,angel city animal hospital is a brand new veterinary clinic that provide affordable services in your neighborhood of silverlake,0,1,0
advertising entertainment media social networks,service web app,high company activity detected,the most uninhibited live streaming platform,0,1,0
other,mobile app,high company activity detected,dodocase vr is a specialist in custom branded virtual and augmented reality headsets,0,1,0
e commerce fashion retail,physical goods,high company activity detected,fresh pawz revitalizes the market of dog accessories by introducing streetwear influence,0,4,2
design education software dev,web app,high company activity detected,an ecosystem of uiux and product design resources to help you become a more mindful designer and create better products,0,4,2
analytics governmental manufacturing security,service web app,high company activity detected,log management  analysis,11,50,30
advertising e commerce media content,mobile app web app,high company activity detected,shopping assistant browser extension that provides coupons price tracks and helps users shop sustainably,5,10,7
security blockchain,mobile app,no recent company activity detected,private search engine powered by the blockchain,5,10,7
analytics manufacturing productivity software dev,desktop app web app,high company activity detected,bipp is an enterprisegrade cloud business intelligence platform we help data analysts create faster queries  deliver sharper insights,11,50,30
data design education productivity,service web app,no recent company activity detected,online whiteboard  a tool for remote collaboration and distance learning,5,10,7
marketing social networks startups content,other service,high company activity detected,bryan grey provides blog monetization tips for beginner bloggers who wish to grow their blogs and make money online,0,1,0
automotive marketing sales real estate,mobile app web app,sourced by startup tracker,crm solution that takes on a fullfunnel sales and marketing approach,5,10,7
advertising e commerce social networks ai,mobile app web app,high company activity detected,the first native social shopping platform for merchants influencers and shoppers,11,50,30
other startups,service,high company activity detected,on demand 100 uk based outsourced customer support,11,50,30
other analytics ai big data,mobile app service,high company activity detected,tubr is a mobile app helping people navigate crowds on public transport,0,4,2
other,web app,low company activity detected,ranking security vulnerabilities the right way for your organization,0,2,1
e commerce fashion retail content,other mobile app service web app,high company activity detected,ai  automation personalisation saas technology,51,100,75
productivity security startups,desktop app mobile app service web app,high company activity detected,misentinel offers cloudbased workforce management wfm software that manages scheduling reporting tracking  lone worker,51,100,75
data finance blockchain content,desktop app mobile app service web app,high company activity detected,highperformance enterprise dlt system,51,100,75
advertising marketing media,web app,low company activity detected,keevi lets you repurpose any content in many formats within minutes,11,50,30
communication social networks messaging,web app,no recent company activity detected,create hosted personal about pages with a powerful editor,0,2,1
education hr and recruitment blockchain,service web app,high company activity detected,sensitrust develops a platform where customers and professionals get in touch strengthen their network make deals and design new projects,0,3,1
advertising design marketing productivity,web app,no recent company activity detected,online collaboration markup and approval for pdf image and video files,0,2,1
other design manufacturing hardware,hardware service,high company activity detected,skyrora is a launch services provider dedicated to delivering small satellites into orbit in a responsive versatile ecofriendly manner,101,250,175
automotive governmental insurance medical,desktop app service,high company activity detected,safepassme is dedicated to help you identify and eliminate the use of breached passwords,11,50,30
e commerce entertainment finance productivity,web app,sourced by startup tracker,jungly makes it easy to manage and discover subscription services removing stress for users and saving them money,0,3,1
finance insurance,mobile app web app,no recent company activity detected,autmatic invoice factoring,5,10,7
advertising communication e commerce marketing,web app,sourced by startup tracker,email address verification,0,2,1
productivity security startups,web app,no recent company activity detected,is your business suffering from spaghetti saas let sivvy get a handle on user access to your business resources,0,1,0
finance,mobile app service web app,high company activity detected,finverity is a crossborder supply chain finance platform for midmarket,5,10,7
governmental hr and recruitment retail accounting and legal,desktop app mobile app web app,high company activity detected,proven continuous performance management software,11,50,30
productivity,service,high company activity detected,were zapier experts and help businesses automate their processes,0,4,2
other design e commerce marketing,other desktop app mobile app service,no recent company activity detected,userfeelcom is the usability testing tool that gives you videos of real users speaking their thoughts as they use your website or app,11,50,30
startups,web app,high company activity detected,find a cofounder for your business idea or join an existing startup create your own virtual startup and attract cofounders,0,1,0
finance accounting and legal,desktop app service,high company activity detected,we match global companies with a network of 400 debt collection agencies in 130 countries,11,50,30
finance governmental security medical,desktop app service,high company activity detected,safepassme is dedicated to help you identify and eliminate the use of breached passwords,5,10,7
communication productivity social networks startups,web app,sourced by startup tracker,a free social project management platform that combines project management networking and a companytool directory,0,2,1
advertising e commerce marketing sales,web app,no recent company activity detected,increases traction on websites by using social proof and urgency notifications,0,1,0
finance,web app,high company activity detected,a comparison site for the crypto industry,5,10,7
food and beverages,web app,low company activity detected,mealz is a saas platform that allows food brands to create recipe hubs and excel at recipe marketing,5,10,7
design education entertainment events,web app,high company activity detected,we are a research and design studio exploring the intersection of arts health and immersive technology,0,2,1
finance productivity startups accounting and legal marketing,desktop app mobile app web app,no recent company activity detected,moneypex is an affordable and powerful solution for business owners to keep track of their business finances,11,50,30
advertising communication marketing startups,desktop app,low company activity detected,create your next marketing plan in minutes,0,2,1
communication marketing productivity content,web app,no recent company activity detected,felix transforms your content  posts into video trailers story slideshows and audio clips instantly,0,4,2
data marketing startups software dev,web app,sourced by startup tracker,veriphone is a phone number verification apiit will parse format and validate phone numbers for all countries of the world,0,1,0
productivity hr and recruitment social networks,mobile app web app,high company activity detected,find a mentor volunteer to mentor others set career goals network and grow professionally,5,10,7
communication education events startups,desktop app mobile app web app,no recent company activity detected,goodbye old slides hello interactions,5,10,7
data finance accounting and legal ai,web app,no recent company activity detected,teebly is the simple secure way to manage important communications between companies and their clients from a to z using the power of ai,0,4,2
analytics productivity accounting and legal content,web app,no recent company activity detected,manageable virtual data room with acl watermarking and custom invite only guest list,5,10,7
other finance gaming startups,desktop app service web app,no recent company activity detected,sponsor made is a sport  esport sponsorship platform that allows brands to find analyse and compare global opportunities,0,2,1
hr and recruitment startups,mobile app web app,no recent company activity detected,nomify is an app that connects you to your employees recognize coworkers issue documents share news  events and book time off,0,2,1
media content,web app,high company activity detected,simple online video editing,0,2,1
hr and recruitment startups,mobile app web app,low company activity detected,job board and auction platform for jobs and skills,5,10,7
data design software dev,web app,high company activity detected,making user research quicker and better,5,10,7
health medical,mobile app,high company activity detected,remote care treatment for remission of type 2 diabetes,5,10,7
finance hr and recruitment travel hospitality,mobile app,no recent company activity detected,transforming how flight and hotel upgrades are attained to bring our clients the ultimate loyalty benefit,11,50,30
iot manufacturing hardware medical,hardware physical goods,high company activity detected,novosound sells sensors that push the limits of ultrasonic imaging and measurement,11,50,30
analytics finance startups messaging,service web app,no recent company activity detected,automate your stripe dunning process by sending reminders with an easy way for your users to update their payment details,0,3,1
health hr and recruitment events,mobile app web app,high company activity detected,scheduling for any datetime data with instant compliance check and matching algorithms,0,2,1
analytics data ai software dev,service web app,high company activity detected,codeac helps developers fight technical debt and deliver better code faster,0,2,1
startups,service,high company activity detected,a weekly 1min summary of top tech news for busy founders and techies,0,3,1
analytics data productivity startups,other web app,high company activity detected,track startups from mvp to ipo,0,3,1
communication data startups messaging,web app,no recent company activity detected,email migration tool for office 365  ms exchange,11,50,30
communication data startups messaging,web app,no recent company activity detected,email migration tool for office 365  ms exchange,11,50,30
other food and beverages,desktop app mobile app,no recent company activity detected,cogz enables farmers and growers to sell their surplus and imperfect produce directly to trade buyers,0,2,1
startups accounting and legal ai software dev,web app,high company activity detected,help startups claim back up to 33 of their software development or other costs under the rd tax credit scheme,5,10,7
governmental ai big data software dev,desktop app mobile app,high company activity detected,a selfadaptive platform enabling digitally optimised efficient travel for people with limited mobility from a to b in smart cities,0,4,2
entertainment media retail content,mobile app service,no recent company activity detected,nava is a dependable city exploration application to personalise content based on individual preferences and interests,5,10,7
entertainment manufacturing startups sales,web app,high company activity detected,enterprise league is a business platform for small and medium sized companies,5,10,7
finance,web app,high company activity detected,coinrule is a beginnerfriendly and safe platform to send automated trading instructions to your favourite exchanges,5,10,7
hr and recruitment startups software dev,web app,high company activity detected,work at home jobs,0,2,1
finance blockchain,desktop app mobile app web app,high company activity detected,secure custody and prime brokerage of digital assets,11,50,30
travel,web app,no recent company activity detected,a free tool for planning rail trips around japan,0,3,1
health social networks,mobile app web app,no recent company activity detected,tona is a new workout app built for gym users we let our users plan and record any workout track their progress and compete,5,10,7
e commerce finance blockchain accounting and legal,service,high company activity detected,ai powered programmatic marketing very smart display advertising,0,1,0
communication marketing sales software dev,web app,no recent company activity detected,stackmash keeps you and your team in sync with notifications for events happening inside your app or website,0,2,1
analytics data insurance ai,service,no recent company activity detected,imgeospatial creates marketleading data intelligence products via machine learning ai and more for multiple industries globally,11,50,30
advertising marketing startups,web app,no recent company activity detected,create dynamic images that personalize to your email recipients and website visitors on the fly,0,3,1
consulting,service,no recent company activity detected,we are a magazine that highlights opportunities to run your own business and ways to develop you and your business,0,1,0
data media content,web app,high company activity detected,your life stories captured forever,0,1,0
automotive,service,low company activity detected,the product is mobile car repair  service to customers homes and work and it provides to fleet customers as well,5,10,7
advertising education marketing events,hardware service,no recent company activity detected,specialising in robot hire robot sales and consulting for events exhibitions and education clients,5,10,7
media social networks startups software dev,other web app,high company activity detected,notmp3 team is obsessed with quality software development and continue to extend the collection of free programs,5,10,7
design,web app,no recent company activity detected,find the perfect remote uiux freelancer in just 24 hours,0,1,0
e commerce productivity retail sales,service web app,low company activity detected,we provide a multichannel order shipping and inventory management solution for ecommerce sellers,11,50,30
productivity,web app,no recent company activity detected,turn your reading list into a podcast,0,1,0
design marketing startups content,service,no recent company activity detected,on demand quality content experts for startups agencies  small businesses,5,10,7
other analytics security software dev,other service,high company activity detected,the source for news  information on operational applications  tools,0,1,0
finance marketing messaging sales,other desktop app web app,no recent company activity detected,messaging platform for marketing sales and support,5,10,7
design productivity arvr real estate,other,low company activity detected,percpet imagery with its cloud based immersive platform is helping the aec industry accelerate project delivery reduce costs and rework,0,4,2
entertainment gaming music content,desktop app,high company activity detected,signum audio is creating a generation of intuitive plugins using our prowess in dsp engineering,0,4,2
advertising consulting e commerce accounting and legal,service web app,high company activity detected,seers is the uks leading data protection  privacy compliance onestop shop,11,50,30
marketing sales,service web app,no recent company activity detected,a simple affiliate and referral tracking software,0,4,2
other e commerce startups,web app,high company activity detected,making online payments simple frictionless and fast no setup costs or contract  start taking payments today,0,2,1
education startups travel,service,sourced by startup tracker,volangua is a language school comparison site that aims to make learning a new language available to anyone in the world,5,10,7
design governmental marketing,service web app,no recent company activity detected,a productised web development service for uk charities,0,1,0
advertising marketing sharing economy social networks productivity,service,high company activity detected,put your content curation on autopilot,5,10,7
startups blockchain,web app,high company activity detected,a digital cash exchange with bch pairs,5,10,7
communication health medical software dev,desktop app,high company activity detected,bringing patients and their healthcare teams together,5,10,7
food and beverages data health,web app,sourced by startup tracker,a sports supplement and outdoor food discovery tool with objective comparisons,0,2,1
other productivity,web app,no recent company activity detected,readology is a zerobloat blog site built for the blogreading experience a nobullshit blogging platform,0,1,0
finance accounting and legal,other service web app,high company activity detected,a powerful equity management platform helping companies digitise cap tables shareholder registers and employee shares,11,50,30
retail events sales,web app,high company activity detected,produce beautiful customised quoting documents,0,3,1
startups,service,high company activity detected,every startup wants to disrupt their industry upmarketry gets them the attention they need to do it,0,1,0
education finance,service,high company activity detected,prodigy finance is an online crossborder loan provider that funds international students attending the worlds top schools,101,250,175
e commerce finance iot blockchain,desktop app mobile app web app,high company activity detected,a fast green mobile cryptocurrency optimised for the african mobile fintech arena,0,3,1
advertising retail robotics events marketing,physical goods service,no recent company activity detected,selfiebot the premium robotic photo booth,0,3,1
e commerce ai productivity,web app,high company activity detected,shoppercom is a community curated discount platform that automatically applies to your shopping cart,11,50,30
education productivity hr and recruitment accounting and legal,desktop app service,high company activity detected,stafftimerapp is an artificial intelligence driven time tracking solution,11,50,30
education productivity hr and recruitment accounting and legal,desktop app service,high company activity detected,stafftimerapp is an artificial intelligence driven time tracking solution,11,50,30
data education finance accounting and legal,web app,high company activity detected,effortlessly convert your pdf table to excel online quickly convert any pdf to excel csv xml or html use our api  free trial,5,10,7
communication productivity hr and recruitment events,web app,no recent company activity detected,hopiin is a web events platform that allows organisers to create online meetups networking events and more,0,4,2
e commerce finance retail,other,no recent company activity detected,proplend is a fully fca approved peer to peer lending platform  innovative isa manager specialising in secured commercial property loans,11,50,30
insurance,service,high company activity detected,bicycle insurance thats unlike anything you have seen before,11,50,30
consulting iot manufacturing robotics,hardware physical goods service web app,high company activity detected,3d print in colour you your family friends and pets  prototype all your personal  business ideas,5,10,7
e commerce entertainment fashion marketing,web app,no recent company activity detected,a review system and widget for b2b  collect and display business reviews on websites,0,2,1
insurance sharing economy,mobile app service,high company activity detected,flexible insurance for modern businesses and the selfemployed,51,100,75
finance startups software dev,desktop app mobile app web app,high company activity detected,the faster safer way to send money to more than 200 countries and territories worldwide,101,250,175
data finance startups sales,service,high company activity detected,ebury is a financial services company specifically designed to empower small and mediumsized businesses that want to trade internationally,501,1000,750
advertising analytics marketing media,web app,no recent company activity detected,flick allows entrepreneurs small businesses and content creators reach their target audience by providing the best hashtags for their posts,5,10,7
education health productivity startups,desktop app mobile app,high company activity detected,the only productivity tool that transforms time into impact,0,2,1
food and beverages health productivity,web app,no recent company activity detected,get alerted before your meals go bad in the fridge  freezer,0,1,0
design,other,high company activity detected,a short book running through the importance of landing pages to you the busy founder and your growing business,0,1,0
hr and recruitment,web app,high company activity detected,cakehr is hr software company that streamlines attendance and performance management for customers in over 1000 cities worldwide,11,50,30
other productivity blockchain software dev,web app,no recent company activity detected,allinone workspace for developers to manage code snippets  protect sensitive application data like api keys configurations tokens,0,3,1
advertising communication events content,desktop app service web app,low company activity detected,platform to schedule posts manage all their social media accounts in one place,0,2,1
other startups,web app,no recent company activity detected,time tracking  invoicing for remote freelancers,0,2,1
e commerce startups software dev,service,high company activity detected,all javascript jobs is the 1 job board to find javascript jobs,0,2,1
communication finance governmental sales productivity messaging,web app,no recent company activity detected,search office 365 communications from outlook sharepoint teams skype for business  yammer in one click,5,10,7
entertainment social networks ai content,other mobile app,low company activity detected,a new discovery app that learns about our users through the lists they make  match relevant content created by others in the community,0,2,1
entertainment media content,service web app,low company activity detected,the first magazine for indie makers,11,50,30
consulting finance insurance startups productivity,web app,high company activity detected,easy accessible  automation for documents  processes,5,10,7
productivity startups,other web app,no recent company activity detected,indie maker and bootstrapped startup news,0,2,1
marketing productivity startups software dev,web app,high company activity detected,form backend platform for designers and developers,5,10,7
advertising communication marketing content,service web app,low company activity detected,completely free selfservice influencer marketplace brands buy authoritative influencer posts in minutes,0,2,1
finance,mobile app,high company activity detected,an impact investing app inspiring the next generation of investors,5,10,7
consulting finance insurance accounting and legal,service web app,no recent company activity detected,online discretionary wealth manager investing money in line with your risk profile and goals using an active management approach,51,100,75
communication marketing startups sales,web app,high company activity detected,create beautiful landing pages,0,2,1
other health startups,mobile app service,high company activity detected,a process for emotional intelligence mental wellness for startups founders and the freelance generation,5,10,7
e commerce finance retail accounting and legal,mobile app service web app,no recent company activity detected,cloud based software  pay as you go people for accounts and so much  ,0,3,1
entertainment gaming events social networks,web app,low company activity detected,with fastpoll you can create a stunning looking poll instantly and share with the world,0,2,1
other startups software dev,web app,high company activity detected,create beautiful powerful documentation hasslefree,5,10,7
consulting hr and recruitment,mobile app service web app,low company activity detected,recruitly is a cloud based agency recruitment software it provides crm ats and marketing combined modules for a seamless experience,5,10,7
e commerce,web app,sourced by startup tracker,tax compliance platrofm for ecommerce,5,10,7
finance ai software dev,service web app,no recent company activity detected,flat rate algorithmic trading platform,0,2,1
e commerce marketing content,web app,sourced by startup tracker,we collect the best software deals on the net and deliver them to your browser,0,2,1
education,service web app,no recent company activity detected,online eyfs observations and learning journals software simple quick  hassle free,0,2,1
communication productivity sales,web app,no recent company activity detected,conference calling the way it should be seamless scheduling automated dialin and international calls at fair rates,0,4,2
productivity hr and recruitment startups,physical goods web app,no recent company activity detected,mindful team lets you collect feedback from your team during the sprint easily change the format of your retrospectives and follow through,0,4,2
other productivity startups software dev,service web app,no recent company activity detected,domain name management software  a dashboard for your domains,0,1,0
gaming health productivity medical,mobile app,no recent company activity detected,turns overcoming anxiety into a fun game,0,1,0
analytics data startups big data productivity,web app,no recent company activity detected,totalsheets is a platform that offers you all the tools you need to create a fully functional online spreadsheet,0,1,0
food and beverages entertainment events travel,mobile app web app,no recent company activity detected,find thousands of gayfriendly places in hundreds of cities,0,1,0
social networks,service,no recent company activity detected,a social network just for reviews,0,2,1
food and beverages e commerce health hospitality,mobile app web app,no recent company activity detected,eat safe is a mobile platform that helps people with dietary requirements discover new food,0,3,1
health insurance,other desktop app hardware mobile app physical goods service web app,no recent company activity detected,we compare different solutions to everyday problems that we all come across or will certainly come across within our lives,5,10,7
communication e commerce events social networks,mobile app web app,high company activity detected,padoq allows communities to organise themselves more easily have full control over privacy and above all move money effortlessly,5,10,7
software dev,web app,no recent company activity detected,open commit is a code review as a service platform for developers,0,1,0
fashion,web app,no recent company activity detected,free salon membership app that provide salon owners to easily implement a profitable monthly membership scheme in their salon,0,3,1
analytics communication marketing startups,web app,high company activity detected,great value net promoter score satisfaction survey software that helps you listen to and act on customer feedback,0,3,1
communication consulting iot events,desktop app mobile app service,no recent company activity detected,loop brings team messaging to your inbox so you and your team can email and chat from one app,11,50,30
sharing economy,desktop app service,no recent company activity detected,storemates is an online portal that helps storage seekers find information about accessible storage spaces,0,3,1
security,other service,no recent company activity detected,nextgen email privacy protection helping users exchange private emails endtoend easy fast and secure on all devices,0,2,1
education productivity content,web app,no recent company activity detected,search and organize all your annotations from web pages and pdfs,0,2,1
other data,other service web app,no recent company activity detected,an online platform that makes it easy  to discover experience and care for art,5,10,7
e commerce startups software dev,web app,no recent company activity detected,trolley is a payments platform that helps you you take money from paying customers as fast as possible so you can test your startup ideas,0,1,0
other iot hospitality,service,no recent company activity detected,energy efficiency esco energy saving energy service,11,50,30
education finance,physical goods service,high company activity detected,financial fairy tales empowers children through financial literacy enterprise awareness and personal development solutions,0,1,0
real estate,service,low company activity detected,expert advice for first time home buyers free property intelligence reports dont take unnecessary risks when buying your first home,0,1,0
other finance,web app,high company activity detected,a business loan platform that allows peer to peer lending with savers who become lenders to small business,11,50,30
finance,other,high company activity detected,rebuildingsocietycom is an online platform that connects creditworthy businesses with investors who lend money for a healthy return,11,50,30
food and beverages entertainment media hospitality,desktop app mobile app service,high company activity detected,matchpint is you best mate for sport we tell you the nearest pubs showing a game and reward fans with great offers when they get there,11,50,30
consulting marketing productivity sales,web app,no recent company activity detected,fortifi is a complete cloud based business platform for sales marketing billing and customer support teams,5,10,7
other design e commerce retail,physical goods service,high company activity detected,boufcom is a curated marketplace ensuring you can always find that perfect item  a special gift or a treat for the home,0,2,1
productivity,web app,no recent company activity detected,extremely simple notetaking  blogging,0,1,0
hr and recruitment,web app,no recent company activity detected,easier faster and free way to collecting cvs for hr professionals,0,1,0
entertainment music events,mobile app web app,high company activity detected,dice is the best platform to discover and buy tickets for your next amazing live experience,51,100,75
e commerce travel,web app,high company activity detected,making it a doddle to book campsites in 53 countries member of financial times ft1000 fastestgrowing companies in europe 2018,11,50,30
other marketing,web app,no recent company activity detected,thousands of b2b leads at your fingertips,0,1,0
analytics marketing retail big data,other web app,high company activity detected,a data science company blending proprietary technology machine learning  vast expertise to predict the science of purchase  intent,11,50,30
food and beverages design retail accounting and legal,service,high company activity detected,fleximize launched in january 2014 and provides loans from 5000 up to 500000 enabling smes to grow,11,50,30
startups,web app,no recent company activity detected,ideasarecheap lets you pay me 1 for a startup idea,0,1,0
retail,mobile app,sourced by startup tracker,an app for discovering local deals with your friends,0,1,0
energy iot,hardware service web app,high company activity detected,limejump is a technologydriven utility harnessing the power of big data to positively disrupt and transform todays energy market,11,50,30
other finance retail real estate,mobile app web app,high company activity detected,scalable cloudbased online booking and scheduling tools with global functionality,11,50,30
e commerce productivity hr and recruitment,service,sourced by startup tracker,just3things is a unique saas platform,5,10,7
other startups,other mobile app service web app,high company activity detected,manage analyze monitor complete sap landscape control,11,50,30
communication ai bots messaging,mobile app web app,high company activity detected,syndeo enables organisations to communicate with their customers over messaging,5,10,7
analytics finance insurance big data,service,high company activity detected,psychometric credit scoring to support the underwriting of thin files eg millennials and smes  results more customers less risk or both,11,50,30
hr and recruitment startups ai sales,web app,no recent company activity detected,the anonymous careers marketplace for it sales talent,0,2,1
e commerce accounting and legal productivity,desktop app,no recent company activity detected,synchronise xero invoices and bills to your calendar,0,1,0
entertainment gaming iot arvr,mobile app physical goods,no recent company activity detected,boxback is the app for punchbags it tracks use of a punchbag  helps users get fit,0,1,0
data ai big data software dev,other,no recent company activity detected,artificial intelligence ai and blockchain enterprise software solutions,5,10,7
hr and recruitment sharing economy accounting and legal content,web app,no recent company activity detected,securefs allows users to store share and esign files from any device creating a truly seamless remote working environment,0,3,1
communication e commerce security software dev,other service,high company activity detected,cossack labs builds security tools that help companies prevent sensitive data leakage and comply to data security regulations,11,50,30
advertising startups,other,no recent company activity detected,save up to 500 on your current business electricity bill we compare your electricity bill against all business energy suppliers,0,1,0
design fashion retail,physical goods,no recent company activity detected,futts mission is to transform sock drawers around the globe and improve the lives of children in war torn areas through subscription socks,5,10,7
e commerce,web app,low company activity detected,by using soldigo you can create your online store sell your products on multiple channels simultaneously and grow your brand,5,10,7
advertising marketing bots sales,service,high company activity detected,never miss a lead on your website automatically reply to potential customers schedule meetings and answer questions,0,4,2
entertainment gaming media content,other service,no recent company activity detected,gamer guides is a publisher of interactive digital guides for video games,5,10,7
consulting e commerce education startups,desktop app mobile app physical goods service web app,high company activity detected,on the mission to promote and establish business cultural sporting scientific and social cooperation between the eu us and canada,5,10,7
advertising music events,web app,high company activity detected,tripadvisor for music and festivals,0,2,1
real estate,service,high company activity detected,freeofficefinder provides organisations with a free search facility to help them locate office space in london and the uk,11,50,30
education finance ai bots,desktop app service web app,no recent company activity detected,pia is your personal investment assistant pia will be your smart and supportive ai companion on your investing journey,5,10,7
analytics consulting productivity accounting and legal,desktop app service web app,no recent company activity detected,automation on demand,0,4,2
other health medical,physical goods,high company activity detected,fluidic analytics is developing a line of tools for the rapid accurate costeffective analysis of proteins and other biomolecular species,11,50,30
other finance iot blockchain,web app,high company activity detected,cash out crypto easily and fast with trusted banking,11,50,30
consulting hr and recruitment,web app,no recent company activity detected,saas cloud team and work management platform,11,50,30
arvr,hardware,high company activity detected,we are leading designer and manufacturer of waveguides  the key optical component for augmented reality wearables,51,100,75
education marketing events startups,mobile app physical goods service web app,high company activity detected,a supportive community for startups to network and grow,0,2,1
education startups,web app,no recent company activity detected,learn to build a side project and features without code via screencasts,0,2,1
data messaging,service,high company activity detected,simply better realtime messaging  a platform that makes it easy for you to add realtime messaging and streaming data to your applications,11,50,30
other startups accounting and legal,other service web app,low company activity detected,making debt collection a threeclick process,0,3,1
education,service,no recent company activity detected,free newsletter that condenses what is going on in the art world in a novicefriendly 2min read,5,10,7
communication consulting startups sales,other service,high company activity detected,we help software and telecom companies uncover opportunities accelerate growth create memorable experiences and lead change,0,2,1
communication music,service,high company activity detected,music gateway is a worldwide music industry marketplace where likeminded creatives can develop their careers on a global playing field,11,50,30
health,mobile app web app,no recent company activity detected,a free digital support network for happier healthier mums,0,3,1
design,web app,high company activity detected,maze is a tool for designers and developers that gives analytical results with actionable kpis for your prototypes,5,10,7
other music,other,no recent company activity detected,gadget  revolutionising the led light ritual at events,0,4,2
advertising retail startups ai,desktop app mobile app service web app,no recent company activity detected,easily create price comparison widgets that you can use on social media or on your website made for content creators  influencers,0,1,0
health medical,desktop app mobile app web app,high company activity detected,medshr enables doctors to share knowledge and discuss cases to improve care and save lives,11,50,30
advertising e commerce manufacturing,other,high company activity detected,price comparison electronic part search engine,0,4,2
analytics marketing messaging sales,web app,no recent company activity detected,jumplead is a marketing platform that uses automation events to deliver personalized marketing,5,10,7
finance,mobile app,no recent company activity detected,albert is uk s highest rated finance app for freelancers automating invoicing expensing and connecting in real time to bank accounts,5,10,7
other health productivity messaging,service,no recent company activity detected,snap out of the everyday routine and start spending your time on what matters to you,0,1,0
other startups,other service web app,no recent company activity detected,logicalplan is the easiest way to manage your team,5,10,7
advertising food and beverages fashion health,mobile app web app,no recent company activity detected,it gives a platform to all business owners to advertise their product in united kingdom through our portal,5,10,7
other finance manufacturing accounting and legal,service,high company activity detected,float is an intuitive accurate and visual software addon that helps you forecast your cash and keep on top of your business management,11,50,30
automotive insurance,desktop app mobile app service,high company activity detected,paybymile car insurance,11,50,30
e commerce health,physical goods,no recent company activity detected,upplement is a smart dietary supplement company providing premium vitamin mineral and probiotic solutions in a convenient way,5,10,7
e commerce,physical goods,no recent company activity detected,zortee makes shopping more exciting you play fun games to get outrageous discounts on designer brands,5,10,7
hr and recruitment startups ai big data,service web app,high company activity detected,connecting the top companies using artificial intelligence with the best technical people,0,2,1
other hr and recruitment startups,web app,no recent company activity detected,every single crypto job aggregated into one simple feed  updates hourly,0,2,1
other analytics startups,mobile app,no recent company activity detected,finygo is a mobile app for anglers who wish they could be more successful and consistent fishers,0,1,0
analytics consulting sales software dev,mobile app service web app,low company activity detected,salesseek is an allinone business platform  hub for your customer data crm marketing automation platform  support tools for your team,11,50,30
advertising marketing social networks big data,web app,high company activity detected,wondr connects you with likeminded people of the things you enjoy,5,10,7
other communication hr and recruitment travel,desktop app mobile app service web app,high company activity detected,altitude angel makes drones safer by providing the data and cloud services needed to safely integrate them into our skies,11,50,30
education fashion health,service,high company activity detected,first parenting influencer network with 150000 subscribers and followers of our own  matching brands to network via influencers,0,3,1
food and beverages productivity retail startups,mobile app,no recent company activity detected,we queue so you dont have to,5,10,7
food and beverages e commerce health content,physical goods service,no recent company activity detected,press are a health and wellness brand specialising in nutrition and nutritional products,11,50,30
biotech health medical,service,no recent company activity detected,building an ai to reengineer the human genome,5,10,7
health,desktop app service web app,no recent company activity detected,focus training are a leading provider of active iq and ymca awards certified personal trainer courses,11,50,30
other analytics marketing content,web app,high company activity detected,advanced content planning and scheduling for professional marketers,5,10,7
other communication media software dev,mobile app,low company activity detected,spectral edge is deep tech company that combines image processing with machine learning to improve pictures  on mass market devices,11,50,30
advertising data marketing startups,web app,no recent company activity detected,premium domains for not so premium prices,0,1,0
advertising consulting design sales,service,no recent company activity detected,helping startups optimise their landing page via ux expertise,0,1,0
marketing productivity sharing economy social networks,web app,low company activity detected,linkkle is a product which allows you to replace your social bio links with a single url,0,1,0
productivity,mobile app,no recent company activity detected,we all have totals balances points and other numbers that we need to check frequently trakr brings them all together into a single app,0,2,1
events,mobile app web app,low company activity detected,ticketbuddy is new eticketing software for selling tickets online we offer the cheapest way to buy and sell tickets to events,0,2,1
advertising marketing media hr and recruitment,desktop app service,no recent company activity detected,ours is a tech platform to connect female speakers with speaking opportunities to solve the diversity problem at events globally,5,10,7
finance blockchain,service,low company activity detected,peer to peer lending focused on asset backed lending,11,50,30
e commerce travel,mobile app service web app,high company activity detected,help you save  cost bookings cabs online uk wide,11,50,30
advertising e commerce insurance bots,service web app,high company activity detected,ppc protect helps you stop losing money on your ppc ads to fraudulent clicks,5,10,7
advertising design marketing media,service web app,no recent company activity detected,lobster is a platform which enables brands agencies and the media to licence visual content directly from social media users,11,50,30
other finance insurance,other web app,high company activity detected,for financial institutions that struggle to keep up with everchanging regulations capnovum has successfully automated the process,5,10,7
advertising communication gaming media,desktop app service,high company activity detected,avora is a business intelligence as a service solution with anomaly detection and root cause analysis,11,50,30
finance insurance startups,mobile app,no recent company activity detected,wrisk combines insurance and technology in one simple app,11,50,30
marketing media music social networks,service web app,low company activity detected,nota dist helps independent artists and record labels to get their music online to stream and purchase,0,3,1
