description,website,crunchbase_link,name,activity_level,market,products,revenue_through,founded_by,founded,place,team_members,launch_stage,revenue_stage,amount_raised,twitter_followers,percentile,pageviews,Alexa Ranking
Cloudaress specialize in implementation and integration of Salesforce Marketing Cloud with other Salesforce Clouds,https://www.cloudaress.com?ref=startuptracker,https://startuptracker.io,CloudAress,4,other,other,other,Cloud Aress,January 1 2015,Woburn US,10-May,3,1,Undisclosed,See,9,698,6.6m
ERgent is an ER wait time app that uses the users GPS plus nearby ERs average wait times and features to find quick and top medical care,http://www.ergentapp.com?ref=startuptracker,https://www.producthunt.com/posts/ergent?utm_campaign=producthunt-api&utm_medium=api&utm_source=Application%3A+Startup+Tracker+%28ID%3A+676%29,ERgent,4,"analytics, health, startups, medical, travel","mobile app, service","b2c, other, free to use, subscription",Christian V,June 15 2019,Brooklyn US,10-May,3,1,Undisclosed,27,9,0,0
Mango is an all-in-one contact management and billing tool for small business,https://www.mymangocrm.com/crm-data?ref=startuptracker,https://startuptracker.io,MangoCRM,4,"advertising, food and beverages, startups, sales",web app,"b2b, subscription",MangoCRM,January 1 2019,CHARLOTTE US,2,2,2,Undisclosed,19,9,2.5k,1.9m
Breezy helps you quickly find the best and most affordable insurance for your pets.,https://sobreezy.com/?ref=startuptracker,https://angel.co/company,Breezy,4,insurance,web app,"b2c, free to use, commission","Jason Chen, Richard Lam, Dwink",October 1 2019,Irvine US,2,3,1,Self,14,9,918,5.1m
"FRKST is a 60-day Machine Learning\xa0powered Cryptocurrency\xa0Price Forecast\xa0for Bitcoin & Ethereum, generated daily.",https://frkst.com?ref=startuptracker,https://startuptracker.io,FRKST,4,"finance, blockchain, ai",web app,"b2c, advertising, affiliation",,August 18 2019,San Diego US,1,3,1,Undisclosed,See,9,0,0
Fostering blockchain adoption,https://www.vottun.com?ref=startuptracker,https://www.crunchbase.com/organization/vottun,Vottun,1,blockchain,service,"b2c, other",Rohan Hall,January 1 2018,Los Angeles US,10-May,3,1,Undisclosed,590,9,2.2k,2.1m
Reputation building platform used to learn about customer experiences and generate new reviews.,https://bizooy.com?ref=startuptracker,https://crunchbase.com/organization/bizooy,Bizooy,4,retail,web app,"b2b, subscription",Bizooy.com,March 1 2019,Los Angeles US,10-May,3,1,Undisclosed,67,9,7k,671.5k
Product School provides certified courses in Product Management and other digital skills to professionals across 16 campuses worldwide.,https://www.productschool.com/?ref=startuptracker,https://www.crunchbase.com/organization/productschool,Product School,1,"analytics, data, education, ai",service,"b2c, b2b, sales",Product School,June 5 2014,San Francisco US,11-50,3,1,Self,21.8k,9,169.2k,28.6k
"Evntures, a mobile advertising company, that facilitates the discovery of local events in major metropolitan areas.",https://www.evntures.com?ref=startuptracker,https://startuptracker.io,Evntures,4,"food and beverages, entertainment, events, travel",mobile app,"other, freemium",evntures,January 1 2020,San Antonio US,10-May,3,1,Self,10,9,0,0
Reporting Tool for Facebook ADs,https://adsreport.io/?ref=startuptracker,https://producthunt.com/posts/adsreport,ZingFront,4,"advertising, analytics, data, marketing",service,"b2b, freemium",Christopher Jakeson,February 13 2016,Massachusetts US,51-100,3,1,Self,1.9m,9,2.4k,1.9m
Status is a social financial management app that lets you compare finances with peers and get advice from people like you..,https://statusmoney.com?ref=startuptracker,https://www.crunchbase.com/organization/status-money,Status Money,2,"advertising, finance, social networks, startups","mobile app, web app","b2c, b2b, commission, advertising","Majd M, Korash",May 4 2016,New York US,11-50,3,1,Undisclosed,375,9,20k,238.1k
Allow shoppers to build carts and purchase anywhere a merchant can place a QR code or NFC Tags.,https://accelpay.io/?ref=startuptracker,https://crunchbase.com/organization/accelpay,accelPay,4,"advertising, e commerce, retail",web app,"b2b, freemium",Joshua Waller,September 1 2019,New York US,10-May,3,1,Self,3,9,3.1k,1.5m
Annotate anywhere and work in-context with your teammates.,https://www.usebubbles.com?ref=startuptracker,https://www.crunchbase.com/organization/usebubbles,Bubbles,1,"communication, design, productivity, software dev","desktop app, mobile app, web app","b2c, b2b, freemium","Tom Medema, Bloomon",September 1 2019,San Francisco US,4,3,1,Undisclosed,68.7k,9,69.8k,68.7k
We are providing video guard service with a new quality of service without human monitoring to keep your privacy,https://camdog.ai?ref=startuptracker,https://crunchbase.com/organization/camdog-inc,Camdog,1,"analytics, security, ai",service,"b2b, subscription",,August 3 2019,Claymont US,10-May,2,1,65k,31,9,1.2k,3.9m
Convo makes planning events and sharing with your real friends easy.,https://hiconvo.com?ref=startuptracker,https://betalist.com/startups/convo,Convo,4,social networks,web app,"b2c, free to use",Alexander Richey,October 16 2019,Seattle US,1,3,1,Undisclosed,9,9,Undisclosed,0
Building a next generation decentralized IoT platform where data owners can capture the full value of their data,https://anylog.co?ref=startuptracker,https://crunchbase.com/organization/anylog,AnyLog,4,"analytics, iot, blockchain, big data","desktop app, service, web app","b2b, free to use, freemium",AnyLog,January 1 2018,California US,10-May,2,1,Undisclosed,135,9,0,0
Social Network based on the event industry,https://www.comeclosely.com?ref=startuptracker,https://www.crunchbase.com/organization/comeclosely,ComeClosely,1,"advertising, entertainment, events, social networks","mobile app, service","b2c, b2b, free to use, commission, advertising, affiliation, subscription",Gaetan Ekoondo Helsen,May 25 2019,New York US,10-May,2,1,Undisclosed,62,9,672,6.9m
A.I. to predict future real estate prices,https://www.lofty.ai/?ref=startuptracker,https://www.crunchbase.com/organization/lofty-ai,Lofty AI,4,"analytics, startups, big data, real estate","desktop app, web app","b2c, b2b, sales, subscription",Lofty AI,May 9 2018,Oakland US,3,3,1,815k,559,9,12.6k,375.1k
Professional networking and reputation management for the cannabis industry.,https://leaflist.com?ref=startuptracker,https://crunchbase.com/organization/leaflist,LeafList,4,"other, data, events, social networks",mobile app,"b2b, free to use, affiliation",,May 15 2019,Denver US,3,3,1,Undisclosed,See,9,0,0
Time tracking software that improves the profitability of your projects,http://www.timecamp.com?ref=startuptracker,https://angel.co/timecamp,TimeCamp,1,"consulting, governmental, startups, accounting and legal","desktop app, mobile app, service, web app","b2b, other, free to use, freemium, subscription","Kamil Rudnicki, HeySpace",August 16 2008,Los Angeles US,11-50,3,1,Undisclosed,5.6k,9,280.7k,17.3k
Insurance distribution and product development for nomads and expats,https://www.insurednomads.com?ref=startuptracker,https://www.crunchbase.com/organization/insured-nomads,Insured Nomads,1,insurance,service,"b2c, b2b, commission, affiliation, sales",𝑨𝒏𝒅𝒓𝒆𝒘 𝑱𝒆𝒓𝒏𝒊𝒈𝒂𝒏,December 5 2019,Birmingham US,10-May,1,1,Undisclosed,331,9,13k,364.4k
Dropshipping automation software for ecommerce,http://modalyst.co/?ref=startuptracker,https://www.crunchbase.com/organization/modalyst,Modalyst,1,"other, e commerce, productivity",web app,"b2b, freemium",Modalyst - Dropshipping Software,September 14 2012,San Francisco US,11-50,3,2,Undisclosed,2.8k,9,316.2k,15.4k
Narrow Security Inc provides Fire Guard Services and Security Guard Services across the US.,https://www.narrowsecurity.com/?ref=startuptracker,https://crunchbase.com/organization/neil-ahmadi,Narrow Security,4,"security, real estate",service,"b2c, sales",Narrow Security,December 28 2019,New York US,51-100,3,1,Undisclosed,1,9,857,5.4m
"ONEGOLD is a marketplace where you can buy, sell, redeem and fully manage your precious metals with as little as $1.",https://www.onegold.com?ref=startuptracker,https://crunchbase.com/organization/onegold,OneGold,1,"e commerce, finance","desktop app, mobile app","b2c, other","OneGold, APMEX, Sprott Asset Management",January 1 2019,Oklahoma City US,10-May,3,1,Undisclosed,1.1k,9,29.8k,159.8k
Mr. Simon is an artificial career coach,https://mrsimon.ai?ref=startuptracker,https://startuptracker.io,Mr. Simon,3,"education, hr and recruitment, ai","mobile app, web app","b2c, free to use",,June 1 2019,Hillsborough US,10-May,2,1,Undisclosed,427.7k,9,11.1k,427.7k
"Flexible, beautiful office furniture for growing companies",https://www.branchfurniture.com?ref=startuptracker,https://www.crunchbase.com/organization/bureauwork,Branch,1,"e commerce, real estate","physical goods, service","b2b, sales","Sib Mahapatra, Greg Hayes, Verity Sylvester, Redfin, Breather, redfin",September 15 2019,New York City US,10-May,3,2,Undisclosed,566,9,53.3k,89.8k
Simple do-it-yourself SEO for startups + small business.,https://selfseo.co?ref=startuptracker,https://producthunt.com/posts/self-seo,Self SEO,1,"other, marketing, startups, ai",web app,"b2b, subscription",Sebastian Hovv,January 2 2019,Los Angeles US,2,3,1,Self,1.1k,9,0,0
"A simple, affordable, and powerful sales and marketing automation platform for startups.",https://www.funnelfly.com/?ref=startuptracker,https://producthunt.com/posts/funnelfly,Funnelfly,4,"advertising, marketing, sales",web app,"b2b, subscription",Funnelfly,April 30 2019,Birmingham US,10-May,3,1,Undisclosed,39,9,4.2k,1.1m
Rosy is the first evidence-based mobile solution for the 31 million women who suffer from low sexual desire.,https://meetrosy.com/?ref=startuptracker,https://www.crunchbase.com/organization/rosy,Rosy,1,"health, content, medical",mobile app,"b2c, freemium, subscription",Lyndsey Harper MD FACOG,September 27 2018,Dallas US,4,3,1,Undisclosed,726,9,4.3k,1.1m
GrowthAdvisor revolves around  Employee stock options.,https://growthadvisorhq.com/?ref=startuptracker,https://crunchbase.com/organization/growthadvisorhq,Growth Advisor,4,other,"service, web app","b2c, subscription",Bryan Starbuck,January 8 2019,seattle US,10-May,3,1,Self,6,9,486,9.5m
"Create interactive product tours in minutes with the most non-technical friendly tool, without coding.",https://www.userguiding.com/?ref=startuptracker,https://www.crunchbase.com/organization/userguiding,UserGuiding,1,"advertising, analytics, startups, big data",web app,"b2b, subscription",UserGuiding 🌊,January 22 2018,San Francisco US,10-May,3,1,Undisclosed,790,9,88.7k,54.2k
"A free, stock & cryptocurrency algorithmic trading application for iOS.",https://www.tradealgovest.com?ref=startuptracker,https://www.crunchbase.com/organization/algovest,Algovest,1,"other, finance",mobile app,"b2c, free to use, freemium, subscription",Algovest,December 31 2015,Seattle US,1,3,1,Undisclosed,59,9,0,0
Worldwide copyright-protected AI-generated music,http://mubert.com/?ref=startuptracker,https://www.crunchbase.com/organization/mubert,Mubert,3,"music, startups, ai","other, mobile app, service","b2c, b2b, free to use, sales, subscription",,September 1 2019,Dover US,11-50,3,1,Undisclosed,See,9,3.7k,1.3m
Zero-effort biometric authentication,https://www.idrnd.ai?ref=startuptracker,https://angel.co/company,ID R&D,1,other,service,"b2b, other",Alexey Khitrov,November 16 2016,New York US,11-50,3,1,Undisclosed,595,9,8.4k,563.4k
A premium smartphone the size of a credit card so you can stay connected on the go for $5/month.,https://palm.com/?ref=startuptracker,https://www.crunchbase.com/organization/palm,Palm,1,"other, fashion, productivity, hardware",hardware,"b2c, sales",Palm,October 31 2018,San Francisco US,11-50,3,1,Undisclosed,5.9k,9,51.5k,93k
"NameBounce is a powerful business name generator, helping users can generate hundreds of name ideas with available domains in seconds.",https://www.namebounce.com?ref=startuptracker,https://www.crunchbase.com/organization/namebounce,NameBounce,4,"e commerce, marketing, productivity, startups",web app,"b2c, free to use, commission, affiliation",Axel DeAngelis,October 1 2019,California US,1,3,1,Undisclosed,19,9,23.9k,199.1k
Pastryy is a design website that provides quality designer feedback on your designs in less than 24 hours.,http://www.Pastryy.com?ref=startuptracker,https://producthunt.com/posts/pastryy,Pastryy,4,"consulting, design",service,"b2c, b2b, subscription",Pastryy_design,November 10 2019,Baltimore US,1,3,1,Self,47,9,47,0
"Our product is a Storytelling tool that uses Augmented Reality to allow marketers to build interactive campaigns. No Apps, no coding skills.",https://www.augmania.com?ref=startuptracker,https://www.crunchbase.com/organization/augmania,Augmania,2,"analytics, marketing, startups, ar/vr","other, service, web app","b2b, subscription",Rania Reda,May 5 2015,San Francisco US,10-May,3,1,Undisclosed,696,9,545,8.5m
Delivering more than 500 products in about 10 minutes,https://wahoodelivery.com?ref=startuptracker,https://www.crunchbase.com/organization/wahoo-delivery,Wahoo Delivery,4,food and beverages,mobile app,"b2c, sales",,August 1 2019,WashingtonDC US,3,3,1,Self,47,9,47,0
A viral media site to browse and post your content,https://realmpost.com/?ref=startuptracker,https://startuptracker.io,Realm Post,3,"entertainment, fashion, gaming, health",other,"advertising, affiliation",,November 10 2019,Crawfordsville US,1,3,1,Self,9,9,Self,0
Recruit CRM helps recruiters manage all their work on one simple platform.,https://recruitcrm.io?ref=startuptracker,https://www.crunchbase.com/organization/recruitcrm,Recruit CRM,1,"productivity, hr and recruitment",web app,"b2b, free to use, freemium, subscription",Shoanak Mallapurkar,October 1 2017,Cupertino US,11-50,3,2,Undisclosed,352,9,35k,136.5k
Have your pool serviced in as soon as two hours after subscribing to PoolToday.,https://pooltoday.co?ref=startuptracker,https://crunchbase.com/organization/pooltoday,Pool Today,1,real estate,"mobile app, service","b2c, b2b, subscription","Santo 🏡, MailMyPrescriptions.com",June 1 2019,Boca Raton US,10-May,2,2,Undisclosed,See,9,0,0
"Intelligent Revenue Management: Model, predict, and influence consumer behavior with the power of AI!",https://wappier.com/?ref=startuptracker,https://www.crunchbase.com/organization/wappier,wappier,1,"e commerce, gaming, ai, software dev","desktop app, mobile app, service, web app","b2b, commission, sales",wappier,January 15 2015,New York US,51-100,3,2,4m,195,9,14.4k,329.2k
"SaaS License Management Platform to optimize, automate, and manage contracts and subscription renewals.",https://www.saaslicense.com?ref=startuptracker,https://www.crunchbase.com/organization/saaslicense,SaaSLicense,2,"analytics, data, finance, productivity","desktop app, service","b2b, sales, subscription",,January 1 2017,Massachusetts US,11-50,3,2,Undisclosed,See,9,0,0
EugeneMachine is a website change detection and alerting system.,https://www.eugenemachine.com?ref=startuptracker,https://startuptracker.io,EugeneMachine,3,"analytics, consulting, productivity, sales","desktop app, service, web app","b2c, b2b, free to use, freemium, subscription",EugeneMachine,January 1 2015,Philadelphia US,3,1,1,Undisclosed,9,9,Undisclosed,0
"Saketa provides Enterprise Digital Workspace solutions for organizations to adopt, engage and effectively use SharePoint and O365 platform",https://saketa.com/sharepoint-migrator/?ref=startuptracker,https://www.crunchbase.com/organization/saketa,Saketa,1,other,"desktop app, mobile app, service, web app","b2c, b2b, freemium",Saketa,January 1 2014,Seattle US,251-500,3,1,Undisclosed,690,9,4.4k,1.1m
"Loomly is the Brand Success Platform that empowers marketing teams to collaborate, publish and measure.",https://www.loomly.com/?ref=startuptracker,https://www.crunchbase.com/organization/loomly,Loomly,1,"analytics, marketing, social networks, content","mobile app, web app","b2b, b2g, non profit, subscription","Thibaud CLEMENT, Noémie Clément",February 15 2016,Los Angeles US,10-May,3,2,Undisclosed,2.8k,9,535.5k,9.1k
Send and receive money with no bank account required.,http://bankey.io/?ref=startuptracker,https://crunchbase.com/organization/bankey,Bankey,4,"finance, startups, blockchain","mobile app, service","b2c, commission",Bankey,January 10 2016,"Washington, DC US",11-50,1,1,Undisclosed,9,9,0,0
Computer Software,https://www.basic.ai?ref=startuptracker,https://crunchbase.com/organization/basicai,BasicAI,4,"data, robotics, ai, big data","desktop app, hardware, mobile app, service, web app","b2b, sales",BasicAI,May 1 2019,Irvine US,10-May,2,1,Undisclosed,46,9,1.8k,2.6m
"CloudApp is a video and media sharing platform for organizations, enabling anyone to quickly create, upload and manage visual content.",https://www.getcloudapp.com?ref=startuptracker,https://www.crunchbase.com/organization/cloudapp,CloudApp,1,startups,"desktop app, mobile app","b2c, b2b, freemium",CloudApp,January 1 2015,San Francisco US,11-50,2,1,Undisclosed,23k,9,880.5k,5.6k
KudosBot is the perfect way to spread positivity by giving shout outs or heaping praise for employees who go above & beyond.,https://kudosbot.com?ref=startuptracker,https://crunchbase.com/organization/kudosbot,KudosBot,1,"health, productivity, hr and recruitment, startups","service, web app","b2b, freemium",Fahim Karim,September 1 2019,Seattle US,1,3,1,Undisclosed,See,9,0,0
Sales quoting automation and tracking,https://www.splashq2c.com/?ref=startuptracker,https://startuptracker.io,SplashQX,4,"consulting, e commerce, startups, sales","desktop app, hardware, service, web app","b2b, sales",Splash Q2C (Quote To Cash) Cloud,January 1 2018,Saint Augustine US,10-May,1,1,Undisclosed,9,9,9,0
"Lewis plans and books weekend getaways, fully personalized just for you.",https://www.lewistravel.co/?ref=startuptracker,https://www.crunchbase.com/organization/lewis,Lewis,4,travel,"service, web app","b2c, sales",,August 29 2019,New York US,2,2,1,Self,See,9,0,0
HelpingBusinessesGrow,https://juuced.com?ref=startuptracker,https://crunchbase.com/organization/juuced-marketing,Juuced Marketing,2,"advertising, communication, design, marketing",service,"b2b, advertising, subscription",James Nunn,September 20 2018,Sudbury US,10-May,3,2,Undisclosed,9,9,1.5k,3m
"The First Bank in USA made for Global Clients. We make it safe and easy to Access, Send, Receive and Store money in USA.",https://www.zenus.com?ref=startuptracker,https://www.crunchbase.com/organization/zenus-bank,Zenus Bank,1,"other, e commerce, finance, software dev","mobile app, service, web app","b2c, b2b, b2g, subscription",Zenus Bank,March 8 2019,San Juan US,11-50,2,1,Undisclosed,479,9,17.4k,272.7k
"Shopin is building the essential tools for Retail 3.0: global view of all of retails decentralized purchase data, blockchain DID and A.I.",http://www.shopin.com?ref=startuptracker,https://www.crunchbase.com/organization/shopin,Shopin,4,"retail, blockchain, ai, big data","mobile app, web app","b2c, freemium, sales, subscription","Eran Eyal, lance, Springleap, Forbes Technology Council",September 1 1975,Brooklyn US,10-May,3,1,Undisclosed,6.3k,9,1.2k,3.8m
A recruitment platform where candidates can introduce themselves with 30 second videos,https://www.intro30.com/?ref=startuptracker,https://angel.co/company,Intro30,1,"hr and recruitment, social networks, startups, sales",other,"b2c, b2b, subscription",Intro30,March 1 2019,San Francisco US,3,2,1,Undisclosed,297,9,0,0
"Passbase aims to fully digitize the way people identify themselves by creating a biometrically secured, verified, portable, digital identity",https://passbase.com?ref=startuptracker,https://www.crunchbase.com/organization/passbase,Passbase,1,"sharing economy, startups","mobile app, web app","b2b, commission, subscription",Passbase,August 1 2018,New York City US,11-50,3,1,4.2m,2.8k,9,75.3k,63.8k
Membership-based participatory platform for citizen scientists.,https://cetalingua.com?ref=startuptracker,https://startuptracker.io,Cetalingua Project,1,"education, ai","mobile app, service, web app","b2c, subscription",Cetalingua Project,January 3 2018,Tampa US,3,3,1,Undisclosed,449,9,0,0
Qanairy helps companies test web apps/sites for errors w/AI,https://qanairy.com?ref=startuptracker,https://www.crunchbase.com/organization/qanairy,Qanairy,4,"e commerce, software dev","desktop app, service","b2b, subscription",Qanairy,February 1 2018,Boston US,2,2,1,10k,98,9,0,0
Kugadi simplifies management of a mobile workforce of security guards through an integrated guard tour system and dispatch system,https://www.kugadi.com/?ref=startuptracker,https://www.crunchbase.com/organization/kugadi,Kugadi,4,"hr and recruitment, security, real estate","mobile app, web app","b2b, subscription",Kugadi,May 4 2015,Miami US,10-May,3,2,Undisclosed,347,9,0,0
"Syrreo will help you manage items, quotes, orders, and customers in one streamlined service.",https://www.syrreo.com?ref=startuptracker,https://www.crunchbase.com/organization/syrreo,Syrreo,4,"marketing, media, productivity",web app,"b2c, b2b, freemium, subscription",G Riar,July 1 2018,BAKERSFIELD US,3,2,1,Self,13,9,0,0
"KineticAI, Inc. is building a modular Factory Analytics and Automation Toolkit for the manufacturing industry.",https://www.kineticai.com?ref=startuptracker,https://www.crunchbase.com/organization/kineticai,KineticAI,4,"consulting, manufacturing, robotics, ai","desktop app, hardware, service, web app","b2b, subscription",Gjergj Camaj,April 30 2019,Indiana US,10-May,1,1,Undisclosed,35,9,0,0
Connect with other travelers and locals that have similar travel plans. Save on your entire trip budget and discover new travel experiences.,http://getabord.com?ref=startuptracker,https://angel.co/company,Abord,4,"sharing economy, social networks, travel, messaging",mobile app,"other, b2c, b2b, free to use, commission, advertising, freemium, subscription",Abord,June 18 2019,Boulder US,3,1,1,Undisclosed,18,9,698,6.6m
"A tool that turns your photos, notes, maps into shareable recommendations",https://www.liist.cc?ref=startuptracker,https://startuptracker.io,Liist,3,"other, data, travel, content","mobile app, web app","b2c, free to use, freemium",,July 4 2019,New York City US,4,1,1,Undisclosed,9,9,Undisclosed,0
Bokksu is a premium subscription service that delivers thoughtfully curated boxes of artisanal Japanese snacks and teas.,https://www.bokksu.com/?ref=startuptracker,https://www.crunchbase.com/organization/bokksu,Bokksu,2,food and beverages,other,"other, subscription",bokksu,March 12 2015,New York US,10-May,3,1,Undisclosed,7k,9,77.5k,62k
"Master the worlds most powerful marketing ideas each week, for free",https://proof.to?ref=startuptracker,https://betalist.com/startups/proofto,Proof,4,"advertising, analytics, marketing, media",service,"b2c, b2b, free to use, subscription",Neil Hoyne,July 1 2019,San Jose US,1,3,1,Undisclosed,338,9,338,0
Datanify is the largest provider of high-quality company databases. We have access to over 100 million unique companies.,https://datantify.com?ref=startuptracker,https://crunchbase.com/organization/datantify,Datantify,1,"data, e commerce, startups, big data","service, web app","b2c, b2b, b2g, freemium","""Michael ABurzynski""",August 15 2018,Montebello US,11-50,3,1,Undisclosed,358,9,18.1k,262.2k
SaaSi empowers your team and eliminates waste by providing visibility into your software usage.,http://www.SaaSi.co?ref=startuptracker,https://www.crunchbase.com/organization/saasi,SaaSi,4,"other, startups",web app,"b2b, free to use, freemium","Shahar Chaskelevitch, Tomer Barnea, Dima Grossman, Aviram Kadosh",July 1 2019,New York US,10-May,3,1,Undisclosed,19,9,0,0
Lean On Me strengthens communities by providing peer-to-peer text lines that allow for easy access to confidential non-crisis support.,https://lean0n.me?ref=startuptracker,https://www.crunchbase.com/organization/lean-on-me,Lean On Me,4,"other, education, health, social networks",service,"non profit, free to use, sales",Lean On Me,February 1 2016,Cambridge US,101-250,3,1,Undisclosed,19,9,821,5.6m
"Internet Sunglass Store: sell innovative sunglasses ""unique as you"", ""creative shade for all occasions"", ""hi-tech wear with hi-tech flair"".",https://www.sunglassinnovation.com?ref=startuptracker,https://crunchbase.com/organization/sunglassinnovation-com,Sunglass Innovation,1,"e commerce, fashion, retail",physical goods,"b2c, b2b, sales",Sunglass Innovation®,August 31 2017,Los Angeles US,1,2,1,Undisclosed,42,9,42,0
relationship-based lending application that simplifies loans between friends & family w/ automatic ACH loan payments.,https://www.zirtue.com/?ref=startuptracker,https://www.crunchbase.com/organization/zirtue,Zirtue,1,"finance, sharing economy, startups, software dev",mobile app,"b2c, b2b, other, free to use",ZIRTUE,April 1 2018,Dallas US,10-May,3,1,Undisclosed,213,9,7.2k,654k
API for video recording and playback,http://ziggeo.com?ref=startuptracker,https://www.crunchbase.com/organization/ziggeo,Ziggeo,4,"other, media, startups","other, service","b2b, subscription",Ziggeo,January 1 2012,New York US,10-May,3,1,Undisclosed,4.2k,9,25.2k,188.9k
6nomads is a matching platform that allows companies to find remote verified engineers from around the world.,https://6nomads.com/?ref=startuptracker,https://crunchbase.com/organization/6nomads,6nomads,1,"hr and recruitment, startups, ai, software dev",other,"b2b, sales",,February 1 2019,San Francisco US,10-May,3,1,Undisclosed,See,9,5.4k,873k
"A SaaS platform offering best-in-class consumer experience measurement, capturing the human pulse up to 100x traditional survey methods",https://www.tapyness.com?ref=startuptracker,https://startuptracker.io,Tapyness,1,"data, iot, hospitality",web app,"b2b, subscription",Tapyness®,May 10 2016,Lawrence US,10-May,3,1,Self,250,9,0,0
Professional QR Code Generator,https://supercode.co?ref=startuptracker,https://www.crunchbase.com/organization/supercode,Supercode,1,"other, marketing, sales","service, web app","b2c, b2b, freemium, subscription",Supercode | QR Code Generator,September 1 2019,New York US,10-May,3,1,Self,43,9,1.9k,2.4m
We deliver Real-Time Contextual Insights, empowering mobile teams to accelerate their workflow and release with confidence,https://instabug.com?ref=startuptracker,https://www.crunchbase.com/organization/instabug,Instabug,High company activity detected,"gaming, startups, software dev",service,"b2b, subscription",Omar Gabr,January 1 2013,Palo Alto US,3,3,Pre,$20m,3k,9,~63.9k
Rememorate is a mobile app that combines tech tools with tested psychological techniques to help you remember the people you meet.,https://rememorate.com?ref=startuptracker,https://www.crunchbase.com/organization/rememorate,Rememorate,2,"education, hr and recruitment, events, sales",mobile app,"b2c, b2b, freemium, subscription",Dan B. Lee,May 26 2017,Brooklyn US,10-May,3,2,Undisclosed,3.5k,9,840,5.5m
"KISSPatent provides IP services for entrepreneurs, small businesses, and startups",http://kisspatent.com/?ref=startuptracker,https://www.crunchbase.com/organization/kisspatent,KISSPatent,1,"startups, accounting and legal",service,"b2b, sales",Dvorah Graeser,January 1 2014,Chicago US,10-May,3,1,Undisclosed,608,9,1.9k,2.5m
"Empowering the underbanked community by helping them save money, control their finances and build a blockchain based credit score.",https://uulala.io/?ref=startuptracker,https://www.crunchbase.com/organization/uulala,Uulala,4,"finance, hr and recruitment, sharing economy","mobile app, service, web app","b2c, b2b, other, free to use, sales",Uulala,June 7 2017,Ontario US,11-50,2,1,Undisclosed,635,9,858,5.4m
Amazon Seller Accounting and Inventory Profitability Integration for QuickBooks,https://www.entriwise.com?ref=startuptracker,https://crunchbase.com/organization/entriwise,Entriwise,4,"e commerce, accounting and legal",service,"b2b, free to use, subscription",Entriwise,October 22 2016,Linden US,10-May,3,2,Self,33,9,5k,931.8k
"UniBit uses AI to deploy unique market data feeds for trading, analytics and applications.",https://unibit.ai/?ref=startuptracker,https://producthunt.com/posts/unibit-api,UniBit,4,"analytics, ai, big data","service, web app","b2c, b2b, freemium, subscription",UniBit,January 1 2018,Boston US,11-50,3,1,Undisclosed,49,9,2.7k,1.7m
"HelloWoofy.com, a Data Science Driven Marketing Platform, is built for small businesses as small business owners ourselves.",http://Hellowoofy.com?ref=startuptracker,https://crunchbase.com/organization/woofy-inc,HelloWoofy.com / Woofy.ai,1,"advertising, ai, big data, content",web app,"b2b, subscription",👋 Arjun Rai | 👉$49+/year at HelloWoofy.com,August 1 2016,New York US,10-May,3,2,Undisclosed,3.9k,9,54.4k,88k
HealthAI lets users take a picture of a mole and screen for cancer.,https://www.lazarusai.com?ref=startuptracker,https://crunchbase.com/organization/lazarus-enterprises-2,HealthAI,1,"health, ai","other, mobile app, web app","b2c, free to use, subscription",Lazarus,October 5 2017,Cambridge US,3,3,1,Undisclosed,30,9,2.7k,1.7m
The best way to hire or be hired in media & entertainment.,https://wrangle.work?ref=startuptracker,https://www.crunchbase.com/organization/wrangle-3a59,Wrangle,4,"productivity, hr and recruitment, content",web app,"b2c, subscription",Wrangle,February 2 2019,Los Angeles US,10-May,2,1,Undisclosed,71,9,3k,1.5m
Open-source project of Go code to bootstrap your software-as-a-service startup.,https://saasstartupkit.com/?ref=startuptracker,https://startuptracker.io,SaaS Startup Kit,3,"data, design, startups, software dev","other, service, web app","b2b, non profit, free to use","SaaS Startup Kit, Keeni Procedures, Aurora Forecast, Keeni Space Operating Procedures",June 1 2019,Anchorage US,10-May,3,1,Self,3,9,3.2k,1.5m
We enable businesses to buy data directly from the users,https://datacy.com/?ref=startuptracker,https://crunchbase.com/organization/datacy,datacy,2,"analytics, data, blockchain, big data","service, web app","b2c, b2b, commission","Kaleb Jordan Wilson, Paroma Indilo",October 1 2018,Tennessee US,10-May,1,1,Self,299,9,9.7k,486.7k
Your one-stop shop for EXCLUSIVE motivated home seller leads!,https://leadgeeks.com?ref=startuptracker,https://crunchbase.com/organization/lead-geeks,Lead Geeks,1,"advertising, marketing, real estate","other, service","other, subscription",Lead Geeks,November 1 2016,Phoenix US,10-May,3,1,Undisclosed,258,9,3k,1.6m
Generates responsive images so you dont have to optimize,https://piio.co?ref=startuptracker,https://www.crunchbase.com/organization/piio,Piio,4,"other, e commerce, retail, software dev","service, web app","b2b, sales, subscription",Piio,January 1 2018,San Francisco US,10-May,3,1,Undisclosed,232,9,7.5k,627.4k
Find out if your email is likely to trigger spam filters. Run a free email spam and security test in less than 1 minute with MailGenius.com,https://www.mailgenius.com/?ref=startuptracker,https://startuptracker.io,MailGenius,1,"advertising, marketing, sales","other, service, web app","b2b, free to use",Daniel Levi,April 30 2019,Los Angeles US,4,3,1,Undisclosed,186,9,47.6k,100.6k
