,Categories,Closed Date Year,Description,Founded Date,Headquarters Location,Number of Founders,Number of Funding Rounds,Organization Name,Total Funding Amount,success
400,"Mobile, Software, Video Games, Web Development",2013,"Massively Fun makes engaging, massively multiplayer casual games.",2010,"Seattle, Washington, United States",,1.0,Massively Fun,5266132.0,0.0
401,"Communities, Family, Internet, Online Portals",2013,The Oakland Single Parents' Network is an online platform for family-centered community building for single parents both online and offline.,2010,"Oakland, California, United States",,1.0,Oakland Single Parents' Network,5000.0,0.0
402,"Contact Management, Social Media",2013,Friendsignia is a relationship management tool that filters data from social networks to display the most relevant connections.,2012,"Memphis, Tennessee, United States",,1.0,Friendsignia,15000.0,0.0
403,"Analytics, SaaS, Software",2013,Marketing Performance Management,2011,"Seattle, Washington, United States",1.0,1.0,Enodo Software,5266132.0,0.0
404,Finance,2013,Spontaneously is an online platform for coordinating meetings.,2011,"New York, New York, United States",3.0,1.0,Spontaneously,5266132.0,0.0
405,Software,2013,Indie Vinos' mobile technology helps wineries grow their direct-to-consumer sales by synching the point of discovery with the sales,2009,"Portland, Oregon, United States",1.0,1.0,Indie Vinos,5266132.0,0.0
406,"Classifieds, E-Commerce",2013,Classiphix was an intelligent P2P commerce platform that used connectivity and confidence to provide safer online transactions.,2009,"Toledo, Ohio, United States",,1.0,Classiphix,15000.0,0.0
407,Social Media,2013,Connecting Small Businesses &Communities,2012,"Cincinnati, Ohio, United States",1.0,1.0,SocStock,5266132.0,0.0
408,"Enterprise Software, Food and Beverage, Restaurants",2013,Lecere provides software applications for restaurants to capture experiences of patrons.,2009,"Portland, Oregon, United States",,3.0,Lecere,5266132.0,0.0
409,"Collaboration, Gamification, Gaming",2013,Koduco provided iPad games for multiplayer collaboration on the same device.,2010,"San Francisco, California, United States",1.0,1.0,Koduco,5266132.0,0.0
410,"Gift Registry, Loyalty Programs, Media and Entertainment",2013,"MyBandStock is a platform for entertainment companies to track, group and reward fans for online purchases.",2009,"Los Angeles, California, United States",2.0,1.0,Mybandstock,5266132.0,0.0
411,"Hardware, Messaging, SaaS, Video Chat",2013,VisitorsCafe is a feature that socializes the web's content.,2010,"Boston, Massachusetts, United States",1.0,1.0,VisitorsCafe,5266132.0,0.0
412,"Coupons, Mobile Apps, Mobile Devices",2013,"Wabeebwa delivers relevant coupon information to users while they are shopping, via a web browser toolbar add-in or a mobile device app.",2011,"Monroe, Connecticut, United States",2.0,1.0,Wabeebwa,5000.0,0.0
413,"Lead Generation, Photography, SaaS",2013,FaceTags uses facial recognition technologies to turn faces in photos and videos into qualified leads.,2011,"New York, New York, United States",,1.0,FaceTags,5266132.0,0.0
414,"Content, National Security, Social Media",2013,AlphaStripe was an online networking platform for military personnel and civilians to record conflict zone memories and to make connections.,2012,"Scottsdale, Arizona, United States",1.0,1.0,AlphaStripe,5266132.0,0.0
415,"Facebook, Social Network, Web Browsers",2013,Taggable allows users to tag Facebook friends on any site using the taggable bookmarklet.,2010,"Mill Valley, California, United States",,1.0,Taggable,5266132.0,0.0
416,"Collaboration, File Sharing, Location Based Services, Photography, Social Media",2013,Popset enables users to maintain group photo albums with friends through mobile devices.,2012,"Mountain Pass, California, United States",4.0,1.0,Popset,5266132.0,0.0
417,"Collaboration, Data Visualization, Software",2013,Social Network,2009,"San Francisco, California, United States",1.0,3.0,Youtego,5266132.0,0.0
418,"Developer Platform, Gaming, Video Games",2013,Doppelgames developed mobile social games and used augmented reality and GPS to provide a different social gaming experience to players.,2010,"Los Angeles, California, United States",,1.0,Doppelgames,5266132.0,0.0
419,Health Care,2013,"PCD Partners is a group of world class physicians, academics, and entrepreneurs who have decades of experience with collaboration in",2011,"Lebanon, New Hampshire, United States",,1.0,PCD Partners,5266132.0,0.0
420,Travel,2013,Friend Traveler is a social network enabling travellers with similar tastes and experiences to connect and plan trips together.,2009,"New York, New York, United States",2.0,1.0,Friend Traveler,5266132.0,0.0
421,E-Commerce,2013,"HugeFan is an e-commerce service where celebrities in music, sports, business and technology sell in-person experiences via auction, fixed",2011,"Washington, District of Columbia, United States",2.0,1.0,HugeFan,5266132.0,0.0
422,"Art, Marketplace, Online Portals",2013,everyArt enables its customers to connect with professional artists and obtain their services.,2011,"Lucerne Valley, California, United States",,1.0,everyArt,5266132.0,0.0
423,"Mobile, Video, Video Streaming",2013,TapIn.tv is a mobile video app that enables users to record what they see and stream it live with anyone.,2011,"East Palo Alto, California, United States",7.0,1.0,TapIn.tv,5266132.0,0.0
424,"Apps, Enterprise Software, IaaS, Information Technology, Infrastructure, Internet, PaaS, Virtualization",2013,GENEI is a cloud infrastructure solution which allows java and web infrastructure to run like a grid and operate like a cloud.,2011,"White Horse Beach, Massachusetts, United States",2.0,1.0,GENEI Systems Inc.,5266132.0,0.0
425,"E-Commerce, Fashion",2013,Open Runway is a personalized shopping experience that allows its users to create and order self-made content.,2009,"Boston, Massachusetts, United States",1.0,1.0,Open Runway,5266132.0,0.0
426,"Messaging, Video",2013,Fipeo is a video-based social network that allows users to find and connect with new people locally and around the world.,2011,"West Hartford, Connecticut, United States",2.0,1.0,Fipeo,5266132.0,0.0
427,"File Sharing, Personalization, Publishing",2013,"10BestThings offers solutions for users to build, manage, and share various lists.",2009,"Cleveland, Ohio, United States",2.0,1.0,10BestThings,50000.0,0.0
428,"Content, Education, Publishing",2013,Root-1 Research has built the platform Open Minds for publishers to insert educational widgets into online content meant for K-12 audiences.,2009,"Mountain View, California, United States",1.0,1.0,Root-1 Research,5266132.0,0.0
429,"iOS, Mobile",2013,Yobble is a mobile motion sensing platform for apps that need more than the regular touch interfaces.,2011,"San Francisco, California, United States",2.0,1.0,QuickBooks Support,5266132.0,0.0
430,"Digital Media, News, Sports",2013,Fanbouts is a fan-generated sports news website where fans can post content and vote to decide which posts make it to the front page.,2012,"Lexington, Kentucky, United States",1.0,1.0,Fanbouts,5266132.0,0.0
431,"Ediscovery, Local, Social Media",2013,"Urban Metrics is a start-up providing a consumer web service for the social, local, commerce and entertainment industries.",2010,"San Francisco, California, United States",2.0,1.0,Urban Metrics,5266132.0,0.0
432,"Casual Games, Gamification, Gaming",2013,International App Development Studio,2011,"New York, New York, United States",1.0,1.0,Energatix Studio,5266132.0,0.0
433,"Marketing, Media and Entertainment, Music",2013,"NXTM is a platform providing tools for artists to build, manage and monetize their careers online.",2011,"Los Angeles, California, United States",,1.0,NXTM,5266132.0,0.0
434,Social Media,2013,Entrepreneurial Match Making For College Students - Matching potential co-founders by personality and skills. Think LinkedIn meets eHarmony.,2011,"Cleveland, Ohio, United States",1.0,1.0,FounderSync,5266132.0,0.0
435,"Advertising, Social Media Marketing",2013,"BatesHook is a Marketing and Advertising company specializing Mobile Marketing, Social Marketing Innovation, Organizational Evolution.",2009,"Los Angeles, California, United States",,1.0,BatesHook,5266132.0,0.0
436,"Nightclubs, Nightlife, Service Industry",2013,MySocialNightlife is a web-based technology platform providing solutions to consumers and businesses of the nightclub and bar industry.,2009,"Los Angeles, California, United States",,1.0,MySocialNightlife,5266132.0,0.0
437,"Apps, Communities, Mobile, Open Source, Privacy, Social Media",2013,Social Network,2010,"West Palm Beach, Florida, United States",2.0,1.0,thesweetlink,5266132.0,0.0
438,"Gaming, Mobile, Real Time",2013,2nd Screen Games is launching a platform that promotes brand engagement through social challenges.,2012,"San Francisco, California, United States",,1.0,2nd Screen Games,5266132.0,0.0
439,Social Media,2013,UpRace offers a gaming platform that enables its users to set and share goals in their community and bet on challenges with other users.,2010,"Boston, Massachusetts, United States",,1.0,UpRace,5266132.0,0.0
440,"Digital Media, TV, Video Streaming",2014,Aereo is a technology company that lets subscribers view live TV through a tiny remote antenna that can be controlled over the internet.,2010,"New York, New York, United States",1.0,4.0,Aereo,97000000.0,1.0
441,"Housekeeping Service, Real Time, Service Industry",2014,Exec is a house cleaning service that users can book from their iPhone or the web in real-time.,2011,"San Francisco, California, United States",3.0,1.0,Exec,3300000.0,1.0
442,"Advertising, Mobile, NFC",2014,"Proximiant is an iPhone and Android app that allows shoppers to get digital receipts, receive coupons and deals directly to their phones.",2011,"Sunnyvale, California, United States",3.0,2.0,Proximiant,8450972.0,0.0
443,"Communities, Web Design, Web Development",2014,Forrst is a community where designers and developers can share their work and get feedback.,2010,"Campbell, California, United States",1.0,1.0,Xưởng May Gia Công DOSI,205000.0,1.0
444,"Mobile, Social Media, Video",2014,"Supernova is a social mobile creation, discovery and sharing company located in Venice.",2010,"Venice, California, United States",3.0,4.0,Supernova,19500000.0,1.0
445,"Mobile, Software",2014,Everest is a SNS-based mobile app that enables users to share photos and experiences about the adventures and journeys in life.,2012,"San Francisco, California, United States",3.0,3.0,Everest,2200000.0,0.0
446,"Finance, FinTech",2014,"SoMoLend, a web-based tech platform, allows small businesses to raise debt financing from individuals, banks, and business associations.",2011,"Cincinnati, Ohio, United States",1.0,4.0,SoMoLend,4225000.0,0.0
447,"Apps, Guides, Software",2014,Guide is a software company transforming traditional web content into an audio-visual stream for curation and consumption on-the-go.,2012,"Miami, Florida, United States",2.0,2.0,Guide,2500000.0,0.0
448,"Advertising, E-Commerce, Independent Music, Photography",2014,"Stipple is an internet technology company providing a platform enabling users tag people, places, and objects in an image.",2010,"San Francisco, California, United States",2.0,4.0,Stipple,14379000.0,0.0
449,"Advertising, Gift, Restaurants",2014,FreeMonee enables merchants to offer cash gifts to customers in motivating them to visit their stores.,2009,"San Mateo, California, United States",2.0,2.0,FreeMonee,45000000.0,0.0
450,"iOS, Mobile",2014,Twist is an iOS and Android app that messages users' pre-determined contacts of their location and estimated time of arrival in real-time.,2011,"San Francisco, California, United States",4.0,1.0,Twist,6000000.0,0.0
451,"Cloud Data Services, Data Center Automation, Enterprise Software",2014,ScaleXtreme provides cloud-based server automation products for distributed data centers.,2010,"San Mateo, California, United States",2.0,2.0,ScaleXtreme,13000000.0,1.0
452,"Analytics, Apps, Brand Marketing, Social CRM, Software",2014,"Argyle Social provided a social media management tools focused around powerful social tools for B2B marketers. Argyle shutdown in May, 2014.",2010,"Durham, North Carolina, United States",1.0,2.0,Argyle Social,1565000.0,1.0
453,"Finance, Photo Sharing, Photography",2014,Birdbox is an online platform that enables people to share and collect photos with a group of people.,2012,"Boulder, Colorado, United States",1.0,2.0,Birdbox,1100000.0,0.0
454,"Biotechnology, Health Care, Medical Device",2014,"Ingram Medical improves the management of diabetes by providing quality testing supplies, oral medications and shipping services.",2011,"Sandy, Utah, United States",,1.0,Ingram Medical,30000000.0,0.0
455,"E-Commerce, Fashion, Retail",2014,"Hukkster, a shopping tool, allows users to track and mark products on websites and notifies them via text or email when they go on sale.",2012,"New York, New York, United States",2.0,3.0,Hukkster,4500000.0,0.0
456,"Home Services, Local, Marketplace, Skill Assessment",2014,Done. is a marketplace where talented locals create profiles to advertise their talents.,2011,"New York, New York, United States",3.0,1.0,Done.,985136.0,0.0
457,"E-Learning, Education, Knowledge Management",2014,LearnStreet is a company that provides an online education website for computer programmers.,2012,"San Francisco, California, United States",2.0,1.0,LearnStreet,1000000.0,0.0
458,"Augmented Reality, Internet of Things, Mobile, Wearables",2014,"Mind Pirate, Inc. was acquired by HP's Innovation Group in Dec., 2014. Mind Pirate built technology for wearable & IoT computing apps",2012,"Menlo Park, California, United States",4.0,1.0,"Mind Pirate, Inc.",2500000.0,0.0
459,"Apps, Employment, Human Resources, Mobile, Recruiting, Search Engine",2014,The place for business talent to break into tech.,2014,"Mountain View, California, United States",3.0,1.0,Emjoyment,2589474.0,0.0
460,"EBooks, Internet, Subscription Service",2014,Entitle offers a money-saving e-book subscription service.,2011,"Wilmington, North Carolina, United States",,1.0,Entitle,5300000.0,0.0
461,"File Sharing, Lifestyle, Local, News, Social Media, Sports",2014,Glocal is an online destination enabling users to share and consume information on local things.,2010,"Detroit, Michigan, United States",1.0,1.0,Glocal,1000000.0,0.0
462,"Events, Photography, Video",2014,"Switchcam enables video production by helping users organize a camera crew, collect footage and publish the result online in real-time.",2011,"San Francisco, California, United States",2.0,3.0,Switchcam,1220000.0,0.0
463,"Big Data, Enterprise Software, Social Network",2014,Messagemind is a corporate social intelligence company that provides cutting-edge technology solutions for companies and executives.,2010,"New York, New York, United States",2.0,1.0,Messagemind,3427500.0,0.0
464,"Content, Social Media",2014,Yabbly is an AMA platform for professionals to enhance their personal brands and increase awareness for their companies.,2012,"Seattle, Washington, United States",1.0,4.0,Yabbly,1995000.0,0.0
465,"Children, Mobile Apps, Security",2014,Pumpic is a reliable parental control app that provides comprehensive monitoring solutions for child protection,2014,"Overland Park, Kansas, United States",,1.0,Pumpic,500000.0,1.0
466,"Biotechnology, Health Care, Pharmaceutical",2014,"Novita Therapeutics is a privately held biopharmaceutical and medical device company headquartered in Lenexa, Kansas.",2009,"Olathe, Kansas, United States",,6.0,Novita Therapeutics,7745000.0,0.0
467,"Advertising, Enterprise Software, Marketing",2014,InstallMonetizer enables software developers to generate additional revenue from their installations.,2010,"San Jose, California, United States",2.0,2.0,InstallMonetizer,500000.0,0.0
468,"Cloud Computing, Enterprise Software, PaaS",2014,"CPUsage offers PaaS for high-throughput and high-performance computing, enabling faster virtual distribution of any app to the cloud.",2011,"Portland, Oregon, United States",3.0,3.0,CPUsage,925000.0,0.0
469,"Advertising, Video",2014,Beezag is at the forefront of data science innovation and its application in today’s video advertising arena.,2009,"New York, New York, United States",2.0,2.0,Beezag,3250000.0,0.0
470,"Android, Casino, Gambling, Mobile, Video Games",2014,Win Win Slots designs social mobile casino games for women.,2012,"Kenansville, Florida, United States",1.0,1.0,Win Win Slots,500000.0,0.0
471,"Computer, Enterprise Software, Hardware",2014,Starboard Storage Systems is a startup developer of hybrid storage arrays featuring SSDs and spinning hard drives.,2012,"Broomfield, Colorado, United States",,1.0,Starboard Storage Systems,13000000.0,0.0
472,"Architecture, Online Portals, Product Design",2014,"FPGA, FPASSP and SOC web portals to do chip architectures; e.g. searching, selecting and comparing FPGA devices from different vendors.",2010,"Cupertino, California, United States",1.0,1.0,Chip Path Design Systems,4902818.0,0.0
473,"Apps, Social Media, Social Media Marketing",2014,"Dojo helps Facebook fan page administrators to create sweepstakes, bonus coupons, welcome tabs, and more.",2011,"San Francisco, California, United States",1.0,2.0,Dojo,880000.0,0.0
474,"Finance, Mobile",2014,Rewind.Me offers apps and services that deliver control over personal data for consumers and marketers.,2011,"New York, New York, United States",,2.0,Rewind Me,800000.0,0.0
475,"E-Commerce, Eyewear, Women's",2014,Rivet & Sway is an online provider of designer and prescription eyeglasses for women.,2011,"Seattle, Washington, United States",1.0,2.0,Rivet & Sway,2350000.0,0.0
476,"Advertising, Real Estate, Social Media Marketing",2014,Salorix works with brands and agencies to simplify and scale social media engagement.,2009,"Santa Clara, California, United States",1.0,2.0,Salorix,3502000.0,0.0
477,"Biotechnology, Medical Device",2014,Fixes 4 Kids is a medical device company focused on developing and manufacturing innovative solutions for the pediatric orthopedics market.,2009,"Salt Lake City, Utah, United States",1.0,2.0,Fixes 4 Kids,1675926.0,0.0
478,"Computer, Gaming, Mobile",2014,"U4iA Games creates AAA, free-to-play games in social interactive entertainment.",2011,"Bellevue, Washington, United States",2.0,2.0,U4iA Games,7030928.0,0.0
479,"Search Engine, Software",2014,FindIt is a mobile application that makes it easier to find files on the users mobile device.,2011,"Chicago, Illinois, United States",3.0,3.0,FindIt,1118000.0,0.0
480,"Events, Search Engine, Social Media, Ticketing",2014,Explore amazing events & activities catered to you.,2011,"Berkeley, California, United States",1.0,1.0,Socialplex Inc.,750000.0,0.0
481,"Food and Beverage, Mobile, Travel",2014,Citybot is the developer of Itinerary Engine a mobile tool that enables travelers to create intra-day itineraries.,2012,"San Diego, California, United States",4.0,2.0,Citybot,750000.0,0.0
482,"E-Commerce, Hospitality, Travel",2014,"Guestmob is an online website that allows users to book and find price deals on hotels similar in location, rating and quality.",2010,"San Mateo, California, United States",,1.0,Guestmob,800000.0,0.0
483,"iOS, Real Time",2014,"Jawfish Games develops freemium multiplayer and real-time video game tournaments for the iOS, Android, Facebook and Kindle.",2012,"Seattle, Washington, United States",7.0,2.0,Jawfish Games,3485000.0,0.0
484,"News, Social Media",2014,"retickr is a personalized news service that enables its users to find, deliver, and share news updates, posts, and stories.",2011,"Chattanooga, Tennessee, United States",4.0,2.0,retickr,1550000.0,0.0
485,"E-Commerce, Lifestyle, Shopping",2014,Consignd operates a virtual consignment marketplace that enables users to sell products through an expert.,2012,"New York, New York, United States",4.0,1.0,Consignd,40000.0,0.0
486,"Fashion, Lifestyle, Men's",2014,Swag Of The Month is a subscription-based clothing company providing services for men.,2011,"Santa Monica, California, United States",2.0,1.0,Swag Of The Month,100000.0,0.0
487,"Automotive, E-Commerce",2014,Simplifed shared ownership for roommates and friends,2014,"Minneapolis, Minnesota, United States",2.0,1.0,Divvy,500000.0,0.0
488,"Children, E-Commerce, Online Portals",2014,Hopscout is an online store for children’s products that provides deals on a daily basis.,2010,"San Francisco, California, United States",1.0,1.0,hopscout,1300000.0,0.0
489,"Delivery, Hospitality",2014,Fresh Dish delivers food recipes along with required ingredients to the consumer’s doorstep.,2012,"Santa Monica, California, United States",,1.0,Fresh Dish,500000.0,0.0
490,"Ad Targeting, E-Commerce, Fashion, Supply Chain Management",2014,Stunable is a clothing aggregator and commerce platform that uses API technology to revolutionize the way women experience fashion.,2011,"New York, New York, United States",3.0,1.0,Stunable,250000.0,0.0
491,"Online Portals, Search Engine",2014,Slinky - Find your favorite GIF,2010,"Mountain View, California, United States",1.0,1.0,Slinky,250000.0,1.0
492,"Local, Search Engine, Vertical Search",2014,OpenChime provides an online service that enables individuals to find and book local services.,2010,"Chicago, Illinois, United States",,1.0,OpenChime,700000.0,0.0
493,"Content, Mobile, Publishing",2014,"Panelfly aggregates, editorializes and commercializes franchise-level content that maximizes engagement and monetization for creators.",2011,"New York, New York, United States",,2.0,Panelfly,1210000.0,0.0
494,"Messaging, Mobile, SMS",2014,"Fast Society is a community platform for group texting, conference calling, location sharing, and photo sharing in one interface.",2009,"New York, New York, United States",3.0,1.0,Fast Society,275000.0,0.0
495,"CRM, SaaS, Scheduling",2014,InGrid Solutions is a cloud-based software platform that streamlines the day-to-day business processes of HVAC contractors.,2010,"Portland, Oregon, United States",1.0,2.0,InGrid Solutions,77000.0,0.0
496,"Marketplace, Social Network, Web Browsers",2014,Yardsellr is an online marketplace using social networks to connect buyers and sellers.,2009,"San Francisco, California, United States",,2.0,YellowDog Media,5750000.0,0.0
497,"3D Technology, Cloud Computing, Enterprise Software, Mobile, Presentations",2014,BigTwist helps business professionals create interactive presentations.,2011,"Brooklyn, New York, United States",2.0,1.0,BigTwist,620000.0,0.0
498,"Enterprise Software, mHealth",2014,"White Cheetah offers Crowd911, a geo-location and social networking tool that provides safety alerts during emergencies.",2012,"Fort Collins, Colorado, United States",,2.0,White Cheetah,290000.0,0.0
499,"Social, Social News, Software",2014,Hearsay.it is a social news-sharing application that enables users to share everything they read with their followers.,2010,"San Francisco, California, United States",2.0,1.0,Hearsay.it,100000.0,0.0
500,"Cloud Computing, Delivery, E-Commerce, Network Security, Shipping, Software, Transportation",2014,"Shipzi is a cloud-based shipping solution for e-commerce, SMBs, and home-based businesses.",2011,"Orem, Utah, United States",1.0,2.0,Shipzi,285000.0,0.0
501,"Analytics, Big Data, Data Visualization, Information Technology, Predictive Analytics, Public Safety",2014,D8A Group uses data visualization and predictive analytics to help create safer smarter cities.,2011,"Philadelphia, Pennsylvania, United States",1.0,2.0,D8A Group,45000.0,0.0
502,"E-Commerce, Fashion, Shopping",2014,Dibsie is an online shopping catalog curated by a user’s social network in real-time.,2010,"New York, New York, United States",2.0,1.0,Dibsie,450000.0,0.0
503,"Blogging Platforms, Ediscovery, Events, Music, Video",2014,Boomrat is a music and event discovery platform created to discover and share electronic dance music content.,2012,"Los Angeles, California, United States",2.0,1.0,Boomrat,310000.0,1.0
504,"Health Care, Social Media, Wellness",2014,HealthRally is a social healthtech startup that offers a crowdfunding platform for personal health motivation.,2010,"San Francisco, California, United States",2.0,2.0,HealthRally,400000.0,0.0
505,"Health Care, Predictive Analytics, SaaS, Software",2014,"Operating Analytics offers OR Forecast, a product that gives surgical departments a daily forecast of operating room utilization.",2013,"Cambridge, Massachusetts, United States",3.0,1.0,Operating Analytics,50000.0,0.0
506,"Education, Software",2014,"Schoolfy is an educational technology platform offering tools for educators to create study material, assessments, and other materials.",2011,"Sunnyvale, California, United States",4.0,1.0,Schoolfy,250000.0,0.0
507,"Recruiting, Software",2014,"Work For Pie allows software developers to create a showcase of real, working products and quantifiable experiences.",2011,"Memphis, Tennessee, United States",2.0,3.0,Work For Pie,315000.0,0.0
508,"Collaboration, Education, Messaging",2014,Studifi is an online collaboration platform. It allows students to find teammates within each of their classes.,2012,"Boston, Massachusetts, United States",1.0,1.0,Studifi,100000.0,0.0
509,"Alternative Medicine, Beauty, Health Care",2014,"NoviMedicine connects patients to doctors, focusing on reducing the barriers of consulting a dermatologist.",2012,"California, Kentucky, United States",2.0,1.0,NoviMedicine,20000.0,0.0
510,"Scheduling, Social, Web Apps",2014,"Spurfly is a spur-of-the-moment, on-the-fly social calendaring application for groups of any size.",2011,"Arlington, Virginia, United States",1.0,1.0,Spurfly,175500.0,0.0
511,"Information Services, Politics, Web Browsers",2014,"eVoter, an election information website, enables voters to generate customized ballots, locate polling centers, and make contributions.",2009,"Hollywood, Florida, United States",,2.0,eVoter,599997.0,0.0
512,"Apps, iOS, Messaging, Mobile Apps, Photography, Social Media",2014,Blurtt is a photo sharing app for the iPhone that allows users to captionize and share photos with others.,2010,"Lewisville, Texas, United States",4.0,2.0,Blurtt,59000.0,0.0
513,"Analytics, Health Care, Social Media",2014,dxcare is a secure social media platform that connects family caregivers with healthcare organizations worldwide.,2012,"Chicago, Illinois, United States",1.0,1.0,dxcare.com,250000.0,0.0
514,"Machine Learning, Messaging, Natural Language Processing, Social Media",2014,Social Data Introductions,2012,"San Francisco, California, United States",,1.0,SayHello LLC,300000.0,0.0
515,"Advertising, Mobile, Social Media",2014,Keepskor is a software company that provides its users with tools to create mobile games and applications.,2011,"New York, New York, United States",2.0,1.0,Keepskor,180000.0,0.0
516,"Fantasy Sports, Internet, Sports",2014,Daily Fantasy Sports,2012,"Saratoga Springs, New York, United States",1.0,2.0,FanTD,500000.0,1.0
517,"Dating, Human Resources, Recruiting, SaaS, Software",2014,Matchmaker between recent graduates and employers. Think eHarmony for university job recruiting.,2013,"La Jolla, California, United States",,1.0,Careerflo,100000.0,0.0
518,"iOS, Messaging, Video",2014,Kincast is a video sharing service designed to work easily across family generations and platforms .,2010,"Palo Alto, California, United States",2.0,1.0,Kincast,310000.0,0.0
519,"Fitness, Health Care, Software, Sports",2014,Tivity is a crowd-sourced knowledge base of local athletic activities.,2010,"Syracuse, New York, United States",,1.0,Tivity,18000.0,0.0
520,"Events, Mobile, Social Media",2014,Yasmo Live is an on-site event networking system.,2010,"San Francisco, California, United States",1.0,3.0,Yasmo,415000.0,0.0
521,"Clean Energy, Energy, Manufacturing, Mining Technology, Renewable Energy",2014,"PowerMag, a clean-technology company, produces devices that reduce energy consumption, carbon footprint and operating costs.",2011,"Chicago, Illinois, United States",,1.0,PowerMag,405000.0,0.0
522,"Education, Financial Services, Personal Finance",2014,Online personal finance resource for young people.,2011,"Arlington, Virginia, United States",1.0,1.0,YoBucko,125125.0,0.0
523,"Advertising, Coupons",2014,The Rush Points is a rewards gaming network that delivers a suite of mobile and online games.,2012,"Washington, District of Columbia, United States",,1.0,Rush Points,250000.0,0.0
524,"Gamification, Hardware, Social Media, Software, Sports",2014,Portable Scores is a sports-related company developing a connected portable electronic scoreboard for recreational sports.,2012,"Madison, Wisconsin, United States",2.0,1.0,Portable Scores,25000.0,0.0
525,"Commercial, Consumer Goods, Mobile, Social Media",2014,"RallyCause offers an online platform enabling consumers to shop in featured businesses, claim a rebate, and donate to their favorite causes.",2011,"Bend, Oregon, United States",2.0,2.0,RallyCause,150000.0,0.0
526,"Concerts, Music, Sports, Ticketing",2014,"Showkicker operates a crowdbooking platform for live music fans, bands, and venues.",2011,"Portland, Oregon, United States",,1.0,Showkicker,25000.0,0.0
527,"Biotechnology, Medical, Medical Device",2014,TGS Knee Innovations develops proprietary orthopedic implant systems that kinematically restore knee function to arthritis patients.,2009,"Plymouth, Minnesota, United States",,2.0,TGS Knee Innovations,2132250.0,0.0
528,"Information Services, Information Technology, News, Social Media",2014,"I Just Shared enables users to share all they watch, read and listen on Facebook and Twitter.",2010,"Santa Monica, California, United States",,1.0,I Just Shared,200000.0,0.0
529,"Advertising, Local Business, Social Media",2014,"VocalizeLocal delivers marketing tools to improve the way businesses manage their customer reviews, local directories, and mobile presence.",2010,"New York, New York, United States",1.0,1.0,VocalizeLocal,40000.0,0.0
530,"Leisure, Mobile, Travel",2014,Pins helps you keep track of all your favorite places. Never forget a cool spot anymore and send it to a friend in 1 tap. Just use his,2013,"San Francisco, California, United States",1.0,1.0,Pins,5266132.0,0.0
531,"Affiliate Marketing, Enterprise Software",2014,Jounce offers web-based software applications for affiliate marketers.,2009,"Salt Lake City, Utah, United States",,1.0,Jounce,600000.0,0.0
532,"Online Auctions, Product Design, Social Network",2014,Worksurfers is an online platform and social network that enables local designers to connect with startups needing their design skills.,2013,"San Francisco, California, United States",1.0,1.0,Worksurfers,40000.0,0.0
533,"Consumer Electronics, Coupons, E-Commerce, iOS",2014,"OrderBorder is a group-buying daily deal website that offers accessories, software, and peripherals for Apple products.",2010,"Irvine, California, United States",,1.0,OrderBorder,100000.0,0.0
534,"Internet, Local Business, Messaging, Mobile Apps",2014,TalkBin offers a tool that allows customers to send feedback messages to local businesses.,2010,"Mountain View, California, United States",3.0,1.0,TalkBin,5266132.0,1.0
535,"Web Design, Web Development",2014,"Easel is an in-browser web design tool enabling users to mockup, collaborate on, and implement ideas.",2012,"Lucerne Valley, California, United States",3.0,1.0,Easel,5266132.0,1.0
536,"Crowdsourcing, Graphic Design, Online Portals",2014,8020select.com is a private online design community providing small businesses with affordable graphic design services.,2011,"Pittsburgh, Pennsylvania, United States",1.0,3.0,8020select,25000.0,0.0
537,"Information Technology, Software, Travel",2014,"Tripshare is the only way to discover the world, create and edit your itinerary BEFORE you book, share it with friends, family, or",2011,"San Francisco, California, United States",1.0,1.0,Tripshare,5266132.0,0.0
538,"Android, Apps, Brand Marketing, Human Resources, iOS, Legal, Mobile, Public Relations",2014,Thumb Arcade is a game discovery site highlighting independently-produced mobile games for iPhone and Android devices.,2009,"Westwood, New Jersey, United States",,1.0,Thumb Arcade,100000.0,0.0
539,"Automotive, Public Transportation, Transportation",2014,Marvin is a car-sharing platform that accelerates the transition of transportation from gasoline cars to self-driving electric cars.,2013,"San Francisco, California, United States",2.0,1.0,Marvin,10000.0,0.0
540,"Customer Service, Manufacturing",2014,Cryptographic Currency Manufacturer,2013,"Seattle, Washington, United States",1.0,1.0,Coinex-IO,20000.0,0.0
541,"Advertising, Consumer, Marketplace",2014,atHomestars is a New York-based platform that connects busy professionals with the local providers of home services and experiences.,2011,"New York, New York, United States",1.0,1.0,atHomestars,300000.0,0.0
542,"Sales Automation, Small and Medium Businesses",2014,The fastest way to create and run a successful online store.,2011,"San Diego, California, United States",1.0,2.0,Cashie Commerce,5266132.0,0.0
543,"Email, Reservations, Task Management",2014,Superhuman is a New York City-based technology startup with a mission to make people's lives easier.,2012,"Las Vegas, Nevada, United States",1.0,1.0,Superhuman.io,5266132.0,0.0
544,"Employment, Social Media",2014,IntroFly is an app that connects users based on their passions to advance their careers.,2011,"Chicago, Illinois, United States",2.0,1.0,IntroFly,75000.0,0.0
545,Consulting,2014,Venture Incite helps new technology companies prepare themselves to be recipients of early-stage venture capital funds.,2011,"Nashville, Tennessee, United States",,1.0,Venture Incite,875000.0,0.0
