,Company.name,Company Business,Category,Company Revenue,Competitor count (cap at 10),Competitor Revenue in Total,HHI
174,matchist,Matchist is a product design company that helps businesses with APIs develop certification programs.,"Developer APIs, Market Research, Product Design, Social Entrepreneurship, Web Development",1.0,9,435.6,0.6829020440000001
175,ondore,"Proprietary technology for real-time social media monitoring & big data analysis, focused on online reputation management.","Big Data, Reputation",1.0,8,46.2,0.16878431800000002
176,mytime,"MyTime powers online scheduling, automated marketing and point of sale for mid-market and enterprise service retailers.","Apps, E-Commerce, Local Business, Marketing Automation, Mobile, Point of Sale, Scheduling",6.1,10,442.1,0.33889247
177,ecinity,"Ecinity is an automated online marketing service for local businesses. Ecinity changed its name to Bridg in August, 2013.","Internet, Marketing, Marketing Automation",43.5,8,63.9,0.350055471
178,massdrop,Community-driven commerce,"Communities, E-Commerce, Shopping",16.8,10,512.0,0.255399933
179,ahalogy,"Ahalogy is the Passion to Purchase Platform, combining category trend data, influencer network & social optimization software to drive ROI.","Brand Marketing, Content, Content Creators, Content Marketing, Information Technology, SaaS, Social Media, Software",2.9,10,195.8,0.595498836
180,urx,URX drives mobile commerce through relevant product ads.,"App Marketing, Digital Media, E-Commerce, Mobile",1.1,9,134.5,0.296598997
181,ravellaw,"Ravel is a platform for legal search, analytics and visualization.","Analytics, Legal, Search Engine",1.4,9,9560.9,0.7851447970000001
182,ppgindustries,,,42.1,10,140371.9,0.337847868
183,kraven,Krave-n Inc. provides an iPad-based point-of-purchase platform (POPP) for restaurants.,"Information Technology, Mobile, Restaurants",1.4,9,191.6,0.138531256
184,parlevelsystems,ParLevel develops hardware and software that provides intelligent solutions to the vending machine industry.,"B2B, Enterprise Software, Finance, Hardware, SaaS, Software",2.0,5,29.5,0.329709853
185,bounceimaging,Throwable omnidirectional/360 cameras for first responders,"Consumer Electronics, Hardware, Law Enforcement, Robotics, Sensor, Video",3.4,10,70672.5,0.967336591
186,zerochroma,Uber functional cases for Apple hardware,"Consumer Electronics, Fitness, iOS, Small and Medium Businesses",1.0,10,112361.1,0.46409556
187,tanium,Tanium is a security and systems management solution that allows real-time data collection at enterprise scale.,"Enterprise Software, Information Technology, Security",200.0,10,1966.9,0.231515162
188,devicefidelity,DeviceFidelity develops plug-and-play technologies that enable organizations to deploy their services and applications on mobile phones.,"Mobile, Payments, Wireless",2.4,10,8055.0,0.33442171800000003
189,beamtechnologies,A smarter dental benefits company that offers employers a proprietary underwriting method informed by oral hygiene routines.,"Dental, Insurance, Internet of Things",3.0,9,302209.3,0.448927688
190,powwow,PowWow Mobile is redefining the mobile enterprise.,"Enterprise Software, Information Technology, Software",3.0,10,127.6,0.487770364
191,healthpocket,HealthPocket is a technology company that compares and ranks health plans for its users.,"Consumer, Health Care, Non Profit",1.4,10,320915.1,0.19320872100000006
192,vadio,Vadio is a dynamic audio / video player for audio streaming platforms,"Internet Radio, Mobile, Video, Video Streaming",1.0,9,229.9,0.24290285600000006
193,uberall,Uberall provides a location marketing cloud that offers a solution to localize all aspects of online marketing __o increase local sales.,"Consumer Reviews, Enterprise Software, Local, Reputation, Search Engine, Social Media Management, Software",16.6,10,255.2,0.700265205
194,shopularapp,Shopular is changing the way people use their mobile phones to shop. The innovative mobile app notifies users of personalized deals.,"E-Commerce, Mobile, Shopping",2.0,10,21710.6,0.962682754
195,tylrmobile,Tylr mobile offers role-specific mobile work apps that connect mobile tools with business data and processes to increase productivity.,"Information Technology, Mobile, Mobile Apps",1.0,10,41478.3,0.273572009
196,cumulogic,CumuLogic is a software provider enabling enterprises and cloud-computing providers to deliver AWS-like cloud services.,"Cloud Computing, Cloud Data Services, IaaS, Software, Virtualization",1.0,9,5869.5,0.509178044
197,lucidenergy,Creating a new way for industries particularly those that use large amounts of water and electricity.,"Energy, Renewable Energy, Water",3.8,8,126.3,0.198548868
198,keychainlogistics,Keychain Logistics utilizes mobile technology to bridge the logistical gap between shippers and carriers of freight.,"Digital Media, Fleet Management, Software, Supply Chain Management, Transportation",1.0,9,348.7,0.444280444
199,suredone,SureDone provides a dashboard that enables e-businesses to upload their products once and sell them on multiple channels.,"E-Commerce, Marketing, Marketplace",1.0,10,942.7,0.638781933
200,3drobotics,"3DR makes advanced drone technology easily accessible to the construction, mining, and surveying industries for use in data analysis.","Drones, Robotics, SaaS",93.3,10,287.9,0.344192854
201,playteau,Playteau creates a mutliplatform game portfolio for social networks.,"Gaming, Social, Social Network",1.0,2,2.0,0.5
202,authorea,Google Docs meets Github for scientific research.,"Collaboration, Life Science, Publishing, Software",4.0,9,44.2,0.116950922
203,springbot,"Springbot delivers data-driven marketing recommendations, marketing automation, and analytics in one dynamic platform for SMB merchants.","Analytics, Artificial Intelligence, Big Data, E-Commerce, Email Marketing, Marketing Automation, Marketplace, SaaS, Social Media Marketing",2.0,9,597.8,0.683779803
204,shoppad,ShopPad is an application used to convert a desktop e-commerce site into an interface optimized for every version of the iPad.,"E-Commerce, iOS, Mobile, SaaS",5.2,8,67.9,0.27628996100000003
205,thehackettgroup,,,690.1,10,99768.8,0.326092119
206,sonardesign,"The Sonar platform enables anyone with a modern browser to create, share, promote, monetize, and analyze interactive experiences.","EdTech, Education, Training",4.2,10,158.5,0.351406025
207,cielo24,"cielo24 is an online platform that creates searchable metadata, including indexes, transcripts, and captions.","Enterprise Software, Search Engine",5.0,10,158.2,0.221856665
208,noxilizer,"Noxilizer provides room temperature NO2-based sterilization technology for the medical device, pharmaceutical and hospital industries.","Hospitality, Medical Device, Pharmaceutical",5.0,10,24889.0,0.349470826
209,nuorder,NuORDER is a cloud & mobile B2B eCommerce platform empowering brands and retailers to streamline their business operations.,"B2B, E-Commerce, Fashion, Internet, SaaS, Wholesale",9.6,9,77.6,0.225415825
210,appmyday,AppMyDay operates an online social platform for event and photo-sharing.,"Events, Mobile, Mobile Apps, Private Social Networking",1.0,9,41.1,0.341408114
211,datagravity,DataGravity is a software company engaged in the IT industry and is focused on providing data security and remediation services.,"Enterprise Software, Information Services, Information Technology, Network Security",13.8,10,2409.1,0.355889239
212,tracelink,TraceLink is a SaaS platform for tracking and tracing pharmaceuticals.,"Compliance, Life Science, Pharmaceutical, SaaS, Supply Chain Management",18.0,9,4133.9,0.93652263
213,glossi,Glossi is a publishing platform that enables users to create and share their own digital magazines across multiple devices.,"Advertising, Digital Media, News, Publishing",1.0,9,681.8,0.237974239
214,factorio,Factor.io offers a service for developers to define and integrate their continuous deployment and integration workflow.,"Computer, Internet, Software",1.0,1,48.2,0.960175821
215,realtymogul,"We're an online marketplace for real estate investing, connecting borrowers and sponsors to individual and institutional investors.","Finance, FinTech, Marketplace, Real Estate, Real Estate Investment",3.0,10,62.9,0.15016391099999998
216,luxresearch,Emerging Tech Research & Advisory Firm,"Big Data, Biotechnology, Consulting, Energy, Innovation Management, Internet of Things, Market Research, Professional Services, Wearables",21.9,9,7198.9,0.972767903
217,sprinklr,Sprinklr provides social media management platform that enables enterprise brands to connect with customers across every touch point.,"Advertising, Analytics, Blogging Platforms, Enterprise Software, Social CRM, Social Media, Social Media Management, Social Media Marketing",150.0,10,426.7,0.167350944
218,kidaptive,Kidaptive is a media and technology company creating entertaining and adaptive content that helps children learn.,"Big Data, EdTech, Education, Machine Learning, Personalization",4.0,10,137.7,0.146957828
219,rootsrated,"RootsRated is a media platform that connects users with the best outdoor experiences, hand- picked by local experts.","Apps, Big Data, Mobile, SaaS, Social Media",19.4,7,132.0,0.397153352
220,rentlytics,Rentlytics is building the platform to transform the world__ real estate data into accessible information.,"Analytics, B2B, Property Management, Real Estate, SaaS",5.7,10,425.5,0.40512957
221,citymaps,"Citymaps is a social mapping community, building the world__ largest catalog of map collections, for every interest, all around the world.","Local, Search Engine, Travel",1.0,9,1041.8,0.7163723009999999
222,handsontest,Hands On Test is a cloud-based application that helps companies maximize their time spent finding exceptional talent.,"Human Resources, Information Technology, Software",1.0,3,12.5,0.463936
223,gripeo,Submit your customer service issue with GripeO.,"Advertising, Customer Service, Lead Generation, Mobile, SaaS, Social Media Marketing",4.0,10,321.1,0.4377263770000001
224,birst,Birst is a global leader in cloud business intelligence and analytics for the enterprise.,"Analytics, Business Intelligence, Embedded Software, Enterprise Software, Web Development",13.0,10,1619.9,0.56120079
225,apozy,Perceptual AI to stop phishing and social engineering for Chrome and GSuite.,"Cloud Security, Cyber Security, Enterprise Software, Information Technology, SaaS, Security",1.0,10,208.0,0.256980399
226,fundacity,Fundacity connects startups and investors by offering an online investment platform and tools to help both sides with fundraising.,"Cloud Infrastructure, Finance, FinTech, Impact Investing",1.0,10,472.3,0.721556217
227,redapt,Redapt is a systems integrator that delivers data center infrastructure and cloud solutions tailored to meet business goals.,"Cloud Computing, Data Center, Web Hosting",34.5,9,25329.0,0.7261945670000001
228,perfectaudience,Perfect Audience is a retargeting platform that lets marketers bring back lost web visitors through Facebook ads and banner ads in the web.,"Ad Retargeting, Advertising, Marketing, Service Industry",9.3,9,410.2,0.547812117
229,avocadosoftware,Avocado is an app that enables couples to stay connected by messaging and sharing photos with each other.,"Android, iOS, Mobile, Software",1.2,10,1922.7,0.326089214
230,realync,Realync is a real time touring platform enabling live and recorded video tours for the multifamily and real estate industries.,"Mobile, Real Estate, Real Time, Video",4.3,9,51.8,0.128821872
231,boatbound,Boatbound is_a fully insured __ier-to-pier_ marketplace for boat rentals in the U.S.,"Boating, Collaborative Consumption, Marketplace",2.7,8,78.9,0.342457524
232,enerdigmventures,,,5.5,9,212.9,0.202382452
233,smartlunches,Smart Lunches is an online ordering and delivery platform that enables parents to order school lunch for their children.,"Delivery Service, E-Commerce, Education, Food and Beverage, Internet, Online Portals, Software",5.5,10,2047.6,0.426295255
234,fittr,"Fittr creates customized workout plans based on fitness goal, equipment available, time available, and exercise style preferences.","Fitness, Health Care",4.7,10,95.4,0.286649174
235,wildflowerhealth,Focus on our clients needs: we will integrate our services into existing sustainability programmes.,"Health Care, Mobile",4.0,9,55.2,0.15519979999999994
236,proletariat,Proletariat is a Boston-based startup built by game-industry veterans,"Computer, Gaming, Video Games",3.9,8,11361.9,0.4517179120000001
237,gigturn,"Gigturn is an e-commerce platform that helps DJs and musicians connect and interact with venues, promoters, and influencers.","E-Commerce, Marketplace, Music",1.0,1,1.0,0.5
238,goodco,"Good&Co is a platform that connects people, companies, and workplaces. We help job seekers, employers, and employees to find a great fit.","Analytics, Big Data, Human Resources, Internet, Psychology, Recruiting, Social Media",11.9,9,115.9,0.392828455
239,pivotdesk,PivotDesk is an office-sharing marketplace connecting companies with extra office space with startups and small businesses.,"Coworking, Internet, Real Estate",6.0,10,1382.1,0.88556607
240,rebelmouse,RebelMouse is the first publishing platform fully wired for social. Enabling brands & publishers to create vibrant content experiences,"Advertising, Content, Digital Media, Publishing, Social Media",3.1,8,5011.3,0.918890558
241,transloc,TransLoc offers real-time passenger information services.,"Public Transportation, Transportation",2.5,9,87.3,0.213130586
242,truesocialmetrics,Metrics that Matter Social media analytics tool for all social networks in one dashboard Competitive analysis and Content Segmentation.,"Social Media, Social Media Marketing",1.0,10,355.3,0.239048214
243,getmaid,"Get Maid is an on-demand, premium maid service that enables users to book a maid_instantly via iPhone or Android devices._","E-Commerce, iOS, Mobile",1.0,7,88.3,0.287944296
244,petcube,"Petcube is a worldwide leader in pet cameras & software, connecting pets to the internet and giving them a voice.","Consumer Electronics, Hardware, Internet of Things, Mobile, Robotics, Software",1.2,10,336.0,0.4291560370000001
245,reschedge,Reschedge is cloud-based software trusted by the world's leading recruiting teams to schedule their interviews.,"Human Resources, Recruiting, Software",2.0,9,25.0,0.201312
246,cloudamize,Cloudamize provides optimization and capacity planning tools for companies to manage their cloud-based infrastructure.,"Analytics, Cloud Computing, Web Hosting",1.0,10,75.5,0.125108548
247,galls,The Authority in Public Safety Equipment and Apparel.,"Law Enforcement, Retail, Shopping",214.9,9,53.3,0.158172263
248,massroots,"RoboCent provides call and text notification systems for businesses, schools, political campaigns, and non-profits.","Advertising, Business Intelligence, Marketing, Mobile, Non Profit, Telecommunications",1.0,8,97.8,0.357438284
249,mojio,"MOJIO is an open platform that enables users to connect their cars with other people, places, and things via smartphone apps.","Android, Apps, FinTech, Internet, iOS, Mobile, Robotics, Software, Wireless",6.0,8,131090.3,0.997100452
250,spikes,"A cyber security company with innovative, patented isolation technology to prevent browser-borne malware attacks.","Cyber Security, Network Security, Security",15.0,10,1010.2,0.660616767
251,imperative,The first HR talent platform leveraging AI and big data to drive meaningful work,"Artificial Intelligence, Big Data, Career Planning, Employment, Human Resources, Recruiting",6.4,1,3.0,0.565414215
252,threatstack,Threat Stack is a cloud infrastructure security company,"Cloud Security, SaaS, Security",1.5,10,1358.5,0.34349885
253,openidfoundation,The OpenID Foundation is a non-profit organization that manages the efforts to increase adoption of the OpenID standard across the web.,"Identity Management, Public Relations, Security",2.8,9,70.9,0.15102818699999998
254,telylabs,"Tely Labs offers telyHD, a video calling system that delivers HD Skype video-calling to the conference room on a HD television.","Internet, Video Conferencing",1.2,9,55245.7,0.848960029
255,cleanify,Cleanify connects you to the best cleaning services in your neighborhood.,"Collaborative Consumption, Home Services, Logistics, Mobile",1.0,2,349.9,0.972384222
256,heartflow,HeartFlow develops software for cardiovascular applications.,"Biotechnology, Emergency Medicine, Health Care, Health Diagnostics, Medical",7.6,8,136.1,0.344105044
257,completeset,The treasure map for collectors.,"Collectibles, E-Commerce, Marketplace",1.0,10,797287.3,0.501318943
258,topfloor,TopFloor is an online retailer of lifestyle products and gift items.,"E-Commerce, Fashion, Shopping, Social Media, Video",5.6,10,49.6,0.141299753
259,splicemachine,"Splice Machine is a data platform that offers offline, and batch analysis, and powers intelligent applications for operational workflows.","Analytics, Big Data, Information Technology",4.3,10,635.6,0.383508534
260,pymetrics,Pymetrics develops neuroscience-based assessment and prediction technology for staffing services.,"Artificial Intelligence, Intelligent Systems, Neuroscience, Recruiting, Staffing Agency",1.4,8,40.8,0.171412438
261,loopcommerce,Loop Commerce provides an enterprise-grade SaaS solution that fully integrates with retailers_ online stores to make every product giftable.,"E-Commerce, Enterprise Software, FinTech, SaaS",1.0,9,235355.7,0.979344895
262,smartthings,"SmartThings, a smartphone app, allows its users to monitor and control their domestic affairs even when they are out of their home.","Automotive, Enterprise Software, Hardware, Internet, Internet of Things, Mobile, Open Source, Small and Medium Businesses, Smart Home",6.5,8,202.3,0.34123228
263,leanplum,Leanplum is a mobile marketing platform that delivers meaningful engagement across messaging and the in-app experience.,"A/B Testing, Analytics, App Marketing, Apps, Artificial Intelligence, CRM, Digital Marketing, E-Commerce, E-Commerce Platforms, Email, Email Marketing, Enterprise Software, Intelligent Systems, Machine Learning, Marketing, Marketing Automation, Messaging, Mobile, Mobile Apps",27.5,10,300.4,0.204782882
264,picovico,"Picovico does automatic transformation of your photos, text, video clips into engaging birthday movies.","Photography, Presentations, Software, Video",1.0,9,30.8,0.13571006900000002
265,linchpin,"Linchpin offers sales automation solutions to help IT companies gain and retain customers, and obtain market leadership.","Advertising, Automotive, CRM, Email Marketing, Lead Generation",2.0,10,284.7,0.195065665
266,peer5,Peer5 operates the world__ largest peer-to-peer (p2p) content delivery network.,"SaaS, Video, Video Streaming",15.0,10,3136.5,0.7477039209999999
267,blackjet,BlackJet allows consumers to book seats on private jets immediately and with guaranteed seat availability.,"Consumer, Software, Travel",5.0,10,179.4,0.149296118
268,intubus,Video hosting and a shoppable video player for retailers,"E-Commerce, Video",3.2,9,62.1,0.268189845
269,unleash,"Unleash Inc is a Computer Software company located in 116 Woodland Ave, Summit, New Jersey, United States.","Accounting, Business Intelligence, Finance, Small and Medium Businesses, Software",10.0,6,30.8,0.706948895
270,wymsee,SyncOnSet is the leading entertainment technology company for digitizing physical production and managing creative content.,"Film, Film Production, Software, TV Production, Video",1.4,9,144.6,0.403125711
271,frrole,"Frrole is an AI-Powered Next-Gen Consumer Intelligence platform for marketers, analysts, product owners, recruiters, and sales folks.","Analytics, Artificial Intelligence, Big Data, Business Intelligence, Machine Learning, Natural Language Processing, Predictive Analytics, Recruiting, Skill Assessment, Social Media",1.5,10,533.5,0.192805341
272,instacart,Instacart delivers groceries and home essentials from a variety of local stores.,"Delivery, Delivery Service, E-Commerce, Grocery, Same Day Delivery",80.0,9,163.4,0.556117779
273,eventslice,We're an easy to use event services marketplace designed to help you find event spaces or event professionals all in one place.,"Event Management, Events, Professional Services",1.0,0,0.0,1.0
274,newsle,"Newsle is a web application that allows users to follow real news about their Facebook friends, LinkedIn contacts, and_public figures.","Mobile, News, Social Network, Software, Web Apps",1.0,10,1618.3,0.426926943
275,copypress,CopyPress provides content marketing products and software focused on the following: 1.,"Advertising, Content, Content Creators",5.3,5,165.7,0.400085736
276,easypost,EasyPost provides a simple postage API that allows developers to quickly and painlessly integrate shipping into any e-commerce application.,"Delivery, Logistics, Shipping",5.0,10,4941.4,0.538868845
277,careporthealth,Careport Health is an online booking engine for post-hospital care.,"Finance, Health Care",3.0,10,443.5,0.207605994
278,protagenictherapeutics,,,5.2,8,230.1,0.690774432
279,hublished,Hublished is a social network for brands to share webinars and eBooks in building a following and establishing their expertise.,"EBooks, Enterprise Software, Social Network",1.0,10,4845.8,0.8634822529999999
280,enchroma,EnChroma develops eyewear for color blind people to improve human color vision.,Eyewear,2.8,0,0.0,1.0
281,placemeter,Placemeter is an urban intelligence platform. We quantify modern cities worldwide. The answers you need are all around you.,"Analytics, Big Data, Finance, GovTech, Internet of Things, Local, Mobile",5.1,10,149.4,0.303658185
282,oncontracting,Onsite Contract Jobs at Top Companies & Staffing Agencies,"Consulting, Employment, Recruiting, Staffing Agency",3.0,10,299.8,0.734888636
283,reelgenie,"ReelGenie enables users to create videos from photos, video clips, music and other content.","Parenting, Photography, Video",14.3,9,100.2,0.184656635
284,crowdmed,CrowdMed provides prediction market technology using the collective intelligence of 'medical detectives' to produce diagnostic suggestions.,"Crowdsourcing, Health Care, Software",1.0,10,281.3,0.185569411
285,selligy,Selligy is a mobile service enabling sales teams to be more productive.,"CRM, Enterprise Software, Events, iOS, Meeting Software, Mobile, Professional Services, Task Management, Travel",5.5,10,199.7,0.35666745
286,lytics,Lytics helps companies personalize engagement with customers through the industry__ most advanced Customer Data Platform (CDP).,"Ad Retargeting, Analytics, Data Integration, Marketing Automation, Predictive Analytics, Software",4.4,10,276.8,0.351376905
287,ragbone,"rag & bone is a fashion retailer that sells clothing, shoes, and accessories.","E-Commerce, Fashion",56.1,10,27575.0,0.267083114
288,matchpoint,Connecting Great Music with Great Film,"Analytics, Film",4.8,9,45.6,0.162328793
289,cozy,Cozy is an online property management service for landlords and renters.,"Finance, Property Management, Real Estate",5.0,10,431.1,0.399518454
290,skillz,Skillz is a leading mobile eSports platform connecting the world__ 2.6 billion mobile gamers through competition.,"Developer Platform, eSports, Gaming, Mobile, Mobile Apps, Sports, Video Games",400.0,6,15.5,0.442247659
291,tindie,Tindie is an online marketplace enabling hardware developers to fund and sell their products.,"3D Printing, Electronics, Marketplace, Mechanical Engineering",6.9,9,144.8,0.188011279
292,trifacta,Trifacta enables anyone to efficiently explore and prepare data by utilizing machine learning to provide a breakthrough UX and architecture.,"Analytics, Big Data, Information Technology, Software",20.0,10,852.2,0.221688735
293,vividcortex,VividCortex is the best way to see what your production database systems are doing.,"Analytics, Application Performance Management, Enterprise Software, IT Management",6.4,10,724.1,0.392476373
294,yozio,"Yozio is a mobile growth engineering company providing an advanced analytics, organic growth marketing platform for mobile marketers.","Analytics, Marketing, Mobile",1.0,9,33.1,0.198072307
295,powerlinx,"B2B, Business Development, Small and Medium Businesses",,5.0,9,51268.5,0.907351201
296,floqq,Floqq is the biggest marketplace for online video courses in Latin America,"Education, Video",1.0,6,259.9,0.372785371
297,healthrecoverysolutions,Health Recovery Solutions develops a cloud-based warning system to help users reduce readmissions for hospitals and ACOs.,"Diabetes, Enterprise Software, Health Care, Information Technology",6.9,9,64.5,0.144262965
298,microtransponder,"MicroTransponder, a medical device company, develops and commercializes neurostimulation devices to treat neurological diseases.","Health Care, Medical, Medical Device",5.0,10,50594.5,0.572502276
299,sookasa,Sookasa provides encryption and compliance for sensitive files across cloud storage services and mobile devices.,"Cloud Security, Cyber Security, Enterprise Software",5.8,9,118643.0,0.997591166
300,reifyhealth,Building a more creative healthcare system.,"Clinical Trials, Health Care, Mobile",4.4,9,181.9,0.18514997
301,piqora,"Piqora helps commerce & marketing teams discover, amplify & merchandize shoppable user generated imagery (UGC) on e-commerce websites & Ads.","Analytics, E-Commerce, Social Media Marketing",2.0,9,30.8,0.128014842
302,blueapron,,,667.6,10,434.6,0.378652241
303,execonline,ExecOnline provides companies with executive training solutions.,"E-Commerce, EdTech, Education",4.9,9,1090.2,0.299621238
304,fuzeus,"FuzeUs is its own social network and SaaS that connects and empowers non-profits, corporations, and individuals.","Collaboration, Enterprise Software, Impact Investing",3.6,5,83.9,0.464473996
305,salido,"SALIDO is working with hospitality operators, developing a single platform for their restaurant operations.","Artificial Intelligence, Big Data, Cloud Computing, CRM, Hospitality, Logistics, Mobile Payments, Payments, Software, Supply Chain Management",1.5,10,137.9,0.175663545
306,solavei,Solavei is a U.S-based social commerce network offering contract-free mobile services and other support.,"E-Commerce Platforms, Mobile, Social Media",1.9,2,22.1,0.50451465
307,origamilogic,Origami Logic is a helps of world__ largest brands master the art and science of marketing performance.,"Analytics, Big Data, Enterprise Software",6.5,10,196.8,0.363575335
308,zelgor,Zelgor is a location-based gaming application that enables users to find friends and virtually capture them.,"Gaming, iOS, Location Based Services, Mobile",1.0,6,34.6,0.592903204
309,tapingo,Tapingo offers advance ordering for pickup and food delivery services for college campuses.,"Apps, Consumer, E-Commerce, Mobile, Trading Platform",5.0,9,1356.0,0.919538205
310,brightbytes,BrightBytes is a SaaS-based data analytics platform that measures and links the use of technology to learning outcomes.,"Analytics, Big Data, Education, SaaS",5.0,10,2017.4,0.266918996
311,joinem,Joinem's core proposition is WePower_ guaranteed savings of up to 25 percent off the lowest online price.,"E-Commerce, Group Buying, Retail",2.7,3,15.9,0.350025711
312,onemorepallet,OneMorePallet is a web-based shipping platform that connects shippers with carriers in the United States.,"Apps, E-Commerce, Logistics",1.0,10,415.2,0.541804493
313,wigwag,"WigWag empowers experience. We stand for openness, customization and simplicity in designing your living environment.","Internet of Things, Open Source, Smart Building",8.0,8,201.7,0.366121237
314,padlet,Padlet is an app that enables users to create an online bulletin board to display information on any topic.,"Knowledge Management, Web Browsers, Web Design",2.0,10,44.4,0.16815802300000002
315,entelo,"Entelo's recruiting platform enables top talent professionals to find, qualify, and engage with top talent.","Enterprise Software, Human Resources, Recruiting, SaaS, Software",5.0,9,198.3,0.316661619
316,webflow,"Webflow allows the user to design, build, and launch responsive websites visually, while writing clean, semantic code.","Content, Enterprise Software, Web Design",4.0,9,77.2,0.194760262
317,bettercloud,"BetterCloud is the first SaaS Operations Management platform, empowering IT to define, remediate, and enforce policies for SaaS applications","Apps, Cloud Security, Enterprise Software, SaaS, Software",12.4,9,124.3,0.213580929
318,nuzzel,"Nuzzel is a professional news discovery service used by many of the top influencers in media, technology, and finance","Digital Media, News, Social Media",4.0,9,370.2,0.585175242
319,wideo,Provides a simple and intuitive tool that enables people without previous knowledge or training to create quality online videos.,"Advertising, Digital Media, Education, Photography, Video",4.0,8,36.3,0.17998922399999998
320,materialwrld,Material World is a personal styling service delivering pre-owned designer items at 90% off retail,"Collaborative Consumption, E-Commerce, Fashion, Recycling, Retail",2.7,10,290.8,0.315245474
321,partender,Food & Bar Inventory: From 6 Hours to 15 Minutes,"Accounting, Finance, Hospitality, Mobile, Nightclubs, Nightlife, Restaurants, SaaS",3.3,9,102.3,0.162675855
322,charlieapp,Charlie is the Intelligence Platform for Sellers.,"Artificial Intelligence, Business Intelligence, SaaS, Sales, Sales Automation, Software",1.0,8,520340.5,0.380921283
323,yieldmo,Yieldmo is saving the world from bad mobile ads.,"Advertising, Advertising Platforms, Internet, Mobile, Predictive Analytics",2.0,10,728.1,0.29895774
324,workspot,"Workspot is an insanely simple, turnkey cloud service for securely delivering Windows 10 desktops from the cloud to any device. ","Cloud Computing, Software, Virtual Desktop",8.8,10,14125.7,0.4487615
325,ifunding,iFunding is a commercial real estate investment platform giving accredited investors access to investment opportunities online.,"Crowdfunding, Financial Services, FinTech, Real Estate, Real Estate Investment",2.0,9,80.4,0.191167917
326,lawkick,LawKick is an online marketplace that connects clients with legal service providers at affordable prices.,"B2B, Internet, Law Enforcement, Legal",3.8,9,57.7,0.163605453
327,trumaker,Trumaker is a new kind of men's apparel brand where every guy gets a client,"Direct Sales, E-Commerce, Fashion, Retail",4.4,9,269.2,0.270784715
328,bluenoseanalytics,Bluenose helps SaaS companies grow and retain their customers.,"Enterprise Software, Predictive Analytics, SaaS",4.0,8,40.2,0.155577832
329,teachboost,"TeachBoost is an evaluation and feedback platform designed to engage teachers and administrators in an ongoing, evolving dialogue that","Collaborative Consumption, Education, Online Forums",1.0,10,127.5,0.25240692
330,lever,"The modern, collaborative recruiting platform that powers a more human approach to hiring","Enterprise Software, Human Resources, Recruiting, SaaS, Software",5.5,9,189.8,0.344149074
331,applovin,AppLovin is a comprehensive platform where game developers of all sizes can connect with their ideal consumers and get discovered.,"Advertising, Mobile, Mobile Apps",234.2,10,736.5,0.474674856
332,guardanthealth,Guardant Health is committed to positively and significantly impacting patient health through technology breakthroughs in oncology.,"Biotechnology, Health Care, Health Diagnostics",86.8,10,2753.9,0.7181167340000001
333,bookboard,Subscription kid's ebooks for families,"Education, Mobile, Parenting",1.0,10,72.4,0.175711975
334,appthority,"Appthority is the global leader in enterprise mobile threat protection. We keep security teams informed, employees productive and enterpr","Mobile, Mobile Apps, Security",2.7,10,2401.8,0.434962773
335,userpod,"UserPod, a mobile application, enables its users to scan product IDs, serial numbers, and service tags.","Automotive, Cloud Computing, Enterprise Software, Information Technology, Mobile, SaaS, Software",6.4,10,163.5,0.16230246199999998
336,edsurge,"EdSurge helps educators find & use the right tools to support all learners. We do this through outstanding content, community and tools.","EdTech, Education, Email Marketing, Events, Market Research, Search Engine",2.2,9,9004.8,0.8717832659999999
337,teralytics,We change how the world moves. ,"Artificial Intelligence, Business Intelligence, Cyber Security, Data Visualization, Predictive Analytics, Transportation",1.0,10,5384.4,0.436880069
338,everypost,Everypost is a social media tool that enables publishers to post multimedia content across multiple social platforms.,"Internet, Mobile, Social Media",3.8,10,343.5,0.255053446
339,launchkey,Dynamic mobile authentication and realtime authorization platform. LaunchKey is a part of iovation.,"Cyber Security, Identity Management, Internet of Things, Mobile, Security",1.4,10,495.1,0.16654113199999998
340,nastygal,Fashion,"E-Commerce, Fashion, Retail",77.0,10,395.5,0.4133168820000001
341,recargo,Electric vehicle service provider,"Apps, Automotive, Mobile, Renewable Energy, Transportation",3.1,10,21651.9,0.986034016
342,cloze,Smarter Relationship Management. The no-work way to see everything about your contacts in one place.,"Mobile Apps, Social Media, Web Browsers",1.1,9,558.2,0.775882478
343,tagboard,"Tagboard is a software platform aggregating social media content from multiple networks for end-users, brands and marketers.","SaaS, Social Media, Software",5.5,10,253.5,0.421668553
344,leadid,"Analytics, Big Data, Compliance, Consumer, Enterprise Software, Marketing",,9.9,5,107.7,0.281293941
345,doublerobotics,"Double Robotics, the developer of an iPad-based tele-presence robot, is focused on building innovative products in the field of robotics.","Hardware, iOS, Robotics, Software",3.7,7,30.4,0.20498615
346,xocommunications,"XO Communications is a telecommunications company providing IP communications, networks, and IT infrastructure to businesses.","Telecommunications, VoIP, Web Hosting",1700.0,10,300.4,0.20056835
347,spothero,"SpotHero is the parking reservation platform, with 20 million+ cars parked and the largest network of connected parking facilities.","Consumer, Mobile Apps, Parking, Transportation",6.0,10,66.2,0.258819288
