company_name,city,state,employees,founded,Industry,CityRanking,estimated_revenues,job_openings,growth_percentage
Electro Standards Laboratories,Cranston,RI,43,1976.0,9,6710,0.0,1,23%
The HernÃ¡ndez Company,West Warwick,RI,46,2018.0,79,6935,7590000.0,1,21%
Wickford Appliance Sales & Service,Pawtucket,RI,38,1958.0,35,7195,8626000.0,1,19%
Eastern Energy Services,Laurel,MS,85,1993.0,73,608,20825000.0,1,118%
United Furniture Industries,Tupelo,MS,68,1983.0,13,1086,19516000.0,1,89%
Merchants & Marine Bank (M&M Bank),Pascagoula,MS,73,1932.0,32,1425,15330000.0,1,20%
BancPlus Corporation,Belzoni,MS,561,1909.0,32,1682,117810000.0,1,9%
VT Halter Marine,Pascagoula,MS,555,,104,2233,0.0,1,21%
Peterbilt Truck Centers,Pearl,MS,96,1992.0,41,2543,31488000.0,1,50%
First Commercial Bank,Jackson,MS,59,2000.0,32,2781,12390000.0,1,64%
Southern Electric Corporation of MS,Flowood,MS,42,1985.0,69,2846,9240000.0,1,62%
Dobbs Peterbilt,Pearl,MS,88,,41,3000,28864000.0,1,42%
Gulf Relay,Clinton,MS,113,2010.0,12,3707,34465000.0,1,35%
Pascagoula-Gautier School District,Pascagoula ,MS,39,1912.0,38 ,3968,7020000.0,1,44%
Specialty Orthopedic Group,Tupelo,MS,32,2015.0,22,4414,8640000.0,1,39%
TrustCare Health,Ridgeland,MS,53,2012.0,19,4501,14310000.0,1,39%
NauticStar Boats,Amory,MS,63,2002.0,104,5019,0.0,1,24%
Big M Transportation,Blue Mountain,MS,142,2000.0,41,5177,46576000.0,1,23%
Casino Vicksburg,Vicksburg,MS,42,,97,5511,0.0,1,31%
Southern Hens,Moselle,MS,174,1992.0,23,5761,46980000.0,1,21%
Irby Utilities,Jackson,MS,44,1926.0,69,5854,9680000.0,1,29%
Walt Massey Automotive Group,Hattiesburg,MS,45,1993.0,42,6013,14850000.0,1,29%
"Baber's,",Moss Point,MS,84,1981.0,35,6194,19068000.0,1,18%
Irby Construction Company,Richland,MS,432,1946.0,17,6426,125280000.0,1,20%
SOL ENGINEERING SERVICES,Jackson,MS,35,2001.0,15,6440,3500000.0,1,25%
Craft and Technical Solutions,Pascagoula,MS,31,2016.0,39,7048,3720000.0,1,19%
Relias Healthcare,Tupelo,MS,40,,8,7309,10800000.0,1,18%
Alliance Health Center,Meridian,MS,40,,8,7310,10800000.0,1,18%
VergentLMS,Ridgeland,MS,61,2006.0,4,7871,8845000.0,1,0%
WVU Medicine Camden Clark Medical Center,Parkersburg,WV,138,,8,352,37260000.0,1,34%
Team Sledd Convenience Distribution (304) 243-1820,Wheeling,WV,38,1937.0,94,2392,0.0,1,0%
Stiles Construction,Maidsville,WV,59,,17,2572,17110000.0,1,-3%
Moses Auto Group,St Albans,WV,41,1947.0,42,3012,13530000.0,1,58%
OVP HEALTH,Huntington,WV,40,1999.0,22,3231,10800000.0,1,54%
HealthNet Aeromedical Services,Charleston,WV,46,1986.0,8,3679,12420000.0,1,48%
Martinsburg College,Martinsburg,WV,144,,38 ,5255,25920000.0,1,23%
MVB Bank,Fairmont,WV,249,,32,40,52290000.0,1,23%
CJ Hughes,Huntington,WV,56,1946.0,17,5785,16240000.0,1,30%
Summit Community Bank,Moorefield,WV,135,,32,5793,28350000.0,1,21%
The Health Plan (THP),Wheeling,WV,191,1979.0,0,5932,42020000.0,1,20%
Morgan County Schools,Berkeley Springs,WV,114,,4,6153,16530000.0,1,19%
The Summit Bechtel Reserve,Glen Jean,WV,34,2009.0,105,6312,0.0,1,26%
American Military University,Charles Town,WV,724,,38 ,6351,130320000.0,1,27%
MVB Financial Corp. (MVBF),Fairmont,WV,47,2004.0,6,48,9870000.0,1,24%
"Perry & Associates Certified Public Accountants, A.C.",Vienna,WV,36,1999.0,27,6998,5868000.0,1,20%
West Virginia American Water,Charleston,WV,47,,69,7019,10340000.0,1,21%
GENETWORx,Glen Allen,VA,278,2011.0,8,5,75060000.0,44,491%
QOMPLX,Tysons,VA ,214,2015.0,2,21,31030000.0,15,29%
ID.me,McLean,VA,363,2010.0,21,1,74052000.0,107,216%
Interos,Arlington,VA ,174,2005.0,4,46,25230000.0,1,118%
HawkEye 360,Herndon,VA,102,2015.0,70,3,31416000.0,19,65%
NSIN - National Security Innovation Network,Arlington,VA ,102,2015.0,70,62,31416000.0,1,96%
Expel,Herndon,VA,264,2016.0,21,4,53856000.0,9,29%
Grant Thornton Public Sector,Alexandria,VA ,342,,25,408,0.0,1,14%
Core4ce,Reston,VA,195,2019.0,4,5,28275000.0,7,282%
Steampunk,McLean,VA ,139,,4,414,20155000.0,1,10%
Two Six Technologies,Arlington,VA,131,,4,6,18995000.0,38,254%
Virtual Service Operations,Warrenton,VA,216,2017.0,4,8,31320000.0,1,272%
USA Millwork,Manassas,VA,140,2018.0,17,10,40600000.0,42,226%
MotoRefi,Arlington,VA,107,2016.0,2,11,13910000.0,32,81%
RangeForce,Manassas,VA,122,2014.0,21,12,24888000.0,3,190%
Sheltering Arms Institute,Henrico,VA,94,2020.0,8,67,25380000.0,1,262%
AMI Expeditionary Healthcare,Reston,VA,423,,8,13,114210000.0,127,255%
Aspen Medical International,Reston,VA,437,,8,14,117990000.0,131,255%
Thriveworks,Lynchburg,VA,870,2008.0,103,68,234900000.0,5,51%
Venture Global,Arlington,VA,321,,73,16,78645000.0,39,114%
ScienceLogic,Reston,VA,486,2003.0,4,18,70470000.0,41,6%
Brazen,Arlington,VA,96,2007.0,65,19,12905000.0,17,140%
CareClix,Washington,VA,93,2010.0,4,139,13485000.0,1,210%
Somatus,Vienna,VA,191,,8,25,51570000.0,57,103%
dLocal,Vienna,VA,339,,2,207,44070000.0,1,61%
Hume Center for National Security and Technology at Virginia Tech,Blacksburg,VA,73,,49,210,7446000.0,1,181%
Stardog Union,Arlington,VA,95,,4,27,13775000.0,12,13%
MarginEdge,Falls Church,VA,206,2015.0,88,28,25085000.0,1,23%
Fluence,Arlington,VA,354,2018.0,28,29,74340000.0,4,54%
MicroGEM,Charlottesville,VA,59,2015.0,14,234,9145000.0,1,157%
Federated Wireless,Arlington,VA,93,2012.0,90,32,0.0,5,6%
Active Navigation,Reston,VA,69,2008.0,4,33,10005000.0,1,8%
Apex Clean Energy,Charlottesville,VA,290,,28,330,60900000.0,1,23%
ThreatConnect,Arlington,VA,184,2011.0,21,37,37536000.0,33,30%
Phone2Action,Arlington,VA,119,2013.0,4,38,17255000.0,3,13%
West Creek Financial,Glen Allen,VA,231,2014.0,2,413,30030000.0,21,1%
BlueHalo,Arlington,VA,108,2020.0,70,40,33264000.0,1,135%
Dovel Technologies,McLean,VA,291,2005.0,1,43,40600000.0,76,5%
ProLift Rigging,Germantown,VA,91,2010.0,17,496,26390000.0,1,127%
Groundworks,Virginia Beach ,VA,132,2016.0,17,505,38280000.0,23,40%
Liqui-Box,Richmond,VA,364,1961.0,106,507,0.0,18,-1%
SafeGuard Cyber,Charlottesville,VA,60,2014.0,4,559,8700000.0,1,50%
Goldbelt C6,Chesapeake,VA,61,,70,600,18788000.0,1,118%
Aptive Resources,Alexandria,VA,154,2008.0,18,47,38500000.0,1,117%
Sierra7,Falls Church,VA,95,2009.0,25,48,0.0,1,116%
Fortis Solutions Group,Virginia Beach,VA,308,1979.0,91,662,0.0,1,4%
Unanet,Dulles,VA,242,1988.0,4,49,35090000.0,2,12%
GoTab,Arlington,VA,42,2016.0,4,50,6090000.0,1,75%
Intrepid Solutions and Services,Dulles Town Center,VA,127,2008.0,4,708,0.0,1,10%
DocASAP,Herndon,VA,107,2012.0,1,53,28890000.0,1,37%
CFA Program,Charlottesville,VA,85,1962.0,38 ,737,15300000.0,1,107%
Glue Up,Tysons,VA,74,2013.0,100,54,0.0,1,106%
CapCenter,Glen Allen,VA,239,1997.0,11,803,0.0,1,104%
Culmen International,Alexandria,VA,176,2004.0,62,55,45000000.0,53,5%
REHAU AUTOMOTIVE,Leesburg,VA,105,1948.0,107,57,0.0,1,59%
Shenandoah Valley Organic,Harrisonburg,VA,79,2014.0,23,853,21330000.0,1,30%
"Blue Ridge Bank, N.A.",Luray,VA,141,1893.0,32,910,29610000.0,1,27%
DivvyCloud,Arlington,VA,33,2013.0,21,61,4785000.0,6,0%
ShiftMed,McLean,VA,78,,8,64,21060000.0,1,95%
Maxerience,Chantilly,VA,52,2015.0,4,66,7540000.0,1,126%
NAILBITER,Reston,VA,124,,49,67,12648000.0,1,94%
GridPoint,Reston,VA,137,2003.0,4,68,19865000.0,1,22%
Surefire Local,Vienna,VA,124,2010.0,18,69,31000000.0,1,22%
Koala,Alexandria,VA,284,,35,70,64468000.0,1,93%
Old Dominion National Bank,Tysons Corner,VA,77,2007.0,32,1023,16170000.0,4,17%
WireWheel.io,Arlington,VA,61,2017.0,4,71,8845000.0,5,13%
Brillient Corporation,Reston,VA,294,2003.0,4,75,42630000.0,1,91%
UZURV,Richmond,VA,67,2015.0,41,1081,21976000.0,1,18%
ThreatQuotient,Reston,VA,132,2013.0,21,77,26928000.0,1,18%
Qrvey,McLean,VA,88,2015.0,20,78,12035000.0,1,17%
Homecare.com,McLean,VA,142,,8,79,38340000.0,1,17%
averhealth,Richmond,VA,135,1995.0,103,1132,36450000.0,17,5%
Black Cape,Arlington,VA,69,2019.0,4,80,10005000.0,1,86%
Zero Gravity Corporation (ZERO-G),Dumfries,VA,62,,74,1154,15686000.0,1,15%
TAMID Group,Charlottesville,VA,78,2020.0,33,1174,17706000.0,1,86%
TemperPack,Richmond,VA,134,,28,1196,28140000.0,11,7%
Center for International Cyber Intelligence,Stephens City,VA,38,2018.0,21,1248,7752000.0,1,111%
SweatWorks,Arlington,VA,84,2012.0,4,86,12180000.0,1,83%
Ozmo,Blacksburg,VA,98,2016.0,4,1315,14210000.0,10,72%
TechnoMile,McLean,VA,135,2010.0,4,90,19575000.0,2,8%
Capital Impact Partners,Arlington,VA,130,,81,93,41990000.0,1,8%
The National Council on Aging,Arlington,VA,252,1950.0,50,94,0.0,1,9%
Advantia Health,Rossyln,VA,75,2014.0,8,1355,20250000.0,5,3%
CENTERPOINT Inc.,Leesburg,VA,43,2014.0,4,96,6235000.0,1,105%
Tyton BioSciences,Danville,VA,101,2011.0,28,1406,21210000.0,1,6%
MetaPhase Consulting,Herndon,VA,92,2013.0,25,97,5280000.0,1,77%
1901 Group,Reston,VA,383,2009.0,4,99,55535000.0,98,14%
boodleAI,McLean,VA,35,2016.0,4,102,5075000.0,1,30%
OpenLegacy,Reston,VA,116,2014.0,4,104,16820000.0,1,3%
10Pearls,Vienna,VA,723,2004.0,4,106,104835000.0,1,53%
Alethix,Reston,VA,95,2012.0,4,107,13775000.0,6,67%
Tiber Capital Group,McLean,VA,59,,11,108,0.0,1,97%
Omni Federal,Gainesville,VA,51,2017.0,4,1641,7395000.0,1,96%
Softeon,Reston,VA,340,1999.0,4,109,49300000.0,1,3%
Keri Shull Team,Arlington,VA,107,2015.0,11,110,8640000.0,14,60%
Altamira Technologies Corporation,McLean,VA,294,1999.0,4,111,42630000.0,2,0%
Strong Home Mortgage,Woodbridge,VA,109,2018.0,2,114,14170000.0,1,70%
Reference Point,McLean,VA,85,2002.0,25,115,0.0,1,70%
Rios Partners,Arlington,VA,58,2016.0,25,117,0.0,1,93%
TriMech L.L.C,Glen Allen,VA,282,1998.0,15,1730,0.0,1,-2%
Internet Society,Reston,VA,696,1992.0,4,119,100920000.0,1,12%
Hepburn and Sons,Manassas,VA,60,2010.0,108,120,15900000.0,1,67%
HUNGRY Marketplace,Rosslyn ,VA,111,2016.0,23,1806,29970000.0,1,-4%
Novant Health UVA Health System,Warrenton,VA,98,,8,122,26460000.0,1,24%
SPARK business academy,Arlington,VA,34,2014.0,38 ,123,6120000.0,1,89%
Dot's Pretzels,Velva,ND,55,2012.0,23,1435,14850000.0,1,104%
"HEALTH, NORTH DAKOTA DEPARTMENT OF",142,ND,77,,142,1493,0.0,1,75%
Bushel,Fargo,ND,158,2017.0,4,1508,22910000.0,2,3%
Enclave,Fargo,ND,48,2011.0,17,3924,13920000.0,1,45%
All Finish Concrete,West Fargo,ND,49,2005.0,17,4036,14210000.0,1,44%
BNG Team,West Fargo,ND,99,2007.0,4,4148,14355000.0,1,30%
First Western Bank & Trust,Minot,ND,155,,32,4316,32550000.0,1,29%
BlueChip Financial,Belcourt,ND,53,2012.0,6,4497,11130000.0,1,39%
Centerspace,Minot,ND,86,1970.0,11,4623,0.0,1,26%
Dakota Fence Company,Fargo,ND,101,1972.0,17,4679,29290000.0,1,26%
SB Energy,Aerocity,ND,298,2015.0,28,5120,62580000.0,1,24%
Pediatric Partners,Fargo,ND,64,2007.0,8,5586,17280000.0,1,21%
"Haga Kommer, Ltd.",Fargo,ND,40,2006.0,27,6466,6520000.0,1,25%
Harlow's School Bus Service,Bismarck,ND,59,1971.0,41,6491,19352000.0,1,26%
Liberty Business Systems,Fargo,ND,31,1986.0,60,6520,0.0,1,24%
Apex Engineering Group,Fargo,ND,55,2010.0,15,6836,5500000.0,1,22%
KLE Construction,Williston,ND,59,2010.0,17,7342,17110000.0,1,18%
Construction Engineers,Grand Forks,ND,467,1978.0,17,7486,135430000.0,1,11%
Stonewall Kitchen,York,ME,216,1991.0,23,216,58320000.0,7,7%
Rarebreed Veterinary Partners,Portland,ME,58,2018.0,36,715,0.0,1,132%
Great Falls Marketing,Westbrook,ME,194,1999.0,16,2016,63050000.0,1,19%
Here Engineering,Brunswick,ME,66,2018.0,4,2514,9570000.0,1,50%
Puritan Medical Products Co.,Guilford,ME,120,,7,2554,30120000.0,1,50%
Cirrus Systems,Portsmouth,ME,58,,68,3102,14210000.0,1,57%
SaviLinx,Brunswick,ME,311,2013.0,4,3560,45095000.0,6,36%
Veritas Prime,Portland,ME,114,2011.0,4,3734,16530000.0,1,34%
Northeast Dermatology Associates,York,ME,85,,19,4074,22950000.0,1,31%
Portside Real Estate Group,Falmouth,ME,96,2012.0,11,4195,9900000.0,1,30%
NexRep,Portland,ME,620,,5,4204,155620000.0,1,38%
Midstate Machine,Winslow,ME,42,,15,4389,4200000.0,1,40%
Northern Light Acadia Hospital,Bangor,ME,56,,8,4450,15120000.0,1,40%
LGC Maine Standards,Cumberland Foreside,ME,49,2001.0,7,4874,12299000.0,1,36%
STARC Systems Inc.,Brunswick,ME,51,2014.0,43,5127,16371000.0,1,34%
Axelerant,Portland,ME,133,2005.0,4,5448,19285000.0,1,22%
Gateway Community Services,Portland,ME,34,2014.0,8,5492,9180000.0,1,31%
FHC,Bowdoin,ME,114,,14,5892,17670000.0,1,20%
SGC Engineering,Westbrook,ME,168,,69,5958,36960000.0,1,20%
Colby Student Investment Association,Waterville,ME,58,2007.0,33,6029,13166000.0,1,29%
Sebasco Harbor Resort,Phippsburg,ME,38,1930.0,45,6257,9652000.0,1,27%
Falcon Transportation,Presque Isle,ME,42,2015.0,41,6647,13776000.0,1,24%
Tilson Technology Management,Portland,ME,440,1996.0,4,7041,63800000.0,81,-1%
Windham Weaponry,Windham,ME,31,2011.0,35,7050,7037000.0,1,19%
Dutchie,Bend,OR,192,2017.0,87,6,51840000.0,3,178%
Planned Parenthood of Tennessee and North Mississippi,Memphis,OR,40,1916.0,8,1,10800000.0,1,38%
Streem,Portland,OR,98,2017.0,92,3,14210000.0,1,100%
ZOOM+Care,Portland,OR,484,2006.0,1,4,112590000.0,10,27%
Bright.md,Portland,OR,82,2014.0,1,5,22410000.0,7,12%
Hunter Communications,Central Point,OR,67,1992.0,16,237,21775000.0,1,14%
Agilyx Corporation,Tigard,OR,75,2004.0,28,285,15750000.0,1,44%
Conversa Health,Portland,OR,51,2014.0,1,6,13770000.0,1,34%
Performance Systems Integration,Portland ,OR,70,2002.0,51,7,16730000.0,1,63%
Vesta Corp,Lake Oswego,OR,370,1995.0,2,8,77700000.0,1,9%
Logical Position,Lake Oswego,OR,896,2010.0,18,9,224000000.0,8,27%
Boulder Care,PORTLAND,OR,48,,8,10,12960000.0,1,71%
SerÃ¡n Bioscience,Bend,OR,51,2016.0,14,893,7905000.0,1,104%
Laird Superfood,Sisters,OR,85,2015.0,23,913,22950000.0,4,23%
Ruby,Portland,OR,296,,16,11,96200000.0,1,24%
Agility Robotics,Albany,OR,35,2015.0,15,1004,3500000.0,1,52%
OpenSesame,Portland,OR,190,2011.0,76,12,31350000.0,6,17%
Bigleaf Networks,Beaverton,OR,73,2012.0,4,13,10585000.0,4,14%
OHSU Health Hillsboro Medical Center,Hillsboro,OR,144,1918.0,8,14,38880000.0,1,89%
Powin Energy,Tualatin,OR,134,2010.0,28,15,28140000.0,3,86%
SheerID,Eugene,OR,175,2010.0,21,1168,25375000.0,4,14%
UMU,Portland,OR,38,2015.0,4,16,5510000.0,1,111%
Vytelle,Hermiston,OR,56,2015.0,14,1347,8680000.0,1,93%
CrowdStreet,Portland,OR,131,2013.0,3,18,13440000.0,7,3%
OCHIN,Portland,OR,492,2000.0,8,19,132840000.0,1,12%
Rever Grand,Grants Pass,OR,32,2016.0,5,1506,8032000.0,1,100%
iBridge,Beaverton,OR,142,2004.0,4,20,20590000.0,1,71%
Eclypsium,Portland,OR,58,2017.0,21,21,11832000.0,1,23%
NORTH,Portland,OR,183,2006.0,18,22,45750000.0,1,-1%
HighLevel,Eugene,OR,54,2018.0,18,1737,13500000.0,1,93%
Act-On Software,Portland,OR,245,2008.0,4,24,35525000.0,1,-4%
WYLD,Clackamas,OR,210,,87,1890,56700000.0,15,59%
ZincFive,Tualatin,OR,100,2016.0,28,25,15000000.0,1,122%
Vooks,Portland,OR,59,2017.0,78,26,12095000.0,1,84%
Arcimoto,Eugene,OR,92,2007.0,30,2337,22356000.0,3,37%
Thesis agency,Portland,OR,173,2002.0,18,27,43250000.0,1,37%
IOTAS,Portland,OR,46,2014.0,3,28,0.0,1,-2%
RISE Partnership,Portland,OR,47,2018.0,50,29,0.0,1,68%
Anitian,Portland,OR,79,1995.0,21,30,16116000.0,1,49%
Pop Art,Portland,OR,51,1997.0,4,31,7395000.0,1,-4%
Lines for Life,Portland,OR,178,1993.0,50,33,0.0,1,47%
BlueVolt,Portland,OR,72,2003.0,67,34,11880000.0,1,41%
Gurobi Optimization,Beaverton,OR,70,2008.0,4,35,10150000.0,1,40%
Procare Solutions,Denver,OR,203,1992.0,4,3221,29435000.0,14,19%
Simplicity by Hayden Homes,Redmond,OR,73,2009.0,17,3308,21170000.0,1,38%
The Green Cities Company,Portland,OR,38,2009.0,33,36,8626000.0,1,52%
American Chase,Portland,OR,50,2013.0,4,37,7250000.0,1,52%
Customer.io,Portland,OR,75,2012.0,20,38,7105000.0,1,36%
Fully,Portland,OR,121,2006.0,5,39,30371000.0,20,22%
LegitScript,Portland,OR,134,2007.0,64,40,13630000.0,20,23%
DaBella,Portland,OR,359,,17,41,104110000.0,1,38%
Digital Trends,Portland,OR,304,2006.0,59,42,73872000.0,1,37%
Flux Resources,Lake Oswego,OR,103,,39,43,12360000.0,1,34%
Visiting Media,Carlton,OR,30,2010.0,18,4046,7500000.0,1,43%
GLISS,Wilsonville,OR,81,2012.0,39,45,9720000.0,1,29%
Market Express,Portland,OR,69,2016.0,41,46,22632000.0,7,19%
Megh Computing,Portland,OR,37,2017.0,4,47,5365000.0,1,37%
BASX Solutions,Redmond,OR,73,2013.0,46,4681,25769000.0,1,26%
Sseko Designs,Portland,OR,110,2009.0,61,48,25080000.0,2,25%
More Realty,Portland,OR,264,2015.0,11,49,16000000.0,1,26%
Lumen Learning,Portland,OR,79,2013.0,67,50,13035000.0,1,25%
Old Trapper Beef Jerky,Forest Grove,OR,60,1969.0,5,4764,15060000.0,1,25%
Brightwater Senior Living Group,Bend,OR,106,,8,4931,28620000.0,1,25%
Prialto,Portland,OR,311,2008.0,109,51,0.0,3,26%
Orchard & Vineyard Supply,McMinnville,OR,50,1988.0,35,4996,11350000.0,1,35%
Nectar Markets,Portland,OR,39,2013.0,110,52,0.0,1,34%
HIS Innovations Group,Hillsboro,OR,58,1979.0,63,53,15950000.0,1,35%
Tillamook Country Smoker,Bay City,OR,97,1975.0,5,54,24347000.0,10,14%
CleanMark,Portland,OR,33,1978.0,91,55,0.0,1,32%
United Home Group,Portland,OR,49,2011.0,11,58,5940000.0,1,32%
Ooligan Press,Portland,OR,62,2001.0,59,59,15066000.0,1,22%
Ambrosia QSR,Portland,OR,43,2019.0,52,60,7525000.0,1,30%
PPM,Newberg,OR,133,2007.0,46,5715,46949000.0,1,21%
6 Degrees Health,Hillsboro,OR,77,2011.0,8,61,20790000.0,1,20%
Nova Health | Urgent Care | Primary Care | Physical Therapy,Coburg,OR,67,2008.0,22,5848,18090000.0,1,20%
Foureyes,Portland,OR,79,2015.0,20,62,10730000.0,1,20%
Street Roots,Portland,OR,40,,95,63,0.0,1,29%
Nvoicepay,Beaverton,OR,190,2009.0,2,64,24700000.0,1,20%
"Rebound Physical Therapy, OR",Bend,OR,32,1995.0,22,5970,8640000.0,1,28%
Romtec,Roseburg,OR,46,1977.0,17,6133,13340000.0,1,28%
Halo Collective Inc.,Medford,OR,33,2016.0,5,6140,8283000.0,1,27%
Marshall's Inc.,Springfield,OR,315,1948.0,5,6279,79065000.0,1,20%
Steelhead Surgical,Portland,OR,57,2014.0,7,67,14307000.0,1,27%
Power Systems West,Portland,OR,39,1955.0,68,68,9555000.0,1,26%
Keller Williams Realty Portland Premiere,Portland,OR,58,2007.0,11,69,0.0,1,26%
Ascend Software,Portland,OR,58,1997.0,4,70,8410000.0,1,26%
Slocum Center for Orthopedics and Sports Medicine,Eugene,OR,77,1967.0,22,6458,20790000.0,1,17%
"AWS Elemental, an Amazon Web Services Company",Portland,OR,552,2006.0,4,71,80040000.0,1,20%
Dallas Retirement Village,Dallas,OR,108,1947.0,8,6750,29160000.0,1,15%
Taurus Power & Controls,Tualatin,OR,55,1985.0,37,72,19415000.0,1,22%
Vetsource,Portland,OR,301,2008.0,40,73,60501000.0,2,15%
Executive Security Services,Portland,OR,35,2004.0,89,74,6090000.0,1,21%
GreenForce Staffing,Portland,OR,30,2016.0,39,75,3600000.0,1,20%
Compass Behavioral Health Roseburg,Roseburg,OR,47,2014.0,8,7011,12690000.0,1,21%
Umbrella Properties,Coburg,OR,37,1975.0,11,7100,0.0,1,19%
Banyan Botanicals,Ashland,OR,50,1996.0,19,7215,13500000.0,1,19%
El Programa Hispano CatÃ³lico,Gresham,OR,39,1982.0,50,76,0.0,1,18%
Diamond Home Improvement,Klamath Falls,OR,45,2000.0,35,7268,10215000.0,1,18%
Groundworks Industries,Portland,OR,96,2014.0,87,77,25920000.0,14,-4%
American Metals Corporation,Canby ,OR,51,1944.0,34,7559,12495000.0,1,13%
Spruce,New York,NM,129,2016.0,3,50,0.0,21,82%
TechSource,Los Alamos,NM ,107,1998.0,28,5831,22470000.0,1,20%
LATAM Women in Cybersecurity,Los Alamos,NM,38,2019.0,81,1249,12274000.0,1,111%
Leena AI,Los Alamos,NM,80,2015.0,65,1674,11600000.0,1,70%
Affiliate Marketing,Los Alamos,NM,147,,18,1820,36750000.0,1,67%
Wefivesoft,Las Cruces,NM,54,2019.0,4,2312,7830000.0,1,74%
ML Crane Group,Albuquerque,NM,46,2007.0,17,2450,13340000.0,1,70%
Project ECHO,Albuquerque,NM,115,2003.0,67,2923,18975000.0,1,44%
Coldwell Banker Legacy,Albuquerque,NM,81,,11,2988,0.0,1,42%
TEXO Enterprises,San Mateo,NM,33,2018.0,4,3013,4785000.0,1,57%
Outside Magazine,Santa Fe,NM,489,,59,3140,118827000.0,1,45%
Pnm Resources,Albuquerque,NM,962,,69,3283,0.0,1,4%
Medcare MSO,Santa Fe,NM,138,2012.0,8,3341,37260000.0,1,38%
A.G.P./Alliance Global Partners,Santa Fe,NM,115,,6,3453,24150000.0,1,37%
LadyBoss Weight Loss,Albuquerque,NM,94,,19,4319,25380000.0,1,29%
DKD Electric,Albuquerque,NM,206,1978.0,17,4715,59740000.0,1,26%
Blake's Lotaburger,Albuquerque,NM,286,1952.0,52,4813,50050000.0,1,26%
Air Force Nuclear Weapons Center,Albuquerque,NM,180,,111,4939,0.0,1,25%
Perikin Enterprises,Albuquerque,NM,46,2010.0,4,4955,6670000.0,1,35%
Silver Health CARE,Silver City,NM,35,,22,4963,9450000.0,1,35%
Cartessa Aesthetics,New York,NM,121,2017.0,7,5157,30371000.0,1,23%
Lehrer Cumming,New York,NM,174,,17,5211,50460000.0,1,23%
Senspex,Albuquerque,NM,46,2002.0,70,5517,14168000.0,1,31%
Array Technologies,Albuquerque,NM,244,,28,5808,51240000.0,1,21%
OpenEye Scientific Software,Santa Fe,NM,92,1997.0,4,5977,13340000.0,1,19%
"Strategic Management Solutions, LLC (SMSI)",Albuquerque,NM,42,2000.0,25,6181,0.0,1,27%
McKinley Paper Company,Albuquerque,NM,66,,96,6221,0.0,1,18%
Santa Fe Recovery Center,Santa Fe,NM,44,,8,6416,11880000.0,1,26%
VerusÂ® Research,Albuquerque,NM,51,2014.0,70,6595,15708000.0,1,24%
Hakes Brothers,Las Cruces,NM,44,2006.0,11,6788,0.0,1,22%
Ojo Santa Fe Spa Resort,Santa Fe,NM,31,2013.0,19,7044,8370000.0,1,19%
Casa Familiar,Albuquerque,NM,985,,38 ,7135,177300000.0,1,32%
NM Solar Group,Albuquerque,NM,45,2015.0,28,7263,9450000.0,1,18%
Native Resource Development Company,Santa Ana Pueblo,NM,34,1990.0,51,7300,8126000.0,1,17%
Zenon,Santa Ana Pueblo,NM,52,2018.0,4,7319,7540000.0,1,18%
Sage Neuroscience Center,Albuquerque,NM,46,2006.0,8,7322,12420000.0,1,18%
Indica Labs,Albuquerque,NM,58,2011.0,14,7446,8990000.0,1,16%
CNM Ingenuity,Albuquerque,NM,65,2014.0,38 ,7679,11700000.0,1,5%
Kennected,Indianapolis,IN,105,2018.0,88,18,15225000.0,1,377%
Encamp,Indianapolis,IN,34,2017.0,4,1,4930000.0,3,48%
"Boardable, Board Management Software",Indianapolis,IN,56,2016.0,4,102,8120000.0,3,60%
Purdue University Mechanical Engineering,West Lafayette,IN,62,,15,112,6200000.0,1,226%
Vibenomics,Indianapolis,IN,52,2017.0,4,178,7540000.0,1,16%
Lighthouse Autism Center,Mishawaka,IN,138,2012.0,8,208,37260000.0,4,23%
Open LMS,Indianapolis,IN,71,2005.0,67,230,11715000.0,1,173%
Casted,Indianapolis,IN,36,2019.0,18,246,9000000.0,1,64%
Merchants Capital,Carmel,IN,113,1990.0,6,288,23730000.0,1,30%
Advanced Agrilytics,Indianapolis,IN,64,2013.0,53,310,0.0,1,83%
KSM Consulting,Indianapolis,IN,293,2008.0,25,313,27720000.0,6,24%
Watermark Residential,Indianapolis,IN,77,2008.0,11,319,9000000.0,1,24%
Pondurance,Indianapolis,IN,79,2008.0,21,419,16116000.0,1,65%
OrthoPediatrics,Warsaw,IN,208,2006.0,7,1,52208000.0,1,6%
ResCare Evansville Residential Services,Evansville,IN,42,1974.0,8,482,11340000.0,1,14%
WishBone Medical,Warsaw,IN,57,2016.0,7,547,14307000.0,1,50%
Socio,Indianapolis,IN,139,2016.0,4,2,20155000.0,1,51%
Envisage Technologies,Bloomington,IN,147,2001.0,4,580,21315000.0,1,20%
Indianapolis Power & Light Company,Indianapolis,IN,463,1927.0,69,596,101860000.0,1,1%
Circle Logistics,Fort Wayne,IN,369,,12,650,112545000.0,1,34%
FormAssembly,Bloomington,IN,106,2006.0,4,654,15370000.0,20,26%
Endowment Consulting & Management Group,Bloomington,IN,95,2018.0,6,694,19950000.0,1,111%
Indiana University Student Government,Bloomington,IN,61,,81,798,19703000.0,1,103%
Verista,Fishers,IN,212,,40,888,42612000.0,1,100%
LER TechForce,Columbus,IN,67,,39,1026,8040000.0,1,91%
