,company_name,description,website,funding,industries,num_employees,headquarters,founded_date,industry_groups,full_description,filter,cleaned_description,tokenized text
357,DoWallet,dowallet rapidly growing decentralized financial service hub hold manage crypto fiat asset,https://www.dowallet.app/,Na," Bitcoin, Blockchain, Cryptocurrency, Financial Services, FinTech, Mobile Apps, Mobile Payments",01 to 10 ," Coral Gables, Florida, United States",2018," Apps, Financial Services, Mobile, Other, Payments, Software","Managing your cryptocurrency assets has never been easier. DoWallet provides maximum security while keeping simplicity, allowing all types of users to easily manage, transfer & (soon) exchange their currencies.",Software-2018,dowallet rapidly growing decentralized financial service hub hold manage crypto fiat asset,"['do', '##wall', '##et', 'rapidly', 'growing', 'decent', '##ral', '##ized', 'financial', 'service', 'hub', 'hold', 'manage', 'cry', '##pt', '##o', 'fi', '##at', 'asset']"
358,Double Crown Gaming Co.,purveyor friendly competition,http://www.doublecrown.co,500000," Gaming, Messaging, Social Network",01 to 10 ," San Francisco, California, United States",2018," Gaming, Information Technology, Internet Services, Messaging and Telecommunications",We are on a mission to deepen connections among friends and family through play - we build games and activities that celebrate shared interests and affinities.,Software-2018,purveyor friendly competition,"['pu', '##rve', '##yo', '##r', 'friendly', 'competition']"
359,Dottid,dottid commercial real estate softwareasaservice technology platform,https://dottid.com/,8350000," Commercial, Real Estate, Software",01 to 10 ," Dallas, Texas, United States",2018," Other, Real Estate, Software","Dottid, a commercial real estate (CRE) SaaS technology platform which provides a single location for owners, brokers, and tenants to seamlessly transact throughout the leasing process.",Software-2018,dottid commercial real estate softwareasaservice technology platform,"['dot', '##ti', '##d', 'commercial', 'real', 'estate', 'software', '##asa', '##ser', '##vice', 'technology', 'platform']"
360,Doppler,doppler provides application management platform used help developer manage api key across project,https://doppler.com,8800000," Apps, Information Technology, Productivity Tools, Software",01 to 10 ," San Francisco, California, United States",2018," Apps, Information Technology, Software","Doppler is a developer of an application management platform used to help developers manage their API keys across all their projects. It works across every language, stack, and infrastructure, increasing developer productivity while strengthening a company's overall security. Clients use Doppler to securely store secrets such as API keys, credentials, ENV variables, and database URLs.

It was founded in 2018 and is based in San Francisco, California.",Software-2018,doppler provides application management platform used help developer manage api key across project,"['do', '##pp', '##ler', 'provides', 'application', 'management', 'platform', 'used', 'help', 'developer', 'manage', 'a', '##pi', 'key', 'across', 'project']"
361,Doplr,team health platform,https://www.doplr.ai/,Na,Software,01 to 10 ," Ithaca, New York, United States",2018-01-01 00:00:00,Software,"Doplr is a team health platform, building software tools to develop higher performing networks of teams. Our first product is a Slack app that sends short pulse surveys to teams, provides catered recommendations, and insights on informal communication networks to help every team achieve their highest potential",Software-2018,team health platform,"['team', 'health', 'platform']"
362,Donut,donut mobile app save  earn high yield defi,https://donut.app,1900000," Blockchain, Consumer, Cryptocurrency, FinTech",01 to 10 ," Los Angeles, California, United States",2018," Financial Services, Other, Payments, Software","Donut helps people discover new ways to build wealth, by providing the easiest and most trusted way to save & earn high yield with DeFi.

Donut was founded in 2018 and is dual headquartered in Los Angeles and Berlin.",Software-2018,donut mobile app save  earn high yield defi,"['don', '##ut', 'mobile', 'app', 'save', 'earn', 'high', 'yield', 'def', '##i']"
363,DonorUP,donorup first giving platform focus individual donor help refine imprint world,https://www.donorup.org/,Na," Crowdfunding, Financial Services, FinTech, Social Impact, Software",01 to 10 ," New York, New York, United States",2018," Financial Services, Other, Software",—,Software-2018,donorup first giving platform focus individual donor help refine imprint world,"['donor', '##up', 'first', 'giving', 'platform', 'focus', 'individual', 'donor', 'help', 're', '##fine', 'imprint', 'world']"
364,Eiffel Group,eiffel group team consultant developer specialized odoo integration erp software,https://www.eiffel.us/,Na," Business Development, Consulting, Enterprise Resource Planning (ERP), Software",01 to 10 ," New York, New York, United States",2018," Professional Services, Software","Eiffel Group is a team of consultants and developers specialized in Odoo integrations and ERP software. It helps organizations analyzer business processes, optimize your current workflows, restructure data and deliver a technical scope of work ready to be used by our Odoo developers.

The company was founded in 2018 and is headquartered in New York.",Software-2018,eiffel group team consultant developer specialized odoo integration erp software,"['e', '##iff', '##el', 'group', 'team', 'consultant', 'developer', 'specialized', 'o', '##do', '##o', 'integration', 'er', '##p', 'software']"
365,eezyimport,diy online supply chain platform diy custom clearance process,https://eezyimport.com,Na," B2B, Logistics, Supply Chain Management, Web Apps",01 to 10 ," Camden, New Jersey, United States",2018," Apps, Other, Software, Transportation","eezyimport - the one and only DIY online Customs Clearance platform.
Our vision is that every importer will independently control their own critical importing processes as easily as they handle email.

 The exact same regulatory requirements – you just pay (way!) less and do it yourself from any phone, tablet or computer!  
Handling your own customs clearance is now as easy as handling your own invoices, taxes, and deliveries. 
A super easy DIY app that glides you through customs from ISF to entry summary with regulatory approval and peace of mind.",Software-2018,diy online supply chain platform diy custom clearance process,"['di', '##y', 'online', 'supply', 'chain', 'platform', 'di', '##y', 'custom', 'clearance', 'process']"
366,Edupixel,edupixel online education platform dedicated empowering creative workforce teaching new skill tool,https://edupixel.com/,Na," E-Learning, Graphic Design",01 to 10 ," Nashville, Tennessee, United States",2018," Design, Education, Software","Edupixel is an online education platform dedicated to empowering the creative workforce by teaching them new skills and tools.
",Software-2018,edupixel online education platform dedicated empowering creative workforce teaching new skill tool,"['ed', '##up', '##ixel', 'online', 'education', 'platform', 'dedicated', 'em', '##powering', 'creative', 'workforce', 'teaching', 'new', 'skill', 'tool']"
367,eddii,eddii virtual app character designed engage people living diabetes track record health,https://www.eddiihealth.com/,Na," Health Care, Virtual Assistant",01 to 10 ," New York, New York, United States",2018-01-01 00:00:00," Health Care, Software",—,Software-2018,eddii virtual app character designed engage people living diabetes track record health,"['ed', '##di', '##i', 'virtual', 'app', 'character', 'designed', 'engage', 'people', 'living', 'diabetes', 'track', 'record', 'health']"
368,ecoText,founded passion education whether academic student lifelong learner help create next learning moment,https://ecotext.co,663000," Education, Social, Software",01 to 10 ," Durham, New Hampshire, United States",2018-01-01 00:00:00," Community and Lifestyle, Education, Software","Founded in 2018, ecoText was created to democratize access to academic resources and transform digital learning. From struggling to obtain our college textbooks each semester, the idea for ecoText was born. To build a solution that enables day-one access for students no matter their economic background. 

Today, we not only enable access to those needed academic titles but unlock communication and collaboration on all readings like never before. Allowing communities otherwise isolated the ability to communicate and collaborate on any digital document. Unlocking the power of the written word.

So whether you are an academic, a traditional or non-traditional student, or a lifelong learner, we are here to help you create your next learning moment.",Software-2018,founded passion education whether academic student lifelong learner help create next learning moment,"['founded', 'passion', 'education', 'whether', 'academic', 'student', 'lifelong', 'learn', '##er', 'help', 'create', 'next', 'learning', 'moment']"
369,ECHOAR,echoar delivers augmented reality training experience mental health care,https://experienceechoar.com/,Na," Augmented Reality, Health Care, Training",01 to 10 ," Birmingham, Michigan, United States",2018-01-01 00:00:00," Education, Hardware, Health Care, Software",—,Software-2018,echoar delivers augmented reality training experience mental health care,"['echo', '##ar', 'delivers', 'augmented', 'reality', 'training', 'experience', 'mental', 'health', 'care']"
370,Eat Safe Verified,bringing people food together software,https://eatsafeverified.com/,Na," AgTech, Digital Media, Food and Beverage, Social Media, Software",01 to 10 ," San Jose, California, United States",2018-01-01 00:00:00," Agriculture and Farming, Food and Beverage, Internet Services, Media and Entertainment, Software",Eat Safe Verified is a food tech company that provides a tool that all members of the food supply chain can use to easily and quickly share information from farm to fork.,Software-2018,bringing people food together software,"['bringing', 'people', 'food', 'together', 'software']"
371,eAdviser Inc,blockchain education professional development continuing ed,http://www.eadviser.com/,Na," EdTech, Professional Services, Training, Vocational Education",01 to 10 ," Portsmouth, New Hampshire, United States",2018," Education, Other, Software","Producing and managing educational content and delivery for the blockchain industry and related verticals.

eAdviser recognizes and develops the value of the relationships and the individual coaches' ability to maximize learning experiences.

Our vision and awareness of a blockchain and token economic future offer a unique advantage to implementing and evolving disruptive educational services and credentialing models.",Software-2018,blockchain education professional development continuing ed,"['block', '##cha', '##in', 'education', 'professional', 'development', 'continuing', 'ed']"
372,Entangled Velocity,entangled velocity education management company help earlystage education learning technology company catalyze growth,https://entangledvelocity.com/,Na," EdTech, Education, Higher Education",01 to 10 ," San Francisco, California, United States",2018," Education, Software","Entangled Velocity is an education management company that helps early-stage education and learning technology companies catalyze growth. They create cross-channel, demand generation, and content marketing campaigns that build your pipeline. 

The company implements and integrates the sales and marketing stack that provides accountability and visibility to the business.

Entangled Velocity was founded in 2018 and is headquartered in San Francisco, CA, USA.",Software-2018,entangled velocity education management company help earlystage education learning technology company catalyze growth,"['en', '##tan', '##gled', 'velocity', 'education', 'management', 'company', 'help', 'early', '##sta', '##ge', 'education', 'learning', 'technology', 'company', 'cat', '##aly', '##ze', 'growth']"
373,Ensu,ensu help people automatically track manage emotional health using machine learning natural language processing,https://www.ensu.com/,Na," Apps, Employee Benefits, Health Care, Health Diagnostics, Machine Learning, Software, Wellness",01 to 10 ," San Francisco, California, United States",2018," Administrative Services, Apps, Artificial Intelligence, Data and Analytics, Health Care, Software","The Ensu platform provides automated emotional health support.

Through developing cutting-edge, high signal digital behavioral markers, Ensu's software identifies emotional states and events in life driving those states. Our software then assists users in gaining new perspectives into their cognition through more deeply understanding their thought patterns and identifying flaws and distortions in thinking. We then provide personalized recommendations, interventions and advice to help users manage and improve their emotional states and be their best self.

Ensu's scientific efforts are led by Chief Scientific Advisor Dr. Joel Swendsen, the global #1 published scientific researcher regarding the feasibility and validity of mobile technologies in mental health treatment and research. Ensu is also working with other globally leading scientists in niche areas within cognitive psychology, machine learning, and mental health technology.",Software-2018,ensu help people automatically track manage emotional health using machine learning natural language processing,"['en', '##su', 'help', 'people', 'automatically', 'track', 'manage', 'emotional', 'health', 'using', 'machine', 'learning', 'natural', 'language', 'processing']"
374,EnSight Technologies,ensight technology parking management system provides parking guidance occupancy counting service,https://www.ensight-technologies.com/,Na," Information Technology, Parking, Software",01 to 10 ," El Cajon, California, United States",2018-01-01 00:00:00," Information Technology, Software, Transportation",—,Software-2018,ensight technology parking management system provides parking guidance occupancy counting service,"['en', '##sight', 'technology', 'parking', 'management', 'system', 'provides', 'parking', 'guidance', 'o', '##cc', '##up', '##ancy', 'counting', 'service']"
375,EnjoyTech USA,enjoytech usa specializes developing manufacturing distributing interactive technology product,http://enjoytechusa.com/,Na," Information Technology, Manufacturing, Real Time",01 to 10 ," Brooklyn, New York, United States",2018-01-01 00:00:00," Information Technology, Manufacturing, Other",—,Software-2018,enjoytech usa specializes developing manufacturing distributing interactive technology product,"['enjoy', '##tech', 'us', '##a', 'specializes', 'developing', 'manufacturing', 'distributing', 'interactive', 'technology', 'product']"
376,Engine ML,engine ml build distributed deep learning infrastructure train machine learning model minute hour day,https://www.engineml.com/,Na," Artificial Intelligence, Cloud Computing, Computer Vision, GPU, Internet, Language Learning, Machine Learning, Natural Language Processing, SaaS, Software",01 to 10 ," San Francisco, California, United States",2018," Artificial Intelligence, Data and Analytics, Education, Hardware, Internet Services, Science and Engineering, Software","Engine ML solves your biggest pain point in deep learning by training 50x faster so you can reduce training time to gain a competitive advantage and develop the best models. Deep learning can solve the most challenging problems in computer vision, natural language processing, speech, and robotics. Training deep learning models is time consuming and manual. Building your own infrastructure is expensive and risky. Off-the-shelf solutions don’t solve the most important problem in deep learning—distributed training. Efficiently allocate your most expensive and rarest resource—your deep learning engineers—with Engine ML.",Software-2018,engine ml build distributed deep learning infrastructure train machine learning model minute hour day,"['engine', 'm', '##l', 'build', 'distributed', 'deep', 'learning', 'infrastructure', 'train', 'machine', 'learning', 'model', 'minute', 'hour', 'day']"
377,Encora Therapeutics,encora help people neurodegenerative movement disorder regain independence control life,https://encora-inc.com/,1700000," Health Care, Information Technology, Medical, Medical Device, Personal Health",01 to 10 ," Boston, Massachusetts, United States",2018," Health Care, Information Technology",Encora is a MIT spin-off company innovating solutions for neurological movement disorders.,Software-2018,encora help people neurodegenerative movement disorder regain independence control life,"['en', '##cor', '##a', 'help', 'people', 'ne', '##uro', '##de', '##gene', '##rative', 'movement', 'disorder', 'regain', 'independence', 'control', 'life']"
378,Encarte,encarte browser extension bringing oneclick checkout ecommerce store,https://www.encarte.io/,150000," Browser Extensions, E-Commerce, Internet",01 to 10 ," San Francisco, California, United States",2018," Commerce and Shopping, Internet Services, Software","Encarte is a browser extension bringing one-click checkout to any e-commerce store.. The Encarte Chrome Extension provides additional benefits like automated spam reduction, order history, shipment tracking, and better security.",Software-2018,encarte browser extension bringing oneclick checkout ecommerce store,"['en', '##car', '##te', 'browser', 'extension', 'bringing', 'one', '##c', '##lick', 'check', '##out', 'e', '##com', '##mer', '##ce', 'store']"
379,encaptiv,encaptiv audience engagement platform virtual hybrid inperson presentation event,https://www.encaptiv.com/,130000," Event Management, Events, Presentation Software, Presentations, Sales Automation, Software",01 to 10 ," Stamford, Connecticut, United States",2018-01-01 00:00:00," Events, Information Technology, Media and Entertainment, Sales and Marketing, Software","encaptiv is an audience engagement platform for virtual, hybrid, and in-person presentations and events.",Software-2018,encaptiv audience engagement platform virtual hybrid inperson presentation event,"['en', '##cap', '##ti', '##v', 'audience', 'engagement', 'platform', 'virtual', 'hybrid', 'in', '##person', 'presentation', 'event']"
380,eXchangily,exchangily decentralized exchange model based fast access blockchain,https://www.exchangily.com/,Na," Blockchain, Information Services, Information Technology",01 to 10 ," Akron, Ohio, United States",2018-01-01 00:00:00," Information Technology, Other",—,Software-2018,exchangily decentralized exchange model based fast access blockchain,"['ex', '##chang', '##ily', 'decent', '##ral', '##ized', 'exchange', 'model', 'based', 'fast', 'access', 'block', '##cha', '##in']"
381,EveryPig,everypig groundbreaking management app pig owner producer veterinarian,https://www.everypig.com/,Na," Apps, Veterinary",01 to 10 ," Miami, Florida, United States",2018-01-01 00:00:00," Apps, Health Care, Software",—,Software-2018,everypig groundbreaking management app pig owner producer veterinarian,"['every', '##pi', '##g', 'groundbreaking', 'management', 'app', 'pig', 'owner', 'producer', 've', '##ter', '##ina', '##rian']"
382,Euphrates Inc.,blockchain app offer service anytime anywhere conversely access respond demand service,http://goeuphrates.com,Na," Information Technology, Internet",01 to 10 ," Monmouth, Oregon, United States",2018," Information Technology, Internet Services","Euphrates is the exciting new universal app that allows you to offer any service (e.g. jobs, projects, tasks) anytime, anywhere, or conversely access and respond to demands for services. Whether you are in need of assistance, or one who can provide the assistance, Euphrates is a real-time, highly flexible, and user-friendly application that is perfect for the Gig Economy. Using blockchain technology, it's built for the enterprising. Move from completing a gig to growing a business. Take a look at some of the exciting new ways that Euphrates can empower you:

a. It's a bi-directional tool, roles are not restrained. Anyone can offer, or demand services. So, hire whatever service you need, and when you need it. Or, offer any service you perform. Any job, anytime, anywhere. With a single universal app, you can drop the rest. 

b. Euphrates is built on blockchain. Link automated smart contracts to facilitate transactions on the fly; extend your reach, connect with new partners and new opportunites, and grow a business, not just complete a gig.

c. Create extensions of your business naturally. The Euphrates platform allows multiple real-time natural language communications on a user-friendly screen. Text, image, and voice all in one place. Negotiate price and make payments directly from your calls. Adapt organically to market conditions as they exist. Call in backup for big jobs. 

d. We won't second-guess your needs with restrictive drop-down menus that limit your roles and gigs. We let you decide what service is best for you. Offer your services when and where you want. Your hours of operation, specific offerings, and wages are all yours to define. 

e. Employers and providers both rate one another with every job. User ratings are backed with cash - only real jobs are rated, and the system can't be gamed by buying 'likes.'​ Understand who you're working with.
",Software-2018,blockchain app offer service anytime anywhere conversely access respond demand service,"['block', '##cha', '##in', 'app', 'offer', 'service', 'anytime', 'anywhere', 'con', '##verse', '##ly', 'access', 'respond', 'demand', 'service']"
383,ETLrobot,creating data hero automated data pipeline,https://etlrobot.com,75000," Data Integration, Information Technology",01 to 10 ," Draper, Utah, United States",2018-01-01 00:00:00," Data and Analytics, Information Technology, Software","ETLrobot is a SaaS data pipeline platform to automate the extraction of a customer's complex cloud data and pipe the data right to the customer's data warehouse of choice.  ETLrobot is a data pass-through engine so the customer's data is not stored with ETLrobot but directly with the customer. 

Our customers are businesses of all types with data warehousing needs who want an automated ETL (extract, transform, and load) process to easily load their cloud data right to their data warehouse.",Software-2018,creating data hero automated data pipeline,"['creating', 'data', 'hero', 'automated', 'data', 'pipeline']"
384,Ethion,ethion website builder tool developing sharing website across various social medium,https://myethion.com,Na," Information Services, Information Technology, Software, Web Development",01 to 10 ," Sand Lake, New York, United States",2018-01-01 00:00:00," Information Technology, Software",—,Software-2018,ethion website builder tool developing sharing website across various social medium,"['et', '##hi', '##on', 'website', 'builder', 'tool', 'developing', 'sharing', 'website', 'across', 'various', 'social', 'medium']"
385,Etherflyer,etherflyer decentralized exchange built ethereum,https://www.etherflyer.com/,Na,Information Technology,01 to 10 ," Samoa, California, United States",2018-01-01 00:00:00,Information Technology,—,Software-2018,etherflyer decentralized exchange built ethereum,"['et', '##her', '##fly', '##er', 'decent', '##ral', '##ized', 'exchange', 'built', 'et', '##here', '##um']"
386,Eternal,eternal develops avatar social network offer new social networking experience,https://eternal.plus/,1099988," Internet, Social Media, Social Network, Software",01 to 10 ," Brooklyn, New York, United States",2018," Internet Services, Media and Entertainment, Software","Eternal develops an avatar social network to offer a new social networking experience. Launching a private beta in January 2020. Founded in 2018, Eternal is based in Brooklyn, New York.",Software-2018,eternal develops avatar social network offer new social networking experience,"['eternal', 'develops', 'a', '##vat', '##ar', 'social', 'network', 'offer', 'new', 'social', 'networking', 'experience']"
387,eTailPet,etailpet  facilitates online sale creating custom online store independent pet retailer,https://www.etailpet.com/,775000," E-Commerce, Software, Web Development",01 to 10 ," Los Angeles, California, United States",2018," Commerce and Shopping, Software","ETailPet facilitates online sales by creating custom online stores for independent pet retailers. eTailPet is a full-service eCom solution for independent pet retail, providing a digital storefront.

The company was founded in 2018 and based in Los Angeles, California.",Software-2018,etailpet  facilitates online sale creating custom online store independent pet retailer,"['et', '##ail', '##pet', 'facilitate', '##s', 'online', 'sale', 'creating', 'custom', 'online', 'store', 'independent', 'pet', 'retailer']"
388,Fast.ai,fastai elearning site offer easy use software developer end user develops educational framework model,http://course.fast.ai/,Na," E-Learning, Software, Training",01 to 10 ," San Francisco, California, United States",2018," Education, Software",—,Software-2018,fastai elearning site offer easy use software developer end user develops educational framework model,"['fast', '##ai', 'el', '##ear', '##ning', 'site', 'offer', 'easy', 'use', 'software', 'developer', 'end', 'user', 'develops', 'educational', 'framework', 'model']"
389,Fast Ship Analytics,fast ship analytics providing cutting edge data strategy data engineering data science solution,https://www.fastshipanalytics.com/,Na," Analytics, Data Integration, Information Technology",01 to 10 ," Annapolis, Maryland, United States",2018," Data and Analytics, Information Technology, Software",—,Software-2018,fast ship analytics providing cutting edge data strategy data engineering data science solution,"['fast', 'ship', 'anal', '##ytic', '##s', 'providing', 'cutting', 'edge', 'data', 'strategy', 'data', 'engineering', 'data', 'science', 'solution']"
390,FarmBee,farmbee application help financial planning insight direct sale operation marketing small local farm,https://www.farmbeeinsights.com/,Na," Apps, Direct Sales, Farming",01 to 10 ," Cincinnati, Ohio, United States",2018," Agriculture and Farming, Apps, Sales and Marketing, Software",—,Software-2018,farmbee application help financial planning insight direct sale operation marketing small local farm,"['farm', '##bee', 'application', 'help', 'financial', 'planning', 'insight', 'direct', 'sale', 'operation', 'marketing', 'small', 'local', 'farm']"
391,Far Technologies,far technology aibased cloud software platform company,https://www.fartechnologiesllc.com/,Na," Artificial Intelligence, Oil and Gas, Software",01 to 10 ," Marina Del Rey, California, United States",2018-01-01 00:00:00," Artificial Intelligence, Data and Analytics, Energy, Natural Resources, Science and Engineering, Software",—,Software-2018,far technology aibased cloud software platform company,"['far', 'technology', 'a', '##iba', '##sed', 'cloud', 'software', 'platform', 'company']"
392,Fantasy Quick Pick,fantasy quick pick allows sport fan enjoy contend fantasy sport contest offering simple fun fair format,http://fantasyquickpick.com,Na," Blockchain, Cryptocurrency, Fantasy Sports, Gambling",01 to 10 ," San Diego, California, United States",2018," Financial Services, Gaming, Other, Payments, Software, Sports",View our pitch in the links: https://fantasyquickpick.com/wp-content/uploads/2021/03/pitchfront.jpg | https://fantasyquickpick.com/wp-content/uploads/2021/03/pitch-back.jpg,Software-2018,fantasy quick pick allows sport fan enjoy contend fantasy sport contest offering simple fun fair format,"['fantasy', 'quick', 'pick', 'allows', 'sport', 'fan', 'enjoy', 'con', '##tend', 'fantasy', 'sport', 'contest', 'offering', 'simple', 'fun', 'fair', 'format']"
393,FanSpotz,peertopeer parking service,http://www.fanspotz.com,Na," Event Management, Mobile Apps, Parking",01 to 10 ," Springdale, Arkansas, United States",2018-01-01 00:00:00," Apps, Events, Media and Entertainment, Mobile, Software, Transportation","FanSpotz is a parking exchange service that connects people looking for event parking with local property and small business owners who want to rent their driveway, yard or lot using a simple, secure and user-friendly app.
",Software-2018,peertopeer parking service,"['peer', '##top', '##eer', 'parking', 'service']"
394,Fanalytics Inc.,realtime fan analytics software largescale venue,http://www.fanalyticsinc.com,Na," Analytics, Internet of Things, Software, Sports",01 to 10 ," Los Angeles, California, United States",2018-01-01 00:00:00," Data and Analytics, Internet Services, Software, Sports",—,Software-2018,realtime fan analytics software largescale venue,"['real', '##time', 'fan', 'anal', '##ytic', '##s', 'software', 'large', '##sca', '##le', 'venue']"
395,FakeNet AI,fakenet ai offer web app api scan video detect variety alteration technique machine learning model,https://www.fakenetai.com/,114000," Artificial Intelligence, Developer APIs, Machine Learning, Web Apps",01 to 10 ," Berkeley, California, United States",2018," Apps, Artificial Intelligence, Data and Analytics, Science and Engineering, Software","FakeNet AI offers a web app and API that scans videos and detect a variety of alteration techniques through a machine learning model. The company was founded in 2019 by Raymond Lee and is based in Berkeley, California.",Software-2018,fakenet ai offer web app api scan video detect variety alteration technique machine learning model,"['fake', '##net', 'a', '##i', 'offer', 'web', 'app', 'a', '##pi', 'scan', 'video', 'detect', 'variety', 'alter', '##ation', 'technique', 'machine', 'learning', 'model']"
396,FairFrame,fairframe take di next level easytouse text analysis platform combining ai decade social science research,http://www.fairframe.io,445000," Artificial Intelligence, Enterprise Applications, Human Computer Interaction, Human Resources, Machine Learning, Psychology",01 to 10 ," New York, New York, United States",2018," Administrative Services, Apps, Artificial Intelligence, Data and Analytics, Design, Health Care, Science and Engineering, Software","Leveraging machine learning, natural language processing and decades of research into diversity in organizations, FairFrame shines a light on unconscious bias.",Software-2018,fairframe take di next level easytouse text analysis platform combining ai decade social science research,"['fair', '##frame', 'take', 'di', 'next', 'level', 'easy', '##to', '##use', 'text', 'analysis', 'platform', 'combining', 'a', '##i', 'decade', 'social', 'science', 'research']"
397," FACTIC, INC ",artificial intelligence software decision automation factory environment,https://www.factic-sf.com,300000," Artificial Intelligence, Machine Learning, Software",01 to 10 ," Redwood, Virginia, United States",2018-01-01 00:00:00," Artificial Intelligence, Data and Analytics, Science and Engineering, Software","FACTIC, INC is a Silicon Valley-headquartered innovator in Artificial Intelligence for the Food and Beverage industry that uses AI to automate decision-making processes in factory environments.

40% of all data generated in factories is never stored and less than 1% is used for decision making. FACTIC, INC is looking to change this and democratize the use of advanced supply chain software usage by providing easy-to-install, rapidly deployable, cost-beneficial software for all types of SMB’s in Food and Beverage.

FACTIC, INC’s cloud-based solution, FACTIC Brain, combines historic company data with smart data to provide savings in stock management and purchasing costs.",Software-2018,artificial intelligence software decision automation factory environment,"['artificial', 'intelligence', 'software', 'decision', 'automation', 'factory', 'environment']"
398,Fabrx,fabrx specializes focusing developing decentralizing application efficiency cloud computing technology,https://www.fabrx.io/,Na," Apps, Blockchain, Cloud Computing, Software",01 to 10 ," San Francisco, California, United States",2018," Apps, Internet Services, Other, Software",—,Software-2018,fabrx specializes focusing developing decentralizing application efficiency cloud computing technology,"['f', '##ab', '##r', '##x', 'specializes', 'focusing', 'developing', 'decent', '##ral', '##izing', 'application', 'efficiency', 'cloud', 'computing', 'technology']"
399,Fjor,fjor personal nutrition assistant come voice interface enables people stick diet healthy life,https://www.fjor.care/,Na," Apps, Health Care, Personal Health",01 to 10 ," Newark, Delaware, United States",2018," Apps, Health Care, Software","Fjor is an application that offers real health benefits. It provides features like voice first, easy to grab content, science-backed insights and AI matching algorithms for lasting health benefits.",Software-2018,fjor personal nutrition assistant come voice interface enables people stick diet healthy life,"['f', '##jo', '##r', 'personal', 'nutrition', 'assistant', 'come', 'voice', 'interface', 'enables', 'people', 'stick', 'diet', 'healthy', 'life']"
400,FitzyTV,fitzytv internet tv platform designed help consumer watch record streaming tv channel across multiple service,https://www.fitzytv.com/,150000," Apps, Internet, Software",01 to 10 ," San Francisco, California, United States",2018," Apps, Internet Services, Software","FitzyTV is an internet TV platform designed to help consumers watch and record all their streaming TV channels across multiple services in a single interface. It is currently available for Amazon FireTV, Android TV, Android Mobile, & Chromecast, with more platforms coming soon. It's users can watch and record any internet TV channel with their smartphone or smart TV. They can also add more channels by connecting a cable or satellite provider.

It is headquartered in San Francisco, California.",Software-2018,fitzytv internet tv platform designed help consumer watch record streaming tv channel across multiple service,"['fit', '##zy', '##t', '##v', 'internet', 't', '##v', 'platform', 'designed', 'help', 'consumer', 'watch', 'record', 'streaming', 't', '##v', 'channel', 'across', 'multiple', 'service']"
401,FitTraffic,fittraffic offer online education fitness marketing elearning training service,https://fittraffic.com/,Na," E-Learning, Online Portals",01 to 10 ," Philadelphia, Pennsylvania, United States",2018," Education, Internet Services, Software",—,Software-2018,fittraffic offer online education fitness marketing elearning training service,"['fit', '##tra', '##ff', '##ic', 'offer', 'online', 'education', 'fitness', 'marketing', 'el', '##ear', '##ning', 'training', 'service']"
402,Fitnonce,fitnonce us computer vision technology ai match online shopper apparel,https://fitnonce.io/,Na," E-Commerce, E-Commerce Platforms, Information Technology, Machine Learning, Online Portals",01 to 10 ," New York, New York, United States",2018," Artificial Intelligence, Commerce and Shopping, Data and Analytics, Information Technology, Internet Services, Software","Fitnonce is an information technology company that uses computer vision technology and AI to match online shoppers with apparel that fits and to deliver a personalized online shopping experience. 

It was founded in 2018 and headquartered in New York, United States.",Software-2018,fitnonce us computer vision technology ai match online shopper apparel,"['fit', '##non', '##ce', 'us', 'computer', 'vision', 'technology', 'a', '##i', 'match', 'online', 'shop', '##per', 'app', '##arel']"
403,FITCAM,ai powered fitness trainer workout tracker,https://itunes.apple.com/us/app/fitcam-pushups/id1436650461?mt=8,Na," Artificial Intelligence, Consumer Applications, Fitness, Software",01 to 10 ," Brooklyn, New York, United States",2018," Apps, Artificial Intelligence, Data and Analytics, Science and Engineering, Software, Sports","Prove Labs is an innovative startup founded in 2018 in Brooklyn, NY, focusing on using A.I. smartphone vision to better track and improve human movements for a stronger and healthier body.	 	

Prove Labs is composed of a multidisciplinary team of A.I. deep learning engineers, smartphone vision experts, and Mobile UX designers.  	

Prove Labs' first app - FitCam: Fitness Trainer - is a revolutionary workout companion, its mobile A.I. technology is tracking, recording and providing deep analysis of users' workout sessions by just using the iPhone's camera.	 	

FitCam: Fitness Trainer is the first app to provide an accurate quantitative and qualitative tracking of a fitness workout with no equipment necessary other than the iPhone. FitCam counts repetitions, evaluates your form, grades your movements and provides a score for each workout, also providing advice on how to improve your form and ultimately get more from your training. 	 	

FitCam PushUps is connected to Apple Health & Activity, and it’s a unique experience on the Apple App Store, having gained over 5k installs within the first 2 months, and an average rating of 4.5 stars.",Software-2018,ai powered fitness trainer workout tracker,"['a', '##i', 'powered', 'fitness', 'trainer', 'work', '##out', 'track', '##er']"
404,FIT:MATCH,fitmatch combine 3d ai machine learning offer powerful shopping match platform,https://www.shopfitmatch.com/,Na," Artificial Intelligence, Fashion, Machine Learning, Retail",01 to 10 ," Fort Lauderdale, Florida, United States",2018-01-01 00:00:00," Artificial Intelligence, Clothing and Apparel, Commerce and Shopping, Data and Analytics, Design, Science and Engineering, Software",—,Software-2018,fitmatch combine 3d ai machine learning offer powerful shopping match platform,"['fit', '##mat', '##ch', 'combine', '3', '##d', 'a', '##i', 'machine', 'learning', 'offer', 'powerful', 'shopping', 'match', 'platform']"
