,company_name,description,industry_groups,headquarters
1055,Odyssey Energy Solutions,Odyssey Energy Solutions is a Provider of an online platform," Energy, Professional Services, Software, Sustainability",Colorado
1056,Octohost,Octohost provides next-generation game server hosting using the latest in public cloud VPS technology.," Gaming, Internet Services, Software",Washington
1057,Octant,Octant is a developer of a platform used to video data collection services for autonomous vehicle developers.," Data and Analytics, Mobile, Software",California
1058,Occuspace,Occuspace builds occupany data specifically for college campuses.," Administrative Services, Information Technology, Real Estate, Software",California
1059,Oakscale,Scaling exciting brands through franchising.," Commerce and Shopping, Hardware, Professional Services, Software",New York
1060," nēdl (as in, 'the haystack') ","Search Live & Recorded Audio Like the Web, By Keyword, & Create Your Own Live Radio Shows!"," Apps, Software",California
1061,Nyerhos Mobile,Mobile App,Mobile,Georgia
1062,Nulogix Health,Their technology enables the development of AI algorithms that boost complex healthcare decision-making.," Artificial Intelligence, Data and Analytics, Health Care, Science and Engineering, Software",Arizona
1063,NUiO,NUiO is a full-service Salesforce consulting company.," Information Technology, Professional Services",District of Columbia
1064,Nucleus195,"Nucleus195 is an information technology company that specializes in the fields of research, developed, emerging, and frontier markets."," Data and Analytics, Design, Information Technology",Connecticut
1065,Nucleaus,Nucleaus Is An Application Security Company Built to Democratize Code Scanning.," Information Technology, Privacy and Security, Professional Services, Software",North Carolina
1066,Nucleal,"AI-powered ""always on"" brand strategist to help marketers find new positioning opportunities, build creative briefs, and test new concepts."," Artificial Intelligence, Data and Analytics, Sales and Marketing, Science and Engineering, Software",California
1067,Nubix.io,Nubix.io is a computer software company that specializes in the fields of information technology and the internet of things.,Software,Colorado
1068,Novuz,"Novuz is an IT company that specializes in artificial intelligence, machine learning, application modernization, and data analytics."," Artificial Intelligence, Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software",California
1069,Novo Labs,Novo Labs is a  provider of conversational artificial intelligence services for large restaurant chains.," Artificial Intelligence, Data and Analytics, Internet Services, Science and Engineering, Software",Texas
1070,NOUS Imaging,NOUS Imaging is a St. Louis-based startup has created a software-based biofeedback solution,Software,Missouri
1071,Nootry,Nootry is software for food and beverages.," Food and Beverage, Software",Pennsylvania
1072,Noisy Trumpet,"Noisy Trumpet specializes in digital marketing, advertising, web development, social media management and public relations."," Advertising, Internet Services, Media and Entertainment, Sales and Marketing, Software",Texas
1073,Node Capital,Node Capital is a technology development and data science company which provides data science solutions.," Artificial Intelligence, Data and Analytics, Financial Services, Information Technology, Other, Payments, Software",New York
1074,Noble.AI,Noble.AI is a software company focused on building tools that accelerate discovery in R&D.," Artificial Intelligence, Data and Analytics, Science and Engineering, Software",California
1075,Noble Child,Noble Child was created out of the need for a comprehensive data system to manage the child welfare network.," Information Technology, Software",Utah
1076,Nobias,Software tools that help protect consumers from deceptive or misleading content on the internet.," Artificial Intelligence, Content and Publishing, Data and Analytics, Media and Entertainment, Science and Engineering, Software",New York
1077,NLITX,NLITX is a Online data analytics for small businesses.," Commerce and Shopping, Data and Analytics, Information Technology, Sales and Marketing",New York
1078,Nichefire,Nichefire is an AI-power marketing analytics company.," Artificial Intelligence, Data and Analytics, Information Technology, Sales and Marketing, Software",Ohio
1079,NextPaw,"NextPaw is an all-in-one platform for pet retailers, groomers, boarding facilities, and trainers to attract new customers."," Commerce and Shopping, Community and Lifestyle, Internet Services, Sales and Marketing, Software",Utah
1080,NewTouch Digital,NewTouch Digital is a health technology company building a mobile health and data analytics platform.," Health Care, Mobile",District of Columbia
1081,NewsCracker,NewsCracker provides a natural language processing platform to automatically detect fake news online.," Artificial Intelligence, Content and Publishing, Data and Analytics, Media and Entertainment, Science and Engineering, Software",New York
1082,New Territory,"New Territory is a virtual and augmented reality development studio during the day, and virtual reality arcade at night."," Hardware, Software",Ohio
1083,New Old Road Tech - App and Web Development Solutions,App and Web Development | Business Consultation | Branding | UI/UX Design | Launch | SEO/Marketing | Partnerships," Apps, Design, Internet Services, Media and Entertainment, Mobile, Sales and Marketing, Software",California
1084,Neuraswitch,Neuraswitch is an AI-powered communications platform.," Artificial Intelligence, Data and Analytics, Hardware, Other, Professional Services, Science and Engineering, Software",Nevada
1085,Neural Vision Technologies,Neural Vision Technologies  is a Developer of an artificial intelligence software designed to simplify document identification company.," Artificial Intelligence, Data and Analytics, Information Technology, Science and Engineering, Software",Massachusetts
1086,Neural Magic,"Neural Magic is stealth stage machine learning company, based in Somerville MA."," Artificial Intelligence, Data and Analytics, Information Technology, Science and Engineering, Software",Massachusetts
1087,NetWaiter Systems,"Platform and network connecting restaurants, local customers, and industry service providers."," Advertising, Commerce and Shopping, Data and Analytics, Food and Beverage, Other, Sales and Marketing, Software",California
1088,Netvote,"Netvote is an open source voting protocol, soon available on multiple blockchain platforms."," Information Technology, Other",District of Columbia
1089,Netifi,The next-generation microservices platform.," Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Other, Software",California
1090,NetCloak,NetCloak protects sensitive employee data from spear-phishing emails and other social engineering attacks.," Information Technology, Privacy and Security",California
1091,Neon Coat,"Neon Coat is a groundbreaking iOS app taking models & brands to the next level
through organic social marketing."," Advertising, Apps, Mobile, Platforms, Sales and Marketing, Software",New York
1092,nemedio,Nemedio provides solutions that helps to accelerate development times for medical technologies.," Hardware, Health Care, Manufacturing, Science and Engineering, Software",New York
1093,Naybur,Referral sharing platform for Neighbors," Advertising, Real Estate, Sales and Marketing, Software",California
1094,NationPay,From Bank Account to Token Wallet.    Cardless banking solutions plus remittance as wallet to wallet to ATM   unbanked alike.," Apps, Financial Services, Internet Services, Lending and Investments, Mobile, Software",New York
1095,Natalus Inc.,"Natalus is mapping solution, providing real-time data of the occupancy of any space or place, creating seamless automation."," Hardware, Information Technology, Internet Services, Real Estate, Software, Transportation",Kentucky
1096,NaskMe,NaskMe is a developer of a collaboration platform intended to connect customers with curated content.," Apps, Information Technology, Mobile, Software",Virginia
1097,NanoNets,NanoNets is a platform to help developers build Machine Learning models.," Artificial Intelligence, Consumer Electronics, Data and Analytics, Hardware, Science and Engineering, Software",California
1098,Nanomolar,Nanomolar is the first technology licensing platform connecting IP asset owners and technology users.," Financial Services, Information Technology, Internet Services, Lending and Investments, Payments, Professional Services, Software",California
1099,nanoHenry,nanoHenry is a fabless semiconductor company.," Information Technology, Manufacturing",California
1100,Nanogrid,"Nanogrid develops software to determine the value of solar, storage, and an electric vehicle for a homeowner."," Energy, Natural Resources, Real Estate, Software, Sustainability, Transportation",California
1101,NACHA Elevation Consulting,NACHA is serving the industry as a trusted leader in electronic payments for decades.," Consumer Electronics, Financial Services, Hardware, Information Technology, Mobile, Payments, Professional Services, Software",Virginia
1102," Myx Reality, Inc. ",Myx Reality provides a web-based storyboarding tool for virtual reality.," Consumer Electronics, Hardware, Internet Services, Software",California
1103,myTech Group Inc.,"NextGen Recruitment Software for Pro's, saving customers up to $24.000+ p/a p/user.  FREE & SaaS available.  We need funds!"," Apps, Information Technology, Internet Services, Software",Wyoming
1104,Mystic Web Designs,"Webdesign, webdevelopment,  mobile apps,  digital marketing full service agency"," Advertising, Commerce and Shopping, Design, Internet Services, Sales and Marketing, Software",New York
1105,Myriad Data Security,Myriad Data is developing cloud technology that enables organizations to access the scalability and efficiency of cloud storage.," Information Technology, Internet Services",North Carolina
1106,Myota,Myota is a superior data security management solution that leverages artificial intelligence.," Artificial Intelligence, Data and Analytics, Information Technology, Science and Engineering, Software",Connecticut
1107,mymedicalimages.com,"mymedicalimages.com is the place to view, share and manage medical images."," Health Care, Information Technology",Florida
1108,MyGreat,"An on-demand moving application that helps people find storage facilities, sell unwanted goods and move their items from on demand."," Apps, Commerce and Shopping, Mobile, Software, Transportation",Illinois
1109,myBeeHyve,myBeeHyve is a software company.," Hardware, Software",North Carolina
1110,My-Cierge,My-Cierge is created a Travel Management System (TMS) web based end-to-end travel software.," Software, Travel and Tourism",Florida
1111,My Dental Rep,My Dental Rep helps dentists streamline their business and save money with their custom technology and service.," Information Technology, Professional Services",Utah
1112,My Data Outlet,My Data Outlet specializes in integrating financial data into R and Python and offers API to access financial data.," Financial Services, Information Technology",Illinois
1113,MVC Interactive,"MVC Interactive provides custom development service, salesforce service, app solution service, and web consulting service."," Apps, Professional Services, Sales and Marketing, Software",New York
1114,Muxip,"Muxip is a patented, server-side automation system that sources, schedules, and delivers live and VOD content to any platform."," Media and Entertainment, Software, Video",California
1115,Muviware by Entertainment Cloud Solutions,An enterprise cloud-based SaaS platform changing the way cinemas maximize their business through knowing and targeting customers.," Information Technology, Internet Services, Software",Texas
1116,Must,"Social platform for movie & TV fans, built based on AI, which learns your taste and delivers truly personal ratings and recommendation"," Internet Services, Media and Entertainment, Mobile, Platforms, Software, Video",Delaware
1117,Muso.AI,"Muso.AI provides an AI-based artist management application that allows the artist to manage, showcase and track the music streams."," Apps, Media and Entertainment, Music and Audio, Software",California
1118,Muses App,Muses is a professional network for entrepreneurs and freelancers," Apps, Internet Services, Mobile, Professional Services, Software",Illinois
1119,Mundo Chat,World's first truly global messaging app with integrated translations! Voilà!," Apps, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Platforms, Software",California
1120,MunchMoney,A comprehensive alternative cash management platform," Administrative Services, Data and Analytics, Financial Services, Food and Beverage, Health Care, Mobile, Other, Payments, Software, Sports",New York
1121,Multiplied,"Multiplied is a premier blockchain marketing and PR agency that specializes in digital marketing, public relations, and content. SF | NYC"," Financial Services, Media and Entertainment, Other, Payments, Sales and Marketing, Software",California
1122,MultiCultural Press,MultiCultural Press is a multicultural and bilingual story app for kids.," Apps, Content and Publishing, Media and Entertainment, Software",California
1123,MTN Haus,MTN Haus is an end-to-end eCommerce solutions provider.," Commerce and Shopping, Information Technology, Software",Colorado
1124,Mt. Cleverest,Mt. Cleverest is an online textbook that improves itself the more it's used.," Education, Software",New Jersey
1125,MSBAI,MSBAI is a developer of a platform that creates to solve expertise-barrier problems in engineering.," Consumer Electronics, Hardware, Software",California
1126,MOZAIK MEDIA,Mozaik is a live streaming technology company that builds innovative products for cloud based multi-camera video production.," Information Technology, Media and Entertainment, Software, Video",California
1127,Moxi Platform,Moxi is a SaaS Platform that manages and maintains house vehicles.," Software, Transportation",New York
1128,Move 37,"Move 37 provides an applied artificial solution that helps to navigate and work with desktop files, applications, and browser tabs."," Artificial Intelligence, Data and Analytics, Science and Engineering, Software",California
1129,Menta AR,"Augmented Reality, Marketing, Branding, Ecommerce, Viral"," Advertising, Commerce and Shopping, Data and Analytics, Hardware, Sales and Marketing, Software",Georgia
1130,MentorAPM,MentorAPM provides enterprise asset performance and work management software.," Financial Services, Software",Arizona
1131,Menu3,Menu3 is a software company that develops 3D enabled products and platforms.," Apps, Financial Services, Food and Beverage, Hardware, Internet Services, Mobile, Other, Payments, Software, Travel and Tourism",Illinois
1132,Merit.ai,Artificial Intelligence for Healthcare," Artificial Intelligence, Data and Analytics, Health Care, Science and Engineering, Software",California
1133,Merkle Data,Merkle provides accurate and actionable blockchain data to power a blockchain-enabled world.,Information Technology,New York
1134," Merkuri Digital Development Group, LLC ",Merkuri is a team of former military and security professionals that provides innovative security technologies.,Information Technology,New York
1135,Meta Esports,META is a Gaming driven Organization," Apps, Media and Entertainment, Sales and Marketing, Software",California
1136,Metalenz,"Metalenz designs and sells meta-optics including consumer electronics, mobile phones, and automotive."," Hardware, Manufacturing, Science and Engineering, Software",Massachusetts
1137,Metrical,Metrical provides artificial intelligence and e-commerce solutions.," Artificial Intelligence, Commerce and Shopping, Data and Analytics, Hardware, Science and Engineering, Software",California
1138,Metronome,Metronome is a new cryptocurrency focused on making greater decentralization possible and delivering institutional-class endurance.," Financial Services, Payments, Software",Illinois
1139,Midas Touch MarQeting,A smart media platform," Advertising, Artificial Intelligence, Data and Analytics, Internet Services, Media and Entertainment, Science and Engineering, Software",Georgia
1140,MILANER,MILANER empowers the world's top manufacturers to sell direct to consumer for the first time.," Commerce and Shopping, Consumer Goods, Hardware, Manufacturing, Software",California
1141,Mile Auto,Mile Auto provides a pay-per-mile car insurance service that saves lower mileage drivers money.," Financial Services, Hardware, Software",Georgia
1142,MilestoneZero,"MilestoneZero is a web agency that offers artificial intelligence, web development, machine learning and mobile application services"," Artificial Intelligence, Data and Analytics, Science and Engineering, Software",California
1143,milk+honey,milk+honey prepares companies to capitalize on revolutionary advancements in artificial intelligence.," Artificial Intelligence, Data and Analytics, Information Technology, Science and Engineering, Software",California
1144,Million Studio,"Marketing automation for professional athletes, sports agents, leagues, teams and publishers"," Advertising, Data and Analytics, Internet Services, Sales and Marketing, Software, Sports",Massachusetts
1145," Mimble, Inc. ","Social Gifting - Fun, Fast and Easy"," Apps, Commerce and Shopping, Internet Services, Media and Entertainment, Mobile, Software",Washington
1146,MIMIR Blockchain Solutions,"We are the world’s first Decentralized Blockchain Service Provider (DBSP) bringing blockchain to those ""off-chain"""," Information Technology, Other, Software",Georgia
1147,Mind-X,"Mind-X combines neurotechnology, augmented reality, and Artificial Intelligence to create computer interference."," Artificial Intelligence, Consumer Electronics, Data and Analytics, Hardware, Information Technology, Science and Engineering, Software",Maryland
1148,Mindful Technology,Mindfulness for tech lovers | Values-based tech consulting + education | Tech can be part of the solution!," Data and Analytics, Education, Health Care, Professional Services, Software",New York
1149,MindRend Technologies,MindRend Technologies is  a VR Robotics Simulator.," Hardware, Software",Ohio
1150,Mindy Curnutt & Associates Consulting,Mindy Curnutt is a Microsoft Data Platform.," Consumer Electronics, Hardware, Software",Texas
1151,Mitosis Games,Mitosis Games is a collective of game-creation superheroes.," Apps, Gaming, Mobile, Software",New York
1152,Lux Optics,Lux Optics is a studio reimagining what photography looks like in the 21st century.," Apps, Content and Publishing, Data and Analytics, Media and Entertainment, Mobile, Software",California
1153,LVL,LVL is an FDIC-insured mobile banking app where you can exchange cash & Bitcoin for free & invest easily with Autopilot.," Financial Services, Information Technology, Payments, Software",Texas
1154,M.C Capital Ventures,MC Capital Ventures is a conglomerate hedge fund company.," Financial Services, Lending and Investments, Other, Payments, Software",California
1155,Maatic IT Consulting,"Maatic IT Consulting offers web application development, staffing, mobile application development, e-commerce solutions services."," Information Technology, Software",Texas
1156,MACE Virtual Labs,MACE Virtual Labs is a value-added reseller and solution provider of VR and immersive technologies for use in commercial settings.,Information Technology,Texas
1157,MachineCore,MachineCore is an artificial intelligence company.," Artificial Intelligence, Data and Analytics, Science and Engineering, Software",Pennsylvania
1158,MacProCleaner,"MacProCleaner is your best way to double Mac productivity, keep it clean and speed",Software,California
1159,MacroSQL Technology,"MacroSQL Technology focuses on making the highest quality design, implementation of enterprise database applications."," Hardware, Information Technology, Software",California
1160,Magic AI,"Magic AI  is a platform that brings artificial intelligence, virtual reality, and augmented reality to specific industries and verticals."," Artificial Intelligence, Data and Analytics, Information Technology, Science and Engineering, Software",Washington
1161,Magic Wonderland Films,Magic Wonderland Films is operates in stealth mode.,Information Technology,California
1162,Magna Marketing,"Magna Marketing is a Digital Transformation consulting firm that specializes in implementations, advisory services, and managed services."," Information Technology, Internet Services, Sales and Marketing, Software",New York
1163," Mahalo Technologies, Inc. ","Providing secure, user driven, digital banking and analytical solutions."," Data and Analytics, Financial Services, Lending and Investments, Mobile, Privacy and Security, Software",Michigan
1164,Main Location,Main Location is moving real estate forward.," Financial Services, Internet Services, Real Estate, Software",Virginia
1165,MapHubs,MapHubs is a technology company that provides software and services to organizations monitoring natural resources.," Agriculture and Farming, Navigation and Mapping, Professional Services, Software, Sustainability",District of Columbia
1166,MapPlug,MapPlug is facility management software that allows users to import building information and add details on an interactive map.," Navigation and Mapping, Real Estate, Software",Tennessee
1167,Margin,A smart shopping email alias for a happier inbox.," Commerce and Shopping, Information Technology, Internet Services, Software",New York
1168,MarHub,MarHub is a migration management platform.,Information Technology,California
1169,Market Games,Market Games is an education technology startup that provides business simulation and gamifying core business education.," Education, Software",California
1170,Market Vulture,Market Vulture monitors dramatic events around the world and spots the opportunities that lie beneath...," Artificial Intelligence, Content and Publishing, Data and Analytics, Financial Services, Government and Military, Media and Entertainment, Payments, Science and Engineering, Software",Texas
1171,LifeFolder,End of Life is the most important conversation we've never had. LifeFolder is here to change that.," Health Care, Information Technology",California
1172,lifeID,"lifeID is the open-source, tokenized protocol for self-sovereign identity."," Other, Software",Washington
1173,Liftiq,"Liftiq provides artificial intelligence, machine learning, and UX design services."," Artificial Intelligence, Data and Analytics, Information Technology, Science and Engineering, Software",Utah
1174,Light Field Lab,Light Field Lab is a breakthrough technology startup that builds an innovative holographic ecosystem.," Design, Hardware, Information Technology, Media and Entertainment, Software, Video",California
1175,LightStance,LightStance is a provider of strategic planning and execution platform built upon a robust process designed to engage people.," Professional Services, Software",Ohio
1176,Likely.ai,We have created an AI that predicts future events for the entire real estate ecosystem," Artificial Intelligence, Data and Analytics, Financial Services, Real Estate, Sales and Marketing, Science and Engineering, Software",Texas
1177,Lily.Health,Lily.Health is building the best reproductive health tools using the latest technologies and research.," Health Care, Information Technology",Delaware
1178,Linkasoarus,"Linkasoarus is a social media management platform that enables businesses to discover, grow and engage with audiences."," Apps, Internet Services, Professional Services, Sales and Marketing, Software",North Carolina
1179,LinkedField,LinkedField is an Intelligent subcontractor management company.," Information Technology, Other, Real Estate",California
1180,linkshorts,LinkShorts is a completely free tool where anyone can create short links.," Internet Services, Software",Texas
1181,LionX,"LionX helps companies create customer trust & loyalty with a privacy experience, transparency, and responsiveness.",Software,California
1182,LiquidInvoice,"LiquidInvoice offers payment automation, billing and customer retention services to increase revenue for businesses."," Financial Services, Payments, Professional Services, Software",Pennsylvania
1183,Liss Technologies,"Liss Technologies provides customer support & training, utility measurement, management, & conservation, and payment services."," Financial Services, Other, Payments, Real Estate",Nebraska
1184,Listing AR,Show 100x more homes without having to turn a key. Create Real Estate listings in Augmented Reality.," Apps, Content and Publishing, Design, Financial Services, Hardware, Media and Entertainment, Mobile, Real Estate, Software",Colorado
1185,Little Acorn Shave,Little Acorn Shave is a Retailing Company.," Commerce and Shopping, Community and Lifestyle, Design, Hardware, Other, Software",Minnesota
1186,Little Lion,"Little Lion provides family activities, nutrition, yoga, kickboxing, art, wellness via an online interactive platform"," Food and Beverage, Health Care, Information Technology",Illinois
1187,Live CGI,Live CGI is a software platform to enable you to make live branded content.," Media and Entertainment, Software",Connecticut
1188,Live Music Network,"Live Music Network offers Myset, an application that provides a way to crowd-source live music."," Apps, Media and Entertainment, Mobile, Music and Audio, Software",Mississippi
1189,Liven,The presentation revolution is here.,Software,Indiana
1190,Livenpeace,"Fan clubs of famous sportsmen and sports teams, show business stars"," Internet Services, Software",Florida
1191,Livepeer,Livepeer develops and operates a platform for decentralized live video broadcast on the Internet.," Community and Lifestyle, Content and Publishing, Information Technology, Media and Entertainment, Software, Video",New York
1192,lmbk,lmbk is bringing emotional intelligence to our everyday digital lives.," Artificial Intelligence, Biotechnology, Data and Analytics, Information Technology, Science and Engineering, Software",South Carolina
1193,Loadblock,Loadblock is a blockchain platform for secure electronic document transfer and rapid payment.," Financial Services, Information Technology, Other, Payments",Arizona
1194,Loadmill,Helping companies to move fast without breaking things by creating automated tests from real user behavior.," Information Technology, Software",California
1195,Localvest,Localvest is a SaaS investor communications platform.," Financial Services, Software",District of Columbia
1196,LockedBrands,"LockedBrands is a platform that integrates smart technologies with modern design to produce sleek, keyless, and personal lockbox systems."," Apps, Information Technology, Software",Texas
1197,Logicluster,Logicluster is an AI/ML currency pricing software for the remittance and payments industry.," Artificial Intelligence, Data and Analytics, Financial Services, Information Technology, Science and Engineering, Software",California
1198,Logiic,"Logiic offers managed IT, medical, and dental specialist services, accounting, consulting, hardware, and project management services."," Administrative Services, Financial Services, Information Technology, Other, Professional Services",California
1199,LotMonkey,The auto industy's first web-to-print app.," Apps, Commerce and Shopping, Internet Services, Software, Transportation",Florida
1200,Lucky Labs,Lucky Labs enables DTC and omni-channel brands to connect with consumers.," Information Technology, Other, Software",New York
1201,Ludi,Photo & Video Social Contests for Instagram," Content and Publishing, Internet Services, Media and Entertainment, Mobile, Video",New York
1202,Ludus,Ludus is a presentation tool platform.," Design, Education, Software",California
1203,Lulius Innovation,"Lulius Innovation offers web app development, auditing and innovative solutions for government, military and commercial companies."," Apps, Information Technology, Other, Software",Nevada
1204,Lumatic,Lumatic is a operator of a photography company aimed at capture and share individual stories.," Content and Publishing, Information Technology, Media and Entertainment",Indiana
1205,Lumico Digital,"Lumico Digital is a software development studio, specializing in mobile and web apps for iOS and Android and supporting cloud services."," Apps, Consumer Electronics, Hardware, Information Technology, Internet Services, Mobile, Platforms, Software",Illinois
1206,LUPR,"LUPR provides a supplier relationship management platform that allows executives to capture, communicate, and analyze all supplier insights."," Software, Transportation",New Jersey
1207,kpiReady,"kpiReady streamlines data collection and reporting so that founders align their team, investors, advisors, and other stakeholders."," Data and Analytics, Hardware, Information Technology, Software",New York
1208,Kraenion,Kraenion is an applied machine learning company developing a visual cortex for machines that interact with the physical world.," Artificial Intelligence, Data and Analytics, Hardware, Science and Engineering, Software",California
1209,Lab 39,Lab 39 is provides a digital health solution to those suffering from chronic pain and their caregivers.," Health Care, Information Technology, Sports",Massachusetts
1210,Laboralisto,Laboralisto is a web-based platform to manage labor litigation cases in Latin America.," Artificial Intelligence, Data and Analytics, Financial Services, Professional Services, Software",California
1211,Lactation Innovations,Lactation Innovations is developing a medical device that measures the breastmilk in a baby’s stomach to transform postpartum care.," Community and Lifestyle, Consumer Electronics, Hardware, Health Care, Information Technology",Connecticut
1212,LadyLab,LadyLab is an mobile app for woman that helps to collaborate and discover paid projects and expand network.," Apps, Community and Lifestyle, Education, Mobile, Software",California
1213,Lambos Digital,Digital Marketing Agency," Advertising, Mobile, Sales and Marketing",North Carolina
1214,LandOne Takeoff,LandOne Takeoff is a PDF annotation and measurement software for landscape and irrigation contractors.," Data and Analytics, Real Estate, Software",Alabama
1215,Lappdata,Lappdata is a web-based lead management application for small to mid-size businesses.," Information Technology, Sales and Marketing, Software",California
1216,Lasting,"Lasting is a relationship counseling company and now a part of Talkspace, the online therapy company."," Apps, Health Care, Internet Services, Software",New York
1217,Lateral Capital,Lateral Capital is a venture fund focused on early and growth stage opportunities in Africa.," Energy, Financial Services, Health Care, Information Technology, Lending and Investments, Mobile, Sustainability, Transportation",New York
1218,LaunchpadQ2C,"LaunchpadQ2C is an IT firm that provides optimization as a service, software development, workflow management and quote-to-cash systems."," Apps, Information Technology, Software",California
1219,Lawgood,Lawgood makes it fast and easy for lawyers to draft and review market-driven contracts.," Professional Services, Software",California
1220,LawPal,AI Lawyer in your Pocket," Artificial Intelligence, Data and Analytics, Professional Services, Science and Engineering, Software",California
1221,Layer 7 Capital,Layer 7 Capital is a boutique investment bank that specializes in mergers and acquisitions.," Financial Services, Hardware, Internet Services, Lending and Investments, Other, Privacy and Security, Science and Engineering, Software",New York
1222,Layer 8,Layer 8 is developing technologies and methodologies to protect against harmful human behaviors.," Information Technology, Privacy and Security",Maryland
1223,Lea (Live Event Assistant),An AI concierge that helps live event fans discover events and purchase tickets via text messaging," Apps, Artificial Intelligence, Data and Analytics, Events, Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications, Software",California
1224,Lead2Growth,"Lead2Growth provides IT consultancy, data analysis, reporting, and sales process development services."," Information Technology, Professional Services, Sales and Marketing, Software",Ohio
1225,Leaderally,Leaderally provides learning and education services.," Education, Software",New Jersey
1226,Leadership Now Project,Leadership Now Project started as an innovative model for sustained and strategic engagement to fix democracy.," Education, Software",District of Columbia
1227,Leadworx,Leadworx is an Account-Based Prospecting platform. It's product suite is designed to fill top of the funnel with high quality prospects.," Advertising, Commerce and Shopping, Other, Sales and Marketing, Software",California
1228,Leap Security,"Leap Security provides information security, penetration testing, security assessments & cybersecurity services for organizations."," Information Technology, Privacy and Security",Florida
1229,Learning Developments,"Learning Developments is a dedicated team of talented educational technologists, built to meet the increasing demand for high quality."," Education, Professional Services, Software",North Carolina
1230," LearningPal, Inc. ",We help enterprises to save 80% of manual document processing automation with AI-OCR & NLP.," Apps, Artificial Intelligence, Data and Analytics, Hardware, Information Technology, Science and Engineering, Software",California
1231,Learnt,An online marketplace that allows students to seamlessly and instantaneously connect with highly vetted tutors online and in-person.," Commerce and Shopping, Education, Software",New York
1232,LedgerPrime,LedgerPrime is a Digital Asset Investment Firm," Financial Services, Information Technology, Lending and Investments",Florida
1233,Ledgie,Ledgie is an upcoming personal finance app for cryptocurrency users.," Apps, Financial Services, Internet Services, Mobile, Other, Payments, Software",California
1234,Legacy Beta,Legacy Beta is a provider of IT consulting and contracting services.," Information Technology, Professional Services",Delaware
1235,LegacyBook,Fintech SaaS Mobile Application," Financial Services, Software",Kansas
1236,LegalLeaf,"LegalLeaf is a case management software that provides paperless documentation, document organization and tracking."," Health Care, Information Technology, Software",Florida
1237,LegatumX,LegatumX is transform traditional documents into Blockchain smart contracts.," Consumer Electronics, Hardware, Software",California
1238,Leisurely,"Leisurely is a booking platform for discovery and culinary experiences including hospitality, cooking classes, marketplace and ticketing."," Apps, Internet Services, Other, Sales and Marketing, Software",New York
1239,Lemacks Media,World's Leading Web Developer | Web Designer | Hosting Company | Solutions Provider," Hardware, Information Technology, Internet Services, Platforms, Privacy and Security, Sales and Marketing, Software",North Carolina
1240,Leo,Leo is an augmented reality app that allows people to experience advanced augmented reality through realistic animated and 3D objects.," Apps, Hardware, Media and Entertainment, Software",California
1241,Levered Learning,Levered Learning is a classroom-tested and teacher-designed instructional system providing 3rd-5th grade mathematical learning.," Education, Software",California
1242,LexiconAI,"Voice-operated, intelligent assistant for professionals"," Data and Analytics, Software",California
1243,LienIQ,LienIQ decentralizes residential non-performing second lien analytics-based investing.," Financial Services, Information Technology, Real Estate",New York
1244,Life Bot,Life Bot is the only voice app you need to complete daily activities with your voice.," Apps, Information Technology, Mobile, Software",California
1245,Life Snapshot,"Life Snapshot is a digital storage vault that protects personal assets, final wishes, and critical documents."," Hardware, Software",Illinois
1246,JGist,JGist is the developer of a mobile application intended to connect consumers and companies respectfully .," Hardware, Information Technology, Internet Services, Messaging and Telecommunications",Minnesota
1247,JITX,JITX provides electronic design as a service.,Software,California
1248,JobMethods Inc.,Recruitment of high-salaried professionals," Administrative Services, Information Technology, Software",California
1249,Join Digital,Join Digital manages public and private cloud data and apps through predictive analytics engine.," Apps, Data and Analytics, Information Technology, Internet Services, Software",California
1250,Jonny Dapper,Custom Suits For Men & Women," Clothing and Apparel, Commerce and Shopping, Community and Lifestyle, Consumer Goods, Design, Hardware, Software",Tennessee
1251,Jono Marketing,"Jono is a creative agency that provides digital advertising, web development and marketing solutions."," Advertising, Content and Publishing, Media and Entertainment, Sales and Marketing, Software",New Jersey
1252,Jrop LLC,On Demand Roadside Assistance platform. Request roadside assistance using the mobile app or directly on the website in under 60 seconds.," Apps, Mobile, Software, Transportation",Michigan
1253,Jugl LLC,We're building software to make it easier to be a working parent. Sign up to be part of our pre-release community at www.getjugl.com!," Consumer Electronics, Hardware, Information Technology, Software",Illinois
1254,Juicebox,"Juicebox is making a more pleasurable world by providing 1-on-1 sex, dating, and relationship coaching anonymously via an app."," Health Care, Software",California
1255,Junum,Elevating Clinical Nutrition to Drive Results. Improve patient outcomes — and your bottom line — with clinician-driven technology.," Apps, Health Care, Software",Missouri
1256,Just Learn,Just Learn is a developer of compact ecosystems with add-on modules to fuse nature and technology into engaging hands-on STEM experiences.," Education, Science and Engineering, Software",Florida
1257,Just My Style,Just My Style is a fashion matching app that creates the ultimate window shopping experience for users through machine learning.," Apps, Artificial Intelligence, Data and Analytics, Mobile, Software",North Carolina
1258,JustProtect,JustProtect is a platform that helps enterprises simplify the process of distributing to internal and third-party assessments.," Information Technology, Privacy and Security, Professional Services, Software",New York
1259,JustSpot.me,JustSpot.me is a smart location device that doesn’t need to be charged.,Information Technology,Texas
