,company_name,description,cleaned_description
806,Snippet,Snippet provides a platform that allows users to communicate using small clips of music.,snippet provides platform allows user communicate using small clip music
807,Snipgram,Snipgram is a platform to capture and share bite-sized podcast moments.,snipgram platform capture share bitesized podcast moment
808,Snark,Explore and engage with the people and places around you instantly. Snark is the bridge between digital space and you.,explore engage people place around instantly snark bridge digital space
809," SmileML, Inc. ",smileML is a Techstars Air Force company helping people be understood and understand others by taking the guesswork out of communication.,smileml techstars air force company helping people understood understand others taking guesswork communication
810,Smile Identity,"Smile Identity solve identity for banks, telecoms, financial services and shared economy applications in Africa and beyond.",smile identity solve identity bank telecom financial service shared economy application africa beyond
811,SMC Squared," SMC Squared, LLC provides a disruptive alternative to the IT Services industry.", smc squared llc provides disruptive alternative service industry
812,SmartX Technology,MULTIPLE-PLATFORM APPROACH TO AERIAL ENTERPRISE ASSET VISIBILITY,multipleplatform approach aerial enterprise asset visibility
813,Smartly Done Websites,Web Designs,web design
814,Smart Platform Group,"Smart Platform Group is explore, design, & build software platforms & tools.",smart platform group explore design  build software platform  tool
815,Smart Hotel,We make it possible for your guests to have their own personal assistant in every room.,make possible guest personal assistant every room
816,Small Data Tech,"Small Data provides inexpensive and efficient small data transmissions for the Internet of Things (IoT) in rural and urban settings.
","small data provides inexpensive efficient small data transmission internet thing iot rural urban settings
"
817,Slobbr,Slobbr is an app for pets.,slobbr app pet
818,Slideless,Accelerating the global migration from glass microscopes to Digital Anatomic Pathology,accelerating global migration glass microscope digital anatomic pathology
819,Skyways,Skyways is creating a new form of transportation to advance our civilization.,skyway creating new form transportation advance civilization
820,Skydreamer,Mobile application for group travelling,mobile application group travelling
821,Skryptorz,Skryptorz uses blockchain technology to provide business solutions.,skryptorz us blockchain technology provide business solution
822,Skipper.io,"Skipper.io is a social learning platform that ceates courses, teach students, share resources, and collaborate with their social groups.",skipperio social learning platform ceates course teach student share resource collaborate social group
823,Skillz Israel,"Skillz Israel is the new marketplace that brings together these non-professionals, service providers with clients in need of such services.",skillz israel new marketplace brings together nonprofessionals service provider client need service
824,Skillroads - AI Resume Career Builder,Progressive AI Career Builder created to simplify the job searching process. Platform provides a wide range of career development services.,progressive ai career builder created simplify job searching process platform provides wide range career development service
825,Skillhop,Construction Management SaaS Platform for Property and Facility Managers,construction management saas platform property facility manager
826,Sketchbox,Sketchbox offers design interactive prototypes for VR/AR.,sketchbox offer design interactive prototype vrar
827,Sira Medical,"Sira Medical offers RadHA, an augmented reality software that allows surgeons to view radiology images in a completely new way.",sira medical offer radha augmented reality software allows surgeon view radiology image completely new way
828,Simulacra,Media,medium
829,SimpleForms,"SimpleForms demystifies mandatory employment documents by turning them into questions, making them easier to exchange, store and understand.",simpleforms demystifies mandatory employment document turning question making easier exchange store understand
830,Simple Ledger,"Simple Ledger builds applications to manage secure, immutable data utilizing the power of the Bitcoin blockchain.",simple ledger build application manage secure immutable data utilizing power bitcoin blockchain
831,Simple Intelligence,Simple Intelligence provides machine learning services.,simple intelligence provides machine learning service
832,Simple Beacon,"SaaS, Technology Products",saas technology product
833,SimplData,"Seamlessly integrate all your data sources onto a single platform. The result? A comprehensive view, complete with AI prediction models!",seamlessly integrate data source onto single platform result comprehensive view complete ai prediction model
834,SIMMER.io,Simmer Industries is a place to discover and share WebGL content on the web.,simmer industry place discover share webgl content web
835,SigX,Signals Extraction,signal extraction
836,SignGlasses,SignGlasses offers technology that interprets and captions sign language for all deaf and hard-of-hearing students.,signglasses offer technology interprets caption sign language deaf hardofhearing student
837,Sift Food Labels,Empowers Ingredient Conscious Shoppers to Make Better Decisions When Grocery Shopping.,empowers ingredient conscious shopper make better decision grocery shopping
838,Sierra Space Agency,A product launch pad in the Tahoe Valley,product launch pad tahoe valley
839,SideKick.Tools,"A powerful team-run tool that dramatically boosts customer growth, rescues lost revenue and leverages declining resources. 
","powerful teamrun tool dramatically boost customer growth rescue lost revenue leverage declining resource 
"
840,SideKart,SideKart is a technology-driven company that specializes in complete store fulfillment solutions and makes selling easy.,sidekart technologydriven company specializes complete store fulfillment solution make selling easy
841,Shyft Auto,Shyft Auto is a B2B marketplace that connects consumers to service facilities and drivers for on demand vehicle service.,shyft auto b2b marketplace connects consumer service facility driver demand vehicle service
842,Showing Assistance,Showing Assistance is a SaaS based platform that enables realty brokers to share property viewings with other realty brokers.,showing assistance saas based platform enables realty broker share property viewing realty broker
843,ShopThatVideo.com,"A innovative shoppable video platform - an exciting way to shop, and a way to increase conversions for marketers",innovative shoppable video platform  exciting way shop way increase conversion marketer
844,ShopMessage,Leading conversational marketing platform helping e-commerce merchants grow sales using Facebook Messenger.,leading conversational marketing platform helping ecommerce merchant grow sale using facebook messenger
845,ShopElf,We build delightful e-commerce experiences,build delightful ecommerce experience
846,Shone,Shone Automation develops autonomous retrofitted ships.,shone automation develops autonomous retrofitted ship
847,Shipmint,Shipmint provides business with a better way to manage their FedEx and UPS shipping costs.,shipmint provides business better way manage fedex ups shipping cost
848,Ship On Day One,Ship On Day One they get teams shipping on day one.,ship day one get team shipping day one
849,ShinePay,ShinePay is a provides financial service companies specializes in leaders in payment technology.,shinepay provides financial service company specializes leader payment technology
850,Sherpio,"Sherpio helps businesses find the best credit card processor, merchant account, and payment services",sherpio help business find best credit card processor merchant account payment service
851,Sherpas Cyber Security Group,Sherpas Cyber Security Group is an information technology and cyber security that develops comprehensive security solution.,sherpa cyber security group information technology cyber security develops comprehensive security solution
852,Shed Suite,"Shed Suite is application software designed for order creation, tracking, inventory management and driver log solutions.",shed suite application software designed order creation tracking inventory management driver log solution
853,Sharp Things LLC,"Consulting and speaking at the intersection of media, technology and politics.",consulting speaking intersection medium technology politics
854,Shape Operating System Industries,Shape Operating System Industries,shape operating system industry
855,Shahtez Software Solutions,Shahtez Software Solutions is an Austin based software consulting firm.,shahtez software solution austin based software consulting firm
856,Seva,Seva is a unified search platform that helps knowledge workers discover and organize the information they need at work.,seva unified search platform help knowledge worker discover organize information need work
857,Seller Locker,"Seller Locker is software that engages in FBA picks, pack fees management and clean reimbursement solutions.",seller locker software engages fba pick pack fee management clean reimbursement solution
858,SelectQ,"SelectQ is an AI-driven educational technology platform, SelectQ offers quizzes and performance-based training.",selectq aidriven educational technology platform selectq offer quiz performancebased training
859,Seguno,Seguno is the only complete email solution fully embedded within Shopify.,seguno complete email solution fully embedded within shopify
860,Seedlogic,Industry leading knowledge and a powerful team help provide you the peace of mind that your company will grow.,industry leading knowledge powerful team help provide peace mind company grow
861,seedership,Seedership powering small firms doing good in their communities with digital platform that helps them keep their acts of kindness visible.,seedership powering small firm good community digital platform help keep act kindness visible
862,Secure AI Labs,Secure AI Labs helps businesses share privacy restricted data by protecting it during use.,secure ai lab help business share privacy restricted data protecting use
863,Sectyr,Sectyr® is an innovative software company dedicated to addressing healthcare compliance obstacles through specialized software solutions.,sectyr® innovative software company dedicated addressing healthcare compliance obstacle specialized software solution
864,SDVA Solutions,"At SDVA Solutions, our mission is to help your business succeed.",sdva solution mission help business succeed
865,SCRIPTS Asia,SCRIPTS Asia provides investor event coverage for the global institutional investment community.,script asia provides investor event coverage global institutional investment community
866,Scriptly Rx,Scriptly Rx brings you ethically sourced prescription drug discounts making them ‘anti-big pharma’ way to save on your prescription drugs.,scriptly rx brings ethically sourced prescription drug discount making ‘antibig pharma’ way save prescription drug
867,ScriptAssist Pharmacy,ScriptAssist Pharmacy is an on-line retail pharmacy company that provides medication management with vitamins and supplements.,scriptassist pharmacy online retail pharmacy company provides medication management vitamin supplement
868,Screen Door Laboratories,Screen Door Laboratories  is a,screen door laboratory 
869,ScrappyCito,ScrappyCito is a job search tool for veterans looking to transition to the civilian workforce.,scrappycito job search tool veteran looking transition civilian workforce
870,Scout FM,Scout FM is a hand-curated podcast radio stations personalized with the power of data and artificial intelligence.,scout fm handcurated podcast radio station personalized power data artificial intelligence
871,ScoreMedia,ScoreMedia is a platform that measures and scores the things you have done in your life.,scoremedia platform measure score thing done life
872,Scoot Science,Scoot Science uses AI to deliver accurate underwater weather and numerical ocean data for use by fish farmers.,scoot science us ai deliver accurate underwater weather numerical ocean data use fish farmer
873,Scire Strategies,"Scire Strategies is a consultancy that specialzies in project management, strategic planning and performance management services.",scire strategy consultancy specialzies project management strategic planning performance management service
874,Schoolr.io,Schoolr.io is creating a new market for online education for students a simple and affordable way to get personalized solutions.,schoolrio creating new market online education student simple affordable way get personalized solution
875,Schaller Garvin and Associates,Schaller Garvin and Associates provides billing services and business decision support for medical and other industries.,schaller garvin associate provides billing service business decision support medical industry
876,SceneThink,SceneThink connects event creators directly with the local influencers who drive attendance to their events.,scenethink connects event creator directly local influencers drive attendance event
877,SatisFactor,SatisFactor is a tool in spanish to measure the loyalty of a customer to a company. We offer surveys via Web & Email.,satisfactor tool spanish measure loyalty customer company offer survey via web  email
878,Satira,Satira is a provider of professional comedy coaching services.,satira provider professional comedy coaching service
879,Sarson Funds,"Transparent and risk-managed cryptocurrency investment funds, plus digital asset education for investors and financial advisors.",transparent riskmanaged cryptocurrency investment fund plus digital asset education investor financial advisor
880,Santa.com,"Santa.com - The official site of Santa. ""Oh yes I'm real!""",santacom  official site santa oh yes im real
881,Sanders IT Consulting,"Sanders IT Consulting provides managed IT services, cybersecurity training, and consulting services for small businesses.",sander consulting provides managed service cybersecurity training consulting service small business
882,Sandbox Systems,Sandbox Systems is a software company that has created a collaborative online IDE called Makai.,sandbox system software company created collaborative online ide called makai
883,Salvo Software,"Salvo Software offers software, ERP, web development and software consulting services.",salvo software offer software erp web development software consulting service
884,SaltyCloud,SaltyCloud provides access to workflow automation tools that help maximize the impact of security and risk teams.,saltycloud provides access workflow automation tool help maximize impact security risk team
885,Salt City Tech,"Salt City Tech offers a wide range of consulting, information technology management, and managed services.",salt city tech offer wide range consulting information technology management managed service
886,SalesPype,SalesPype is a software solution that combines CRM with built-in automation solutions.,salespype software solution combine crm builtin automation solution
887,SalesMentour,"Business Development Training, Education, SaaS, ",business development training education saas 
888,Sales Assembly,The premier resource and peer community for sales/revenue leaders from Chicago's top high-growth tech companies.,premier resource peer community salesrevenue leader chicago top highgrowth tech company
889,Saigen,A local data science firms.,local data science firm
890,RxMapper,Every patient deserves safe and effective medications.,every patient deserves safe effective medication
891,RxBridge,RxBridge is an information technology and health care services industry specialized in transparency and white glove customer services.,rxbridge information technology health care service industry specialized transparency white glove customer service
892,Royce Technical,Royce Technical is a consulting firm that specializes in search and recruiting.,royce technical consulting firm specializes search recruiting
893,Royal OS,"Royal OS specializes in document management, printing, and IT infrastructure services.",royal o specializes document management printing infrastructure service
894,Routefire,Routefire is a provider of trade execution infrastructure in the digital asset space.,routefire provider trade execution infrastructure digital asset space
895,Route Dynamics,Route Dynamics develops a platform intended to automate aviation routing.,route dynamic develops platform intended automate aviation routing
896,Rosint Labs,Rosint Labs solves problems with software technology.,rosint lab solves problem software technology
897,Rosebud Woman,Rosebud Woman makes exquisite intimate skin and body care formulations,rosebud woman make exquisite intimate skin body care formulation
898,Root Banking,Root Banking is a mobile application that provides digital banking financial services.,root banking mobile application provides digital banking financial service
899,Roomnett,Roomnett is a shared accommodation and roommate finder website & App where you find a like-minded roommate that you can share a home with.,roomnett shared accommodation roommate finder website  app find likeminded roommate share home
900,Rocketmomo,Rocketmomo is a web design and development company.,rocketmomo web design development company
901,Rocket,Companies use Rocket to solve their recruiting needs,company use rocket solve recruiting need
902,Robomart,On-Demand Mobile Stores,ondemand mobile store
903,RoboAMP,RoboAMP is an application for web lightning fast.,roboamp application web lightning fast
904,RoBhat Labs,RoBhat Labs  is the Developer of online web browsing tools intended to tackle the spread of fake news and misinformation.,robhat lab  developer online web browsing tool intended tackle spread fake news misinformation
905,Roaster Tools,"RoasterTools keeps your roastery running smoothly and your business profitable, so you can focus on roasting great coffee.",roastertools keep roastery running smoothly business profitable focus roasting great coffee
906,Roam Research,Roam Research is a tool that offers services for notetaking and graph databases.,roam research tool offer service notetaking graph database
907,Rivet Labs,Rivet Labs is an automation software that develops recurring revenue and cash forecasting applications.,rivet lab automation software develops recurring revenue cash forecasting application
908,Riskcast Solutions,"Riskcast Solutions is a productivity and forecasting tool that provides a way for project managers to track labor, material, and equipment.",riskcast solution productivity forecasting tool provides way project manager track labor material equipment
909,Risk Labs,Risk Labs is an open source protocol for synthetic risk transfer.,risk lab open source protocol synthetic risk transfer
910,Rip City Software,"Rip City Software provides microservices architecture, coaching & education services.",rip city software provides microservices architecture coaching  education service
911," rinehimerbaker, llc ",Accounting firm and provider of cloud accounting software to growing organizations in Florida and the Southeastern US,accounting firm provider cloud accounting software growing organization florida southeastern u
912,RightAir,RightAir is developing noninvasive ventilators for COPD patients.,rightair developing noninvasive ventilator copd patient
913,Rig CallOut,Rig CallOut is a cloud-based communication platform that provides shipping and logistics services.,rig callout cloudbased communication platform provides shipping logistics service
914,Rifft Media LLC,Media Based review site,medium based review site
915,RideAlong,RideAlong is a software tool that gives patrol officers key information about people with mental illness.,ridealong software tool give patrol officer key information people mental illness
916,Rhabit Analytics,"Rhabit's lightweight & easy-to-use platform transforms feedback into powerful performance insights for employees, managers, and leadership.",rhabits lightweight  easytouse platform transforms feedback powerful performance insight employee manager leadership
917,Rex Industrial,Streamlined procurement and distribution used to supply structures for access and egress by industrial companies.,streamlined procurement distribution used supply structure access egress industrial company
918,Rewardzzz,Rewardzzz is a blockchain app.,rewardzzz blockchain app
919,REVOKIND,REVOKIND provides blockchain network solutions by developing artificially intelligent and autonomous communication system.,revokind provides blockchain network solution developing artificially intelligent autonomous communication system
920,Review Maiden,Review Maiden is a creative tool for review management that allows local companies to receive feedback automatically from current customers.,review maiden creative tool review management allows local company receive feedback automatically current customer
921,Reverie Labs,Reverie Labs is a machine learning-driven pharma company.,reverie lab machine learningdriven pharma company
922,Reveal Why,"Reveal Why uses AI, advanced natural language processing, and advanced analytics to address the threats to brands and reputation.",reveal us ai advanced natural language processing advanced analytics address threat brand reputation
923,RETINA-AI,RETINA-AI Develop Artificial Intelligence Software for Diagnosing Retinal Diseases from Images of the Retina,retinaai develop artificial intelligence software diagnosing retinal disease image retina
924,Respirogen,Respirogen features a device technology provides oxygen independent from damaged lungs like Acute respiratory distress syndrome.,respirogen feature device technology provides oxygen independent damaged lung like acute respiratory distress syndrome
925,ResolvedCX,"Scale quality customer support with the most affordable, flexible service available",scale quality customer support affordable flexible service available
926,Resermine,Resermine is an AI-enabled platform for decision making about surveillance.,resermine aienabled platform decision making surveillance
927,Repetere,Repetere generates automated sales and product mix forecasts with machine learning and artificial intelligence.,repetere generates automated sale product mix forecast machine learning artificial intelligence
928,RenGen Labs,RenGen Labs is the easiest and most trusted place to connect with companies issuing private equity and security token offerings.,rengen lab easiest trusted place connect company issuing private equity security token offering
929,Remeet,Remote meetings reinvented,remote meeting reinvented
930,REMEDIA,REMEDIA is an advanced medical data analytics company.,remedia advanced medical data analytics company
931,Reliable Web Solutions,Reliable Web Solutions is a platform providing a wide spectrum of services that are related to creation of mobile responsive design and SEO.,reliable web solution platform providing wide spectrum service related creation mobile responsive design seo
932,Relex,Relex is the world's first cryptocurrency based real estate developer opportunity.,relex world first cryptocurrency based real estate developer opportunity
933,Related Works,"Related Works is a research and product strategy firm that provides data, research, and product strategy to companies.",related work research product strategy firm provides data research product strategy company
934,ReFirm Labs,ReFirm Labs is a group of IoT security experts that develops a new method for vetting and validating firmware.,refirm lab group iot security expert develops new method vetting validating firmware
935,Refermate,Earn Cash Back and Commission on thousands of stores and brands.,earn cash back commission thousand store brand
936,Redsip,A social platform that is bringing wine appreciation for everyone!,social platform bringing wine appreciation everyone
937,Redemption Technologies,"Redemption Technologies, an source e-commerce marketplace platform, anonymously allows subscribers to pay with a cryptocurrency anywhere.",redemption technology source ecommerce marketplace platform anonymously allows subscriber pay cryptocurrency anywhere
938," Red Sunflower, Inc ","Red Sunflower specializes in websites, e-commerce, mobile apps, UX design and cybersecurity to help businesses improve their web presence.",red sunflower specializes website ecommerce mobile apps ux design cybersecurity help business improve web presence
939,Red Mountain Scientific,Red Mountain Scientific provides the data needed to effectively manage wind turbine or cell tower assets.,red mountain scientific provides data needed effectively manage wind turbine cell tower asset
940,RecurEvent,"AI based application that personalizes the gift purchasing experience for special life events, like birthdays and anniversaries",ai based application personalizes gift purchasing experience special life event like birthday anniversary
941,Recruitler,Professional Networking and SaaS,professional networking saas
942,RecruitChute,RecruitChute is a recruiting platform for college soccer.,recruitchute recruiting platform college soccer
943,RecruitBot,RecruitBot provides recruitment services using big data and machine learning technologies.,recruitbot provides recruitment service using big data machine learning technology
944,RecordFixer,Web Application,web application
945,Realty Shine,Realty Shine is a Software for Real Estate integrated with Website for Property management and Marketing.,realty shine software real estate integrated website property management marketing
946,Realtime Digital Innovations,Realtime Digital Innovations is a software company.,realtime digital innovation software company
947,RealityNext,RealityNext is an education technology for teens to make and share their own VR story-games.,realitynext education technology teen make share vr storygames
948,Read the Docs,Read the Docs focuses on writing high quality documentations in reStructuredText and Markdown specifications.,read doc focus writing high quality documentation restructuredtext markdown specification
949,Rare Bits,"Rare Bits is a zero-fee peer-to-peer marketplace to buy, sell, and discover crypto goods.",rare bit zerofee peertopeer marketplace buy sell discover crypto good
950,Rapid Imaging,Rapid Imaging provides innovative imaging solutions to significant problems.,rapid imaging provides innovative imaging solution significant problem
951,Rapid Broker,Real Estate Admin Made Simple,real estate admin made simple
952,Rannko,"Rannko offers a full stack of software for review, reputation management, digital presence and social media.",rannko offer full stack software review reputation management digital presence social medium
953,Rally Corp,We help nonprofits acquire and retain donors.,help nonprofit acquire retain donor
954,Raise The Barr,Raise the Barr is a technology company that creates corporate diversity and inclusion training.,raise barr technology company creates corporate diversity inclusion training
955,Radix Labs,Radix Labs aims to be the operating system for laboratories.,radix lab aim operating system laboratory
956,Racepass,One pass. 5000+ races worldwide.,one pas 5000 race worldwide
957,R3 Score,"R3 Score is a mobile responsive, collaborative application that enables governments to more efficiently enforce fair hiring legislation.",r3 score mobile responsive collaborative application enables government efficiently enforce fair hiring legislation
958,Quiltt,The data orchestration platform for consumer fintech,data orchestration platform consumer fintech
959,Quickze,Quickze is a restaurant app.,quickze restaurant app
960,Quic,Use one service to explore and broadcast all social media. Currently in stealth mode. Launching soon.,use one service explore broadcast social medium currently stealth mode launching soon
961,Quantum Softech Group,Quantum Softech Group focuses on the development of ERP systems and accounting software solutions.,quantum softech group focus development erp system accounting software solution
962,Quantum Integration,The complete IoT platform for electronic hobby enthusiasts!,complete iot platform electronic hobby enthusiast
963,Quantum Insights,Quantum Insights finds hidden meaning in complex data using physics and quantum mechanics.,quantum insight find hidden meaning complex data using physic quantum mechanic
964,Quantiport,"Quantiport is an Innovative technology to more quickly, easily and accurately measure blood volume.",quantiport innovative technology quickly easily accurately measure blood volume
965,Qolty,Utilizing new technologies to advance medical research.,utilizing new technology advance medical research
966,qLogiX Entertainment,"qLogiX Entertainment is an edtech that engages children of all backgrounds to learn STEM through fun, interactive and innovative play.",qlogix entertainment edtech engages child background learn stem fun interactive innovative play
967,Qknow,"Qknow get employees engaged in learning, helps employees remember training, and automates the process to save time.",qknow get employee engaged learning help employee remember training automates process save time
968,Q2i,"Q2i empowers healthcare teams with insightful, actionable data that drives improvements in patient engagement and treatment plan adherence.",q2i empowers healthcare team insightful actionable data drive improvement patient engagement treatment plan adherence
969,Pyrus Consulting Group,Pyrus Consulting Group offers enterprise resource planning solutions services.,pyrus consulting group offer enterprise resource planning solution service
970,Purple Go,Modern sales and operations platform for retail,modern sale operation platform retail
971,Purepost,PurePost is a Public-benefit corporation of Veterans and Veteran Champions.,purepost publicbenefit corporation veteran veteran champion
972,Pulse,Civic engagement platform connecting citizens to their elected representatives.,civic engagement platform connecting citizen elected representative
973,Protosure,"Protosure is a cloud-based programming-free submit, underwrite, rate, quote and policy issuance system.",protosure cloudbased programmingfree submit underwrite rate quote policy issuance system
974,PropFuel,PropFuel is a voice of the member platform built for associations.,propfuel voice member platform built association
975,Property Guard,All In One Short-Term Rental Compliance,one shortterm rental compliance
976,ProManage,"ProManage is the technology company working on IIoT, AR, AI technology areas for manufacturing operations management.",promanage technology company working iiot ar ai technology area manufacturing operation management
977,PrologMobile,PrologMobile is a mobile device analytics and transactions company.,prologmobile mobile device analytics transaction company
978,Projectric,Projectric combines resource management & project management into a single Project Portfolio Management software solution.,projectric combine resource management  project management single project portfolio management software solution
979,Project Stark,Build Meaningful Relationships,build meaningful relationship
980,Project Phoenix,Project Phoenix is a software company that develops universal business web services and toolset that every developer will use.,project phoenix software company develops universal business web service toolset every developer use
981,Process Server Technology,Process Server Technology is a powerful web-based platform and mobile app that instantly connects law firms.,process server technology powerful webbased platform mobile app instantly connects law firm
982,Probability and Statistics,"Probability and Statistics provides blockchain development, artificial intelligence, and software development services.",probability statistic provides blockchain development artificial intelligence software development service
983,PrivOps,PrivOps offers digital transformation platforms to control data.,privops offer digital transformation platform control data
984,Prime Foray,"Prime Foray offers cloud computing, consulting, information technology and marketing services.",prime foray offer cloud computing consulting information technology marketing service
985,Prescribe Fit,Prescribe FIT promotes the adaptation of a healthy lifestyle .,prescribe fit promotes adaptation healthy lifestyle 
986,PREPUBLISH,"app development, mobile development, AWS, iOS app development, Android app development, Backend development, Spring, Angular",app development mobile development aws io app development android app development backend development spring angular
987,Prepaid Program Management,Prepaid Program Management is a prepaid card program management firm that develops and manages payment processing solutions.,prepaid program management prepaid card program management firm develops manages payment processing solution
988,Prelude,Prelude is an autonomous red team tool packaged as a desktop application.,prelude autonomous red team tool packaged desktop application
989,Preferhired,"Online referral marketplace where the world goes to hire, refer a friend and find a job.",online referral marketplace world go hire refer friend find job
990,PredictMX,PredictMX enables companies to make informed decisions about the operational readiness and maintenance needs of their mobile equipment.,predictmx enables company make informed decision operational readiness maintenance need mobile equipment
991,Predictive Trading Systems,"Predictive Trading Systems is an AI-powered, data-driven, and cloud-based decision making for investment management​.",predictive trading system aipowered datadriven cloudbased decision making investment management​
992,Prediction Health,PredictionHealth automates the documentation and bringing machine learning into daily clinical practice.,predictionhealth automates documentation bringing machine learning daily clinical practice
993,Predictim,Predictim provides a new and innovative way to vet people instantly using artificial intelligence and alternative data.,predictim provides new innovative way vet people instantly using artificial intelligence alternative data
994,Precizion Solutions,Precizion Solutions provides data science and analytics services.,precizion solution provides data science analytics service
995,Preciate,Virtual socializing and recognition platform for businesses and teams.,virtual socializing recognition platform business team
996,Preceptor Security Group,"Preceptor Security Group is developing in class physical security programs, systems, and technology solutions.",preceptor security group developing class physical security program system technology solution
997,Prana Softwares,Prana Softwares is a software development company that offers custom software solutions for enterprises.,prana software software development company offer custom software solution enterprise
998,Pozotron,Pozotron develops software for computer speech processing.,pozotron develops software computer speech processing
999,Potent Systems,"Potent Systems is a game software industry that provides gambling, app development, and video games.",potent system game software industry provides gambling app development video game
1000,Postalytics,"Postalytics is a self-serve direct mail automation tool that looks, acts and feels like a digital channel.",postalytics selfserve direct mail automation tool look act feel like digital channel
1001,Possibilities Provided,"Possibilities Provided offers marketing, branding, web development, consulting, content, web design and salesforce customization services.",possibility provided offer marketing branding web development consulting content web design salesforce customization service
1002,PopUp Shops,Connecting Brands & Spaces. We're taking the hassle out of finding retail spaces & popup brands to work with.,connecting brand  space taking hassle finding retail space  popup brand work
1003,PoppinPay,PoppinPay is a web and mobile app platform provider for restaurants integrated with Square POS,poppinpay web mobile app platform provider restaurant integrated square po
1004,Popin,Popin builds the first OS and third party Open API for the fitness industry,popin build first o third party open api fitness industry
1005,PopBase,Allowing any content producer to create immersive 3D stories.,allowing content producer create immersive 3d story
1006,POOT,POOT is a ride-sharing mobile app for the public transportation industry.,poot ridesharing mobile app public transportation industry
1007,Polyledger,Polyledger is a cryptocurrency portfolio management platform that provides cryptocurrency investment services.,polyledger cryptocurrency portfolio management platform provides cryptocurrency investment service
1008,PolyFins Technology Inc,Digital therapeutic apps for chronic skin diseases,digital therapeutic apps chronic skin disease
1009,Pollen Systems,Pollen Systems is a developer of an agriculture analysis system designed to improve crop yields.,pollen system developer agriculture analysis system designed improve crop yield
1010,Policy Engine,Policy Engine provides businesses with ML-driven insights into governmental actions to enhance strategic decision-making.,policy engine provides business mldriven insight governmental action enhance strategic decisionmaking
1011,Pointful Education,Pointful Education creates and publishes online high school curriculum on emerging technologies and future-focused careers.,pointful education creates publishes online high school curriculum emerging technology futurefocused career
1012,Po.et,"Po.et is a set of decentralized protocols and applications focused on content ownership, discovery, and monetization in media.",poet set decentralized protocol application focused content ownership discovery monetization medium
1013,Pluus Tag LTD,Pluus Tag is a tag maker platform that enables users to create tags for their social media sites.,pluus tag tag maker platform enables user create tag social medium site
1014,Plutus Privacy Security,Plutus Privacy Security is an app that believes in the protection of their personal information.,plutus privacy security app belief protection personal information
1015,Plugged,Plugged use artificial intelligence to empower companies to recruit a better and more diverse talent.,plugged use artificial intelligence empower company recruit better diverse talent
1016,Plootus,"Plootus is a digital platform for personal finance, retirement planning, financial planning, fintech, budgeting and advisory services.",plootus digital platform personal finance retirement planning financial planning fintech budgeting advisory service
1017,Plexis,Plexis is a mobile application platform that allows its users to organize their busy schedule while staying connected with their peers.,plexis mobile application platform allows user organize busy schedule staying connected peer
1018,Plex Research,Plex Research is the Boston area start-up that's transforming the humble search bar into a drug discovery powerhouse.,plex research boston area startup thats transforming humble search bar drug discovery powerhouse
1019,PlayNice,PlayNice is the first platform to legally stop cyberbullying.,playnice first platform legally stop cyberbullying
1020,PlayMe,Real money photo competitions on the PlayMe app. Users can play head-to-head for real cash prizes & cash out to their bank accounts.,real money photo competition playme app user play headtohead real cash prize  cash bank account
1021,Plantmatch,Plantmatch connects plants and plant lovers through technology.,plantmatch connects plant plant lover technology
1022,Pivot Exit,Pivot Exit provides personalized analytics for career change.,pivot exit provides personalized analytics career change
1023,Pintuitive,Pintuitive is designing next generation parallel computing IC and software to accelerate massive parallel computation,pintuitive designing next generation parallel computing ic software accelerate massive parallel computation
1024," Pink Lotus Technologies, Inc. ","PLT is the creator of POMM®, a consumer wearable platform that monitors wellness and safety with NASA technology!",plt creator pomm® consumer wearable platform monitor wellness safety nasa technology
1025,Pinched,Pinched is the first app connecting agricultural business with the modern workforce.,pinched first app connecting agricultural business modern workforce
1026,Pie for Providers,Pie for Providers offer a digital assistant that helps providers navigate government programs so they can increase their revenue.,pie provider offer digital assistant help provider navigate government program increase revenue
1027,Picks & Shovels,The Picks & Shovels Co. crafting tools for investors and traders of digital currencies and crypto assets.,pick  shovel co crafting tool investor trader digital currency crypto asset
1028,PHION Technologies,"PHION Technologies offers a platform that provides enterprise, industrial, and consumer applications.",phion technology offer platform provides enterprise industrial consumer application
1029,PharmID,PharmID provides accurate verification of the medication and concentration in pharmaceutical products within seconds.,pharmid provides accurate verification medication concentration pharmaceutical product within second
1030,pFetch,pFetch is a virtual concierge platform for entrepreneurs to fetch goods and services.,pfetch virtual concierge platform entrepreneur fetch good service
1031,PetnPamper,The most reliable pet service app that allows busy pet owners to schedule pet services with qualified and reliable service providers.,reliable pet service app allows busy pet owner schedule pet service qualified reliable service provider
1032,Petabolix,Petabolix is an intelligent nutrition platform designed to address the importance of individualized diets for pets.,petabolix intelligent nutrition platform designed address importance individualized diet pet
1033,Perry Health,"Perry Health is a digital health tool that helps monitor patients, manage their conditions, and coordinate care and communication.",perry health digital health tool help monitor patient manage condition coordinate care communication
1034,Penrose Technologies,Industrial process control automation software,industrial process control automation software
1035,Pei,Unlock automatic cashback in Bitcoin or USD on your debit or credit cards!,unlock automatic cashback bitcoin usd debit credit card
1036,Pearl Street Technologies,Pearl Street Technologies develops next-generation software for the electric utility industry.,pearl street technology develops nextgeneration software electric utility industry
1037,Peanut Robotics,"Peanut Robotics offers a robot that cleans commercial spaces such as restaurants, hotels, airports, and offices.",peanut robotics offer robot clean commercial space restaurant hotel airport office
