description,website,crunchbase_link,name,activity_level,market,products,revenue_through,founded_by,founded,place,team_members,launch_stage,revenue_stage,amount_raised,twitter_followers,percentile,pageviews,Alexa Ranking,
'UI Bakery – the first low-code platform which allows creating branded frontend apps based on a custom Design System',https://uibakery.io/?ref=startuptracker,https://www.crunchbase.com/organization/ui-bakery,'UI Bakery',High company activity detected,"'design', 'e commerce', 'media', 'software dev'",'web app',"'b2c', 'b2b', 'subscription'","'Vladimir Lugovsky', 'Konstantin Danovsky'",November 1 2018,Denver US,11-50,Publicly,Pre,Undisclosed,687,9,~18.3k,259.8k,
"'We help home buyers save time, be more confident, and manage their whole home buying experience.'",https://tryhomeflow.com?ref=startuptracker,https://startuptracker.io,'HomeFlow',No recent company activity detected,"'productivity', 'real estate'","'desktop app', 'mobile app', 'web app'","'b2c', 'commission', 'advertising'",'HomeFlow',December 1 2019,New York US,1,Publicly,Pre,Self,136,9,~3.3k,1.4m,
'CloudLead uses machine learning tools backed by human researchers to help B2B sales and marketing teams scale their outbound processes.',http://www.cloudlead.co?ref=startuptracker,https://www.crunchbase.com/organization/cloudlead,'Cloudlead',Low company activity detected,"'advertising', 'data', 'marketing', 'sales', 'productivity'","'service', 'web app'","'b2b', 'sales', 'subscription'",'CloudLead.co',March 1 2016,"San Mateo, CA US",11-50,Publicly,Post,Undisclosed,1.1k,9,~7.3k,645.2k,
'Avvnue makes information and expertise accessible to every professional in the world through our online expert network marketplace',https://www.avvnue.com?ref=startuptracker,https://www.crunchbase.com/organization/avvnue-inc,'Avvnue',No recent company activity detected,"'consulting', 'productivity', 'hr and recruitment', 'startups'","'desktop app', 'service', 'web app'","'b2b', 'freemium', 'subscription'",'Avvnue Inc',June 6 2019,Houston US,5-10,Publicly,Pre,Undisclosed,135,9,0,0,
'Incubator and coworking space',https://worclab.org?ref=startuptracker,https://crunchbase.com/organization/worclab,'WorcLab',No recent company activity detected,'startups','service',"'b2b', 'free to use'",'WorcLab',March 3 2010,Worcester US,5-10,Publicly,Pre,Undisclosed,588,9,~848,5.5m,
'Solve Your Personal Finances Today',https://pigly.com?ref=startuptracker,https://www.crunchbase.com/organization/pigly,'Pigly',No recent company activity detected,'finance','web app',"'b2c', 'free to use'",'Pigly',September 9 2019,San Francisco US,5-10,Publicly,Pre,Undisclosed,81,9,~4.3k,1.1m,
'Cereo is a visual feedback and bug tracking tool that lets people give feedback with annotated screenshots and enriched browser data',https://cereo.io?ref=startuptracker,https://startuptracker.io,'Cereo',No recent company activity detected,"'other', 'marketing', 'startups', 'software dev'",'web app',"'b2b', 'freemium', 'subscription'",'Cereo',February 28 2020,California US,1,Privately,Pre,Self,11,9,~664,7m,
'Kalshi is a platform where users trade on the outcome of different events to hedge against the risk of every day life.',https://www.kalshi.com/?ref=startuptracker,https://www.crunchbase.com/organization/kalshi,'Kalshi',High company activity detected,'finance',"'mobile app', 'web app'","'b2c', 'other'",,January 10 2019,San Francisco US,5-10,Pre,Pre,Undisclosed,See,9,~5.6k,845.8k,
'Beautifully furnished apartments for business professionals and individual renters looking for a turnkey living solution.',https://www.theblueground.com?ref=startuptracker,https://www.crunchbase.com/organization/blueground,'Blueground',High company activity detected,"'travel', 'hospitality'",'service',"'b2c', 'b2b', 'sales'",'Blueground',August 2 2013,New York US,501-1k,Publicly,Post,$77.6m,1.8k,9,~86.5k,55.6k,
"'Helping Managers build great teams with meaningful 1-on-1s, continuous feedback, motivation & performance tracking and closing key actions'",https://www.peoplebox.ai/?ref=startuptracker,https://crunchbase.com/organization/peoplebox-ai,'Peoplebox',High company activity detected,"'productivity', 'hr and recruitment', 'startups'",'web app',"'b2b', 'other', 'freemium'",'Peoplebox',December 11 2018,San Francisco US,11-50,Publicly,Pre,Undisclosed,218,9,~7.8k,601.2k,
'A marketplace for entrepreneurs to discover lifetime software deals and huge discounts.',https://rebeliance.com?ref=startuptracker,https://angel.co/rebeliance,'Rebeliance',No recent company activity detected,"'e commerce', 'marketing', 'startups', 'sales'","'other', 'service', 'web app'","'b2c', 'b2b', 'other', 'commission', 'sales'",'Rebeliance',November 27 2018,Oxford US,1,Publicly,Pre,Undisclosed,40,9,~4.3k,1.1m,
'Discover land that works for you',https://www.landsearch.com?ref=startuptracker,https://www.crunchbase.com/organization/landsearch,'LandSearch',High company activity detected,"'marketing', 'big data', 'content', 'real estate'",'web app',"'b2c', 'freemium', 'subscription'",'Michael Leigeber',January 1 2016,Colorado Springs US,5-10,Publicly,Pre,Undisclosed,1.3k,9,~33.6k,142k,
'Import APIs into Google Sheets without writing any scripts. Connect and import JSON and CSV APIs to Google Sheets quickly and easily.',https://apipheny.io?ref=startuptracker,https://www.crunchbase.com/organization/apipheny,'Apipheny',High company activity detected,"'analytics', 'data', 'marketing', 'software dev'","'desktop app', 'web app'","'b2c', 'b2b', 'subscription'",'Apipheny',January 1 2020,San Francisco US,2,Privately,Pre,Undisclosed,47,9,~27.5k,173.1k,
'ZenSports is a peer-to-peer sports betting marketplace.',http://zensports.com/?ref=startuptracker,https://www.crunchbase.com/organization/zensports,'ZenSports',Sourced by Startup Tracker,"'other', 'startups'","'other', 'service'","'other', 'b2c', 'free to use'",'Mark Thomas',September 5 2017,San Francisco US,2,Publicly,Post,Undisclosed,See,9,~9.5k,499.5k,
"""SlideTeam is the world's largest supplier of innovative PowerPoint content. You can get perfect PowerPoint themes, Slides & designs here.""",http://www.slideteam.net?ref=startuptracker,https://www.crunchbase.com/organization/slideteam,'SlideTeam',High company activity detected,"'design', 'finance', 'marketing', 'sales'",'service',"'b2c', 'b2b', 'other'",'SlideTeam',January 5 2005,New York US,51-100,Publicly,Pre,Undisclosed,499,9,~801.9k,6.1k,
'Cloudaress specialize in implementation and integration of Salesforce Marketing Cloud with other Salesforce Clouds',https://www.cloudaress.com?ref=startuptracker,https://startuptracker.io,'CloudAress',No recent company activity detected,'other','other','other','Cloud Aress',January 1 2015,Woburn US,5-10,Publicly,Pre,Undisclosed,See,9,~698,6.6m,
"""ERgent is an ER wait time app that uses the user's GPS plus nearby ER's average wait times and features to find quick and top medical care""",http://www.ergentapp.com?ref=startuptracker,https://www.producthunt.com/posts/ergent?utm_campaign=producthunt-api&utm_medium=api&utm_source=Application%3A+Startup+Tracker+%28ID%3A+676%29,'ERgent',No recent company activity detected,"'analytics', 'health', 'startups', 'medical', 'travel'","'mobile app', 'service'","'b2c', 'other', 'free to use', 'subscription'",'Christian V',June 15 2019,Brooklyn US,5-10,Publicly,Pre,Undisclosed,27,9,0,0,
'Mango is an all-in-one contact management and billing tool for small business',https://www.mymangocrm.com/crm-data?ref=startuptracker,https://startuptracker.io,'MangoCRM',No recent company activity detected,"'advertising', 'food and beverages', 'startups', 'sales'",'web app',"'b2b', 'subscription'",'MangoCRM',January 1 2019,CHARLOTTE US,2,Privately,Post,Undisclosed,19,9,~2.5k,1.9m,
'Breezy helps you quickly find the best and most affordable insurance for your pets.',https://sobreezy.com/?ref=startuptracker,https://angel.co/company,'Breezy',No recent company activity detected,'insurance','web app',"'b2c', 'free to use', 'commission'","'Jason Chen', 'Richard Lam', 'Dwink'",October 1 2019,Irvine US,2,Publicly,Pre,Self,14,9,~918,5.1m,
"'FRKST is a 60-day Machine Learning\xa0powered Cryptocurrency\xa0Price Forecast\xa0for Bitcoin & Ethereum, generated daily.'",https://frkst.com?ref=startuptracker,https://startuptracker.io,'FRKST',No recent company activity detected,"'finance', 'blockchain', 'ai'",'web app',"'b2c', 'advertising', 'affiliation'",,August 18 2019,San Diego US,1,Publicly,Pre,Undisclosed,See,9,0,0,
'Fostering blockchain adoption',https://www.vottun.com?ref=startuptracker,https://www.crunchbase.com/organization/vottun,'Vottun',High company activity detected,'blockchain','service',"'b2c', 'other'",'Rohan Hall',January 1 2018,Los Angeles US,5-10,Publicly,Pre,Undisclosed,590,9,~2.2k,2.1m,
'Reputation building platform used to learn about customer experiences and generate new reviews.',https://bizooy.com?ref=startuptracker,https://crunchbase.com/organization/bizooy,'Bizooy',No recent company activity detected,'retail','web app',"'b2b', 'subscription'",'Bizooy.com',March 1 2019,Los Angeles US,5-10,Publicly,Pre,Undisclosed,67,9,~7k,671.5k,
'Product School provides certified courses in Product Management and other digital skills to professionals across 16 campuses worldwide.',https://www.productschool.com/?ref=startuptracker,https://www.crunchbase.com/organization/productschool,'Product School',High company activity detected,"'analytics', 'data', 'education', 'ai'",'service',"'b2c', 'b2b', 'sales'",'Product School',June 5 2014,San Francisco US,11-50,Publicly,Pre,Self,21.8k,9,~169.2k,28.6k,
"'Evntures, a mobile advertising company, that facilitates the discovery of local events in major metropolitan areas.'",https://www.evntures.com?ref=startuptracker,https://startuptracker.io,'Evntures',No recent company activity detected,"'food and beverages', 'entertainment', 'events', 'travel'",'mobile app',"'other', 'freemium'",'evntures',January 1 2020,San Antonio US,5-10,Publicly,Pre,Self,10,9,0,0,
'Reporting Tool for Facebook ADs',https://adsreport.io/?ref=startuptracker,https://producthunt.com/posts/adsreport,'ZingFront',No recent company activity detected,"'advertising', 'analytics', 'data', 'marketing'",'service',"'b2b', 'freemium'",'Christopher Jakeson',February 13 2016,Massachusetts US,51-100,Publicly,Pre,Self,1.9m,9,~2.4k,1.9m,
'Status is a social financial management app that lets you compare finances with peers and get advice from people like you..',https://statusmoney.com?ref=startuptracker,https://www.crunchbase.com/organization/status-money,'Status Money',Low company activity detected,"'advertising', 'finance', 'social networks', 'startups'","'mobile app', 'web app'","'b2c', 'b2b', 'commission', 'advertising'","'Majd M', 'Korash'",May 4 2016,New York US,11-50,Publicly,Pre,Undisclosed,375,9,~20k,238.1k,
'Allow shoppers to build carts and purchase anywhere a merchant can place a QR code or NFC Tags.',https://accelpay.io/?ref=startuptracker,https://crunchbase.com/organization/accelpay,'accelPay',No recent company activity detected,"'advertising', 'e commerce', 'retail'",'web app',"'b2b', 'freemium'",'Joshua Waller',September 1 2019,New York US,5-10,Publicly,Pre,Self,3,9,~3.1k,1.5m,
'Annotate anywhere and work in-context with your teammates.',https://www.usebubbles.com?ref=startuptracker,https://www.crunchbase.com/organization/usebubbles,'Bubbles',High company activity detected,"'communication', 'design', 'productivity', 'software dev'","'desktop app', 'mobile app', 'web app'","'b2c', 'b2b', 'freemium'","'Tom Medema', 'Bloomon'",September 1 2019,San Francisco US,4,Publicly,Pre,Undisclosed,68.7k,9,~69.8k,68.7k,
'We are providing video guard service with a new quality of service without human monitoring to keep your privacy',https://camdog.ai?ref=startuptracker,https://crunchbase.com/organization/camdog-inc,'Camdog',High company activity detected,"'analytics', 'security', 'ai'",'service',"'b2b', 'subscription'",,August 3 2019,Claymont US,5-10,Privately,Pre,$65k,31,9,~1.2k,3.9m,
'Convo makes planning events and sharing with your real friends easy.',https://hiconvo.com?ref=startuptracker,https://betalist.com/startups/convo,'Convo',No recent company activity detected,'social networks','web app',"'b2c', 'free to use'",'Alexander Richey',October 16 2019,Seattle US,1,Publicly,Pre,Undisclosed,9,9,Undisclosed,0,
'Building a next generation decentralized IoT platform where data owners can capture the full value of their data',https://anylog.co?ref=startuptracker,https://crunchbase.com/organization/anylog,'AnyLog',No recent company activity detected,"'analytics', 'iot', 'blockchain', 'big data'","'desktop app', 'service', 'web app'","'b2b', 'free to use', 'freemium'",'AnyLog',January 1 2018,California US,5-10,Privately,Pre,Undisclosed,135,9,0,0,
'Social Network based on the event industry',https://www.comeclosely.com?ref=startuptracker,https://www.crunchbase.com/organization/comeclosely,'ComeClosely',High company activity detected,"'advertising', 'entertainment', 'events', 'social networks'","'mobile app', 'service'","'b2c', 'b2b', 'free to use', 'commission', 'advertising', 'affiliation', 'subscription'",'Gaetan Ekoondo Helsen',May 25 2019,New York US,5-10,Privately,Pre,Undisclosed,62,9,~672,6.9m,
'A.I. to predict future real estate prices',https://www.lofty.ai/?ref=startuptracker,https://www.crunchbase.com/organization/lofty-ai,'Lofty AI',No recent company activity detected,"'analytics', 'startups', 'big data', 'real estate'","'desktop app', 'web app'","'b2c', 'b2b', 'sales', 'subscription'",'Lofty AI',May 9 2018,Oakland US,3,Publicly,Pre,$815k,559,9,~12.6k,375.1k,
'Professional networking and reputation management for the cannabis industry.',https://leaflist.com?ref=startuptracker,https://crunchbase.com/organization/leaflist,'LeafList',No recent company activity detected,"'other', 'data', 'events', 'social networks'",'mobile app',"'b2b', 'free to use', 'affiliation'",,May 15 2019,Denver US,3,Publicly,Pre,Undisclosed,See,9,0,0,
'Time tracking software that improves the profitability of your projects',http://www.timecamp.com?ref=startuptracker,https://angel.co/timecamp,'TimeCamp',High company activity detected,"'consulting', 'governmental', 'startups', 'accounting and legal'","'desktop app', 'mobile app', 'service', 'web app'","'b2b', 'other', 'free to use', 'freemium', 'subscription'","'Kamil Rudnicki', 'HeySpace'",August 16 2008,Los Angeles US,11-50,Publicly,Pre,Undisclosed,5.6k,9,~280.7k,17.3k,
'Insurance distribution and product development for nomads and expats',https://www.insurednomads.com?ref=startuptracker,https://www.crunchbase.com/organization/insured-nomads,'Insured Nomads',High company activity detected,'insurance','service',"'b2c', 'b2b', 'commission', 'affiliation', 'sales'",'𝑨𝒏𝒅𝒓𝒆𝒘 𝑱𝒆𝒓𝒏𝒊𝒈𝒂𝒏',December 5 2019,Birmingham US,5-10,Pre,Pre,Undisclosed,331,9,~13k,364.4k,
'Dropshipping automation software for ecommerce',http://modalyst.co/?ref=startuptracker,https://www.crunchbase.com/organization/modalyst,'Modalyst',High company activity detected,"'other', 'e commerce', 'productivity'",'web app',"'b2b', 'freemium'",'Modalyst - Dropshipping Software',September 14 2012,San Francisco US,11-50,Publicly,Post,Undisclosed,2.8k,9,~316.2k,15.4k,
'Narrow Security Inc provides Fire Guard Services and Security Guard Services across the US.',https://www.narrowsecurity.com/?ref=startuptracker,https://crunchbase.com/organization/neil-ahmadi,'Narrow Security',No recent company activity detected,"'security', 'real estate'",'service',"'b2c', 'sales'",'Narrow Security',December 28 2019,New York US,51-100,Publicly,Pre,Undisclosed,1,9,~857,5.4m,
"'ONEGOLD is a marketplace where you can buy, sell, redeem and fully manage your precious metals with as little as $1.'",https://www.onegold.com?ref=startuptracker,https://crunchbase.com/organization/onegold,'OneGold',High company activity detected,"'e commerce', 'finance'","'desktop app', 'mobile app'","'b2c', 'other'","'OneGold', 'APMEX', 'Sprott Asset Management'",January 1 2019,Oklahoma City US,5-10,Publicly,Pre,Undisclosed,1.1k,9,~29.8k,159.8k,
'Mr. Simon is an artificial career coach',https://mrsimon.ai?ref=startuptracker,https://startuptracker.io,'Mr. Simon',Sourced by Startup Tracker,"'education', 'hr and recruitment', 'ai'","'mobile app', 'web app'","'b2c', 'free to use'",,June 1 2019,Hillsborough US,5-10,Privately,Pre,Undisclosed,427.7k,9,~11.1k,427.7k,
"'Flexible, beautiful office furniture for growing companies'",https://www.branchfurniture.com?ref=startuptracker,https://www.crunchbase.com/organization/bureauwork,'Branch',High company activity detected,"'e commerce', 'real estate'","'physical goods', 'service'","'b2b', 'sales'","'Sib Mahapatra', 'Greg Hayes', 'Verity Sylvester', 'Redfin', 'Breather', 'redfin'",September 15 2019,New York City US,5-10,Publicly,Post,Undisclosed,566,9,~53.3k,89.8k,
'Simple do-it-yourself SEO for startups + small business.',https://selfseo.co?ref=startuptracker,https://producthunt.com/posts/self-seo,'Self SEO',High company activity detected,"'other', 'marketing', 'startups', 'ai'",'web app',"'b2b', 'subscription'",'Sebastian Hovv',January 2 2019,Los Angeles US,2,Publicly,Pre,Self,1.1k,9,0,0,
"'A simple, affordable, and powerful sales and marketing automation platform for startups.'",https://www.funnelfly.com/?ref=startuptracker,https://producthunt.com/posts/funnelfly,'Funnelfly',No recent company activity detected,"'advertising', 'marketing', 'sales'",'web app',"'b2b', 'subscription'",'Funnelfly',April 30 2019,Birmingham US,5-10,Publicly,Pre,Undisclosed,39,9,~4.2k,1.1m,
'Rosy is the first evidence-based mobile solution for the 31 million women who suffer from low sexual desire.',https://meetrosy.com/?ref=startuptracker,https://www.crunchbase.com/organization/rosy,'Rosy',High company activity detected,"'health', 'content', 'medical'",'mobile app',"'b2c', 'freemium', 'subscription'",'Lyndsey Harper MD FACOG',September 27 2018,Dallas US,4,Publicly,Pre,Undisclosed,726,9,~4.3k,1.1m,
'GrowthAdvisor revolves around  Employee stock options.',https://growthadvisorhq.com/?ref=startuptracker,https://crunchbase.com/organization/growthadvisorhq,'Growth Advisor',No recent company activity detected,'other',"'service', 'web app'","'b2c', 'subscription'",'Bryan Starbuck',January 8 2019,seattle US,5-10,Publicly,Pre,Self,6,9,~486,9.5m,
"'Create interactive product tours in minutes with the most non-technical friendly tool, without coding.'",https://www.userguiding.com/?ref=startuptracker,https://www.crunchbase.com/organization/userguiding,'UserGuiding',High company activity detected,"'advertising', 'analytics', 'startups', 'big data'",'web app',"'b2b', 'subscription'",'UserGuiding 🌊',January 22 2018,San Francisco US,5-10,Publicly,Pre,Undisclosed,790,9,~88.7k,54.2k,
"'A free, stock & cryptocurrency algorithmic trading application for iOS.'",https://www.tradealgovest.com?ref=startuptracker,https://www.crunchbase.com/organization/algovest,'Algovest',High company activity detected,"'other', 'finance'",'mobile app',"'b2c', 'free to use', 'freemium', 'subscription'",'Algovest',December 31 2015,Seattle US,1,Publicly,Pre,Undisclosed,59,9,0,0,
'Worldwide copyright-protected AI-generated music',http://mubert.com/?ref=startuptracker,https://www.crunchbase.com/organization/mubert,'Mubert',Sourced by Startup Tracker,"'music', 'startups', 'ai'","'other', 'mobile app', 'service'","'b2c', 'b2b', 'free to use', 'sales', 'subscription'",,September 1 2019,Dover US,11-50,Publicly,Pre,Undisclosed,See,9,~3.7k,1.3m,
'Zero-effort biometric authentication',https://www.idrnd.ai?ref=startuptracker,https://angel.co/company,'ID R&D',High company activity detected,'other','service',"'b2b', 'other'",'Alexey Khitrov',November 16 2016,New York US,11-50,Publicly,Pre,Undisclosed,595,9,~8.4k,563.4k,
'A premium smartphone the size of a credit card so you can stay connected on the go for $5/month.',https://palm.com/?ref=startuptracker,https://www.crunchbase.com/organization/palm,'Palm',High company activity detected,"'other', 'fashion', 'productivity', 'hardware'",'hardware',"'b2c', 'sales'",'Palm',October 31 2018,San Francisco US,11-50,Publicly,Pre,Undisclosed,5.9k,9,~51.5k,93k,
"'NameBounce is a powerful business name generator, helping users can generate hundreds of name ideas with available domains in seconds.'",https://www.namebounce.com?ref=startuptracker,https://www.crunchbase.com/organization/namebounce,'NameBounce',No recent company activity detected,"'e commerce', 'marketing', 'productivity', 'startups'",'web app',"'b2c', 'free to use', 'commission', 'affiliation'",'Axel DeAngelis',October 1 2019,California US,1,Publicly,Pre,Undisclosed,19,9,~23.9k,199.1k,
'Pastryy is a design website that provides quality designer feedback on your designs in less than 24 hours.',http://www.Pastryy.com?ref=startuptracker,https://producthunt.com/posts/pastryy,'Pastryy',No recent company activity detected,"'consulting', 'design'",'service',"'b2c', 'b2b', 'subscription'",'Pastryy_design',November 10 2019,Baltimore US,1,Publicly,Pre,Self,47,9,47,0,
"'Our product is a Storytelling tool that uses Augmented Reality to allow marketers to build interactive campaigns. No Apps, no coding skills.'",https://www.augmania.com?ref=startuptracker,https://www.crunchbase.com/organization/augmania,'Augmania',Low company activity detected,"'analytics', 'marketing', 'startups', 'ar/vr'","'other', 'service', 'web app'","'b2b', 'subscription'",'Rania Reda',May 5 2015,San Francisco US,5-10,Publicly,Pre,Undisclosed,696,9,~545,8.5m,
'Delivering more than 500 products in about 10 minutes',https://wahoodelivery.com?ref=startuptracker,https://www.crunchbase.com/organization/wahoo-delivery,'Wahoo Delivery',No recent company activity detected,'food and beverages','mobile app',"'b2c', 'sales'",,August 1 2019,WashingtonDC US,3,Publicly,Pre,Self,47,9,47,0,
'A viral media site to browse and post your content',https://realmpost.com/?ref=startuptracker,https://startuptracker.io,'Realm Post',Sourced by Startup Tracker,"'entertainment', 'fashion', 'gaming', 'health'",'other',"'advertising', 'affiliation'",,November 10 2019,Crawfordsville US,1,Publicly,Pre,Self,9,9,Self,0,
'Recruit CRM helps recruiters manage all their work on one simple platform.',https://recruitcrm.io?ref=startuptracker,https://www.crunchbase.com/organization/recruitcrm,'Recruit CRM',High company activity detected,"'productivity', 'hr and recruitment'",'web app',"'b2b', 'free to use', 'freemium', 'subscription'",'Shoanak Mallapurkar',October 1 2017,Cupertino US,11-50,Publicly,Post,Undisclosed,352,9,~35k,136.5k,
'Have your pool serviced in as soon as two hours after subscribing to PoolToday.',https://pooltoday.co?ref=startuptracker,https://crunchbase.com/organization/pooltoday,'Pool Today',High company activity detected,'real estate',"'mobile app', 'service'","'b2c', 'b2b', 'subscription'","'Santo 🏡', 'MailMyPrescriptions.com'",June 1 2019,Boca Raton US,5-10,Privately,Post,Undisclosed,See,9,0,0,
"'Intelligent Revenue Management: Model, predict, and influence consumer behavior with the power of AI!'",https://wappier.com/?ref=startuptracker,https://www.crunchbase.com/organization/wappier,'wappier',High company activity detected,"'e commerce', 'gaming', 'ai', 'software dev'","'desktop app', 'mobile app', 'service', 'web app'","'b2b', 'commission', 'sales'",'wappier',January 15 2015,New York US,51-100,Publicly,Post,$4m,195,9,~14.4k,329.2k,
"'SaaS License Management Platform to optimize, automate, and manage contracts and subscription renewals.'",https://www.saaslicense.com?ref=startuptracker,https://www.crunchbase.com/organization/saaslicense,'SaaSLicense',Low company activity detected,"'analytics', 'data', 'finance', 'productivity'","'desktop app', 'service'","'b2b', 'sales', 'subscription'",,January 1 2017,Massachusetts US,11-50,Publicly,Post,Undisclosed,See,9,0,0,
'EugeneMachine is a website change detection and alerting system.',https://www.eugenemachine.com?ref=startuptracker,https://startuptracker.io,'EugeneMachine',Sourced by Startup Tracker,"'analytics', 'consulting', 'productivity', 'sales'","'desktop app', 'service', 'web app'","'b2c', 'b2b', 'free to use', 'freemium', 'subscription'",'EugeneMachine',January 1 2015,Philadelphia US,3,Pre,Pre,Undisclosed,9,9,Undisclosed,0,
"'Saketa provides Enterprise Digital Workspace solutions for organizations to adopt, engage and effectively use SharePoint and O365 platform'",https://saketa.com/sharepoint-migrator/?ref=startuptracker,https://www.crunchbase.com/organization/saketa,'Saketa',High company activity detected,'other',"'desktop app', 'mobile app', 'service', 'web app'","'b2c', 'b2b', 'freemium'",'Saketa',January 1 2014,Seattle US,251-500,Publicly,Pre,Undisclosed,690,9,~4.4k,1.1m,
"'Loomly is the Brand Success Platform that empowers marketing teams to collaborate, publish and measure.'",https://www.loomly.com/?ref=startuptracker,https://www.crunchbase.com/organization/loomly,'Loomly',High company activity detected,"'analytics', 'marketing', 'social networks', 'content'","'mobile app', 'web app'","'b2b', 'b2g', 'non profit', 'subscription'","'Thibaud CLEMENT', 'Noémie Clément'",February 15 2016,Los Angeles US,5-10,Publicly,Post,Undisclosed,2.8k,9,~535.5k,9.1k,
'Send and receive money with no bank account required.',http://bankey.io/?ref=startuptracker,https://crunchbase.com/organization/bankey,'Bankey',No recent company activity detected,"'finance', 'startups', 'blockchain'","'mobile app', 'service'","'b2c', 'commission'",'Bankey',January 10 2016,"Washington, DC US",11-50,Pre,Pre,Undisclosed,9,9,0,0,
'Computer Software',https://www.basic.ai?ref=startuptracker,https://crunchbase.com/organization/basicai,'BasicAI',No recent company activity detected,"'data', 'robotics', 'ai', 'big data'","'desktop app', 'hardware', 'mobile app', 'service', 'web app'","'b2b', 'sales'",'BasicAI',May 1 2019,Irvine US,5-10,Privately,Pre,Undisclosed,46,9,~1.8k,2.6m,
"'CloudApp is a video and media sharing platform for organizations, enabling anyone to quickly create, upload and manage visual content.'",https://www.getcloudapp.com?ref=startuptracker,https://www.crunchbase.com/organization/cloudapp,'CloudApp',High company activity detected,'startups',"'desktop app', 'mobile app'","'b2c', 'b2b', 'freemium'",'CloudApp',January 1 2015,San Francisco US,11-50,Privately,Pre,Undisclosed,23k,9,~880.5k,5.6k,
'KudosBot is the perfect way to spread positivity by giving shout outs or heaping praise for employees who go above & beyond.',https://kudosbot.com?ref=startuptracker,https://crunchbase.com/organization/kudosbot,'KudosBot',High company activity detected,"'health', 'productivity', 'hr and recruitment', 'startups'","'service', 'web app'","'b2b', 'freemium'",'Fahim Karim',September 1 2019,Seattle US,1,Publicly,Pre,Undisclosed,See,9,0,0,
'Sales quoting automation and tracking',https://www.splashq2c.com/?ref=startuptracker,https://startuptracker.io,'SplashQX',No recent company activity detected,"'consulting', 'e commerce', 'startups', 'sales'","'desktop app', 'hardware', 'service', 'web app'","'b2b', 'sales'",'Splash Q2C (Quote To Cash) Cloud',January 1 2018,Saint Augustine US,5-10,Pre,Pre,Undisclosed,9,9,9,0,
"'Lewis plans and books weekend getaways, fully personalized just for you.'",https://www.lewistravel.co/?ref=startuptracker,https://www.crunchbase.com/organization/lewis,'Lewis',No recent company activity detected,'travel',"'service', 'web app'","'b2c', 'sales'",,August 29 2019,New York US,2,Privately,Pre,Self,See,9,0,0,
'#HelpingBusinessesGrow',https://juuced.com?ref=startuptracker,https://crunchbase.com/organization/juuced-marketing,'Juuced Marketing',Low company activity detected,"'advertising', 'communication', 'design', 'marketing'",'service',"'b2b', 'advertising', 'subscription'",'James Nunn',September 20 2018,Sudbury US,5-10,Publicly,Post,Undisclosed,9,9,~1.5k,3m,
"'The First Bank in USA made for Global Clients. We make it safe and easy to Access, Send, Receive and Store money in USA.'",https://www.zenus.com?ref=startuptracker,https://www.crunchbase.com/organization/zenus-bank,'Zenus Bank',High company activity detected,"'other', 'e commerce', 'finance', 'software dev'","'mobile app', 'service', 'web app'","'b2c', 'b2b', 'b2g', 'subscription'",'Zenus Bank',March 8 2019,San Juan US,11-50,Privately,Pre,Undisclosed,479,9,~17.4k,272.7k,
"""Shopin is building the essential tools for Retail 3.0: global view of all of retail's decentralized purchase data, blockchain DID and A.I.""",http://www.shopin.com?ref=startuptracker,https://www.crunchbase.com/organization/shopin,'Shopin',No recent company activity detected,"'retail', 'blockchain', 'ai', 'big data'","'mobile app', 'web app'","'b2c', 'freemium', 'sales', 'subscription'","'Eran Eyal', 'lance', 'Springleap', 'Forbes Technology Council'",September 1 1975,Brooklyn US,5-10,Publicly,Pre,Undisclosed,6.3k,9,~1.2k,3.8m,
'A recruitment platform where candidates can introduce themselves with 30 second videos',https://www.intro30.com/?ref=startuptracker,https://angel.co/company,'Intro30',High company activity detected,"'hr and recruitment', 'social networks', 'startups', 'sales'",'other',"'b2c', 'b2b', 'subscription'",'Intro30',March 1 2019,San Francisco US,3,Privately,Pre,Undisclosed,297,9,0,0,
"'Passbase aims to fully digitize the way people identify themselves by creating a biometrically secured, verified, portable, digital identity'",https://passbase.com?ref=startuptracker,https://www.crunchbase.com/organization/passbase,'Passbase',High company activity detected,"'sharing economy', 'startups'","'mobile app', 'web app'","'b2b', 'commission', 'subscription'",'Passbase',August 1 2018,New York City US,11-50,Publicly,Pre,$4.2m,2.8k,9,~75.3k,63.8k,
'Membership-based participatory platform for citizen scientists.',https://cetalingua.com?ref=startuptracker,https://startuptracker.io,'Cetalingua Project',High company activity detected,"'education', 'ai'","'mobile app', 'service', 'web app'","'b2c', 'subscription'",'Cetalingua Project',January 3 2018,Tampa US,3,Publicly,Pre,Undisclosed,449,9,0,0,
'Qanairy helps companies test web apps/sites for errors w/AI',https://qanairy.com?ref=startuptracker,https://www.crunchbase.com/organization/qanairy,'Qanairy',No recent company activity detected,"'e commerce', 'software dev'","'desktop app', 'service'","'b2b', 'subscription'",'Qanairy',February 1 2018,Boston US,2,Privately,Pre,$10k,98,9,0,0,
