,state_code,latitude,longitude,zip_code,id,city,Unnamed: 6,name,labels,founded_at,closed_at,first_funding_at,last_funding_at,age_first_funding_year,age_last_funding_year,age_first_milestone_year,age_last_milestone_year,relationships,funding_rounds,funding_total_usd,milestones,state_code.1,is_CA,is_NY,is_MA,is_TX,is_otherstate,category_code,is_software,is_web,is_mobile,is_enterprise,is_advertising,is_gamesvideo,is_ecommerce,is_biotech,is_consulting,is_othercategory,object_id,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_top500,status,link_name,description
166,CA,37.758229,-122.439512,94114,c:421,San Francisco,San Francisco CA 94114,Crowd Factory,1,1/1/2009,Still Operating,1/26/2011,1/26/2011,2.0685,2.0685,2.5808,4.3671,6,1,6500000,3,CA,1,0,0,0,0,advertising,0,0,0,0,1,0,0,0,0,0,c:421,1,0,0,0,0,0,3,1,acquired,crowd factory,Crowd Factory is a SaaS-based social marketing platform helping businesses to connect with new customers and promote their business.
167,TN,35.149022,-90.051628,38103-4717,c:155621,Memphis,Memphis TN 38103-4717,Friendsignia,0,1/29/2012,6/1/2013,1/29/2012,1/29/2012,0,0,0,0,2,1,15000,1,TN,0,0,0,0,1,web,0,1,0,0,0,0,0,0,0,0,c:155621,0,1,0,0,0,0,1,0,closed,friendsignia,Friendsignia is a relationship management tool that filters data from social networks to display the most relevant connections.
168,NY,40.730646,-73.986614,10013,c:40782,New York,New York NY 10013,Vizibility,1,7/1/2009,Still Operating,3/24/2010,2/6/2013,0.7288,3.6055,1.589,4.1041,5,5,4705910,3,NY,0,1,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,c:40782,1,1,0,0,0,0,3,1,acquired,vizibility,Vizibility is a mobile business card platform that uses QR codes and NFC.
169,CA,37.5783263,-122.3485679,94010-4031,c:51306,Burlingame,Burlingame CA 94010-4031,OpenFeint,1,1/1/2008,Still Operating,10/21/2010,10/21/2010,2.8055,2.8055,3.0027,4.6493,6,1,3000000,2,CA,1,0,0,0,0,games_video,0,0,0,0,0,1,0,0,0,0,c:51306,1,0,0,0,0,0,1,1,acquired,openfeint,OpenFeint is a social platform for mobile games that allows social networking features to be integrated into the game's functionality.
170,NY,40.743808,-73.983626,10016,c:1088,New York,New York NY 10016,Tumblr,1,2/1/2007,Still Operating,10/31/2007,1/1/2012,0.7452,4.9178,3.0438,6.8411,30,6,125250000,5,NY,0,1,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:1088,1,0,1,1,1,1,3.5,1,acquired,tumblr,"Tumblr, a microblogging platform and social networking website, enables users to post multimedia and other content to a short-form blog."
171,NY,40.730646,-73.986614,10013,c:34522,New York,New York NY 10013,Hotlist,0,1/1/2008,5/1/2013,5/1/2008,1/1/2012,0.3315,4.0027,2.3644,3.6685,8,4,1449998,3,NY,0,1,0,0,0,social,0,0,0,0,0,0,0,0,0,1,c:34522,1,1,0,0,0,0,1,1,closed,hotlist,Hotlist was a location-based social media platform that helped friends coordinate plans and discover the latest events.
172,MA,42.3751,-71.105616,2139,c:83692,Cambridge,Cambridge MA 2139,Crashlytics,1,2/1/2011,Still Operating,10/13/2011,4/10/2012,0.6959,1.189,0.663,2.6247,5,2,6000000,3,MA,0,0,1,0,0,mobile,0,0,1,0,0,0,0,0,0,0,c:83692,0,1,1,0,0,0,6,1,acquired,crashlytics,Crashlytics offers a crash-reporting solution for Android and iOS.
173,MN,45.006515,-93.46651,55441,c:43831,Plymouth,Plymouth MN 55441,BridgePoint Medical,1,1/1/2005,Still Operating,1/23/2007,3/25/2011,2.0603,6.2301,3.055353048,4.754422568,7,3,28200000,0,MN,0,0,0,0,1,medical,0,0,0,0,0,0,0,0,0,1,c:43831,1,0,0,1,1,0,3,1,acquired,bridgepoint medical,BridgePoint develops proprietary technology for the treatment of chronic total occlusions.
174,CA,37.777741,-122.412198,94104,c:28428,San Francisco,San Francisco CA 94104,Recurve,1,8/1/2005,Still Operating,9/23/2008,6/17/2010,3.1479,4.8795,5.0027,5.0027,5,2,14000000,1,CA,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,c:28428,1,0,1,0,0,0,2,1,acquired,recurve,Recurve develops software for contractors who audit homes to increase energy efficiency and perform construction services.
175,TX,30.35504,-97.801083,78730,c:17974,Austin,Austin TX 78730,Conformity,0,7/1/2007,1/1/2009,1/28/2009,1/28/2009,1.5808,1.5808,2.2521,2.5342,14,1,3000000,2,TX,0,0,0,1,0,enterprise,0,0,0,1,0,0,0,0,0,0,c:17974,0,0,1,0,0,0,1,0,closed,conformity,Conformity is a provider of an enterprise-class management and governance platform for cloud applications.
176,WA,39.78373,-100.445882,98104,c:81475,Seattle,Seattle WA 98104,Moprise,0,1/1/2010,7/1/2013,7/8/2011,10/7/2011,1.5151,1.7644,0.7479,0.7479,6,2,2238055,1,WA,0,0,0,0,1,enterprise,0,0,0,1,0,0,0,0,0,0,c:81475,1,1,0,0,0,0,1,1,closed,moprise,"Moprise is a cloud-based solution that enables enterprise users to access, share and collaborate on business content from mobile devices."
177,CA,37.779281,-122.419236,94108,c:76543,San Francisco,San Francisco CA 94108,Plizy,0,9/1/2010,6/1/2013,5/19/2011,12/13/2012,0.7123,2.2849,1.9507,2.2822,5,2,5200000,2,CA,1,0,0,0,0,photo_video,0,0,0,0,0,0,0,0,0,1,c:76543,1,0,1,0,0,0,1,1,closed,plizy,"Plizy was a cloud-based media center that allowed its users to search, organize, watch, and share videos and movies."
178,PA,40.0708709,-75.302716,19428,c:84161,Conshohocken,Conshohocken PA 19428,ShopRunner,1,1/1/2010,Still Operating,8/19/2013,8/19/2013,3.6329,3.6329,1.1479,3.7781,4,1,75000000,4,PA,0,0,0,0,1,ecommerce,0,0,0,0,0,0,1,0,0,0,c:84161,1,0,0,0,0,0,1,0,acquired,shoprunner,"ShopRunner is an e-commerce platform providing shipping, free returns, discounts, and seamless checkout for more than 100 brands."
179,MA,42.296111,-71.238524,2494,c:810,Needham,Needham MA 2494,RatePoint,0,9/1/2006,2/2/2012,1/29/2007,8/20/2010,0.411,3.9699,4.2521,5.7671,13,4,24500000,4,MA,0,0,1,0,0,software,1,0,0,0,0,0,0,0,0,0,c:810,0,0,1,1,1,0,2.5,1,closed,ratepoint,RatePoint is a provider of customer feedback and online reputation management services.
180,CA,33.63776,-117.855989,92660,c:16488,Newport Beach,Newport Beach CA 92660,Digital Performance,0,1/1/2002,10/1/2012,11/27/2006,2/5/2010,4.9068,8.1014,3.055353048,4.754422568,3,3,4476171,0,CA,1,0,0,0,0,advertising,0,0,0,0,1,0,0,0,0,0,c:16488,1,0,1,0,0,0,2,1,closed,digital performance,Digital Performance offered e-business solutions for the automotive aftermarket industry.
181,TX,30.2729209,-97.7443863,78701,c:11042,Austin,Austin TX 78701,Gowalla,1,8/28/2007,Still Operating,2/27/2008,1/28/2010,0.5014,2.4219,2.8192,5.8849,21,3,10400001,3,TX,0,0,0,1,0,web,0,1,0,0,0,0,0,0,0,0,c:11042,0,0,1,1,0,0,6,1,acquired,gowalla,"Gowalla is a social guide for its users to share and discover photos, experiences and recommendations of places and citie"
182,CO,40.138979,-105.124465,80501,c:17633,Longmont,Longmont CO 80501,Copan Systems,1,1/1/2002,Still Operating,3/8/2006,2/17/2009,4.1836,7.1342,5.0027,5.0027,8,3,68400000,1,CO,0,0,0,0,1,network_hosting,0,0,0,0,0,0,0,0,0,1,c:17633,1,0,0,0,1,1,6.5,1,acquired,copan systems,"Copan Systems offers a persistent data platform for cost-effective management, storage, access and recovery of data."
183,CA,37.512318,-122.200914,94063,c:3187,Redwood City,Redwood City CA 94063,Replay Solutions,1,1/1/2004,Still Operating,12/5/2006,8/18/2008,2.9288,4.6329,3.055353048,4.754422568,13,2,15200000,0,CA,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,c:3187,0,0,1,1,0,0,2,1,acquired,replay solutions,"Replay Solutions creates software to help software developers get their products done on time, with as few bugs as possible."
184,NY,40.728425,-73.999882,10012,c:164922,New York,New York NY 10012,Turf Geography Club,0,1/1/2011,2/1/2013,8/15/2011,8/2/2012,0.6192,1.5863,3.055353048,4.754422568,2,2,890000,0,NY,0,1,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,c:164922,0,1,0,0,0,0,3,1,closed,turf geography club,Turf Geography Club develops location-based mobile games.
185,CA,37.779281,-122.419236,94108,c:81886,San Francisco,San Francisco CA 94108,skyrockit,0,1/1/2001,4/1/2012,7/12/2011,7/12/2011,10.5315,10.5315,3.055353048,4.754422568,0,1,2600000,0,CA,1,0,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,c:81886,1,0,0,0,0,0,1,1,closed,skyrockit,"skyrockit is a mobile entertainment agency that offers products and services to brands, media, and technology companies."
186,IL,41.800255,-88.149362,60563,c:54585,Naperville,Naperville IL 60563,Cartavi,1,1/1/2009,Still Operating,11/13/2012,11/13/2012,3.8685,3.8685,3.8301,4.0877,7,1,1226270,2,IL,0,0,0,0,1,enterprise,0,0,0,1,0,0,0,0,0,0,c:54585,0,1,0,0,0,0,1,1,acquired,cartavi,Cartavi is a cloud-based document-sharing solution and a smartphone app designed for real estate professionals.
187,CA,34.147047,-118.148896,91101,c:11507,Pasadena,Pasadena CA 91101,Cramster,1,1/1/2002,Still Operating,9/25/2008,4/14/2010,6.737,8.2877,6.7534,6.7534,5,2,9000000,1,CA,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:11507,0,0,1,1,0,0,1,0,acquired,cramster,"Cramster offers online homework and textbook help for college and high school students in areas such as math, science and business."
188,CA,37.317847,-121.948469,95128,c:24860,San Jose,San Jose CA 95128,Certify Data Systems,1,1/1/2004,Still Operating,8/25/2008,2/15/2012,4.6521,8.1288,6.0055,6.0055,4,4,7210210,1,CA,1,0,0,0,0,enterprise,0,0,0,1,0,0,0,0,0,0,c:24860,1,0,1,1,0,0,1,0,acquired,certify data systems,Certify Data Systems offers an HIE platform that enables healthcare providers to exchange essential health information in real time.
189,CA,37.779281,-122.419236,94103,c:148750,San Francisco,San Francisco CA 94103,Wheelz,1,1/1/2011,Still Operating,9/28/2011,2/22/2012,0.7397,1.1425,0.5808,0.5808,15,2,15700000,1,CA,1,0,0,0,0,automotive,0,0,0,0,0,0,0,0,0,1,c:148750,0,0,1,0,0,0,3,1,acquired,wheelz,Wheelz provides a car sharing platform facilitating economic opportunities for car owners by leasing their vehicles to non-owners.
190,MA,42.37564,-71.2358,2451,c:45611,Waltham,Waltham MA 2451,CentrePath,1,1/1/2000,Still Operating,9/6/2005,4/24/2006,5.6849,6.3151,5.0055,5.0055,4,2,15050000,1,MA,0,0,1,0,0,software,1,0,0,0,0,0,0,0,0,0,c:45611,1,0,0,0,1,0,2.5,1,acquired,centrepath,"CentrePath develops and markets data center networking solutions to healthcare, financial services, media, and entertainment industries."
191,CA,37.8093381,-122.4166061,94111,c:4106,San Francisco,San Francisco CA 94111,VoxPop Network Corporation,1,8/1/2006,Still Operating,5/1/2007,5/1/2009,0.7479,2.7507,1.5836,4.5315,5,2,3500000,2,CA,1,0,0,0,0,games_video,0,0,0,0,0,1,0,0,0,0,c:4106,0,0,1,1,0,0,3,1,acquired,voxpop network corporation,VoxPop Network Corporation is a gaming network for online publishers to make and distribute games based on current events and topics.
192,CA,37.4384108,-121.9240273,95035,c:17775,Milpitas,Milpitas CA 95035,OpVista,0,1/1/2000,8/1/2009,6/22/2006,5/7/2007,6.4767,7.3507,5.0055,5.0055,2,2,43000000,1,CA,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,c:17775,0,0,0,0,1,1,1,1,closed,opvista,OpVista develops optical transport systems for metro and regional networks that deliver scalable and reconfigurable WDM.
193,CA,37.775196,-122.419204,94105,c:144,San Francisco,San Francisco CA 94105,Metaweb Technologies,1,1/1/2005,Still Operating,3/1/2006,1/15/2008,1.1616,3.0384,3.2658,5.5397,7,2,57000000,2,CA,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:144,0,0,1,1,0,0,3.5,1,acquired,metaweb technologies,Metaweb Technologies develops a community-curated database and semantic data storage infrastructure for the web.
194,CA,37.788115,-122.397141,94105,c:13046,San Francisco,San Francisco CA 94105,DocVerse,1,9/1/2007,Still Operating,7/23/2008,7/23/2008,0.8932,0.8932,0.8329,4.2137,8,1,1300000,4,CA,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:13046,0,1,0,0,0,0,4,1,acquired,docverse,"DocVerse offers a plug-in for MS Word, PowerPoint, and Excel that turns these apps into full-fledged, web-enabled, collaboration tools."
195,CA,32.902266,-117.20834,92121,c:40,San Diego,San Diego CA 92121,Veoh,1,1/1/2004,Still Operating,7/1/2005,6/3/2008,1.4986,4.4247,4.0877,9.737,15,4,69750000,4,CA,1,0,0,0,0,games_video,0,0,0,0,0,1,0,0,0,0,c:40,0,0,1,1,1,1,5,1,acquired,veoh,"Veoh is an Internet TV service enabling viewers to discover, watch and personalize their online viewing experience."
196,MA,42.341899,-71.065924,2118,c:26460,Boston,Boston MA 2118,BzzAgent,1,1/1/2001,Still Operating,1/1/2004,1/1/2006,3,5.0027,9.6247,10.3945,16,2,14500000,2,MA,0,0,1,0,0,advertising,0,0,0,0,1,0,0,0,0,0,c:26460,0,1,0,1,0,0,2,1,acquired,bzzagent,BzzAgent helps the world’s largest brands engage everyday influencers to drive sales.
197,CA,37.40006,-122.049689,94043,c:15887,Mountain View,Mountain View CA 94043,Hammerhead Systems,0,1/1/2002,3/23/2009,1/31/2006,8/1/2007,4.0849,5.5836,3.055353048,4.754422568,2,2,48000000,0,CA,1,0,0,0,0,hardware,0,0,0,0,0,0,0,0,0,1,c:15887,0,0,0,0,1,1,6,1,closed,hammerhead systems,"Hammerhead Systems provides MPLS, and Ethernet aggregation and switching solutions for residential broadband and wireless backhaul markets."
198,PA,40.418851,-79.904163,15218,c:36742,Pittsburgh,Pittsburgh PA 15218,ThermalTherapeuticSystems,0,6/1/2006,3/13/2013,12/1/2009,11/9/2011,3.5041,5.4438,3.055353048,4.754422568,3,2,3508462,0,PA,0,0,0,0,1,medical,0,0,0,0,0,0,0,0,0,1,c:36742,1,0,1,0,0,0,3,1,closed,thermaltherapeuticsystems,ThermalTherapeutic Systems is focused on developing medical devices.
199,CA,37.778613,-122.395289,94404,c:3962,San Mateo,San Mateo CA 94404,GuardianEdge Technologies,1,1/1/2002,Still Operating,6/6/2005,7/23/2007,3.4301,5.5589,7.8384,7.8384,10,3,19500000,1,CA,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,c:3962,0,0,1,1,0,0,3.3333,1,acquired,guardianedge technologies,GuardianEdge is a company offering endpoint data protection that enables enterprises to safeguard confidential and proprietary data.
200,CA,34.019657,-118.487549,90405,c:162116,Santa Monica,Santa Monica CA 90405,Gradient X,1,1/1/2012,Still Operating,6/20/2012,6/20/2012,0.4685,0.4685,1.1041,1.6795,5,1,3750000,3,CA,1,0,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,c:162116,0,0,0,0,0,0,9,1,acquired,gradient x,Gradient X is a programmatic marketing platform enabling advertisers to capitalize on the potential of mobile media.
201,IL,41.817807,-88.173402,60555,c:55044,Warrenville,Warrenville IL 60555,ezzai - how to arabia,0,8/1/2010,8/1/2011,8/1/2010,8/1/2010,0,0,3.055353048,4.754422568,1,1,45000000,0,IL,0,0,0,0,1,web,0,1,0,0,0,0,0,0,0,0,c:55044,0,0,0,0,0,0,2,0,closed,ezzai - how to arabia,Ezzai is a professional “How-To-Guide” community that enables posts and articles from a wide variety of users.
202,NC,35.79181,-78.74123,27607,c:7207,Raleigh,Raleigh NC 27607,rPath,0,4/1/2005,5/1/2013,1/24/2006,10/22/2010,0.8164,5.5616,4.5562,7.9863,8,4,32500000,3,NC,0,0,0,0,1,enterprise,0,0,0,1,0,0,0,0,0,0,c:7207,0,0,1,1,1,1,2.75,1,closed,rpath,"rPath provides an automation platform for application deployment and maintenance across physical, virtual, and cloud environments."
203,PA,40.063476,-75.457492,19312,c:863,Berwyn,Berwyn PA 19312,Boomi,1,3/1/2000,Still Operating,1/1/2002,7/1/2008,1.8384,8.3397,5.674,13.5562,4,2,4900000,5,PA,0,0,0,0,1,enterprise,0,0,0,1,0,0,0,0,0,0,c:863,0,1,0,1,0,0,1.5,1,acquired,boomi,Boomi provides cloud integration solutions via a SaaS-based platform for providers to stay connected with their consumers.
